,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,
INSERTED DETAIL,200114,Abacus Day Nursery,50916093,R6106,Private Providers - Early Years Funding,12711.70,09/11/2015,People Group,,,
INSERTED DETAIL,200114,Abacus Day Nursery,50923464,R6106,Private Providers - Early Years Funding,1871.10,23/11/2015,People Group,,,
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,50916094,R6106,Private Providers - Early Years Funding,8635.73,09/11/2015,People Group,,,
INSERTED DETAIL,200121,Abbey Preschool,50916095,R6106,Private Providers - Early Years Funding,3908.02,09/11/2015,People Group,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50913202,R5822,Foster Care Payments - External,3207.86,03/11/2015,People Group,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50899752,R5822,Foster Care Payments - External,3207.86,23/11/2015,People Group,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50928734,R5822,Foster Care Payments - External,2326.93,26/11/2015,People Group,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50916775,R5822,Foster Care Payments - External,3314.79,30/11/2015,People Group,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50924183,R5822,Foster Care Payments - External,3314.79,30/11/2015,People Group,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50916774,R5822,Foster Care Payments - External,3314.79,30/11/2015,People Group,,,
INSERTED DETAIL,229761,Absolute Children's Services,50918884,R5849,Counselling Services (Children),600.00,27/11/2015,People Group,,,
INSERTED DETAIL,225570,Accessmart,50911802,R1601,Training - External,558.00,18/11/2015,Resources,,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50916997,R5848,Residential Care (Children),11757.84,16/11/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50913360,R5822,Foster Care Payments - External,3324.75,05/11/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50913384,R5822,Foster Care Payments - External,3542.86,05/11/2015,People Group,,,
INSERTED DETAIL,227186,Acorn Treatment Projects,50908390,R5835,Residential and Inpatient Services,1131.43,05/11/2015,Communities,,,
INSERTED DETAIL,227186,Acorn Treatment Projects,50908389,R5833,"Structured Community, Treatment & Care Services",1980.00,19/11/2015,Communities,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,50916096,R6106,Private Providers - Early Years Funding,13091.29,09/11/2015,People Group,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,50923465,R6106,Private Providers - Early Years Funding,5440.05,23/11/2015,People Group,,,
INSERTED DETAIL,219696,Action Deafness Ltd,50924240,R5805,Homecare - External Domiciliary (Adults),781.20,18/11/2015,People Group,,,
INSERTED DETAIL,215891,Action For Children (****6746),50913200,R5848,Residential Care (Children),50625.00,09/11/2015,People Group,,,
INSERTED DETAIL,215891,Action For Children (****6746),50916965,R5203,Inter Authority Payments,1314.00,10/11/2015,People Group,,,
INSERTED DETAIL,215891,Action For Children (****6746),50920669,R5822,Foster Care Payments - External,1833.00,16/11/2015,People Group,,,
INSERTED DETAIL,215891,Action For Children (****6746),50929663,R5203,Inter Authority Payments,1833.00,30/11/2015,People Group,,,
INSERTED DETAIL,215891,Action For Children (****6746),50929622,R5203,Inter Authority Payments,1314.00,30/11/2015,People Group,,,
INSERTED DETAIL,220313,Adana Management Group Ltd,50926380,R1101,Agency Staff Pay,1454.17,30/11/2015,Resources,,,
INSERTED DETAIL,200169,Addaction - Henley House,50926101,R5702,Payments to External Contractors,281709.79,24/11/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50926869,R4612,Projects,40621.04,25/11/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50921815,R5702,Payments to External Contractors,23319.31,25/11/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50918874,R4612,Projects,44251.69,25/11/2015,Communities,,,
INSERTED DETAIL,200170,Addiction Recovery Centre Ltd,50913392,R5835,Residential and Inpatient Services,2320.00,30/11/2015,Communities,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50912899,R5806,Residential Care (Adults),1635.72,02/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50912899,R5806,Residential Care (Adults),5680.00,02/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50912899,R5806,Residential Care (Adults),1635.72,02/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50912899,R5806,Residential Care (Adults),3076.00,02/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50912899,R5806,Residential Care (Adults),1850.16,02/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50912899,R5806,Residential Care (Adults),2840.00,02/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50929182,R5806,Residential Care (Adults),2840.00,30/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50929182,R5806,Residential Care (Adults),-3271.44,30/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50929182,R5806,Residential Care (Adults),5680.00,30/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50929182,R5806,Residential Care (Adults),1635.72,30/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50929182,R5806,Residential Care (Adults),3076.00,30/11/2015,People Group,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50929182,R5806,Residential Care (Adults),1850.16,30/11/2015,People Group,,,
INSERTED DETAIL,225565,Adiemus Care Ltd (Cameron House),50912935,R5806,Residential Care (Adults),1812.44,02/11/2015,People Group,,,
INSERTED DETAIL,225565,Adiemus Care Ltd (Cameron House),50929227,R5806,Residential Care (Adults),1812.44,30/11/2015,People Group,,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,50913008,R5806,Residential Care (Adults),5657.28,02/11/2015,People Group,,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,50929329,R5806,Residential Care (Adults),5657.28,30/11/2015,People Group,,,
INSERTED DETAIL,228185,Adventure Care Ltd,50915304,R6104,Social Care - Section 17 Payments,2782.14,27/11/2015,People Group,,,
INSERTED DETAIL,200191,Adventure Kit UK Ltd,50916763,R4007,Equipment,2327.00,16/11/2015,People Group,,,
,,ADVENTURE SPORTS (WARW,P-Cards,,," 1,835.26 ",01/12/2015,,,,
INSERTED DETAIL,209397,AECOM Ltd,50927399,R5702,Payments to External Contractors,3000.00,27/11/2015,Communities,,,
INSERTED DETAIL,229695,Ag Con UK Ltd,50913993,C1060,Grants & Contributions To Outside Organisations,1037.99,05/11/2015,Capital,,,
INSERTED DETAIL,200201,Age UK - Warks,50911229,R5809,Adult Social Care Contracts,5328.00,03/11/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50915082,R5809,Adult Social Care Contracts,602.00,04/11/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50917218,R5807,SLA Social Care Provision,1846.00,11/11/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50917221,R5807,SLA Social Care Provision,15740.00,11/11/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50917219,R5807,SLA Social Care Provision,4615.00,11/11/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50917220,R5807,SLA Social Care Provision,4615.00,11/11/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50915080,R5809,Adult Social Care Contracts,5328.00,17/11/2015,People Group,,,
INSERTED DETAIL,999982,Age UK Warwickshire,50915668,R5501,Grants to Organisations & Voluntary Bodies,895.00,06/11/2015,Communities,,,
INSERTED DETAIL,200207,AIM Project,50915815,R1601,Training - External,570.00,06/11/2015,Communities,,,
INSERTED DETAIL,200207,AIM Project,50917994,R1601,Training - External,1975.10,13/11/2015,Communities,,,
INSERTED DETAIL,200207,AIM Project,50920199,R1601,Training - External,2046.40,19/11/2015,Communities,,,
INSERTED DETAIL,212406,Air Liquide UK Ltd,50917666,R4021,Foam,975.00,27/11/2015,Fire and Rescue,,,
INSERTED DETAIL,200211,Airtay,50916268,R2751,Grounds Maintenance Non Contract,5855.00,10/11/2015,Communities,,,
INSERTED DETAIL,200211,Airtay,50924108,R2751,Grounds Maintenance Non Contract,5855.00,18/11/2015,Communities,,,
INSERTED DETAIL,208271,Airwave Solutions Ltd,50927092,R3003,Radio Installations,1530.44,25/11/2015,Fire and Rescue,,,
INSERTED DETAIL,225383,Alan Hornsby Crane Hire,50919987,R5706,Payments to Third Parties - Recoverable Operating Expenditure,600.00,27/11/2015,Communities,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50912901,R5806,Residential Care (Adults),5418.32,02/11/2015,People Group,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50912901,R5806,Residential Care (Adults),2700.00,02/11/2015,People Group,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50912901,R5806,Residential Care (Adults),2489.52,02/11/2015,People Group,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50929184,R5806,Residential Care (Adults),2489.52,30/11/2015,People Group,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50929184,R5806,Residential Care (Adults),7058.32,30/11/2015,People Group,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50929184,R5806,Residential Care (Adults),2700.00,30/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50913114,R5806,Residential Care (Adults),1813.68,02/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50913114,R5806,Residential Care (Adults),4573.68,02/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50913114,R5806,Residential Care (Adults),1813.68,02/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50913114,R5806,Residential Care (Adults),2213.68,02/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50929479,R5806,Residential Care (Adults),2213.68,30/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50929479,R5806,Residential Care (Adults),1813.68,30/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50929479,R5806,Residential Care (Adults),4573.68,30/11/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50929479,R5806,Residential Care (Adults),1813.68,30/11/2015,People Group,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50922179,R6107,SEN Statements Funding - Non-Maintained Schools,1676.00,17/11/2015,People Group,,,
INSERTED DETAIL,221172,Alcester Health Centre,50915353,R5702,Payments to External Contractors,2064.17,05/11/2015,Communities,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,50916097,R6106,Private Providers - Early Years Funding,13899.28,09/11/2015,People Group,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,50923466,R6106,Private Providers - Early Years Funding,4816.35,23/11/2015,People Group,,,
INSERTED DETAIL,200238,Alcium Software Ltd,50881328,R4512,Software,6375.00,30/11/2015,Communities,,,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50924581,R4409,Consultancy,1582.30,24/11/2015,Resources,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50912804,R5806,Residential Care (Adults),12500.40,02/11/2015,People Group,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50912804,R5806,Residential Care (Adults),3654.36,02/11/2015,People Group,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50912804,R5806,Residential Care (Adults),1859.25,02/11/2015,People Group,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50929186,R5806,Residential Care (Adults),12500.40,30/11/2015,People Group,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50929186,R5806,Residential Care (Adults),1128.17,30/11/2015,People Group,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50929186,R5806,Residential Care (Adults),1859.08,30/11/2015,People Group,,,
INSERTED DETAIL,100435,Allambie Enterprises,50912903,R5806,Residential Care (Adults),1562.52,02/11/2015,People Group,,,
INSERTED DETAIL,100435,Allambie Enterprises,50929187,R5806,Residential Care (Adults),1562.52,30/11/2015,People Group,,,
INSERTED DETAIL,207709,Allen Ford,50923456,R4030,Materials,1947.73,18/11/2015,Communities,,,
INSERTED DETAIL,200276,Alliance Foster Care Ltd,50915247,R5822,Foster Care Payments - External,2742.88,09/11/2015,People Group,,,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,50915456,R3005,Fuel,36709.22,05/11/2015,Communities,,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,50913117,R5806,Residential Care (Adults),1852.00,02/11/2015,People Group,,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,50929484,R5806,Residential Care (Adults),1852.00,30/11/2015,People Group,,,
INSERTED DETAIL,200289,Alton Castle,50910422,R4915,Educational Visits Expenditure,4692.00,03/11/2015,Schools,,,
INSERTED DETAIL,200291,Alveston Cygnets,50916098,R6106,Private Providers - Early Years Funding,4032.39,09/11/2015,People Group,,,
INSERTED DETAIL,200291,Alveston Cygnets,50923467,R6106,Private Providers - Early Years Funding,1871.10,23/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50912806,R5806,Residential Care (Adults),1843.88,02/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50912806,R5806,Residential Care (Adults),3670.92,02/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50912806,R5806,Residential Care (Adults),9102.88,02/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50912806,R5806,Residential Care (Adults),8239.88,02/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50929190,R5806,Residential Care (Adults),12097.02,30/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50929190,R5806,Residential Care (Adults),9102.88,30/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50929190,R5806,Residential Care (Adults),3670.92,30/11/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50929190,R5806,Residential Care (Adults),1843.88,30/11/2015,People Group,,,
INSERTED DETAIL,200303,Amce Construction Ltd,50907131,R2022,Building (LB),1660.00,19/11/2015,Resources,,,
INSERTED DETAIL,200303,Amce Construction Ltd,50925018,R2022,Building (LB),1960.00,24/11/2015,Resources,,,
INSERTED DETAIL,200303,Amce Construction Ltd,50925046,R2022,Building (LB),1920.00,24/11/2015,Resources,,,
INSERTED DETAIL,200303,Amce Construction Ltd,50924968,R2022,Building (LB),2005.00,24/11/2015,Resources,,,
INSERTED DETAIL,200305,Amillan Ltd,50899406,R4512,Software,4849.41,04/11/2015,Resources,,,
INSERTED DETAIL,200305,Amillan Ltd,50899407,R4514,Telephone Rental,19025.00,05/11/2015,Resources,,,
INSERTED DETAIL,200305,Amillan Ltd,50899408,R4514,Telephone Rental,16401.00,05/11/2015,Resources,,,
INSERTED DETAIL,229252,AMION Consulting Ltd t/a AMION Consulting,50920701,R4409,Consultancy,6900.00,27/11/2015,Communities,,,
INSERTED DETAIL,227709,Am-R-Az Llp T/A Bluebird Care,50913746,R5805,Homecare - External Domiciliary (Adults),1779.56,03/11/2015,People Group,,,
INSERTED DETAIL,228683,Anchor,50913104,R5806,Residential Care (Adults),2280.00,02/11/2015,People Group,,,
INSERTED DETAIL,228683,Anchor,50929462,R5806,Residential Care (Adults),2280.00,30/11/2015,People Group,,,
INSERTED DETAIL,200317,Andrell Education,50924971,R4029,Licences (Incl Tv),1300.00,23/11/2015,Schools,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50912581,R4443,Professional Fees Admin,515.00,13/11/2015,Resources,,,
INSERTED DETAIL,200351,Angloco Ltd,50909745,R4030,Materials,2310.74,17/11/2015,Communities,,,
INSERTED DETAIL,221113,Ani-Chem Ltd t/a Lister Chemists,50922509,R5702,Payments to External Contractors,521.44,19/11/2015,Communities,,,
INSERTED DETAIL,200389,Apetito Ltd,50920555,R5809,Adult Social Care Contracts,665.67,16/11/2015,People Group,,,
INSERTED DETAIL,200389,Apetito Ltd,50920608,R5809,Adult Social Care Contracts,-599.25,17/11/2015,People Group,,,
INSERTED DETAIL,200389,Apetito Ltd,50920553,R5809,Adult Social Care Contracts,16128.65,17/11/2015,People Group,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,50916176,R6106,Private Providers - Early Years Funding,16358.07,09/11/2015,People Group,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,50923547,R6106,Private Providers - Early Years Funding,6162.75,23/11/2015,People Group,,,
,,APPLE ONLINE STORE GBP,P-Cards,,, 799.00 ,25/11/2015,,,,
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,50913388,R5848,Residential Care (Children),13285.67,03/11/2015,People Group,,,
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,50927296,R5848,Residential Care (Children),12857.10,25/11/2015,People Group,,,
INSERTED DETAIL,215154,Applewood Support Ltd,50916565,R5805,Homecare - External Domiciliary (Adults),1159.20,09/11/2015,People Group,,,
INSERTED DETAIL,215154,Applewood Support Ltd,50916566,R5805,Homecare - External Domiciliary (Adults),927.36,09/11/2015,People Group,,,
INSERTED DETAIL,214422,Apricot Online Ltd,50916425,R5604,Commissioned Works,3240.00,10/11/2015,People Group,,,
INSERTED DETAIL,200398,Apt Controls Ltd,50929030,R5702,Payments to External Contractors,1936.50,27/11/2015,Communities,,,
INSERTED DETAIL,200398,Apt Controls Ltd,50929031,R5702,Payments to External Contractors,1936.50,27/11/2015,Communities,,,
INSERTED DETAIL,228116,Archways Care Ltd,50905639,R5848,Residential Care (Children),12160.00,04/11/2015,People Group,,,
INSERTED DETAIL,228116,Archways Care Ltd,50905640,R5848,Residential Care (Children),24000.00,06/11/2015,People Group,,,
INSERTED DETAIL,228116,Archways Care Ltd,50919073,R5848,Residential Care (Children),24000.00,16/11/2015,People Group,,,
INSERTED DETAIL,228116,Archways Care Ltd,50919072,R5848,Residential Care (Children),12160.00,16/11/2015,People Group,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50909998,C1030,"New Construction, Conversion & Renovation",63290.34,03/11/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50916502,C1030,"New Construction, Conversion & Renovation",15009.87,10/11/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50917992,C1030,"New Construction, Conversion & Renovation",59182.21,12/11/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50919027,R2022,Building (LB),1308.76,12/11/2015,Resources,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50918953,R2022,Building (LB),4469.95,13/11/2015,Resources,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50925315,R2022,Building (LB),30563.10,24/11/2015,Resources,,,
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,50928752,R6107,SEN Statements Funding - Non-Maintained Schools,14953.00,30/11/2015,People Group,,,
INSERTED DETAIL,228944,Arnold Lodge Prepcare Nursery,50916189,R6106,Private Providers - Early Years Funding,1745.52,09/11/2015,People Group,,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50922403,R3204,Home To School / College Transport,9530.00,17/11/2015,Communities,,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50924684,R5204,Concessionary Fares,11815.14,19/11/2015,Communities,,,
INSERTED DETAIL,229694,Artisan Measurement & Control Ltd,50907820,R4018,Equipment Repair & Maintenance,1879.00,19/11/2015,Communities,,,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),50922187,R6107,SEN Statements Funding - Non-Maintained Schools,2244.00,17/11/2015,People Group,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50914077,C1030,"New Construction, Conversion & Renovation",47614.00,05/11/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50923566,C1030,"New Construction, Conversion & Renovation",22913.00,24/11/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50923606,C1030,"New Construction, Conversion & Renovation",61916.00,24/11/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50923605,C1030,"New Construction, Conversion & Renovation",28600.80,24/11/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50923565,C1030,"New Construction, Conversion & Renovation",117376.39,24/11/2015,Capital,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50922180,R6107,SEN Statements Funding - Non-Maintained Schools,8106.00,17/11/2015,People Group,,,
INSERTED DETAIL,200465,Ashleigh Nursery School,50916099,R6106,Private Providers - Early Years Funding,10956.38,09/11/2015,People Group,,,
INSERTED DETAIL,200465,Ashleigh Nursery School,50923468,R6106,Private Providers - Early Years Funding,11583.00,23/11/2015,People Group,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50915430,R4058,Books,10480.51,05/11/2015,Resources,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50918945,R4058,Books,11159.96,12/11/2015,Resources,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50923150,R4058,Books,5118.79,18/11/2015,Resources,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50927143,R4058,Books,13380.57,25/11/2015,Resources,,,
INSERTED DETAIL,226763,Aspect Care Home Ltd,50912910,R5806,Residential Care (Adults),2906.52,02/11/2015,People Group,,,
INSERTED DETAIL,226763,Aspect Care Home Ltd,50929198,R5806,Residential Care (Adults),2906.52,30/11/2015,People Group,,,
INSERTED DETAIL,223097,Aspin and Company Ltd,50911847,R1601,Training - External,600.00,12/11/2015,Resources,,,
INSERTED DETAIL,999982,Aspire in Arts Ltd,50926325,R5501,Grants to Organisations & Voluntary Bodies,4996.00,24/11/2015,Communities,,,
INSERTED DETAIL,200472,Aspire People Ltd,50903824,R1101,Agency Staff Pay,1073.00,06/11/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50910483,R1101,Agency Staff Pay,1335.00,13/11/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50922404,R1101,Agency Staff Pay,1353.00,19/11/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50918889,R1101,Agency Staff Pay,957.00,27/11/2015,Schools,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50909196,R4433,Sport Instruction,531.45,13/11/2015,Schools,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50910489,R4433,Sport Instruction,967.27,13/11/2015,Schools,,,
INSERTED DETAIL,227903,Asset Utilities Ltd.,50904826,R4443,Professional Fees Admin,1100.00,06/11/2015,Resources,,,
INSERTED DETAIL,229691,Associate Development Solutions Ltd,50901583,R5849,Counselling Services (Children),10171.20,11/11/2015,People Group,,,
INSERTED DETAIL,210825,ATG Access Ltd,50916532,R5702,Payments to External Contractors,-1599.00,06/11/2015,Communities,,,
INSERTED DETAIL,210825,ATG Access Ltd,50916556,R5702,Payments to External Contractors,1332.50,09/11/2015,Communities,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),50915311,R5702,Payments to External Contractors,5327.15,05/11/2015,Communities,,,
INSERTED DETAIL,999982,Atherstone Town Cricket Club,50913875,R5501,Grants to Organisations & Voluntary Bodies,550.00,11/11/2015,Communities,,,
INSERTED DETAIL,208515,Ati Projects Ltd,50917670,R5702,Payments to External Contractors,4648.25,30/11/2015,Communities,,,
INSERTED DETAIL,208492,Atkins Ltd,50906667,C1050,External Fees,4500.00,13/11/2015,Capital,,,
INSERTED DETAIL,208492,Atkins Ltd,50914078,R2022,Building (LB),4585.13,26/11/2015,Resources,,,
