,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,
INSERTED DETAIL,219696,Action Deafness Ltd,50912639,R5805,Homecare - External Domiciliary (Adults),769.20,30/10/2015,People Group,,
INSERTED DETAIL,215891,Action For Children (****6746),50896102,R5848,Residential Care (Children),50625.00,09/10/2015,People Group,,
INSERTED DETAIL,215891,Action For Children (****6746),50907092,R5203,Inter Authority Payments,1314.00,21/10/2015,People Group,,
INSERTED DETAIL,215891,Action For Children (****6746),50908370,R5203,Inter Authority Payments,1314.00,22/10/2015,People Group,,
INSERTED DETAIL,215891,Action For Children (****6746),50908369,R5203,Inter Authority Payments,1314.00,22/10/2015,People Group,,
INSERTED DETAIL,219089,Action for Children T/A Lillington Children's Centre,50897685,R5203,Inter Authority Payments,1314.00,05/10/2015,People Group,,
INSERTED DETAIL,208646,Active Learning & Development Ltd,50882036,R1601,Training - External,9538.20,02/10/2015,Fire and Rescue,,
INSERTED DETAIL,220313,Adana Management Group Ltd,50901040,R1101,Agency Staff Pay,1640.47,30/10/2015,Resources,,
INSERTED DETAIL,209747,Adare Ltd,50885114,R4409,Consultancy,564.73,08/10/2015,Resources,,
INSERTED DETAIL,209747,Adare Ltd,50902278,R4317,Print Operational Costs,4511.98,14/10/2015,Resources,,
INSERTED DETAIL,200169,Addaction - Henley House,50895126,R5702,Payments to External Contractors,24727.86,01/10/2015,Communities,,
INSERTED DETAIL,200169,Addaction - Henley House,50895471,R5702,Payments to External Contractors,-24727.86,01/10/2015,Communities,,
INSERTED DETAIL,200169,Addaction - Henley House,50895515,R5702,Payments to External Contractors,23319.31,01/10/2015,Communities,,
INSERTED DETAIL,200169,Addaction - Henley House,50895884,R5702,Payments to External Contractors,24727.86,01/10/2015,Communities,,
INSERTED DETAIL,200169,Addaction - Henley House,50894931,R1101,Agency Staff Pay,4100.00,02/10/2015,Communities,,
INSERTED DETAIL,200169,Addaction - Henley House,50905846,R5702,Payments to External Contractors,281709.79,20/10/2015,Communities,,
INSERTED DETAIL,200169,Addaction - Henley House,50906895,R5702,Payments to External Contractors,24727.86,23/10/2015,Communities,,
INSERTED DETAIL,200170,Addiction Recovery Centre Ltd,50901094,R5835,Residential and Inpatient Services,580.00,30/10/2015,Communities,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50897107,R5806,Residential Care (Adults),1635.72,05/10/2015,People Group,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50897107,R5806,Residential Care (Adults),5680.00,05/10/2015,People Group,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50897107,R5806,Residential Care (Adults),1635.72,05/10/2015,People Group,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50897107,R5806,Residential Care (Adults),3076.00,05/10/2015,People Group,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50897107,R5806,Residential Care (Adults),2887.30,05/10/2015,People Group,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50897107,R5806,Residential Care (Adults),2840.00,05/10/2015,People Group,,
INSERTED DETAIL,200832,Adelie Foods Ltd t/a Brambles Foods Ltd,50898888,R4104,Food Costs / Provisions,505.18,19/10/2015,Resources,,
INSERTED DETAIL,225565,Adiemus Care Ltd (Cameron House),50897155,R5806,Residential Care (Adults),1812.44,05/10/2015,People Group,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50907016,R5805,Homecare - External Domiciliary (Adults),504.00,21/10/2015,People Group,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50907015,R5805,Homecare - External Domiciliary (Adults),708.40,21/10/2015,People Group,,
INSERTED DETAIL,226666,Advance Trust T/A The Kingfisher School,50902138,R6107,SEN Statements Funding - Non-Maintained Schools,5060.00,14/10/2015,People Group,,
INSERTED DETAIL,226666,Advance Trust T/A The Kingfisher School,50902189,R6107,SEN Statements Funding - Non-Maintained Schools,1425.00,14/10/2015,People Group,,
INSERTED DETAIL,226666,Advance Trust T/A The Kingfisher School,50902139,R6107,SEN Statements Funding - Non-Maintained Schools,1872.00,30/10/2015,People Group,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,50897257,R5806,Residential Care (Adults),5657.28,05/10/2015,People Group,,
INSERTED DETAIL,216354,After Adoption,50890204,R4702,Subscriptions To Organisations,12138.00,09/10/2015,People Group,,
INSERTED DETAIL,200201,Age UK - Warks,50900289,R5807,SLA Social Care Provision,30000.00,12/10/2015,People Group,,
INSERTED DETAIL,200201,Age UK - Warks,50897914,R5208,Recycling Credits - Contract Payments,5122.24,12/10/2015,Communities,,
INSERTED DETAIL,200201,Age UK - Warks,50901194,R5807,SLA Social Care Provision,1846.00,13/10/2015,People Group,,
INSERTED DETAIL,200201,Age UK - Warks,50901913,R5208,Recycling Credits - Contract Payments,756.58,14/10/2015,Communities,,
INSERTED DETAIL,200201,Age UK - Warks,50901913,R5208,Recycling Credits - Contract Payments,818.64,14/10/2015,Communities,,
INSERTED DETAIL,200201,Age UK - Warks,50900749,R5807,SLA Social Care Provision,4615.00,15/10/2015,People Group,,
INSERTED DETAIL,200201,Age UK - Warks,50901195,R5807,SLA Social Care Provision,4615.00,15/10/2015,People Group,,
INSERTED DETAIL,229454,AGM Safety Ltd,50886119,R1601,Training - External,2640.00,08/10/2015,Resources,,
INSERTED DETAIL,200207,AIM Project,50894932,R1601,Training - External,2055.95,08/10/2015,Communities,,
INSERTED DETAIL,200211,Airtay,50896112,R2751,Grounds Maintenance Non Contract,1650.00,09/10/2015,Communities,,
INSERTED DETAIL,200211,Airtay,50896114,R2751,Grounds Maintenance Non Contract,1250.00,09/10/2015,Communities,,
INSERTED DETAIL,200211,Airtay,50896113,R2751,Grounds Maintenance Non Contract,1735.00,09/10/2015,Communities,,
INSERTED DETAIL,200211,Airtay,50896111,R2751,Grounds Maintenance Non Contract,2490.00,12/10/2015,Communities,,
INSERTED DETAIL,200223,Alan Robinson Property Rental,50904931,R2201,Rent,4125.00,19/10/2015,Resources,,
INSERTED DETAIL,200223,Alan Robinson Property Rental,50904932,R2201,Rent,608.12,30/10/2015,Resources,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50897109,R5806,Residential Care (Adults),2700.00,05/10/2015,People Group,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50897109,R5806,Residential Care (Adults),2489.52,05/10/2015,People Group,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50897109,R5806,Residential Care (Adults),5418.32,05/10/2015,People Group,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50897409,R5806,Residential Care (Adults),2213.68,05/10/2015,People Group,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50897409,R5806,Residential Care (Adults),4573.68,05/10/2015,People Group,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50897409,R5806,Residential Care (Adults),1813.68,05/10/2015,People Group,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50897409,R5806,Residential Care (Adults),1813.68,05/10/2015,People Group,,
INSERTED DETAIL,208344,Alcatel Lucent Telecom Ltd,50909233,R4512,Software,8332.00,28/10/2015,Resources,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50902508,R4701,Grants To External Organisations,3000.00,14/10/2015,Communities,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50905536,R6107,SEN Statements Funding - Non-Maintained Schools,1732.00,19/10/2015,People Group,,
INSERTED DETAIL,207814,Alcester Grammar School (Academy),50902509,R4701,Grants To External Organisations,3000.00,14/10/2015,Communities,,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50903836,R4409,Consultancy,2177.70,27/10/2015,Resources,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50897111,R5806,Residential Care (Adults),3183.45,05/10/2015,People Group,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50897111,R5806,Residential Care (Adults),3654.36,05/10/2015,People Group,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50897111,R5806,Residential Care (Adults),12500.40,05/10/2015,People Group,,
INSERTED DETAIL,100435,Allambie Enterprises,50897112,R5806,Residential Care (Adults),1562.52,05/10/2015,People Group,,
INSERTED DETAIL,200276,Alliance Foster Care Ltd,50897059,R5822,Foster Care Payments - External,5142.90,21/10/2015,People Group,,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,50898343,R3005,Fuel,8112.07,09/10/2015,Communities,,
,,Allstar Business Solutions Ltd,CHAPS,R3005,Fuel," 26,992.08 ",15/10/2015,Transport and Highways,,
INSERTED DETAIL,217555,Almond Care Ltd,50896782,R5805,Homecare - External Domiciliary (Adults),860.64,16/10/2015,People Group,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,50897414,R5806,Residential Care (Adults),1852.00,05/10/2015,People Group,,
INSERTED DETAIL,200289,Alton Castle,50898318,R4915,Educational Visits Expenditure,500.00,06/10/2015,Schools,,
INSERTED DETAIL,228232,Altum Residential Care Ltd,50899068,R5848,Residential Care (Children),19264.33,28/10/2015,People Group,,
INSERTED DETAIL,200290,Alun Griffiths Contractors Ltd,50909341,C1030,"New Construction, Conversion & Renovation",7599.45,28/10/2015,Capital,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50897116,R5806,Residential Care (Adults),1843.88,05/10/2015,People Group,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50897116,R5806,Residential Care (Adults),3670.92,05/10/2015,People Group,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50897116,R5806,Residential Care (Adults),9102.88,05/10/2015,People Group,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50897116,R5806,Residential Care (Adults),5539.88,05/10/2015,People Group,,
INSERTED DETAIL,221048,Alzheimer's Society,50896495,R5810,Adult Day Care,-512.64,01/10/2015,People Group,,
INSERTED DETAIL,221048,Alzheimer's Society,50865309,R5810,Adult Day Care,-512.64,30/10/2015,People Group,,
INSERTED DETAIL,221048,Alzheimer's Society,50900298,R5807,SLA Social Care Provision,43633.00,30/10/2015,People Group,,
INSERTED DETAIL,200303,Amce Construction Ltd,50907132,R2022,Building (LB),1980.00,22/10/2015,Resources,,
INSERTED DETAIL,200303,Amce Construction Ltd,50907133,R2022,Building (LB),1775.00,22/10/2015,Resources,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50885157,R4409,Consultancy,21608.83,01/10/2015,Resources,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50885156,R4409,Consultancy,18127.91,01/10/2015,Resources,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50885200,R4409,Consultancy,18603.22,01/10/2015,Resources,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50885158,R4409,Consultancy,9713.56,01/10/2015,Resources,,
INSERTED DETAIL,229252,AMION Consulting Ltd t/a AMION Consulting,50900371,R4409,Consultancy,6900.00,23/10/2015,Communities,,
INSERTED DETAIL,228683,Anchor,50897392,R5806,Residential Care (Adults),2280.00,05/10/2015,People Group,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50900684,R5805,Homecare - External Domiciliary (Adults),1260.00,14/10/2015,People Group,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50900216,R5805,Homecare - External Domiciliary (Adults),1411.20,28/10/2015,People Group,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50900217,R5805,Homecare - External Domiciliary (Adults),1260.00,28/10/2015,People Group,,
INSERTED DETAIL,200351,Angloco Ltd,50901175,R1601,Training - External,3704.70,19/10/2015,Fire and Rescue,,
INSERTED DETAIL,200351,Angloco Ltd,50905746,R3004,Repair & Maintenance Of Vehicles,2536.80,26/10/2015,Fire and Rescue,,
INSERTED DETAIL,200389,Apetito Ltd,50903669,R5809,Adult Social Care Contracts,753.44,14/10/2015,People Group,,
INSERTED DETAIL,220479,Appleford School,50887064,R6107,SEN Statements Funding - Non-Maintained Schools,5430.00,07/10/2015,People Group,,
INSERTED DETAIL,220479,Appleford School,50887065,R6107,SEN Statements Funding - Non-Maintained Schools,9697.00,07/10/2015,People Group,,
INSERTED DETAIL,215154,Applewood Support Ltd,50898980,R5805,Homecare - External Domiciliary (Adults),1159.20,07/10/2015,People Group,,
INSERTED DETAIL,215154,Applewood Support Ltd,50898981,R5805,Homecare - External Domiciliary (Adults),927.36,07/10/2015,People Group,,
INSERTED DETAIL,228116,Archways Care Ltd,50897026,R5848,Residential Care (Children),12160.00,05/10/2015,People Group,,
INSERTED DETAIL,228116,Archways Care Ltd,50897025,R5848,Residential Care (Children),18000.00,06/10/2015,People Group,,
INSERTED DETAIL,200417,Arco Ltd,50904384,R4019,Fire Equipment Purchase,1092.30,16/10/2015,Fire and Rescue,,
INSERTED DETAIL,200419,Arden Construction Ltd,50896197,C1030,"New Construction, Conversion & Renovation",28500.00,01/10/2015,Capital,,
INSERTED DETAIL,200419,Arden Construction Ltd,50894364,C1030,"New Construction, Conversion & Renovation",3373.81,02/10/2015,Capital,,
INSERTED DETAIL,200419,Arden Construction Ltd,50891866,R2022,Building (LB),3962.95,02/10/2015,Resources,,
INSERTED DETAIL,200419,Arden Construction Ltd,50891850,R2022,Building (LB),1274.52,02/10/2015,Resources,,
INSERTED DETAIL,200419,Arden Construction Ltd,50891849,C1030,"New Construction, Conversion & Renovation",657.99,02/10/2015,Capital,,
INSERTED DETAIL,200419,Arden Construction Ltd,50891865,C1030,"New Construction, Conversion & Renovation",937.96,02/10/2015,Capital,,
INSERTED DETAIL,200419,Arden Construction Ltd,50902062,C1030,"New Construction, Conversion & Renovation",2379.59,14/10/2015,Capital,,
INSERTED DETAIL,200419,Arden Construction Ltd,50902232,C1030,"New Construction, Conversion & Renovation",14250.00,14/10/2015,Capital,,
INSERTED DETAIL,200419,Arden Construction Ltd,50905411,R2022,Building (LB),9500.00,19/10/2015,Resources,,
INSERTED DETAIL,200419,Arden Construction Ltd,50905269,R2022,Building (LB),599.01,19/10/2015,Resources,,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50887092,R2204,Room Hire - External,690.00,02/10/2015,Communities,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50891207,R4049,White Goods/Domestic Appliances,4075.57,02/10/2015,Resources,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50896469,R4049,White Goods/Domestic Appliances,1665.20,09/10/2015,Resources,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50899012,R4049,White Goods/Domestic Appliances,1325.04,14/10/2015,Resources,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50898908,R4049,White Goods/Domestic Appliances,2094.30,16/10/2015,Resources,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50903330,R4049,White Goods/Domestic Appliances,2336.71,23/10/2015,Resources,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50909258,R4049,White Goods/Domestic Appliances,651.71,30/10/2015,Resources,,
INSERTED DETAIL,217464,Armada Computer Publications Limited,50896192,R1601,Training - External,990.00,21/10/2015,Communities,,
INSERTED DETAIL,200439,Arqiva Ltd (****9678),50884205,R4018,Equipment Repair & Maintenance,30593.55,01/10/2015,Fire and Rescue,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50895981,R5204,Concessionary Fares,1644.86,01/10/2015,Communities,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50896033,R5204,Concessionary Fares,11815.14,01/10/2015,Communities,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50910538,R5204,Concessionary Fares,11815.14,28/10/2015,Communities,,
INSERTED DETAIL,228272,Arrow Services (Midlands) Ltd,50891045,R2001,Buildings Maintenance,11748.00,07/10/2015,Schools,,
INSERTED DETAIL,228272,Arrow Services (Midlands) Ltd,50891019,R2001,Buildings Maintenance,5502.00,07/10/2015,Schools,,
INSERTED DETAIL,224603,Arrowscape,50896929,R4516,Computer Equipment Admin,520.00,14/10/2015,Schools,,
INSERTED DETAIL,219768,Art of Brilliance Ltd,50908344,R1601,Training - External,850.40,22/10/2015,People Group,,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),50905544,R6107,SEN Statements Funding - Non-Maintained Schools,2786.00,19/10/2015,People Group,,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),50910043,R5604,Commissioned Works,18666.67,30/10/2015,People Group,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50899296,C1030,"New Construction, Conversion & Renovation",123301.83,13/10/2015,Capital,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50905412,C1030,"New Construction, Conversion & Renovation",24326.00,29/10/2015,Capital,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50905413,C1030,"New Construction, Conversion & Renovation",94340.00,29/10/2015,Capital,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50906666,C1030,"New Construction, Conversion & Renovation",3314.62,29/10/2015,Capital,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50902512,R4701,Grants To External Organisations,3000.00,14/10/2015,Communities,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50905537,R6107,SEN Statements Funding - Non-Maintained Schools,7508.00,19/10/2015,People Group,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50896871,R4058,Books,7632.50,02/10/2015,Resources,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50900314,R4058,Books,6326.13,09/10/2015,Resources,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50906662,R4058,Books,12297.60,21/10/2015,Resources,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50910909,R4058,Books,4610.05,28/10/2015,Resources,,
INSERTED DETAIL,226763,Aspect Care Home Ltd,50897124,R5806,Residential Care (Adults),5300.10,05/10/2015,People Group,,
INSERTED DETAIL,200472,Aspire People Ltd,50896915,R1101,Agency Staff Pay,975.00,02/10/2015,Schools,,
INSERTED DETAIL,200472,Aspire People Ltd,50890344,R1101,Agency Staff Pay,740.00,16/10/2015,Schools,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50898705,R4433,Sport Instruction,967.30,16/10/2015,Schools,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50905743,R4433,Sport Instruction,531.50,20/10/2015,Schools,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50910488,R1690,Internal Expenditure - Training,1300.00,29/10/2015,Schools,,
INSERTED DETAIL,200489,Astech Consultants Ltd,50909157,R4512,Software,1900.00,23/10/2015,Resources,,
INSERTED DETAIL,215483,ATEC Security Ltd,50870100,R5702,Payments to External Contractors,956.00,19/10/2015,Communities,,
INSERTED DETAIL,210825,ATG Access Ltd,50888246,R5702,Payments to External Contractors,1332.50,09/10/2015,Communities,,
INSERTED DETAIL,208492,Atkins Ltd,50891622,R2022,Building (LB),2235.00,16/10/2015,Resources,,
INSERTED DETAIL,208492,Atkins Ltd,50897482,C1030,"New Construction, Conversion & Renovation",2475.00,23/10/2015,Capital,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50887394,R1101,Agency Staff Pay,6425.60,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50890069,R1101,Agency Staff Pay,6417.52,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50890067,R1101,Agency Staff Pay,6912.77,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50889752,R1101,Agency Staff Pay,8648.40,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50889751,R1101,Agency Staff Pay,6379.63,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50887565,R3403,Casual User Mileage,506.80,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50890187,R1101,Agency Staff Pay,9352.80,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50890070,R1101,Agency Staff Pay,4993.29,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50887395,R1101,Agency Staff Pay,10407.51,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50887395,R1101,Agency Staff Pay,2836.62,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50887565,R1101,Agency Staff Pay,53325.98,08/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50891908,R4443,Professional Fees Admin,4700.00,09/10/2015,Resources,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50903671,R5702,Payments to External Contractors,997.00,14/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50904037,R5706,Payments to Third Parties - Recoverable Operating Expenditure,3500.00,19/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50905868,R1101,Agency Staff Pay,4401.84,22/10/2015,Communities,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50900226,R4409,Consultancy,2925.00,22/10/2015,Resources,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50911285,R4409,Consultancy,1300.00,28/10/2015,Communities,,
INSERTED DETAIL,200505,ATS Euromaster Ltd,50899311,R3004,Repair & Maintenance Of Vehicles,8756.77,07/10/2015,Communities,,
INSERTED DETAIL,200505,ATS Euromaster Ltd,50901219,R3004,Repair & Maintenance Of Vehicles,5419.40,13/10/2015,Communities,,
INSERTED DETAIL,100007,Autism West Midlands,50897126,R5806,Residential Care (Adults),8162.76,05/10/2015,People Group,,
INSERTED DETAIL,100008,Autism West Midlands,50897301,R5806,Residential Care (Adults),4012.00,05/10/2015,People Group,,
INSERTED DETAIL,100001,Autism West Midlands,50897127,R5806,Residential Care (Adults),4023.32,05/10/2015,People Group,,
INSERTED DETAIL,200521,Automatic Doors Ltd,50894961,R2501,Fixtures & Fittings,2960.00,01/10/2015,Schools,,
INSERTED DETAIL,200526,Avenue Lodge Guest House,50896854,R6104,Social Care - Section 17 Payments,1755.00,08/10/2015,People Group,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50897105,R5806,Residential Care (Adults),-1314.09,05/10/2015,People Group,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50897105,R5806,Residential Care (Adults),17169.64,05/10/2015,People Group,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50897105,R5806,Residential Care (Adults),2058.80,05/10/2015,People Group,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50897105,R5806,Residential Care (Adults),1635.72,05/10/2015,People Group,,
