,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,
INSERTED DETAIL,200114,Abacus Day Nursery,50977377,R6106,Private Providers - Early Years Funding,3133.35,29/02/2016,People Group,,,,
INSERTED DETAIL,227305,Abacus Fostering Ltd,50948607,R5822,Foster Care Payments - External,3452.07,05/02/2016,People Group,,,,
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,50972256,R6106,Private Providers - Early Years Funding,7621.67,22/02/2016,People Group,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50964066,R2023,Mechanical (LM),544.65,04/02/2016,Resources,,,,
INSERTED DETAIL,200121,Abbey Preschool,50972279,R6106,Private Providers - Early Years Funding,5024.85,22/02/2016,People Group,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50947197,R5822,Foster Care Payments - External,3314.79,04/02/2016,People Group,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50947194,R5822,Foster Care Payments - External,3314.79,04/02/2016,People Group,,,,
INSERTED DETAIL,227552,AC Education,50971831,R5802,Substitute Care,4255.00,24/02/2016,People Group,,,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50959430,R5848,Residential Care (Children),-3413.57,02/02/2016,People Group,,,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50947611,R5848,Residential Care (Children),7545.30,02/02/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50945696,R5822,Foster Care Payments - External,3542.86,03/02/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50946377,R5822,Foster Care Payments - External,1218.29,04/02/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50946376,R5822,Foster Care Payments - External,507.14,04/02/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50968347,R5822,Foster Care Payments - External,3045.71,26/02/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50968344,R5822,Foster Care Payments - External,3925.71,26/02/2016,People Group,,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,50972341,R6106,Private Providers - Early Years Funding,10374.58,22/02/2016,People Group,,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,50977418,R6106,Private Providers - Early Years Funding,3811.50,29/02/2016,People Group,,,,
INSERTED DETAIL,228714,Acorns Children's Hospice Trust,50952684,R6104,Social Care - Section 17 Payments,945.00,11/02/2016,People Group,,,,
INSERTED DETAIL,200150,Act On Energy,50950610,R5702,Payments to External Contractors,24972.50,05/02/2016,Communities,,,,
INSERTED DETAIL,200150,Act On Energy,50950144,R4612,Projects,5125.00,10/02/2016,Communities,,,,
INSERTED DETAIL,999982,ACT.com,50963202,R5501,Grants to Organisations & Voluntary Bodies,1500.00,05/02/2016,Communities,,,,
INSERTED DETAIL,215891,Action For Children (****6746),50963931,R5203,Inter Authority Payments,1833.00,08/02/2016,People Group,,,,
INSERTED DETAIL,215891,Action For Children (****6746),50962099,R5848,Residential Care (Children),50625.00,11/02/2016,People Group,,,,
INSERTED DETAIL,220313,Adana Management Group Ltd,50952443,R1101,Agency Staff Pay,1718.10,10/02/2016,Resources,,,,
INSERTED DETAIL,200169,Addaction - Henley House,50966273,R4612,Projects,40671.75,12/02/2016,Communities,,,,
INSERTED DETAIL,200169,Addaction - Henley House,50974833,R5702,Payments to External Contractors,281709.79,22/02/2016,Communities,,,,
INSERTED DETAIL,200169,Addaction - Henley House,50975159,R5835,Residential and Inpatient Services,655.00,23/02/2016,Communities,,,,
INSERTED DETAIL,200169,Addaction - Henley House,50975334,R4612,Projects,39819.30,24/02/2016,Communities,,,,
INSERTED DETAIL,200169,Addaction - Henley House,50975995,R5702,Payments to External Contractors,25410.23,25/02/2016,Communities,,,,
INSERTED DETAIL,200170,Addiction Recovery Centre Ltd,50946100,R5835,Residential and Inpatient Services,1160.00,03/02/2016,Communities,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50974383,R5806,Residential Care (Adults),-2535.72,22/02/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50974383,R5806,Residential Care (Adults),3433.83,22/02/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50974383,R5806,Residential Care (Adults),3315.72,22/02/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50974383,R5806,Residential Care (Adults),3076.00,22/02/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50974383,R5806,Residential Care (Adults),1850.16,22/02/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50974383,R5806,Residential Care (Adults),2840.00,22/02/2016,People Group,,,,
INSERTED DETAIL,229276,Adrian Deacon t/a A J Decorations,50955582,R2001,Buildings Maintenance,700.00,03/02/2016,Communities,,,,
INSERTED DETAIL,229276,Adrian Deacon t/a A J Decorations,50956190,R2001,Buildings Maintenance,1000.00,11/02/2016,Communities,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,50950028,R6107,SEN Statements Funding - Non-Maintained Schools,1400.00,05/02/2016,People Group,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,50950050,R6107,SEN Statements Funding - Non-Maintained Schools,1831.00,05/02/2016,People Group,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,50956694,R6107,SEN Statements Funding - Non-Maintained Schools,6996.00,17/02/2016,People Group,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,50956655,R6107,SEN Statements Funding - Non-Maintained Schools,5350.00,17/02/2016,People Group,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,50956674,R6107,SEN Statements Funding - Non-Maintained Schools,-5350.00,17/02/2016,People Group,,,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,50974528,R5806,Residential Care (Adults),3771.52,22/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50945581,R5807,SLA Social Care Provision,4615.00,02/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50945575,R5807,SLA Social Care Provision,4615.00,02/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50945583,R5807,SLA Social Care Provision,1846.00,02/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50961154,R5809,Adult Social Care Contracts,1032.00,05/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50961163,R5809,Adult Social Care Contracts,5328.00,05/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50961778,R5807,SLA Social Care Provision,1846.00,08/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50961775,R5807,SLA Social Care Provision,4615.00,08/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50961777,R5807,SLA Social Care Provision,4615.00,08/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50967481,R5208,Recycling Credits - Contract Payments,943.60,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50967481,R5208,Recycling Credits - Contract Payments,1641.61,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50967482,R5208,Recycling Credits - Contract Payments,1470.30,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50967482,R5208,Recycling Credits - Contract Payments,1402.80,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50969604,R5208,Recycling Credits - Contract Payments,935.70,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50969604,R5208,Recycling Credits - Contract Payments,1041.90,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50969605,R5208,Recycling Credits - Contract Payments,728.60,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50969605,R5208,Recycling Credits - Contract Payments,1078.30,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50969607,R5208,Recycling Credits - Contract Payments,910.80,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50969607,R5208,Recycling Credits - Contract Payments,1107.10,15/02/2016,Communities,,,,
INSERTED DETAIL,200201,Age UK - Warks,50972192,R5810,Adult Day Care,640.00,17/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50974250,R5810,Adult Day Care,640.00,19/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50972384,R5807,SLA Social Care Provision,4615.00,26/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50972396,R5807,SLA Social Care Provision,4615.00,26/02/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,50972377,R5807,SLA Social Care Provision,1846.00,26/02/2016,People Group,,,,
INSERTED DETAIL,200211,Airtay,50962214,R2751,Grounds Maintenance Non Contract,3462.00,11/02/2016,Communities,,,,
INSERTED DETAIL,200211,Airtay,50974027,R2751,Grounds Maintenance Non Contract,9419.00,26/02/2016,Communities,,,,
INSERTED DETAIL,200211,Airtay,50974028,R2751,Grounds Maintenance Non Contract,1335.00,26/02/2016,Communities,,,,
INSERTED DETAIL,230304,AKD Solutions Ltd,50955669,R1101,Agency Staff Pay,5399.44,12/02/2016,Resources,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50974385,R5806,Residential Care (Adults),2700.00,22/02/2016,People Group,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50974385,R5806,Residential Care (Adults),3820.00,22/02/2016,People Group,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50974385,R5806,Residential Care (Adults),2489.52,22/02/2016,People Group,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50974673,R5806,Residential Care (Adults),1813.68,22/02/2016,People Group,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50974673,R5806,Residential Care (Adults),1973.68,22/02/2016,People Group,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50974673,R5806,Residential Care (Adults),2213.68,22/02/2016,People Group,,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50958782,R5604,Commissioned Works,20000.00,01/02/2016,People Group,,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50972992,R6107,SEN Statements Funding - Non-Maintained Schools,1620.00,18/02/2016,People Group,,,,
INSERTED DETAIL,221172,Alcester Health Centre,50970161,R5702,Payments to External Contractors,3007.25,15/02/2016,Communities,,,,
INSERTED DETAIL,221172,Alcester Health Centre,50978571,R5702,Payments to External Contractors,786.87,29/02/2016,Communities,,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,50972259,R6106,Private Providers - Early Years Funding,19134.10,22/02/2016,People Group,,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,50977403,R6106,Private Providers - Early Years Funding,6152.85,29/02/2016,People Group,,,,
INSERTED DETAIL,999982,Alcester Olympic Committee,50963201,R5501,Grants to Organisations & Voluntary Bodies,1000.00,05/02/2016,Communities,,,,
INSERTED DETAIL,200240,Alcohol Concern,50962899,R4612,Projects,3500.00,11/02/2016,Communities,,,,
INSERTED DETAIL,200240,Alcohol Concern,50966214,R4311,Publicity,10995.00,18/02/2016,Communities,,,,
,,ALDERSON LAW LLP,P-Card,,,715.00,16/02/2016,,,,,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50973088,R4409,Consultancy,1801.30,18/02/2016,Resources,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50974387,R5806,Residential Care (Adults),10707.72,22/02/2016,People Group,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50974387,R5806,Residential Care (Adults),3219.34,22/02/2016,People Group,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50974387,R5806,Residential Care (Adults),1840.68,22/02/2016,People Group,,,,
INSERTED DETAIL,100435,Allambie Enterprises,50974388,R5806,Residential Care (Adults),1562.52,22/02/2016,People Group,,,,
INSERTED DETAIL,230366,Allen & York,50954608,R5801,Other Child Care,6871.20,25/02/2016,Resources,,,,
INSERTED DETAIL,207709,Allen Ford,50973357,R3010,Purchase Of Vehicles,7500.00,18/02/2016,Communities,,,,
INSERTED DETAIL,200276,Alliance Foster Care Ltd,50961519,R5822,Foster Care Payments - External,5314.33,05/02/2016,People Group,,,,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,50962728,R3005,Fuel,30903.49,03/02/2016,Communities,,,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,50974678,R5806,Residential Care (Adults),1852.00,22/02/2016,People Group,,,,
INSERTED DETAIL,228232,Altum Residential Care Ltd,50975356,R5848,Residential Care (Children),18150.00,24/02/2016,People Group,,,,
INSERTED DETAIL,200291,Alveston Cygnets,50972257,R6106,Private Providers - Early Years Funding,3350.78,22/02/2016,People Group,,,,
INSERTED DETAIL,200291,Alveston Cygnets,50977359,R6106,Private Providers - Early Years Funding,1551.82,29/02/2016,People Group,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50974391,R5806,Residential Care (Adults),-2673.71,22/02/2016,People Group,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50974391,R5806,Residential Care (Adults),7338.57,22/02/2016,People Group,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50974391,R5806,Residential Care (Adults),1843.88,22/02/2016,People Group,,,,
INSERTED DETAIL,221048,Alzheimer's Society,50954655,R5807,SLA Social Care Provision,43633.00,12/02/2016,People Group,,,,
INSERTED DETAIL,229252,AMION Consulting Ltd t/a AMION Consulting,50958050,R4409,Consultancy,11000.00,19/02/2016,Communities,,,,
INSERTED DETAIL,227709,Am-R-Az Llp T/A Bluebird Care,50964989,R5805,Homecare - External Domiciliary (Adults),7340.80,05/02/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50947685,R5805,Homecare - External Domiciliary (Adults),1235.05,05/02/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50947692,R5805,Homecare - External Domiciliary (Adults),500.94,05/02/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50947691,R5805,Homecare - External Domiciliary (Adults),805.86,05/02/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50971354,R5805,Homecare - External Domiciliary (Adults),1393.92,19/02/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50960605,R5805,Homecare - External Domiciliary (Adults),609.84,19/02/2016,People Group,,,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50950842,R5805,Homecare - External Domiciliary (Adults),1411.20,03/02/2016,People Group,,,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50962497,R5805,Homecare - External Domiciliary (Adults),1411.20,24/02/2016,People Group,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50955393,R4443,Professional Fees Admin,560.00,12/02/2016,Resources,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50959742,R4443,Professional Fees Admin,715.00,24/02/2016,Resources,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50959736,R4443,Professional Fees Admin,560.00,24/02/2016,Resources,,,,
INSERTED DETAIL,221113,Ani-Chem Ltd t/a Lister Chemists,50970704,R5702,Payments to External Contractors,677.72,19/02/2016,Communities,,,,
INSERTED DETAIL,999982,Ansley Parish Council,50962026,R5501,Grants to Organisations & Voluntary Bodies,1400.00,03/02/2016,Communities,,,,
INSERTED DETAIL,228603,Antalis Ltd,50958571,R4317,Print Operational Costs,689.52,02/02/2016,Resources,,,,
INSERTED DETAIL,200389,Apetito Ltd,50959037,R5809,Adult Social Care Contracts,16000.75,01/02/2016,People Group,,,,
INSERTED DETAIL,200389,Apetito Ltd,50963910,R5809,Adult Social Care Contracts,16079.24,12/02/2016,People Group,,,,
INSERTED DETAIL,200389,Apetito Ltd,50959076,R5809,Adult Social Care Contracts,-535.50,12/02/2016,People Group,,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,50972337,R6106,Private Providers - Early Years Funding,10223.71,22/02/2016,People Group,,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,50977333,R6106,Private Providers - Early Years Funding,7053.75,29/02/2016,People Group,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,50962951,R5805,Homecare - External Domiciliary (Adults),1133.44,12/02/2016,People Group,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,50962954,R5805,Homecare - External Domiciliary (Adults),888.72,12/02/2016,People Group,,,,
INSERTED DETAIL,200397,Apse,50967604,R4601,Conferences,1172.01,18/02/2016,Resources,,,,
INSERTED DETAIL,999982,Aqueous,50963206,R5501,Grants to Organisations & Voluntary Bodies,500.00,05/02/2016,Communities,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50968584,R2022,Building (LB),1790.33,10/02/2016,Resources,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50971773,R2022,Building (LB),734.32,24/02/2016,Resources,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50971777,R2022,Building (LB),2903.42,24/02/2016,Resources,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50970446,R2022,Building (LB),679.50,24/02/2016,Resources,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50971816,R2024,Electrical (LE),1037.88,24/02/2016,Resources,,,,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50952499,R2204,Room Hire - External,1610.00,10/02/2016,Communities,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50949239,R4049,White Goods/Domestic Appliances,1153.27,03/02/2016,Resources,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50953899,R4049,White Goods/Domestic Appliances,1163.24,09/02/2016,Resources,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50958495,R4049,White Goods/Domestic Appliances,1138.55,16/02/2016,Resources,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50961604,R4049,White Goods/Domestic Appliances,556.82,16/02/2016,Resources,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50972921,R4049,White Goods/Domestic Appliances,2045.88,26/02/2016,Resources,,,,
INSERTED DETAIL,228944,Arnold Lodge Prepcare Nursery,50972276,R6106,Private Providers - Early Years Funding,2544.69,22/02/2016,People Group,,,,
INSERTED DETAIL,999982,Arrhythmia Alliance,50963876,R5501,Grants to Organisations & Voluntary Bodies,2300.00,05/02/2016,Communities,,,,
INSERTED DETAIL,999982,Artistsworkshouse,50963856,R5501,Grants to Organisations & Voluntary Bodies,3000.00,05/02/2016,Communities,,,,
INSERTED DETAIL,221634,ASDA Pharmacy,50970713,R5702,Payments to External Contractors,634.15,19/02/2016,Communities,,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50961547,R5604,Commissioned Works,882.05,01/02/2016,People Group,,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50958783,R5604,Commissioned Works,20000.00,01/02/2016,People Group,,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50971208,R5604,Commissioned Works,1728.00,16/02/2016,People Group,,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50972968,R6107,SEN Statements Funding - Non-Maintained Schools,7024.00,18/02/2016,People Group,,,,
INSERTED DETAIL,200465,Ashleigh Nursery School,50972326,R6106,Private Providers - Early Years Funding,14774.94,22/02/2016,People Group,,,,
INSERTED DETAIL,200465,Ashleigh Nursery School,50977410,R6106,Private Providers - Early Years Funding,9021.37,29/02/2016,People Group,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50961540,R4058,Books,2891.41,01/02/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50968533,R4058,Books,13855.32,10/02/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50955652,R4058,Books,693.17,12/02/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50971122,R4058,Books,10071.87,16/02/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50975010,R4058,Books,15990.75,23/02/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50978807,R4058,Books,5631.63,29/02/2016,Resources,,,,
INSERTED DETAIL,226763,Aspect Care Home Ltd,50974399,R5806,Residential Care (Adults),2906.52,22/02/2016,People Group,,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),50970145,R5702,Payments to External Contractors,1383.24,15/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50949558,R1101,Agency Staff Pay,642.60,05/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50949558,R1101,Agency Staff Pay,7004.34,05/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50949565,R1101,Agency Staff Pay,6523.20,05/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50954801,R4409,Consultancy,2970.00,10/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50962035,R4409,Consultancy,6183.00,10/02/2016,Resources,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50954803,R4409,Consultancy,3575.00,10/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50964418,R4409,Consultancy,6900.00,11/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50957921,R1101,Agency Staff Pay,6052.00,15/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50957924,R1101,Agency Staff Pay,7528.09,15/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50957779,R1101,Agency Staff Pay,604.02,17/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50957779,R1101,Agency Staff Pay,12732.42,17/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50957756,R1101,Agency Staff Pay,6122.80,17/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50958489,R4443,Professional Fees Admin,1850.00,18/02/2016,Resources,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50972103,R1101,Agency Staff Pay,9438.68,19/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50971793,R4409,Consultancy,5000.00,19/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50971830,R1101,Agency Staff Pay,4219.92,19/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50961670,R1101,Agency Staff Pay,5914.28,19/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50960166,R1101,Agency Staff Pay,10075.44,19/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50960175,R1101,Agency Staff Pay,6046.78,19/02/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50961022,R4409,Consultancy,8100.00,23/02/2016,Resources,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50968936,R4409,Consultancy,7900.00,26/02/2016,Communities,,,,
INSERTED DETAIL,999982,Atrial Fibrillation Association,50963182,R5501,Grants to Organisations & Voluntary Bodies,2600.00,05/02/2016,Communities,,,,
INSERTED DETAIL,200516,Austrey Pre School,50972344,R6106,Private Providers - Early Years Funding,5312.91,22/02/2016,People Group,,,,
INSERTED DETAIL,200516,Austrey Pre School,50977326,R6106,Private Providers - Early Years Funding,898.42,29/02/2016,People Group,,,,
INSERTED DETAIL,200517,Autism Care UK,50968277,R5805,Homecare - External Domiciliary (Adults),1734.20,10/02/2016,People Group,,,,
INSERTED DETAIL,200517,Autism Care UK,50974287,R5805,Homecare - External Domiciliary (Adults),1734.20,19/02/2016,People Group,,,,
INSERTED DETAIL,100008,Autism West Midlands,50974573,R5806,Residential Care (Adults),4012.00,22/02/2016,People Group,,,,
INSERTED DETAIL,100007,Autism West Midlands,50974401,R5806,Residential Care (Adults),8162.76,22/02/2016,People Group,,,,
INSERTED DETAIL,100001,Autism West Midlands,50974402,R5806,Residential Care (Adults),4023.32,22/02/2016,People Group,,,,
INSERTED DETAIL,200521,Automatic Doors Ltd,50973138,R2001,Buildings Maintenance,2197.78,26/02/2016,Communities,,,,
INSERTED DETAIL,226378,Avalon Court Care Centre (Restful Homes Group),50974403,R5806,Residential Care (Adults),3400.00,22/02/2016,People Group,,,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50974381,R5806,Residential Care (Adults),5751.56,22/02/2016,People Group,,,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50974381,R5806,Residential Care (Adults),14129.64,22/02/2016,People Group,,,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50974381,R5806,Residential Care (Adults),1635.72,22/02/2016,People Group,,,,
