,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50982786,R5822,Foster Care Payments - External,3314.79,01/04/2016,People Group,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50985115,R5822,Foster Care Payments - External,3100.93,01/04/2016,People Group,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50985099,R5822,Foster Care Payments - External,3314.79,01/04/2016,People Group,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50982798,R5822,Foster Care Payments - External,3100.93,01/04/2016,People Group,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50982785,R5822,Foster Care Payments - External,3100.93,01/04/2016,People Group,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50982794,R5822,Foster Care Payments - External,3314.79,01/04/2016,People Group,,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,50981368,R1101,Agency Staff Pay,1095.00,01/04/2016,Schools,,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,50986789,R1101,Agency Staff Pay,975.00,07/04/2016,Schools,,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,50988797,R1101,Agency Staff Pay,1085.00,13/04/2016,Schools,,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,50995270,R1101,Agency Staff Pay,975.00,20/04/2016,Schools,,,,,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51003484,R5818,Community Services External,4360.50,15/04/2016,People Group,,,,,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51003479,R5818,Community Services External,4043.22,15/04/2016,People Group,,,,,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51010183,R5818,Community Services External,4261.85,22/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50996403,R6107,SEN Statements Funding - Non-Maintained Schools,11197.33,01/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992616,R6107,SEN Statements Funding - Non-Maintained Schools,11933.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992654,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992653,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992649,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992638,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992637,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992632,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992630,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992627,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992591,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992599,R6107,SEN Statements Funding - Non-Maintained Schools,12162.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992600,R6107,SEN Statements Funding - Non-Maintained Schools,13148.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992603,R6107,SEN Statements Funding - Non-Maintained Schools,12162.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992604,R6107,SEN Statements Funding - Non-Maintained Schools,11482.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992606,R6107,SEN Statements Funding - Non-Maintained Schools,12490.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992607,R6107,SEN Statements Funding - Non-Maintained Schools,12188.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992609,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992613,R6107,SEN Statements Funding - Non-Maintained Schools,15400.67,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992666,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50992665,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,08/04/2016,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50986146,R5822,Foster Care Payments - External,2846.14,01/04/2016,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50986145,R5822,Foster Care Payments - External,2208.14,01/04/2016,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50993849,R5822,Foster Care Payments - External,3324.75,15/04/2016,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50993844,R5822,Foster Care Payments - External,3542.86,15/04/2016,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50997774,R5822,Foster Care Payments - External,2360.43,22/04/2016,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50997772,R5822,Foster Care Payments - External,3042.43,22/04/2016,People Group,,,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,50990097,R6106,Private Providers - Early Years Funding,14938.25,04/04/2016,People Group,,,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,51008942,R6106,Private Providers - Early Years Funding,2670.53,25/04/2016,People Group,,,,,
INSERTED DETAIL,228714,Acorns Children's Hospice Trust,50993692,R6104,Social Care - Section 17 Payments,945.00,13/04/2016,People Group,,,,,
INSERTED DETAIL,228714,Acorns Children's Hospice Trust,50993699,R6104,Social Care - Section 17 Payments,945.00,13/04/2016,People Group,,,,,
INSERTED DETAIL,200150,Act On Energy,50991616,R5702,Payments to External Contractors,24972.50,13/04/2016,Communities,,,,,
INSERTED DETAIL,211087,Action Centres Uk Ltd,51011451,R4915,Educational Visits Expenditure,5010.94,26/04/2016,Schools,,,,,
INSERTED DETAIL,219696,Action Deafness Ltd,50994866,R5810,Adult Day Care,714.80,20/04/2016,People Group,,,,,
INSERTED DETAIL,219696,Action Deafness Ltd,50988273,R5810,Adult Day Care,540.00,20/04/2016,People Group,,,,,
INSERTED DETAIL,219696,Action Deafness Ltd,50994901,R5810,Adult Day Care,557.60,20/04/2016,People Group,,,,,
INSERTED DETAIL,219696,Action Deafness Ltd,50994894,R5810,Adult Day Care,539.20,20/04/2016,People Group,,,,,
INSERTED DETAIL,215891,Action For Children (****6746),50997873,R5848,Residential Care (Children),50625.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,215891,Action For Children (****6746),51008571,R5203,Inter Authority Payments,1833.00,20/04/2016,People Group,,,,,
INSERTED DETAIL,209841,Active Uk t/a Activcameras,50998599,R4009,Equipment - Audio/Visual,1850.00,08/04/2016,Fire and Rescue,,,,,
INSERTED DETAIL,209841,Active Uk t/a Activcameras,50998597,R4019,Fire Equipment Purchase,675.00,08/04/2016,Fire and Rescue,,,,,
INSERTED DETAIL,220313,Adana Management Group Ltd,50981011,R1101,Agency Staff Pay,2282.17,01/04/2016,Resources,,,,,
INSERTED DETAIL,220313,Adana Management Group Ltd,51000340,R1101,Agency Staff Pay,2287.35,29/04/2016,Resources,,,,,
INSERTED DETAIL,209747,Adare Ltd,50987453,R4309,Postage & Carriage,3621.82,08/04/2016,Resources,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51001077,R4701,Grants To External Organisations,3000.00,06/04/2016,Communities,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51002397,R4612,Projects,43571.01,12/04/2016,Communities,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51002327,R4612,Projects,40898.91,12/04/2016,Communities,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51004034,R5702,Payments to External Contractors,24480.58,15/04/2016,Communities,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51008731,R4612,Projects,38638.77,20/04/2016,Communities,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51006925,R5806,Residential Care (Adults),2125.84,18/04/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51006925,R5806,Residential Care (Adults),1667.27,18/04/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51006925,R5806,Residential Care (Adults),5316.00,18/04/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51006925,R5806,Residential Care (Adults),1885.84,18/04/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51006925,R5806,Residential Care (Adults),2840.00,18/04/2016,People Group,,,,,
INSERTED DETAIL,200172,Adept,51007490,R4702,Subscriptions To Organisations,1700.00,21/04/2016,Other Services,,,,,
INSERTED DETAIL,999982,Admiral Insurance,51002924,R4928,Casualty Insurance Claims,2915.41,07/04/2016,Other Services,,,,,
INSERTED DETAIL,229276,Adrian Deacon t/a A J Decorations,50997108,R2001,Buildings Maintenance,2400.00,22/04/2016,Communities,,,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,51005970,R5805,Homecare - External Domiciliary (Adults),708.40,22/04/2016,People Group,,,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,51007830,R5805,Homecare - External Domiciliary (Adults),708.40,28/04/2016,People Group,,,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,51007823,R5805,Homecare - External Domiciliary (Adults),784.00,28/04/2016,People Group,,,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,51008596,R5805,Homecare - External Domiciliary (Adults),784.00,29/04/2016,People Group,,,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,51011053,R5805,Homecare - External Domiciliary (Adults),896.00,29/04/2016,People Group,,,,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,51007068,R5806,Residential Care (Adults),3844.26,18/04/2016,People Group,,,,,
INSERTED DETAIL,229959,AE Fisheries,51005598,R4612,Projects,4010.00,22/04/2016,Communities,,,,,
,,AERLING     2GFQHJ MEA,P-Card,,,931.80 ,18/04/2016,,,,,,
INSERTED DETAIL,200201,Age UK - Warks,50996500,R5807,SLA Social Care Provision,615.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,50996498,R5807,SLA Social Care Provision,4620.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,50996489,R5807,SLA Social Care Provision,4620.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,50996488,R5807,SLA Social Care Provision,510.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,50996505,R5807,SLA Social Care Provision,1848.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51007474,R5809,Adult Social Care Contracts,1118.00,25/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51009662,R5807,SLA Social Care Provision,4615.00,29/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51009658,R5807,SLA Social Care Provision,4615.00,29/04/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51009675,R5807,SLA Social Care Provision,1846.00,29/04/2016,People Group,,,,,
INSERTED DETAIL,999982,Ageas Insurance Ltd,51009520,R4928,Casualty Insurance Claims,598.60,21/04/2016,Other Services,,,,,
INSERTED DETAIL,200211,Airtay,50997619,R2751,Grounds Maintenance Non Contract,9327.00,07/04/2016,Communities,,,,,
INSERTED DETAIL,200211,Airtay,50997621,R2751,Grounds Maintenance Non Contract,4675.00,07/04/2016,Communities,,,,,
INSERTED DETAIL,200211,Airtay,50997620,R2751,Grounds Maintenance Non Contract,4865.00,07/04/2016,Communities,,,,,
INSERTED DETAIL,200211,Airtay,50997876,R2751,Grounds Maintenance Non Contract,1740.00,08/04/2016,Communities,,,,,
INSERTED DETAIL,200211,Airtay,50997877,R2751,Grounds Maintenance Non Contract,2700.00,08/04/2016,Communities,,,,,
INSERTED DETAIL,200211,Airtay,50997878,R4612,Projects,4712.00,08/04/2016,Communities,,,,,
INSERTED DETAIL,200211,Airtay,50997940,R4612,Projects,4712.00,08/04/2016,Communities,,,,,
INSERTED DETAIL,200223,Alan Robinson Property Rental,51001092,R2201,Rent,4125.00,22/04/2016,Resources,,,,,
INSERTED DETAIL,219600,Albatross Arts Project (Geese Theatre Company),50997314,R1601,Training - External,3000.00,22/04/2016,People Group,,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51006927,R5806,Residential Care (Adults),2700.00,18/04/2016,People Group,,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51006927,R5806,Residential Care (Adults),3841.60,18/04/2016,People Group,,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51006927,R5806,Residential Care (Adults),2525.20,18/04/2016,People Group,,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51007215,R5806,Residential Care (Adults),2248.66,18/04/2016,People Group,,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51007215,R5806,Residential Care (Adults),1848.66,18/04/2016,People Group,,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51007215,R5806,Residential Care (Adults),2008.67,18/04/2016,People Group,,,,,
INSERTED DETAIL,208344,Alcatel Lucent Telecom Ltd,50999700,R4512,Software,8332.00,08/04/2016,Resources,,,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,51008056,R6107,SEN Statements Funding - Non-Maintained Schools,1680.00,19/04/2016,People Group,,,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,50990069,R6106,Private Providers - Early Years Funding,26844.74,04/04/2016,People Group,,,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,51008889,R6106,Private Providers - Early Years Funding,3217.50,25/04/2016,People Group,,,,,
INSERTED DETAIL,213559,Alcester Town Council,50997975,R5702,Payments to External Contractors,70000.00,01/04/2016,Communities,,,,,
INSERTED DETAIL,200238,Alcium Software Ltd,51010688,R4512,Software,4500.00,22/04/2016,Communities,,,,,
INSERTED DETAIL,220516,Alere Ltd (****7108),50988576,R5702,Payments to External Contractors,36000.00,13/04/2016,Communities,,,,,
INSERTED DETAIL,211989,Alex Forbes,50992783,R4443,Professional Fees Admin,3175.00,15/04/2016,Resources,,,,,
INSERTED DETAIL,999982,Alisha Miller (Friends of Weddington Primary School),51003552,R5501,Grants to Organisations & Voluntary Bodies,850.00,13/04/2016,Communities,,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51006928,R5806,Residential Care (Adults),1894.30,18/04/2016,People Group,,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51006928,R5806,Residential Care (Adults),3743.62,18/04/2016,People Group,,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51006928,R5806,Residential Care (Adults),12741.56,18/04/2016,People Group,,,,,
INSERTED DETAIL,100435,Allambie Enterprises,51006929,R5806,Residential Care (Adults),1562.52,18/04/2016,People Group,,,,,
,,ALLEN FORD - BEDFORD R,P-Card,,,757.21 ,25/04/2016,,,,,,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,51000776,R3005,Fuel,30653.03,08/04/2016,Communities,,,,,
INSERTED DETAIL,218476,Alpha Biolaboratories Ltd,50987962,R4443,Professional Fees Admin,548.00,08/04/2016,Resources,,,,,
INSERTED DETAIL,218476,Alpha Biolaboratories Ltd,50996277,R4443,Professional Fees Admin,690.00,11/04/2016,Resources,,,,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,51007219,R5806,Residential Care (Adults),1852.00,18/04/2016,People Group,,,,,
INSERTED DETAIL,228232,Altum Residential Care Ltd,50985074,R5848,Residential Care (Children),10771.47,07/04/2016,People Group,,,,,
INSERTED DETAIL,228232,Altum Residential Care Ltd,51000129,R5848,Residential Care (Children),12257.19,21/04/2016,People Group,,,,,
INSERTED DETAIL,200291,Alveston Cygnets,50990080,R6106,Private Providers - Early Years Funding,15629.29,04/04/2016,People Group,,,,,
INSERTED DETAIL,200291,Alveston Cygnets,51008879,R6106,Private Providers - Early Years Funding,1351.35,25/04/2016,People Group,,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51006932,R5806,Residential Care (Adults),1879.44,18/04/2016,People Group,,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51006932,R5806,Residential Care (Adults),5031.96,18/04/2016,People Group,,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51006932,R5806,Residential Care (Adults),3635.56,18/04/2016,People Group,,,,,
INSERTED DETAIL,228484,Amanda J Lamb Associates Ltd,50982976,R4409,Consultancy,3470.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50994433,R4409,Consultancy,10900.25,20/04/2016,Resources,,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50994431,R4409,Consultancy,8524.00,20/04/2016,Resources,,,,,
INSERTED DETAIL,200305,Amillan Ltd,51000068,R4501,Communications Costs,17682.41,08/04/2016,Resources,,,,,
INSERTED DETAIL,200305,Amillan Ltd,51010324,R4514,Telephone Rental,-6750.00,29/04/2016,Communities,,,,,
INSERTED DETAIL,200305,Amillan Ltd,51010316,R4514,Telephone Rental,9000.00,29/04/2016,Communities,,,,,
INSERTED DETAIL,227709,Am-R-Az Llp T/A Bluebird Care,50997965,R5805,Homecare - External Domiciliary (Adults),11160.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,227709,Am-R-Az Llp T/A Bluebird Care,51000923,R5805,Homecare - External Domiciliary (Adults),4620.00,19/04/2016,People Group,,,,,
INSERTED DETAIL,230657,Anderson Tree Specialists Ltd,50996804,R2752,Grounds Maintenance Contract,1800.00,22/04/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50986263,R5805,Homecare - External Domiciliary (Adults),1481.04,01/04/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50995143,R5805,Homecare - External Domiciliary (Adults),1393.92,13/04/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50995144,R5805,Homecare - External Domiciliary (Adults),1372.14,13/04/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50995159,R5805,Homecare - External Domiciliary (Adults),508.20,13/04/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51006025,R5805,Homecare - External Domiciliary (Adults),813.12,29/04/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51006021,R5805,Homecare - External Domiciliary (Adults),755.04,29/04/2016,People Group,,,,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50995206,R5805,Homecare - External Domiciliary (Adults),1411.20,15/04/2016,People Group,,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50985095,R4426,Medical Fees - Clients,870.00,01/04/2016,People Group,,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50985126,R4443,Professional Fees Admin,645.00,07/04/2016,Resources,,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,51006643,R4043,Samples,2130.00,27/04/2016,People Group,,,,,
INSERTED DETAIL,200351,Angloco Ltd,51000015,R4019,Fire Equipment Purchase,747.50,01/04/2016,Fire and Rescue,,,,,
INSERTED DETAIL,200351,Angloco Ltd,50998598,R4019,Fire Equipment Purchase,1200.00,08/04/2016,Fire and Rescue,,,,,
INSERTED DETAIL,200387,Anyhour Cars,51002654,R3204,Home To School / College Transport,1120.00,07/04/2016,Communities,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51002625,R5809,Adult Social Care Contracts,-652.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51002638,R5809,Adult Social Care Contracts,16816.49,15/04/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51002639,R5809,Adult Social Care Contracts,529.75,15/04/2016,People Group,,,,,
INSERTED DETAIL,200393,Apollo Distribution Solutions,51014238,R4309,Postage & Carriage,596.45,29/04/2016,Other Services,,,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,50990104,R6106,Private Providers - Early Years Funding,12012.35,04/04/2016,People Group,,,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,51008916,R6106,Private Providers - Early Years Funding,2895.75,25/04/2016,People Group,,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51005755,R5805,Homecare - External Domiciliary (Adults),830.76,22/04/2016,People Group,,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51005761,R5805,Homecare - External Domiciliary (Adults),1159.20,22/04/2016,People Group,,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51007805,R5805,Homecare - External Domiciliary (Adults),927.36,28/04/2016,People Group,,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51007810,R5805,Homecare - External Domiciliary (Adults),1159.20,28/04/2016,People Group,,,,,
INSERTED DETAIL,200397,Apse,51006534,R4702,Subscriptions To Organisations,3355.00,15/04/2016,Resources,,,,,
INSERTED DETAIL,200398,Apt Controls Ltd,51012337,R5702,Payments to External Contractors,1936.50,27/04/2016,Communities,,,,,
INSERTED DETAIL,200398,Apt Controls Ltd,51012340,R5702,Payments to External Contractors,1936.50,27/04/2016,Communities,,,,,
INSERTED DETAIL,230708,Aquila Training Services Ltd,50995982,R5702,Payments to External Contractors,544.50,22/04/2016,Communities,,,,,
INSERTED DETAIL,230535,Archway Community College (Academy),50987363,R6107,SEN Statements Funding - Non-Maintained Schools,2948.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,230535,Archway Community College (Academy),50986222,R6107,SEN Statements Funding - Non-Maintained Schools,2948.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,230535,Archway Community College (Academy),50986220,R6107,SEN Statements Funding - Non-Maintained Schools,2211.00,08/04/2016,People Group,,,,,
INSERTED DETAIL,228116,Archways Care Ltd,50987930,R5848,Residential Care (Children),9554.28,08/04/2016,People Group,,,,,
INSERTED DETAIL,228116,Archways Care Ltd,50987921,R5848,Residential Care (Children),4777.14,08/04/2016,People Group,,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51003385,C1030,"New Construction, Conversion & Renovation",30404.12,18/04/2016,Capital,,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51004503,R2022,Building (LB),1257.29,18/04/2016,Resources,,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51004659,R2022,Building (LB),2895.50,19/04/2016,Resources,,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51003379,C1030,"New Construction, Conversion & Renovation",42626.84,19/04/2016,Capital,,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51007832,C1030,"New Construction, Conversion & Renovation",28139.11,26/04/2016,Capital,,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51007833,C1030,"New Construction, Conversion & Renovation",55018.77,26/04/2016,Capital,,,,,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50996893,R2204,Room Hire - External,2300.00,21/04/2016,Communities,,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50995021,R4049,White Goods/Domestic Appliances,505.81,05/04/2016,Resources,,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50998776,R4049,White Goods/Domestic Appliances,1581.49,13/04/2016,Resources,,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51001957,R4049,White Goods/Domestic Appliances,-2988.36,29/04/2016,Resources,,,,,
