Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,
228232,Altum Residential Care Ltd,50799256,R5848,Residential Care (Children),19264.33,28/04/2015,People Group,,,,
200291,Alveston Cygnets Education and Childcare,50791302,R6106,Private Providers - Early Years Funding,13056.26,13/04/2015,People Group,,,,
100136,Alveston Leys Nursing Home,50805791,R5809,Adult Social Care Contracts,12800.00,16/04/2015,People Group,,,,
100136,Alveston Leys Nursing Home,50809168,R5809,Adult Social Care Contracts,12800.00,24/04/2015,People Group,,,,
100136,Alveston Leys Nursing Home,50809926,R5806,Residential Care (Adults),1939.88,20/04/2015,People Group,,,,
100136,Alveston Leys Nursing Home,50809926,R5806,Residential Care (Adults),3670.92,20/04/2015,People Group,,,,
100136,Alveston Leys Nursing Home,50809926,R5806,Residential Care (Adults),8995.64,20/04/2015,People Group,,,,
221048,Alzheimer's Society,50799253,R4612,Projects,1000.00,22/04/2015,Communities,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50803966,R4409,Consultancy,1273.63,09/04/2015,Resources,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50803967,R4409,Consultancy,2318.95,10/04/2015,Resources,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50803968,R4409,Consultancy,5274.32,10/04/2015,Resources,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50804648,C1050,External Fees,2306.87,13/04/2015,Capital,,,,
200317,Andrell Education,50815210,R1601,Training - External,900.00,29/04/2015,Schools,,,,
200335,Andrews Sykes Hire Ltd (****3412),50815651,R2751,Grounds Maintenance Non Contract,576.66,29/04/2015,Communities,,,,
227027,Angels Healthcare Ltd,50806283,R5805,Homecare - External Domiciliary (Adults),1260.00,14/04/2015,People Group,,,,
227027,Angels Healthcare Ltd,50809765,R5805,Homecare - External Domiciliary (Adults),1411.20,20/04/2015,People Group,,,,
200349,Anglia D N A Services Ltd,50799069,R4426,Medical Fees - Clients,580.00,01/04/2015,People Group,,,,
200349,Anglia D N A Services Ltd,50805298,R4443,Professional Fees Admin,525.00,13/04/2015,Resources,,,,
200349,Anglia D N A Services Ltd,50805301,R4443,Professional Fees Admin,657.00,24/04/2015,Resources,,,,
221113,Ani-Chem Ltd t/a Lister Chemists,50806632,R5702,Payments to External Contractors,952.18,17/04/2015,Communities,,,,
200389,Apetito Ltd,50812289,R5809,Adult Social Care Contracts,16072.98,30/04/2015,People Group,,,,
200389,Apetito Ltd,50812316,R5809,Adult Social Care Contracts,-527.00,30/04/2015,People Group,,,,
210713,Apple Grove Day Nursery,50791508,R6106,Private Providers - Early Years Funding,6616.35,13/04/2015,People Group,,,,
210713,Apple Grove Day Nursery,50811283,R6106,Private Providers - Early Years Funding,3378.38,27/04/2015,People Group,,,,
215154,Applewood Support Ltd,50804920,R5805,Homecare - External Domiciliary (Adults),1123.20,13/04/2015,People Group,,,,
215154,Applewood Support Ltd,50812425,R5805,Homecare - External Domiciliary (Adults),1896.96,23/04/2015,People Group,,,,
,Applewood Support Ltd,CHAPS,R5805,Homecare - External Domiciliary (Adults)," 24,798.90 ",23/04/2015,People Group - Social Care & Support,,,,
200397,Apse,50807881,R4409,Consultancy,1300.00,16/04/2015,Resources,,,,
200397,Apse,50807882,R4409,Consultancy,1444.71,17/04/2015,Resources,,,,
200397,Apse,50808024,R4702,Subscriptions To Organisations,3276.00,29/04/2015,Resources,,,,
209592,Archaeological Surveys Ltd,50799288,R4409,Consultancy,1400.00,24/04/2015,Communities,,,,
215964,Archer & Bishop Fencing Contractors,50801326,R2751,Grounds Maintenance Non Contract,2622.00,27/04/2015,Communities,,,,
200417,Arco Ltd,50803635,R4019,Fire Equipment Purchase,1142.80,08/04/2015,Fire and Rescue,,,,
200419,Arden Construction Ltd,50801231,R2022,Building (LB),1199.87,01/04/2015,Resources,,,,
200419,Arden Construction Ltd,50809123,C1030,"New Construction, Conversion & Renovation",535.55,17/04/2015,Capital,,,,
200419,Arden Construction Ltd,50809124,C1030,"New Construction, Conversion & Renovation",677.24,17/04/2015,Capital,,,,
200419,Arden Construction Ltd,50810455,C1030,"New Construction, Conversion & Renovation",692.12,21/04/2015,Capital,,,,
200419,Arden Construction Ltd,50812090,C1030,"New Construction, Conversion & Renovation",14397.96,24/04/2015,Capital,,,,
200419,Arden Construction Ltd,50812092,R2022,Building (LB),2314.17,24/04/2015,Resources,,,,
200419,Arden Construction Ltd,50812540,R2022,Building (LB),18968.65,24/04/2015,Resources,,,,
200419,Arden Construction Ltd,50813171,C1030,"New Construction, Conversion & Renovation",22413.35,29/04/2015,Capital,,,,
200419,Arden Construction Ltd,50813172,C1030,"New Construction, Conversion & Renovation",28009.80,29/04/2015,Capital,,,,
200419,Arden Construction Ltd,50813515,C1030,"New Construction, Conversion & Renovation",119038.09,29/04/2015,Capital,,,,
200419,Arden Construction Ltd,50815548,C1030,"New Construction, Conversion & Renovation",30107.70,29/04/2015,Capital,,,,
200419,Arden Construction Ltd,50815549,C1030,"New Construction, Conversion & Renovation",7140.20,29/04/2015,Capital,,,,
226768,Arden Leisure Ltd t/a Studley Sports Centre,50788171,R2204,Room Hire - External,920.00,01/04/2015,Communities,,,,
221152,Arden Medical Centre (F8112),50814121,R5702,Payments to External Contractors,612.01,29/04/2015,Communities,,,,
228078,Ardo Medical Ltd,50794575,R5702,Payments to External Contractors,675.00,17/04/2015,Communities,,,,
200429,Argos Business Solutions Ltd (****9518),50797596,R4049,White Goods/Domestic Appliances,1915.16,02/04/2015,Resources,,,,
209410,Argraff,50801625,R2753,Grounds Maintenance Materials & Equipment,800.00,09/04/2015,Communities,,,,
209410,Argraff,50801636,R2753,Grounds Maintenance Materials & Equipment,800.00,09/04/2015,Communities,,,,
200438,Arnold Lodge  Preparatory School,50791303,R6106,Private Providers - Early Years Funding,10203.88,13/04/2015,People Group,,,,
200439,Arqiva Ltd (****9678),50800303,R4506,IT Support & Maintenance,580.25,10/04/2015,Fire and Rescue,,,,
200441,Arriva Midlands North Ltd (****4814),50808233,R5204,Concessionary Fares,11888.70,23/04/2015,Communities,,,,
228272,Arrow Services (Midlands) Ltd,50794538,R2001,Buildings Maintenance,7715.00,15/04/2015,Schools,,,,
221634,ASDA Pharmacy,50806662,R5702,Payments to External Contractors,921.69,17/04/2015,Communities,,,,
221634,ASDA Pharmacy,50806663,R5702,Payments to External Contractors,1191.31,17/04/2015,Communities,,,,
213431,Ash Green School & Arts College (Academy),50811936,R6107,SEN Statements Funding - Non-Maintained Schools,2172.00,22/04/2015,People Group,,,,
208346,Ashe Construction Ltd,50806375,C1030,"New Construction, Conversion & Renovation",71543.06,20/04/2015,Capital,,,,
208346,Ashe Construction Ltd,50806376,C1030,"New Construction, Conversion & Renovation",88877.34,20/04/2015,Capital,,,,
208346,Ashe Construction Ltd,50806377,C1030,"New Construction, Conversion & Renovation",80739.57,20/04/2015,Capital,,,,
208346,Ashe Construction Ltd,50810478,C1030,"New Construction, Conversion & Renovation",97481.35,24/04/2015,Capital,,,,
208346,Ashe Construction Ltd,50812094,C1030,"New Construction, Conversion & Renovation",371016.35,24/04/2015,Capital,,,,
208346,Ashe Construction Ltd,50813204,C1030,"New Construction, Conversion & Renovation",66765.39,29/04/2015,Capital,,,,
209807,Ashlawn School Academy Trust,50811930,R6107,SEN Statements Funding - Non-Maintained Schools,6460.00,22/04/2015,People Group,,,,
200465,Ashleigh Nursery School,50791304,R6106,Private Providers - Early Years Funding,19407.96,13/04/2015,People Group,,,,
200465,Ashleigh Nursery School,50811121,R6106,Private Providers - Early Years Funding,5791.50,27/04/2015,People Group,,,,
200468,Askews And Holts Library Services Ltd.,50805795,R4058,Books,13998.01,13/04/2015,Resources,,,,
200468,Askews And Holts Library Services Ltd.,50810664,R4058,Books,11359.60,21/04/2015,Resources,,,,
200468,Askews And Holts Library Services Ltd.,50814203,R4058,Books,15300.62,29/04/2015,Resources,,,,
226763,Aspect Care Home Ltd,50809934,R5806,Residential Care (Adults),2000.84,20/04/2015,People Group,,,,
200472,Aspire People Ltd,50787416,R1101,Agency Staff Pay,590.00,02/04/2015,Schools,,,,
200472,Aspire People Ltd,50788749,R1101,Agency Staff Pay,795.00,02/04/2015,Schools,,,,
200472,Aspire People Ltd,50790935,R1101,Agency Staff Pay,1413.00,02/04/2015,Schools,,,,
200472,Aspire People Ltd,50790936,R1101,Agency Staff Pay,925.00,10/04/2015,Schools,,,,
200472,Aspire People Ltd,50792736,R1101,Agency Staff Pay,700.00,10/04/2015,Schools,,,,
200472,Aspire People Ltd,50794438,R1101,Agency Staff Pay,1146.00,10/04/2015,Schools,,,,
200472,Aspire People Ltd,50796039,R1101,Agency Staff Pay,795.00,17/04/2015,Schools,,,,
200472,Aspire People Ltd,50796488,R1101,Agency Staff Pay,925.00,17/04/2015,Schools,,,,
200472,Aspire People Ltd,50800559,R1101,Agency Staff Pay,850.00,24/04/2015,Schools,,,,
200472,Aspire People Ltd,50800682,R1101,Agency Staff Pay,756.00,17/04/2015,Schools,,,,
200472,Aspire People Ltd,50800683,R1101,Agency Staff Pay,1134.00,24/04/2015,Schools,,,,
200472,Aspire People Ltd,50806725,R1101,Agency Staff Pay,925.00,24/04/2015,Schools,,,,
200472,Aspire People Ltd,50811683,R1101,Agency Staff Pay,1290.00,22/04/2015,Schools,,,,
200472,Aspire People Ltd,50811684,R1101,Agency Staff Pay,795.00,22/04/2015,Schools,,,,
214538,Aspire Sports Health & Fitness Ltd,50794582,R4442,Professional Fees Curriculum,725.00,17/04/2015,Schools,,,,
214538,Aspire Sports Health & Fitness Ltd,50794658,R4433,Sport Instruction,570.00,15/04/2015,Schools,,,,
227903,Asset Utilities Ltd.,50799821,R4443,Professional Fees Admin,13500.00,22/04/2015,Resources,,,,
227903,Asset Utilities Ltd.,50799822,R4443,Professional Fees Admin,1125.00,14/04/2015,Resources,,,,
222645,Assuria Ltd,50798205,R4512,Software,9020.00,24/04/2015,Resources,,,,
208290,Atherstone Surgery (Dr Maher & Partners),50814040,R5702,Payments to External Contractors,750.15,29/04/2015,Communities,,,,
208290,Atherstone Surgery (Dr Maher & Partners),50814041,R5702,Payments to External Contractors,2448.04,29/04/2015,Communities,,,,
208290,Atherstone Surgery (Dr Maher & Partners),50815203,R5702,Payments to External Contractors,1500.00,29/04/2015,Communities,,,,
208290,Atherstone Surgery (Dr Maher & Partners),50815296,R5702,Payments to External Contractors,1598.65,29/04/2015,Communities,,,,
208515,Ati Projects Ltd,50799967,R5702,Payments to External Contractors,3121.67,23/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50792760,R4409,Consultancy,5233.06,07/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50793190,R4409,Consultancy,3580.00,08/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50793456,R4409,Consultancy,5000.00,13/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50795697,R1101,Agency Staff Pay,7046.78,10/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50796894,R4409,Consultancy,500.00,15/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50797047,C1030,"New Construction, Conversion & Renovation",22000.00,16/04/2015,Capital,,,,
200502,Atkins Ltd  t/a Faithful Gould,50797063,R1101,Agency Staff Pay,13818.85,10/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50797064,R1101,Agency Staff Pay,5715.86,10/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50799446,R1101,Agency Staff Pay,10602.83,07/04/2015,Resources,,,,
200502,Atkins Ltd  t/a Faithful Gould,50799447,R1101,Agency Staff Pay,5169.90,07/04/2015,Resources,,,,
200502,Atkins Ltd  t/a Faithful Gould,50800210,R1101,Agency Staff Pay,3381.42,02/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50800211,R1101,Agency Staff Pay,5902.96,10/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50800721,R4409,Consultancy,1176.00,21/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50800746,R1101,Agency Staff Pay,50823.35,10/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50800746,R3403,Casual User Mileage,1081.79,10/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50801631,R1101,Agency Staff Pay,6076.87,10/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50801632,R1101,Agency Staff Pay,4730.80,14/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50803647,R5702,Payments to External Contractors,3599.33,20/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50803648,R5702,Payments to External Contractors,6228.93,21/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50803649,R5702,Payments to External Contractors,3397.49,21/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50803650,R5702,Payments to External Contractors,1129.89,24/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50803651,R5702,Payments to External Contractors,2356.98,24/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50805206,R1101,Agency Staff Pay,805.76,13/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50805781,R1101,Agency Staff Pay,15891.02,17/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50809159,R1101,Agency Staff Pay,5236.80,24/04/2015,Communities,,,,
200502,Atkins Ltd  t/a Faithful Gould,50810876,R1101,Agency Staff Pay,7939.55,22/04/2015,Communities,,,,
200505,ATS Euromaster Ltd,50804813,R3004,Repair & Maintenance Of Vehicles,3443.91,13/04/2015,Communities,,,,
200505,ATS Euromaster Ltd,50806301,R3004,Repair & Maintenance Of Vehicles,6498.45,15/04/2015,Communities,,,,
200516,Austrey Pre School,50791305,R6106,Private Providers - Early Years Funding,8204.27,13/04/2015,People Group,,,,
200516,Austrey Pre School,50811122,R6106,Private Providers - Early Years Funding,965.25,27/04/2015,People Group,,,,
200516,Austrey Pre School,50815115,R4606,Pre-School Teachers Flexible Payments,1300.00,29/04/2015,People Group,,,,
100007,Autism West Midlands,50809936,R5806,Residential Care (Adults),8162.76,20/04/2015,People Group,,,,
100001,Autism West Midlands,50809937,R5806,Residential Care (Adults),4096.52,20/04/2015,People Group,,,,
100008,Autism West Midlands,50810119,R5806,Residential Care (Adults),4012.00,20/04/2015,People Group,,,,
,AUTOGEM,P-Card,,,618.00,20/04/2015,,,,,
100431,Avery Homes Nuneaton Ltd,50809915,R5806,Residential Care (Adults),4907.80,20/04/2015,People Group,,,,
100431,Avery Homes Nuneaton Ltd,50809915,R5806,Residential Care (Adults),1635.72,20/04/2015,People Group,,,,
100431,Avery Homes Nuneaton Ltd,50809915,R5806,Residential Care (Adults),14111.25,20/04/2015,People Group,,,,
228022,Aviation Engineering Support Ltd,50805778,R4701,Grants To External Organisations,5098.21,16/04/2015,Communities,,,,
227770,Avon Park Residential Care Home,50809939,R5806,Residential Care (Adults),2200.00,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50806168,R5805,Homecare - External Domiciliary (Adults),599.76,15/04/2015,People Group,,,,
213122,Avon Support Ltd,50812712,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,561.00,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812714,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,594.66,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812716,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,561.00,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812717,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,561.00,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812718,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1065.90,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812719,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1899.24,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812720,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1065.90,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812721,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1213.80,24/04/2015,People Group,,,,
213122,Avon Support Ltd,50812944,R5805,Homecare - External Domiciliary (Adults),742.56,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50812946,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1499.40,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50812947,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1899.24,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50812949,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1065.90,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50812950,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1899.24,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50813005,R5805,Homecare - External Domiciliary (Adults),828.24,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50813006,R5805,Homecare - External Domiciliary (Adults),856.80,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50813007,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1065.90,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50813009,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1065.90,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50813012,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,617.10,27/04/2015,People Group,,,,
213122,Avon Support Ltd,50813013,R5811,Adult Day Care - BLOCK CONTRACTS ONLY,1682.26,27/04/2015,People Group,,,,
