Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,,
100435,Allambie Enterprises,51298832,R5806,Residential Care,1655.92,19/10/2017,People Group,,,,,,
207773,Allstar Business Solutions Ltd,51291145,R3001,Vehicle Operating Costs,32790.60,11/10/2017,Communities,,,,,,
228198,Alpha Care Homes - Waters Edge,51299120,R5806,Residential Care,2000.05,19/10/2017,People Group,,,,,,
221048,Alzheimer's Society,51304672,R5807,Social Care Block Contracts,13914.00,31/10/2017,People Group,,,,,,
221048,Alzheimer's Society,51304677,R5807,Social Care Block Contracts,13914.00,31/10/2017,People Group,,,,,,
221048,Alzheimer's Society,51304691,R5807,Social Care Block Contracts,29719.00,31/10/2017,People Group,,,,,,
221048,Alzheimer's Society,51304671,R5807,Social Care Block Contracts,29719.00,31/10/2017,People Group,,,,,,
234778,Amadeus Catering (National Exhibition Centre Ltd),51294072,R2201,Rents & Lettings,4113.60,25/10/2017,Communities,,,,,,
223286,Ambion Contractors Ltd,51289449,R4010,Equipment Hire,620.00,11/10/2017,Communities,,,,,,
200303,Amce Construction Ltd,51304591,R2022,Building (LB),1086.87,31/10/2017,Resources,,,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51286751,C1050,External Fees,4709.25,19/10/2017,Capital,,,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51286740,C1050,External Fees,6086.00,19/10/2017,Capital,,,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51286742,C1050,External Fees,9286.75,19/10/2017,Capital,,,,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51286745,C1050,External Fees,14850.31,19/10/2017,Capital,,,,,,
233607,Anchor Trust (Tandy Court),51299077,R5806,Residential Care,1744.00,19/10/2017,People Group,,,,,,
230129,Angel Care Tamworth Ltd,51288493,R5805,Homecare - External Domiciliary,-35000.00,27/10/2017,People Group,,,,,,
,Angel Care Tamworth Ltd,,R5805,Homecare - External Domiciliary,"40,000.00 ",31/10/2017,,,Strategic Finance - People Group,AD200,,,
200349,Anglia DNA Services Ltd,51280317,R4441,Professional Fees,521.50,13/10/2017,Resources,,,,,,
200351,Angloco Ltd,51291874,R4030,Materials,1121.91,20/10/2017,Communities,,,,,,
200351,Angloco Ltd,51291872,R4030,Materials,614.66,20/10/2017,Communities,,,,,,
230228,Anya Court Care Home,51298837,R5806,Residential Care,690.80,19/10/2017,People Group,,,,,,
200389,Apetito Ltd,51273272,R5807,Social Care Block Contracts,641.28,04/10/2017,People Group,,,,,,
200389,Apetito Ltd,51281378,R5807,Social Care Block Contracts,-501.50,18/10/2017,People Group,,,,,,
200389,Apetito Ltd,51281391,R5807,Social Care Block Contracts,721.50,18/10/2017,People Group,,,,,,
200389,Apetito Ltd,51281398,R5807,Social Care Block Contracts,15020.31,18/10/2017,People Group,,,,,,
200389,Apetito Ltd,51281377,R5807,Social Care Block Contracts,-888.00,18/10/2017,People Group,,,,,,
,Apple Online Store Gbp,50081,,,"1,746.95 ",12/10/2017,Resources,,,,,,
215154,Applewood Support Ltd,51289000,R5805,Homecare - External Domiciliary,1335.60,02/10/2017,People Group,,,,,,
200397,Apse,51295971,R4702,Subscriptions To Organisations,2267.00,13/10/2017,Resources,,,,,,
200398,Apt Controls Ltd,51290305,R5702,Payments to External Contractors,2054.25,11/10/2017,Communities,,,,,,
200398,Apt Controls Ltd,51297324,R5702,Payments to External Contractors,2054.25,27/10/2017,Communities,,,,,,
213826,Arbury Medical Centre,51301033,R5702,Payments to External Contractors,532.00,30/10/2017,Communities,,,,,,
200417,Arco Ltd,51288938,R4008,Equipment,934.00,20/10/2017,Fire and Rescue,,,,,,
200419,Arden Construction Ltd,51288957,R2022,Building (LB),4629.63,02/10/2017,Resources,,,,,,
200419,Arden Construction Ltd,51287945,R2022,Building (LB),19500.00,04/10/2017,Resources,,,,,,
200419,Arden Construction Ltd,51288954,C1030,"New Construction, Conversion & Renovation",53719.57,05/10/2017,Capital,,,,,,
200419,Arden Construction Ltd,51290717,C1030,"New Construction, Conversion & Renovation",682.50,06/10/2017,Capital,,,,,,
200419,Arden Construction Ltd,51290718,C1030,"New Construction, Conversion & Renovation",3076.29,09/10/2017,Capital,,,,,,
200419,Arden Construction Ltd,51290012,C1030,"New Construction, Conversion & Renovation",37639.81,10/10/2017,Capital,,,,,,
200419,Arden Construction Ltd,51290270,C1030,"New Construction, Conversion & Renovation",35469.61,11/10/2017,Capital,,,,,,
200419,Arden Construction Ltd,51290272,R2022,Building (LB),16630.28,11/10/2017,Resources,,,,,,
200419,Arden Construction Ltd,51293628,R2022,Building (LB),5270.73,13/10/2017,Resources,,,,,,
200419,Arden Construction Ltd,51297164,C1030,"New Construction, Conversion & Renovation",9381.53,20/10/2017,Capital,,,,,,
200419,Arden Construction Ltd,51297188,R2022,Building (LB),6177.00,25/10/2017,Resources,,,,,,
200419,Arden Construction Ltd,51297189,C1030,"New Construction, Conversion & Renovation",45625.21,25/10/2017,Capital,,,,,,
200429,Argos Business Solutions Ltd (****9518),51274611,R4008,Equipment,966.61,06/10/2017,Resources,,,,,,
200429,Argos Business Solutions Ltd (****9518),51281930,R4008,Equipment,1413.02,16/10/2017,Resources,,,,,,
200429,Argos Business Solutions Ltd (****9518),51286761,R4008,Equipment,1150.96,18/10/2017,Resources,,,,,,
200429,Argos Business Solutions Ltd (****9518),51294685,R4008,Equipment,677.10,31/10/2017,Resources,,,,,,
200429,Argos Business Solutions Ltd (****9518),51292605,R4008,Equipment,3100.67,31/10/2017,Resources,,,,,,
226019,Aristi Ltd,51287769,R1601,Training,845.00,27/10/2017,Fire and Rescue,,,,,,
232174,Armadillo Social,51286739,R5702,Payments to External Contractors,1500.00,06/10/2017,Communities,,,,,,
233778,Arnold Plant Hire Ltd,51279293,R4008,Equipment,1950.00,04/10/2017,Communities,,,,,,
233778,Arnold Plant Hire Ltd,51279323,R4008,Equipment,6050.00,04/10/2017,Communities,,,,,,
233778,Arnold Plant Hire Ltd,51297079,R4008,Equipment,5250.00,30/10/2017,Communities,,,,,,
200441,Arriva Midlands North Ltd (****4814),51301445,R5704,Public Transport,14240.00,24/10/2017,Communities,,,,,,
219768,Art of Brilliance Ltd,51273290,R1601,Training,4689.50,05/10/2017,Resources,,,,,,
200458,Ascot Business Solutions Ltd,51274213,R4512,Software,2050.50,06/10/2017,Resources,,,,,,
221634,ASDA Pharmacy,51293289,R5702,Payments to External Contractors,562.61,19/10/2017,Communities,,,,,,
226791,Ash (UK) Process Servers Ltd,51285893,R4441,Professional Fees,1030.00,03/10/2017,Resources,,,,,,
213431,Ash Green School & Arts College (Academy),51298722,R6107,SEN Statements Funding,4064.00,19/10/2017,Communities,,,,,,
209807,Ashlawn School Academy Trust,51298732,R6107,SEN Statements Funding,10133.00,19/10/2017,Communities,,,,,,
227882,Ashwood Gifts Ltd,51287731,R4044,Stock For Re-Sale Or Hire,1302.66,26/10/2017,Communities,,,,,,
200468,Askews And Holts Library Services Ltd.,51301614,R4058,"Books, Newspapers & Publications",34219.59,25/10/2017,Resources,,,,,,
200468,Askews And Holts Library Services Ltd.,51303393,R4058,"Books, Newspapers & Publications",9027.30,27/10/2017,Resources,,,,,,
231102,Askham Village Community Ltd,51298842,R5806,Residential Care,5469.32,19/10/2017,People Group,,,,,,
226763,Aspect Care Home Ltd,51298843,R5806,Residential Care,3028.48,19/10/2017,People Group,,,,,,
226763,Aspect Care Home Ltd,51288669,R5851,Supported Living,7596.40,27/10/2017,People Group,,,,,,
200472,Aspire People Ltd,51288242,R1101,Agency Staff Pay,975.00,02/10/2017,Schools,,,,,,
200472,Aspire People Ltd,51285844,R1101,Agency Staff Pay,555.00,20/10/2017,Schools,,,,,,
200472,Aspire People Ltd,51289426,R1101,Agency Staff Pay,668.00,27/10/2017,Schools,,,,,,
214538,Aspire Sports Health & Fitness Ltd,51285919,R4433,For use by schools only - Sport Instruction,519.10,20/10/2017,Schools,,,,,,
214538,Aspire Sports Health & Fitness Ltd,51287421,R4433,For use by schools only - Sport Instruction,504.60,26/10/2017,Schools,,,,,,
214538,Aspire Sports Health & Fitness Ltd,51289243,R4433,For use by schools only - Sport Instruction,967.30,27/10/2017,Schools,,,,,,
210825,ATG Access Ltd,51278581,R5702,Payments to External Contractors,1350.00,05/10/2017,Communities,,,,,,
208492,Atkins Ltd,51286763,C1030,"New Construction, Conversion & Renovation",5500.00,03/10/2017,Capital,,,,,,
200502,Atkins Ltd  t/a Faithful Gould,51289269,C1050,External Fees,10399.26,02/10/2017,Capital,,,,,,
200502,Atkins Ltd  t/a Faithful Gould,51290324,C1050,External Fees,13930.46,10/10/2017,Capital,,,,,,
200502,Atkins Ltd  t/a Faithful Gould,51291739,R4409,Consultancy,2000.00,12/10/2017,Communities,,,,,,
200502,Atkins Ltd  t/a Faithful Gould,51283268,R4409,Consultancy,-533.14,12/10/2017,Resources,,,,,,
200502,Atkins Ltd  t/a Faithful Gould,51262813,R4409,Consultancy,900.00,18/10/2017,Fire and Rescue,,,,,,
200502,Atkins Ltd  t/a Faithful Gould,51287910,R4441,Professional Fees,4833.00,20/10/2017,Resources,,,,,,
200502,Atkins Ltd  t/a Faithful Gould,51289257,R4409,Consultancy,13648.00,27/10/2017,Communities,,,,,,
209552,Authorised Publications Ltd,51285904,R5802,Substitute Care,1500.00,20/10/2017,People Group,,,,,,
100007,Autism West Midlands,51298846,R5806,Residential Care,7477.00,19/10/2017,People Group,,,,,,
100008,Autism West Midlands (Oakfield House),51299014,R5806,Residential Care,4071.60,19/10/2017,People Group,,,,,,
100001,Autism West Midlands (Pinetrees),51298847,R5806,Residential Care,4082.80,19/10/2017,People Group,,,,,,
234654,Auto Craft Engineering Ltd,51295673,C1060,Grants & Contributions To Outside Organisations,1842.07,20/10/2017,Capital,,,,,,
230897,Avery Homes (Cannock) Ltd - Abbey Court Nursing Home,51298822,R5806,Residential Care,2020.52,19/10/2017,People Group,,,,,,
100431,Avery Homes Nuneaton Ltd,51298826,R5806,Residential Care,2001.72,19/10/2017,People Group,,,,,,
100431,Avery Homes Nuneaton Ltd,51298826,R5806,Residential Care,17187.64,19/10/2017,People Group,,,,,,
100431,Avery Homes Nuneaton Ltd,51298826,R5806,Residential Care,9530.74,19/10/2017,People Group,,,,,,
210794,Avery Weigh-Tronix Ltd,51282572,R5702,Payments to External Contractors,6875.40,13/10/2017,Communities,,,,,,
234043,AVMI Impact Ltd,51254470,R4506,IT Support & Maintenance,-575.39,18/10/2017,Fire and Rescue,,,,,,
234043,AVMI Impact Ltd,51269860,R4441,Professional Fees,622.00,18/10/2017,Resources,,,,,,
234043,AVMI Impact Ltd,51245376,R4506,IT Support & Maintenance,575.39,18/10/2017,Fire and Rescue,,,,,,
213122,Avon Support Ltd,51290201,R5803,Daycare External,2662.56,03/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51289699,R5851,Supported Living,1275.52,09/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294621,R5803,Daycare External,2058.84,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294619,R5803,Daycare External,650.52,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294623,R5803,Daycare External,1219.99,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294626,R5803,Daycare External,1029.99,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294627,R5803,Daycare External,1300.32,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294628,R5803,Daycare External,1912.35,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294629,R5803,Daycare External,650.52,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294632,R5803,Daycare External,596.31,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294634,R5803,Daycare External,1764.72,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294637,R5851,Supported Living,907.68,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294641,R5803,Daycare External,863.04,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294643,R5851,Supported Living,1275.52,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294644,R5851,Supported Living,877.92,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294649,R5851,Supported Living,8704.20,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294647,R5803,Daycare External,2271.84,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294651,R5851,Supported Living,5847.24,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51294640,R5803,Daycare External,596.31,23/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295789,R5803,Daycare External,813.15,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295793,R5803,Daycare External,1029.99,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295796,R5803,Daycare External,2058.84,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295802,R5803,Daycare External,1807.66,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295810,R5803,Daycare External,650.52,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295813,R5803,Daycare External,650.52,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295814,R5803,Daycare External,596.31,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51296373,R5803,Daycare External,813.15,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51296476,R5803,Daycare External,1029.99,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51296478,R5803,Daycare External,1038.94,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51296481,R5803,Daycare External,507.68,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51297717,R5803,Daycare External,1029.99,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295784,R5803,Daycare External,1029.99,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295786,R5803,Daycare External,2058.84,24/10/2017,People Group,,,,,,
213122,Avon Support Ltd,51295788,R5803,Daycare External,1084.20,24/10/2017,People Group,,,,,,
216249,Avonside Health Centre,51300935,R5702,Payments to External Contractors,672.00,30/10/2017,Communities,,,,,,
213427,Aylesford School And Sixth Form College (Academy),51298725,R6107,SEN Statements Funding,4931.00,19/10/2017,Communities,,,,,,
209620,B Line Plant Ltd,51278554,R4008,Equipment,656.00,13/10/2017,Communities,,,,,,
216184,Babcock Critical Service Ltd,51273420,R3001,Vehicle Operating Costs,6436.69,05/10/2017,Fire and Rescue,,,,,,
200576,Badenoch & Clark Ltd,51272903,R1101,Agency Staff Pay,840.00,12/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51271918,R1101,Agency Staff Pay,1295.00,12/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51280498,R1101,Agency Staff Pay,1592.50,13/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51280435,R1101,Agency Staff Pay,1719.00,13/10/2017,People Group,,,,,,
200576,Badenoch & Clark Ltd,51280490,R1101,Agency Staff Pay,1295.00,13/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51280675,R1101,Agency Staff Pay,573.00,18/10/2017,People Group,,,,,,
200576,Badenoch & Clark Ltd,51281972,R1101,Agency Staff Pay,1638.00,19/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51291379,R1101,Agency Staff Pay,2375.00,20/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51281969,R1101,Agency Staff Pay,1295.00,24/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51286123,R1101,Agency Staff Pay,994.00,25/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51286812,R1101,Agency Staff Pay,1900.00,25/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51286127,R1101,Agency Staff Pay,994.00,25/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51286811,R1101,Agency Staff Pay,1900.00,25/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51286128,R1101,Agency Staff Pay,1719.00,25/10/2017,People Group,,,,,,
200576,Badenoch & Clark Ltd,51287715,R1101,Agency Staff Pay,2385.00,26/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51287736,R1101,Agency Staff Pay,1820.00,26/10/2017,Resources,,,,,,
200576,Badenoch & Clark Ltd,51287781,R1101,Agency Staff Pay,1719.00,27/10/2017,People Group,,,,,,
,Balfour Beatty Living Places,,DP dealt with coding,,"2,391,160.21 ",16/10/2017,,,County Highways,,,,
200589,Balfour Beatty Living Places Ltd (****2460),51296561,R5702,Payments to External Contractors,2439618.38,24/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51282143,R1101,Agency Staff Pay,2300.00,03/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51282149,R1101,Agency Staff Pay,2300.00,03/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51282151,R1101,Agency Staff Pay,2300.00,03/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51287708,R1101,Agency Staff Pay,1150.00,10/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51287672,R1101,Agency Staff Pay,1150.00,10/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51290609,R1101,Agency Staff Pay,4830.00,18/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51290573,R1101,Agency Staff Pay,2300.00,18/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51290638,R1101,Agency Staff Pay,1150.00,18/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51290561,R1101,Agency Staff Pay,1150.00,18/10/2017,Communities,,,,,,
232605,Baltimore Consulting Ltd,51298231,R4409,Consultancy,3000.00,26/10/2017,Communities,,,,,,
100252,Bancroft Gardens,51298849,R5806,Residential Care,4607.24,19/10/2017,People Group,,,,,,
100252,Bancroft Gardens,51298849,R5806,Residential Care,2275.68,19/10/2017,People Group,,,,,,
100252,Bancroft Gardens,51298849,R5806,Residential Care,5267.16,19/10/2017,People Group,,,,,,
233407,Bang the Drum Productions Ltd,51273306,R4301,"Advertising, Publicity & Promotion",1350.00,05/10/2017,Resources,,,,,,
233407,Bang the Drum Productions Ltd,51278782,R4301,"Advertising, Publicity & Promotion",500.00,13/10/2017,Resources,,,,,,
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51298885,R5806,Residential Care,1100.64,19/10/2017,People Group,,,,,,
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51298885,R5806,Residential Care,9657.66,19/10/2017,People Group,,,,,,
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51298885,R5806,Residential Care,5072.20,19/10/2017,People Group,,,,,,
