Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,
200201,Age UK Warwickshire,51321918,R5807,Social Care Block Contracts,"1,846.00",29/11/2017,People Group,,,
200201,Age UK Warwickshire,51321932,R5807,Social Care Block Contracts,"4,615.00",29/11/2017,People Group,,,
200201,Age UK Warwickshire,51320842,R5208,Recycling/re-use Credits,"1,500.00",29/11/2017,Communities,,,
200201,Age UK Warwickshire,51321925,R5807,Social Care Block Contracts,"5,000.00",29/11/2017,People Group,,,
231993,Aim Educational Ltd,51294296,R5702,Payments to External Contractors,1200.00,10/11/2017,Communities,,,
231993,Aim Educational Ltd,51294298,R5702,Payments to External Contractors,1800.00,10/11/2017,Communities,,,
,Air Seal Products Ltd,815,,,"1,188.00 ",08/11/2017,Communities,,,
233830,Airbus Defence and Space,51292165,R4512,Software,"15,350.00",03/11/2017,Fire and Rescue,,,
234227,Airedale International Air Conditioning Ltd,51296571,R2023,Mechanical (LM),692.00,03/11/2017,Resources,,,
234227,Airedale International Air Conditioning Ltd,51308070,R2023,Mechanical (LM),595.00,24/11/2017,Resources,,,
200211,Airtay,51290641,R2751,Grounds Maintenance,"5,900.00",02/11/2017,Communities,,,
200211,Airtay,51290643,R2751,Grounds Maintenance,"4,850.00",02/11/2017,Communities,,,
200211,Airtay,51290644,R2002,Building Maintenance,895.00,02/11/2017,Communities,,,
200211,Airtay,51304447,R2751,Grounds Maintenance,"3,475.00",29/11/2017,Communities,,,
208271,Airwave Solutions Ltd,51293641,R4008,Equipment,908.99,09/11/2017,Fire and Rescue,,,
208271,Airwave Solutions Ltd,51293635,R4008,Equipment,27972.14,09/11/2017,Fire and Rescue,,,
208271,Airwave Solutions Ltd,51293645,R4506,IT Support & Maintenance,649.67,09/11/2017,Fire and Rescue,,,
100245,Albemarle Rest Home Ltd,51315977,R5806,Residential Care,3600.00,16/11/2017,People Group,,,
100245,Albemarle Rest Home Ltd,51315977,R5806,Residential Care,6688.36,16/11/2017,People Group,,,
100245,Albemarle Rest Home Ltd,51315977,R5806,Residential Care,5364.36,16/11/2017,People Group,,,
208797,Alcester Academy (ACAD) School,51317007,R6107,SEN Statements Funding,"5,646.00",20/11/2017,Communities,,,
207814,Alcester Grammar School (Academy),51317038,R6107,SEN Statements Funding,"1,383.00",20/11/2017,Communities,,,
221172,Alcester Health Centre,51320183,R5702,Payments to External Contractors,"1,736.00",30/11/2017,Communities,,,
200237,Alcester Nursery Studio,51308670,R6106,Early Years Funding (PVIs and LA),"27,658.10",13/11/2017,Communities,,,
200237,Alcester Nursery Studio,51315720,R6106,Early Years Funding (PVIs and LA),"5,739.65",27/11/2017,Communities,,,
100004,Allambie Court Nursing Home,51315978,R5806,Residential Care,"19,628.33",16/11/2017,People Group,,,
100004,Allambie Court Nursing Home,51315978,R5806,Residential Care,"3,944.15",16/11/2017,People Group,,,
100435,Allambie Enterprises,51315979,R5806,Residential Care,"1,655.92",16/11/2017,People Group,,,
207773,Allstar Business Solutions Ltd,51306787,R3001,Vehicle Operating Costs,32142.58,13/11/2017,Communities,,,
200291,Alveston Cygnets,51308633,R6106,Early Years Funding (PVIs and LA),"9,526.77",13/11/2017,Communities,,,
200291,Alveston Cygnets,51315756,R6106,Early Years Funding (PVIs and LA),"1,777.44",27/11/2017,Communities,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51297935,C1050,External Fees,12629.25,10/11/2017,Capital,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51299476,C1050,External Fees,8897.00,10/11/2017,Capital,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51299709,C1050,External Fees,1000.00,10/11/2017,Capital,,,
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51318852,C1050,External Fees,3407.50,30/11/2017,Capital,,,
233607,Anchor Trust (Tandy Court),51316173,R5806,Residential Care,"1,744.00",16/11/2017,People Group,,,
200317,Andrell Education,51304028,R4029,Licences (Incl Tv),995.00,10/11/2017,Schools,,,
230129,Angel Care Tamworth Ltd,51306087,R5805,Homecare - External Domiciliary,-40000.00,23/11/2017,People Group,,,
200389,Apetito Ltd,51290748,R5807,Social Care Block Contracts,651.03,03/11/2017,People Group,,,
200389,Apetito Ltd,51315899,R5807,Social Care Block Contracts,636.41,17/11/2017,People Group,,,
200389,Apetito Ltd,51309260,R5807,Social Care Block Contracts,-968.00,30/11/2017,People Group,,,
200389,Apetito Ltd,51311319,R5807,Social Care Block Contracts,1021.67,30/11/2017,People Group,,,
200389,Apetito Ltd,51309341,R5807,Social Care Block Contracts,786.50,30/11/2017,People Group,,,
200389,Apetito Ltd,51309269,R5807,Social Care Block Contracts,15016.77,30/11/2017,People Group,,,
200389,Apetito Ltd,51320447,R5807,Social Care Block Contracts,-1024.25,30/11/2017,People Group,,,
210713,Apple Grove Day Nursery Ltd,51308713,R6106,Early Years Funding (PVIs and LA),11889.48,13/11/2017,Communities,,,
210713,Apple Grove Day Nursery Ltd,51315722,R6106,Early Years Funding (PVIs and LA),9998.10,27/11/2017,Communities,,,
215154,Applewood Support Ltd,51304328,R5805,Homecare - External Domiciliary,1335.60,03/11/2017,People Group,,,
215154,Applewood Support Ltd,51321456,R5805,Homecare - External Domiciliary,1335.60,29/11/2017,People Group,,,
213826,Arbury Medical Centre,51320231,R5702,Payments to External Contractors,504.00,30/11/2017,Communities,,,
209592,Archaeological Surveys Ltd,51304596,R4409,Consultancy,1950.00,29/11/2017,Communities,,,
200419,Arden Construction Ltd,51304616,C1030,"New Construction, Conversion & Renovation",8449.69,06/11/2017,Capital,,,
200419,Arden Construction Ltd,51308054,R2022,Building (LB),4720.25,09/11/2017,Resources,,,
200419,Arden Construction Ltd,51310849,R2022,Building (LB),5334.11,10/11/2017,Resources,,,
200419,Arden Construction Ltd,51310841,C1030,"New Construction, Conversion & Renovation",1621.05,13/11/2017,Capital,,,
200419,Arden Construction Ltd,51310858,C1030,"New Construction, Conversion & Renovation",10741.55,16/11/2017,Capital,,,
200419,Arden Construction Ltd,51310852,C1030,"New Construction, Conversion & Renovation",940.97,16/11/2017,Capital,,,
200419,Arden Construction Ltd,51310854,C1030,"New Construction, Conversion & Renovation",58104.15,16/11/2017,Capital,,,
200419,Arden Construction Ltd,51310845,C1030,"New Construction, Conversion & Renovation",2535.48,16/11/2017,Capital,,,
200419,Arden Construction Ltd,51310842,C1030,"New Construction, Conversion & Renovation",1885.02,16/11/2017,Capital,,,
200419,Arden Construction Ltd,51310850,C1030,"New Construction, Conversion & Renovation",35017.00,17/11/2017,Capital,,,
200419,Arden Construction Ltd,51315475,C1030,"New Construction, Conversion & Renovation",58817.96,17/11/2017,Capital,,,
200419,Arden Construction Ltd,51310851,C1030,"New Construction, Conversion & Renovation",19000.00,20/11/2017,Capital,,,
200419,Arden Construction Ltd,51315261,R2022,Building (LB),4070.00,21/11/2017,Resources,,,
200419,Arden Construction Ltd,51317221,C1030,"New Construction, Conversion & Renovation",3452.89,27/11/2017,Capital,,,
200419,Arden Construction Ltd,51317224,R2022,Building (LB),1781.63,28/11/2017,Resources,,,
200419,Arden Construction Ltd,51317225,C1030,"New Construction, Conversion & Renovation",1821.02,28/11/2017,Capital,,,
226768,Arden Leisure Ltd t/a Studley Sports Centre,51294138,R2201,Rents & Lettings,1610.00,02/11/2017,Communities,,,
200429,Argos Business Solutions Ltd (****9518),51311907,R4008,Equipment,1834.37,15/11/2017,Resources,,,
200429,Argos Business Solutions Ltd (****9518),51306728,R4008,Equipment,542.58,16/11/2017,Resources,,,
200429,Argos Business Solutions Ltd (****9518),51310360,R4008,Equipment,1743.24,16/11/2017,Resources,,,
200438,Arnold Lodge Preparatory School,51320661,R6107,SEN Statements Funding,"2,329.00",27/11/2017,Communities,,,
200438,Arnold Lodge Preparatory School,51320654,R6107,SEN Statements Funding,"3,562.00",27/11/2017,Communities,,,
233778,Arnold Plant Hire Ltd,51318493,R4008,Equipment,4720.00,30/11/2017,Communities,,,
200441,Arriva Midlands North Ltd (****4814),51319974,R5704,Public Transport,14240.00,24/11/2017,Communities,,,
224603,Arrowscape,51310231,R4516,For use by schools only - Computer Equipment Admin,590.00,30/11/2017,Schools,,,
219768,Art of Brilliance Ltd,51290325,R1601,Training,4673.75,02/11/2017,Resources,,,
219768,Art of Brilliance Ltd,51290321,R1601,Training,4676.00,02/11/2017,Resources,,,
219768,Art of Brilliance Ltd,51292850,R1601,Training,1896.50,09/11/2017,Resources,,,
231004,Artel Rubber Holdings Ltd,51306792,C1060,Grants & Contributions To Outside Organisations,17460.00,09/11/2017,Capital,,,
213431,Ash Green School & Arts College (Academy),51317013,R6107,SEN Statements Funding,"3,263.00",20/11/2017,Communities,,,
208346,Ashe Construction Ltd,51311895,C1030,"New Construction, Conversion & Renovation",831.16,13/11/2017,Capital,,,
209807,Ashlawn School Academy Trust,51317058,R6107,SEN Statements Funding,"8,779.00",20/11/2017,Communities,,,
209807,Ashlawn School Academy Trust,51314464,R2201,Rents & Lettings,"1,107.00",21/11/2017,Communities,,,
200465,Ashleigh Nursery School,51308621,R6106,Early Years Funding (PVIs and LA),"17,252.39",13/11/2017,Communities,,,
200465,Ashleigh Nursery School,51315714,R6106,Early Years Funding (PVIs and LA),"10,183.25",27/11/2017,Communities,,,
200468,Askews And Holts Library Services Ltd.,51307884,R4058,"Books, Newspapers & Publications",7876.09,07/11/2017,Resources,,,
200468,Askews And Holts Library Services Ltd.,51314540,R4058,"Books, Newspapers & Publications",8340.41,15/11/2017,Resources,,,
200468,Askews And Holts Library Services Ltd.,51302715,R4058,"Books, Newspapers & Publications",725.42,17/11/2017,Resources,,,
200468,Askews And Holts Library Services Ltd.,51319334,R4058,"Books, Newspapers & Publications",5209.99,23/11/2017,Resources,,,
231102,Askham Village Community Ltd,51315986,R5806,Residential Care,5469.32,16/11/2017,People Group,,,
226763,Aspect Care Home Ltd,51315987,R5806,Residential Care,3028.48,16/11/2017,People Group,,,
226763,Aspect Care Home Ltd,51304311,R5851,Supported Living,868.16,27/11/2017,People Group,,,
200472,Aspire People Ltd,51289524,R1101,Agency Staff Pay,975.00,01/11/2017,Schools,,,
200472,Aspire People Ltd,51289531,R1101,Agency Staff Pay,975.00,01/11/2017,Schools,,,
200472,Aspire People Ltd,51289533,R1101,Agency Staff Pay,975.00,01/11/2017,Schools,,,
200472,Aspire People Ltd,51302012,R1101,Agency Staff Pay,975.00,15/11/2017,Schools,,,
200472,Aspire People Ltd,51309638,R1101,Agency Staff Pay,975.00,17/11/2017,Schools,,,
200472,Aspire People Ltd,51309639,R1101,Agency Staff Pay,975.00,27/11/2017,Schools,,,
200472,Aspire People Ltd,51309391,R1101,Agency Staff Pay,941.00,27/11/2017,Schools,,,
200472,Aspire People Ltd,51309915,R1101,Agency Staff Pay,975.00,30/11/2017,Schools,,,
214538,Aspire Sports Health & Fitness Ltd,51297100,R4433,For use by schools only - Sport Instruction,519.09,10/11/2017,Schools,,,
214327,Association of Educational Psychologists (AEP),51291358,R1701,Staff Advertising,870.00,03/11/2017,Communities,,,
208290,Atherstone Surgery (Dr Maher & Partners),51320105,R5702,Payments to External Contractors,504.80,30/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51256785,R4507,IT Systems Development,2584.00,01/11/2017,Fire and Rescue,,,
200502,Atkins Ltd  t/a Faithful Gould,51289415,R1101,Agency Staff Pay,301556.34,02/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51291725,R4409,Consultancy,3500.00,02/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51291722,R4409,Consultancy,2350.00,02/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51297134,R1101,Agency Staff Pay,9037.28,02/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51291733,R4409,Consultancy,950.00,02/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51294399,R4441,Professional Fees,1870.00,02/11/2017,Resources,,,
200502,Atkins Ltd  t/a Faithful Gould,51292520,C1050,External Fees,2338.00,03/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51293418,R1101,Agency Staff Pay,7773.36,03/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51292567,C1050,External Fees,2591.00,03/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51292533,C1050,External Fees,39156.00,03/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51293420,R1101,Agency Staff Pay,28005.28,03/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51301675,R1101,Agency Staff Pay,4970.40,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51302977,R4409,Consultancy,12771.79,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51307013,R1101,Agency Staff Pay,64256.98,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51307008,R1101,Agency Staff Pay,-64256.98,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51289358,R1101,Agency Staff Pay,2642.64,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51299722,R1101,Agency Staff Pay,5470.55,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51309959,R4409,Consultancy,4730.00,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51301690,R4409,Consultancy,7453.00,16/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51301828,R4409,Consultancy,4150.00,17/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51302116,R1101,Agency Staff Pay,3429.88,17/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51302105,R1101,Agency Staff Pay,97577.63,17/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51302823,R4409,Consultancy,22827.00,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51302974,R4409,Consultancy,4151.96,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51303981,R4409,Consultancy,4893.00,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51314296,R4409,Consultancy,3230.00,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51317148,R4409,Consultancy,2810.00,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51317155,R5702,Payments to External Contractors,767.00,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51305169,C1030,"New Construction, Conversion & Renovation",2782.58,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51307991,C1030,"New Construction, Conversion & Renovation",2871.85,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51307992,C1030,"New Construction, Conversion & Renovation",1566.99,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51307995,C1030,"New Construction, Conversion & Renovation",2707.10,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51307996,C1030,"New Construction, Conversion & Renovation",3067.88,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51308058,C1050,External Fees,6670.00,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51308059,C1050,External Fees,3803.00,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51311251,C1050,External Fees,1361.47,20/11/2017,Capital,,,
200502,Atkins Ltd  t/a Faithful Gould,51303210,R1101,Agency Staff Pay,13332.60,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51303449,R1101,Agency Staff Pay,15051.99,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51306807,R1101,Agency Staff Pay,49099.45,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51306808,R1101,Agency Staff Pay,58837.09,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51314401,R1101,Agency Staff Pay,4031.63,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51314403,R1101,Agency Staff Pay,5098.48,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51314403,R1101,Agency Staff Pay,4783.36,20/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51318325,R4506,IT Support & Maintenance,9000.00,22/11/2017,Fire and Rescue,,,
200502,Atkins Ltd  t/a Faithful Gould,51320765,R1101,Agency Staff Pay,1444.16,27/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51302103,R5702,Payments to External Contractors,6126.28,29/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51289296,R5702,Payments to External Contractors,28754.22,29/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51302115,R5702,Payments to External Contractors,2064.72,29/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51322185,R1101,Agency Staff Pay,9410.23,29/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51317156,R1101,Agency Staff Pay,169623.43,29/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51322187,R4409,Consultancy,1376.47,30/11/2017,Communities,,,
200502,Atkins Ltd  t/a Faithful Gould,51320773,R1101,Agency Staff Pay,45937.40,30/11/2017,Communities,,,
200505,ATS Euromaster Ltd,51315680,R3004,Repair & Maintenance Of Vehicles,4563.11,16/11/2017,Communities,,,
200505,ATS Euromaster Ltd,51321690,R3004,Repair & Maintenance Of Vehicles,6364.10,30/11/2017,Communities,,,
230641,Attachment Works Ltd,51304001,R4441,Professional Fees,920.40,07/11/2017,Resources,,,
231497,AUSPAX,51300434,R4030,Materials,622.60,03/11/2017,Communities,,,
231497,AUSPAX,51316444,R4030,Materials,577.55,27/11/2017,Communities,,,
200516,Austrey Pre School,51308681,R6106,Early Years Funding (PVIs and LA),"9,080.05",13/11/2017,Communities,,,
200516,Austrey Pre School,51315755,R6106,Early Years Funding (PVIs and LA),"1,666.35",27/11/2017,Communities,,,
209552,Authorised Publications Ltd,51304416,R5802,Substitute Care,500.00,03/11/2017,People Group,,,
209552,Authorised Publications Ltd,51304402,R5802,Substitute Care,500.00,03/11/2017,People Group,,,
209552,Authorised Publications Ltd,51304403,R5802,Substitute Care,500.00,03/11/2017,People Group,,,
100007,Autism West Midlands,51315990,R5806,Residential Care,"7,477.00",16/11/2017,People Group,,,
100008,Autism West Midlands (Oakfield House),51316117,R5806,Residential Care,"4,071.60",16/11/2017,People Group,,,
100001,Autism West Midlands (Pinetrees),51315991,R5806,Residential Care,"4,082.80",16/11/2017,People Group,,,
234654,Auto Craft Engineering Ltd,51313446,C1060,Grants & Contributions To Outside Organisations,4605.35,21/11/2017,Capital,,,
230897,Avery Homes (Cannock) Ltd - Abbey Court Nursing Home,51315970,R5806,Residential Care,2020.52,16/11/2017,People Group,,,
228807,Avery Homes (Nelson) Ltd- Scholars Mews,51315961,R5806,Residential Care,8014.28,16/11/2017,People Group,,,
100431,Avery Homes Nuneaton Ltd,51315906,R5806,Residential Care,22899.95,16/11/2017,People Group,,,
100431,Avery Homes Nuneaton Ltd,51315906,R5806,Residential Care,2018.52,16/11/2017,People Group,,,
100431,Avery Homes Nuneaton Ltd,51315906,R5806,Residential Care,10544.42,16/11/2017,People Group,,,
223426,Avon Park School,51317110,R6107,SEN Statements Funding,"16,612.67",20/11/2017,Communities,,,
223426,Avon Park School,51317111,R6107,SEN Statements Funding,"19,821.67",20/11/2017,Communities,,,
223426,Avon Park School,51317112,R6107,SEN Statements Funding,"19,821.67",20/11/2017,Communities,,,
223426,Avon Park School,51317113,R6107,SEN Statements Funding,"16,612.67",20/11/2017,Communities,,,
223426,Avon Park School,51317115,R6107,SEN Statements Funding,"16,612.67",20/11/2017,Communities,,,
223426,Avon Park School,51317116,R6107,SEN Statements Funding,"18,894.00",20/11/2017,Communities,,,
223426,Avon Park School,51317108,R6107,SEN Statements Funding,"21,274.00",20/11/2017,Communities,,,
223426,Avon Park School,51317105,R6107,SEN Statements Funding,"14,229.00",20/11/2017,Communities,,,
223426,Avon Park School,51317104,R6107,SEN Statements Funding,"18,894.00",20/11/2017,Communities,,,
223426,Avon Park School,51317103,R6107,SEN Statements Funding,"21,274.00",20/11/2017,Communities,,,
223426,Avon Park School,51317102,R6107,SEN Statements Funding,"18,894.00",20/11/2017,Communities,,,
223426,Avon Park School,51317100,R6107,SEN Statements Funding,"21,274.00",20/11/2017,Communities,,,
223426,Avon Park School,51317099,R6107,SEN Statements Funding,"18,894.00",20/11/2017,Communities,,,
223426,Avon Park School,51317098,R6107,SEN Statements Funding,"18,894.00",20/11/2017,Communities,,,
223426,Avon Park School,51317097,R6107,SEN Statements Funding,"16,612.67",20/11/2017,Communities,,,
