SupplierID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
100261,Castel Froma,50754626,R5806,Residential Care (Adults),913.48,26/01/2015,People Group
100261,Castel Froma,50754626,R5806,Residential Care (Adults),4556.44,26/01/2015,People Group
201160,Castel Froma,50754626,R5806,Residential Care (Adults),4556.44,26/01/2015,People Group
201160,Cdec Ltd,50737825,R4503,Hardware,20304.00,09/01/2015,Resources
100438,Cdec Ltd,50737033,R4503,Hardware,967.00,09/01/2015,Resources
100278,Cedar Court Nursing Home,50754627,R5806,Residential Care (Adults),1186.32,26/01/2015,People Group
100278,Central England Healthcare  Ltd T/A Eversleigh Nursing Home,50754664,R5806,Residential Care (Adults),5750.10,26/01/2015,People Group
100278,Central England Healthcare  Ltd T/A Eversleigh Nursing Home,50754664,R5806,Residential Care (Adults),3645.08,26/01/2015,People Group
100278,Central England Healthcare  Ltd T/A Eversleigh Nursing Home,50754664,R5806,Residential Care (Adults),1760.52,26/01/2015,People Group
100262,Central England Healthcare  Ltd T/A Eversleigh Nursing Home,50754664,R5806,Residential Care (Adults),-3771.43,26/01/2015,People Group
,Cerrig Camu Ltd,50754630,R5806,Residential Care (Adults),5588.96,26/01/2015,People Group
100263,CHARLES WATTS ENGI,P-CARD,,,561.46,14/01/2015,
100263,Chasewood Lodge,50754633,R5806,Residential Care (Adults),4678.16,26/01/2015,People Group
100263,Chasewood Lodge,50754633,R5806,Residential Care (Adults),1849.48,26/01/2015,People Group
100263,Chasewood Lodge,50754633,R5806,Residential Care (Adults),21796.30,26/01/2015,People Group
100263,Chasewood Lodge,50754633,R5806,Residential Care (Adults),3698.96,26/01/2015,People Group
100263,Chasewood Lodge,50754633,R5806,Residential Care (Adults),1849.48,26/01/2015,People Group
100264,Chasewood Lodge,50754633,R5806,Residential Care (Adults),1849.48,26/01/2015,People Group
100264,Chasewood Residential Care Home,50754632,R5806,Residential Care (Adults),-726.58,26/01/2015,People Group
100264,Chasewood Residential Care Home,50754632,R5806,Residential Care (Adults),5668.44,26/01/2015,People Group
100264,Chasewood Residential Care Home,50754632,R5806,Residential Care (Adults),1651.32,26/01/2015,People Group
100264,Chasewood Residential Care Home,50754632,R5806,Residential Care (Adults),2448.00,26/01/2015,People Group
100264,Chasewood Residential Care Home,50754632,R5806,Residential Care (Adults),3698.96,26/01/2015,People Group
100016,Chasewood Residential Care Home,50754632,R5806,Residential Care (Adults),-1467.43,26/01/2015,People Group
100016,Cherry Trees Residential Home,50754634,R5806,Residential Care (Adults),7857.24,26/01/2015,People Group
227286,Cherry Trees Residential Home,50754634,R5806,Residential Care (Adults),2308.11,26/01/2015,People Group
227286,Christadelphian Care Homes,50738719,R5806,Residential Care (Adults),1612.48,21/01/2015,People Group
227286,Christadelphian Care Homes,50725697,R5806,Residential Care (Adults),3795.42,21/01/2015,People Group
227286,Christadelphian Care Homes,50725697,R5806,Residential Care (Adults),1554.89,21/01/2015,People Group
227286,Christadelphian Care Homes,50725697,R5806,Residential Care (Adults),3440.41,21/01/2015,People Group
227286,Christadelphian Care Homes,50738719,R5806,Residential Care (Adults),3567.84,21/01/2015,People Group
227286,Christadelphian Care Homes,50738719,R5806,Residential Care (Adults),3936.00,21/01/2015,People Group
227286,Christadelphian Care Homes,50754656,R5806,Residential Care (Adults),3567.84,26/01/2015,People Group
227286,Christadelphian Care Homes,50754656,R5806,Residential Care (Adults),-843.43,26/01/2015,People Group
100265,Christadelphian Care Homes,50754656,R5806,Residential Care (Adults),1612.48,26/01/2015,People Group
208360,Church Terrace Nursing Home,50754638,R5806,Residential Care (Adults),1943.32,26/01/2015,People Group
208360,CIPFA Business Limited (****5849),50736563,R4409,Consultancy,1926.29,09/01/2015,Resources
,CIPFA Business Limited (****5849),50736539,R4409,Consultancy,4750.00,09/01/2015,Resources
100381,Cloud Technology Solutions,CHAPS,Coded by Don Page,,182355.00,16/01/2015,
100381,Cofresh Homes Llp T/A Tudor Care Home,50754879,R5806,Residential Care (Adults),1904.00,26/01/2015,People Group
100266,Cofresh Homes Llp T/A Tudor Care Home,50754879,R5806,Residential Care (Adults),11260.68,26/01/2015,People Group
100266,Collyhurst Nursing Home,50754641,R5806,Residential Care (Adults),17311.64,26/01/2015,People Group
100266,Collyhurst Nursing Home,50754641,R5806,Residential Care (Adults),3192.08,26/01/2015,People Group
100266,Collyhurst Nursing Home,50754641,R5806,Residential Care (Adults),1596.04,26/01/2015,People Group
100266,Collyhurst Nursing Home,50754641,R5806,Residential Care (Adults),1596.04,26/01/2015,People Group
100266,Collyhurst Nursing Home,50754641,R5806,Residential Care (Adults),734.40,26/01/2015,People Group
100266,Collyhurst Nursing Home,50754641,R5806,Residential Care (Adults),4788.12,26/01/2015,People Group
226999,Collyhurst Nursing Home,50754641,R5806,Residential Care (Adults),3180.44,26/01/2015,People Group
100093,Compute-Ed,50702538,R4057,Learning Resources Admin,500.00,27/01/2015,Schools
201458,Condover College Ltd,50754642,R5806,Residential Care (Adults),17859.00,26/01/2015,People Group
201458,Couch Perry & Wilkes LLP,50680249,C1050,External Fees,2800.00,13/01/2015,Capital
215606,Couch Perry & Wilkes LLP,50680202,C1050,External Fees,-2800.00,13/01/2015,Capital
100268,Coventry City Council (Trinity Lodge),50754878,R5806,Residential Care (Adults),2621.36,26/01/2015,People Group
100268,Cow Lees Nursing Home,50754644,R5806,Residential Care (Adults),4200.00,26/01/2015,People Group
100268,Cow Lees Nursing Home,50754644,R5806,Residential Care (Adults),1743.92,26/01/2015,People Group
100089,Cow Lees Nursing Home,50754644,R5806,Residential Care (Adults),2565.20,26/01/2015,People Group
100269,Craegmoor Ltd - Part Of Priory Group (Charnwood Lodge),50754631,R5806,Residential Care (Adults),21073.50,26/01/2015,People Group
100269,Craighaven Ltd,50754645,R5806,Residential Care (Adults),28788.88,26/01/2015,People Group
224690,Craighaven Ltd,50754645,R5806,Residential Care (Adults),1867.08,26/01/2015,People Group
100065,Creative Literacy Stars,50734239,R4442,Professional Fees Curriculum,588.00,09/01/2015,Schools
100065,Crosscrown Limited,50754640,R5806,Residential Care (Adults),1777.12,26/01/2015,People Group
100065,Crosscrown Limited,50754640,R5806,Residential Care (Adults),1777.12,26/01/2015,People Group
100065,Crosscrown Limited,50754640,R5806,Residential Care (Adults),1777.12,26/01/2015,People Group
100065,Crosscrown Limited,50754640,R5806,Residential Care (Adults),1756.80,26/01/2015,People Group
100065,Crosscrown Limited,50754640,R5806,Residential Care (Adults),7334.25,26/01/2015,People Group
100065,Crosscrown Limited,50754640,R5806,Residential Care (Adults),1777.12,26/01/2015,People Group
100065,Crosscrown Limited,50754640,R5806,Residential Care (Adults),3554.24,26/01/2015,People Group
217194,Crosscrown Limited,50754640,R5806,Residential Care (Adults),3380.76,26/01/2015,People Group
217194,Crosscrown Ltd (Woodville House),50754898,R5806,Residential Care (Adults),4833.72,26/01/2015,People Group
100125,Crosscrown Ltd (Woodville House),50754898,R5806,Residential Care (Adults),7506.84,26/01/2015,People Group
100125,Crosscrown Ltd T/A The Chimneys,50754854,R5806,Residential Care (Adults),9081.13,26/01/2015,People Group
100125,Crosscrown Ltd T/A The Chimneys,50754854,R5806,Residential Care (Adults),1603.64,26/01/2015,People Group
100125,Crosscrown Ltd T/A The Chimneys,50754854,R5806,Residential Care (Adults),2849.95,26/01/2015,People Group
100125,Crosscrown Ltd T/A The Chimneys,50754854,R5806,Residential Care (Adults),2360.00,26/01/2015,People Group
100125,Crosscrown Ltd T/A The Chimneys,50754854,R5806,Residential Care (Adults),1840.64,26/01/2015,People Group
100338,Crosscrown Ltd T/A The Chimneys,50754854,R5806,Residential Care (Adults),1603.64,26/01/2015,People Group
100338,Crosscrown Ltd T/A The Elms Residential Care Home,50754856,R5806,Residential Care (Adults),1611.24,26/01/2015,People Group
100338,Crosscrown Ltd T/A The Elms Residential Care Home,50754856,R5806,Residential Care (Adults),1849.48,26/01/2015,People Group
100338,Crosscrown Ltd T/A The Elms Residential Care Home,50754856,R5806,Residential Care (Adults),3361.28,26/01/2015,People Group
100338,Crosscrown Ltd T/A The Elms Residential Care Home,50754856,R5806,Residential Care (Adults),9275.36,26/01/2015,People Group
100441,Crosscrown Ltd T/A The Elms Residential Care Home,50754856,R5806,Residential Care (Adults),629.49,26/01/2015,People Group
100441,Crosscrown Ltd T/As Granville House,50754687,R5806,Residential Care (Adults),1588.48,26/01/2015,People Group
100441,Crosscrown Ltd T/As Granville House,50754687,R5806,Residential Care (Adults),-1757.93,26/01/2015,People Group
100441,Crosscrown Ltd T/As Granville House,50754687,R5806,Residential Care (Adults),6503.13,26/01/2015,People Group
,Crosscrown Ltd T/As Granville House,50754687,R5806,Residential Care (Adults),10524.16,26/01/2015,People Group
100243,CV2 SELF DRIVE,P-CARD,,,690.00,30/01/2015,
100243,D R & B Sutton Ltd T/A Adelaide House,50754575,R5806,Residential Care (Adults),13976.11,26/01/2015,People Group
100272,D R & B Sutton Ltd T/A Adelaide House,50754575,R5806,Residential Care (Adults),1584.68,26/01/2015,People Group
100272,Deaf-Initely Independent,50754649,R5806,Residential Care (Adults),6718.92,26/01/2015,People Group
100272,Deaf-Initely Independent,50754648,R5806,Residential Care (Adults),3379.04,26/01/2015,People Group
100272,Deaf-Initely Independent,50754648,R5806,Residential Care (Adults),4092.52,26/01/2015,People Group
219451,Deaf-Initely Independent,50754636,R5806,Residential Care (Adults),4083.72,26/01/2015,People Group
201742,Department for Work and Pensions-Compensation Recovery Unit,50739387,R4928,Casualty Insurance Claims,816.00,13/01/2015,Other Services
225753,Derwen College,50754650,R5806,Residential Care (Adults),1536.92,26/01/2015,People Group
225661,Diginew Ltd t/a Amber Lodge Nursing Home,50754585,R5806,Residential Care (Adults),1743.64,26/01/2015,People Group
221329,Diva Care Ltd,50754715,R5806,Residential Care (Adults),1798.80,26/01/2015,People Group
100274,Dodd Group (Midlands) Ltd,50734666,R2024,Electrical (LE),2125.71,09/01/2015,Resources
100275,Dover Cottage Rest Home,50754652,R5806,Residential Care (Adults),1728.64,26/01/2015,People Group
100275,Dwell Ltd,50754740,R5806,Residential Care (Adults),2079.44,26/01/2015,People Group
100275,Dwell Ltd,50754740,R5806,Residential Care (Adults),5450.92,26/01/2015,People Group
100275,Dwell Ltd,50754740,R5806,Residential Care (Adults),2003.64,26/01/2015,People Group
100276,Dwell Ltd,50754740,R5806,Residential Care (Adults),5171.28,26/01/2015,People Group
100276,Eden Place Ltd,50754658,R5806,Residential Care (Adults),2528.64,26/01/2015,People Group
100276,Eden Place Ltd,50754658,R5806,Residential Care (Adults),949.68,26/01/2015,People Group
100276,Eden Place Ltd,50754658,R5806,Residential Care (Adults),11127.68,26/01/2015,People Group
100276,Eden Place Ltd,50754657,R5806,Residential Care (Adults),10525.32,26/01/2015,People Group
100276,Eden Place Ltd,50754657,R5806,Residential Care (Adults),1880.00,26/01/2015,People Group
100276,Eden Place Ltd,50754657,R5806,Residential Care (Adults),1919.00,26/01/2015,People Group
100276,Eden Place Ltd,50754657,R5806,Residential Care (Adults),1752.00,26/01/2015,People Group
100393,Eden Place Ltd,50754657,R5806,Residential Care (Adults),5412.80,26/01/2015,People Group
219176,Edgeview Homes Ltd,50754659,R5806,Residential Care (Adults),5144.72,26/01/2015,People Group
212173,Elder Homes Midlands Ltd (Millington Springs Care Centre),50754754,R5806,Residential Care (Adults),1436.00,26/01/2015,People Group
212173,ELMHURST CARE FACILITY,50754660,R5806,Residential Care (Adults),5920.00,26/01/2015,People Group
212173,ELMHURST CARE FACILITY,50754660,R5806,Residential Care (Adults),1360.00,26/01/2015,People Group
212173,ELMHURST CARE FACILITY,50754660,R5806,Residential Care (Adults),3960.00,26/01/2015,People Group
,ELMHURST CARE FACILITY,50754660,R5806,Residential Care (Adults),-10028.58,26/01/2015,People Group
100277,ESPO,P-CARD,,,884.56,20/01/2015,
100277,Evedale Nursing Home,50754662,R5806,Residential Care (Adults),3651.34,26/01/2015,People Group
100150,Evedale Nursing Home,50754662,R5806,Residential Care (Adults),1994.76,26/01/2015,People Group
100150,Extel Ltd aka Care Through the Millennium,50754625,R5806,Residential Care (Adults),28957.48,26/01/2015,People Group
100150,Extel Ltd aka Care Through the Millennium,50754625,R5806,Residential Care (Adults),2310.08,26/01/2015,People Group
218148,Extel Ltd aka Care Through the Millennium,50754625,R5806,Residential Care (Adults),28273.16,26/01/2015,People Group
100279,F H Everett & Son,50737278,R2001,Buildings Maintenance,10047.06,09/01/2015,Resources
100279,Father Hudsons Society,50754667,R5806,Residential Care (Adults),1896.28,26/01/2015,People Group
100279,Father Hudsons Society,50754667,R5806,Residential Care (Adults),6840.87,26/01/2015,People Group
100279,Father Hudsons Society,50754667,R5806,Residential Care (Adults),5200.00,26/01/2015,People Group
100279,Father Hudsons Society,50754667,R5806,Residential Care (Adults),3794.32,26/01/2015,People Group
100279,Father Hudsons Society,50754667,R5806,Residential Care (Adults),4956.00,26/01/2015,People Group
100279,Father Hudsons Society,50754667,R5806,Residential Care (Adults),2701.64,26/01/2015,People Group
206633,Father Hudsons Society,50754667,R5806,Residential Care (Adults),15376.92,26/01/2015,People Group
100280,FCC  Recycling (UK) Ltd,50737750,R5702,Payments to External Contractors,64513.16,09/01/2015,Communities
100280,Field View Residential Home,50754670,R5806,Residential Care (Adults),1556.04,26/01/2015,People Group
100095,Field View Residential Home,50754670,R5806,Residential Care (Adults),3051.52,26/01/2015,People Group
100095,First For Care Ltd,50754779,R5806,Residential Care (Adults),1835.40,26/01/2015,People Group
100095,First For Care Ltd,50754779,R5806,Residential Care (Adults),16263.92,26/01/2015,People Group
100282,First For Care Ltd,50754779,R5806,Residential Care (Adults),4997.08,26/01/2015,People Group
100282,Fountain Lodge Care Home With Nursing,50754672,R5806,Residential Care (Adults),8479.82,26/01/2015,People Group
100282,Fountain Lodge Care Home With Nursing,50754672,R5806,Residential Care (Adults),-6472.08,26/01/2015,People Group
100282,Fountain Lodge Care Home With Nursing,50754672,R5806,Residential Care (Adults),1540.72,26/01/2015,People Group
216778,Fountain Lodge Care Home With Nursing,50754672,R5806,Residential Care (Adults),1557.96,26/01/2015,People Group
225782,Four Sasons (Bamford) Ltd re Milverton Gate,50754756,R5806,Residential Care (Adults),1639.96,26/01/2015,People Group
100067,Four Seasons (Evedale) Ltd (Tudor Grange Care Home),50754880,R5806,Residential Care (Adults),1884.00,26/01/2015,People Group
100147,Four Seasons Healthcare Ltd (Four Seasons Residential Home),50754675,R5806,Residential Care (Adults),1976.20,26/01/2015,People Group
100455,Four Seasons Healthcare Ltd (Millwater Residential Home),50754755,R5806,Residential Care (Adults),4896.00,26/01/2015,People Group
100455,Four Seasons Healthcare Ltd (Rugby Care Centre),50754818,R5806,Residential Care (Adults),4794.00,26/01/2015,People Group
100455,Four Seasons Healthcare Ltd (Rugby Care Centre),50754818,R5806,Residential Care (Adults),7232.08,26/01/2015,People Group
100455,Four Seasons Healthcare Ltd (Rugby Care Centre),50754818,R5806,Residential Care (Adults),627.79,26/01/2015,People Group
100455,Four Seasons Healthcare Ltd (Rugby Care Centre),50754818,R5806,Residential Care (Adults),2100.00,26/01/2015,People Group
100068,Four Seasons Healthcare Ltd (Rugby Care Centre),50754818,R5806,Residential Care (Adults),3442.68,26/01/2015,People Group
100066,Freedom Care Ltd,50754677,R5806,Residential Care (Adults),7088.60,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754669,R5806,Residential Care (Adults),740.44,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754858,R5806,Residential Care (Adults),11617.80,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754668,R5806,Residential Care (Adults),15047.88,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754668,R5806,Residential Care (Adults),7401.24,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754668,R5806,Residential Care (Adults),1232.12,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754678,R5806,Residential Care (Adults),2464.24,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754678,R5806,Residential Care (Adults),15544.52,26/01/2015,People Group
100066,Friendship Care And Housing Association Ltd (****0454),50754669,R5806,Residential Care (Adults),1232.12,26/01/2015,People Group
