,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054371,R5805,Homecare - External Domiciliary (Adults),842.24,14/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054356,R5805,Homecare - External Domiciliary (Adults),1684.48,14/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054616,R5805,Homecare - External Domiciliary (Adults),586.56,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054663,R5805,Homecare - External Domiciliary (Adults),1684.48,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054657,R5805,Homecare - External Domiciliary (Adults),571.52,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054648,R5805,Homecare - External Domiciliary (Adults),1500.24,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054626,R5805,Homecare - External Domiciliary (Adults),917.44,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054619,R5805,Homecare - External Domiciliary (Adults),691.84,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054614,R5805,Homecare - External Domiciliary (Adults),1410.56,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054558,R5805,Homecare - External Domiciliary (Adults),842.24,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054553,R5805,Homecare - External Domiciliary (Adults),571.72,15/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054662,R5805,Homecare - External Domiciliary (Adults),1684.48,21/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054652,R5805,Homecare - External Domiciliary (Adults),842.24,21/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054645,R5805,Homecare - External Domiciliary (Adults),842.24,21/07/2016,People Group,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51054647,R5805,Homecare - External Domiciliary (Adults),706.88,21/07/2016,People Group,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,51041042,R4443,Professional Fees Admin,735.00,07/07/2016,Resources,
INSERTED DETAIL,200351,Angloco Ltd,51051813,R4030,Materials,2189.50,11/07/2016,Communities,
INSERTED DETAIL,200351,Angloco Ltd,51052857,R4030,Materials,2518.84,18/07/2016,Communities,
INSERTED DETAIL,200351,Angloco Ltd,51053353,R4030,Materials,2518.84,19/07/2016,Communities,
INSERTED DETAIL,200351,Angloco Ltd,51058746,R4020,Fire Equipment Maintenance,747.50,25/07/2016,Fire and Rescue,
INSERTED DETAIL,200389,Apetito Ltd,51044079,R5807,SLA Social Care Provision,627.25,01/07/2016,People Group,
INSERTED DETAIL,200389,Apetito Ltd,51044067,R5807,SLA Social Care Provision,16959.25,01/07/2016,People Group,
INSERTED DETAIL,210713,Apple Grove Day Nursery,51041835,R6106,Private Providers - Early Years Funding,3861.00,04/07/2016,Communities,
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,51034200,R5848,Residential Care (Children),13285.67,06/07/2016,People Group,
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,51034199,R5848,Residential Care (Children),12857.10,06/07/2016,People Group,
INSERTED DETAIL,215154,Applewood Support Ltd,51054128,R5805,Homecare - External Domiciliary (Adults),1206.00,22/07/2016,People Group,
INSERTED DETAIL,215154,Applewood Support Ltd,51054142,R5805,Homecare - External Domiciliary (Adults),964.80,22/07/2016,People Group,
INSERTED DETAIL,200398,Apt Controls Ltd,51054034,R5702,Payments to External Contractors,3989.00,14/07/2016,Communities,
INSERTED DETAIL,200398,Apt Controls Ltd,51056785,R5702,Payments to External Contractors,1784.93,25/07/2016,Communities,
INSERTED DETAIL,213826,Arbury Medical Centre,51059135,R5702,Payments to External Contractors,1151.92,29/07/2016,Communities,
INSERTED DETAIL,209592,Archaeological Surveys Ltd,51045142,R4409,Consultancy,1350.00,22/07/2016,Communities,
INSERTED DETAIL,230535,Archway Community College (Academy),51044272,R6107,SEN Statements Funding - Non-Maintained Schools,2211.00,29/07/2016,Communities,
INSERTED DETAIL,200419,Arden Construction Ltd,51045070,C1030,"New Construction, Conversion & Renovation",2290.87,05/07/2016,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,51050117,R2022,Building (LB),790.11,08/07/2016,Resources,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,51054770,R2204,Room Hire - External,1840.00,29/07/2016,Communities,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51047663,R4049,White Goods/Domestic Appliances,1283.20,13/07/2016,Resources,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51061987,R4049,White Goods/Domestic Appliances,3616.76,29/07/2016,Resources,
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,51053663,R6107,SEN Statements Funding - Non-Maintained Schools,2920.00,15/07/2016,Communities,
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,51053667,R6107,SEN Statements Funding - Non-Maintained Schools,5659.00,15/07/2016,Communities,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),51060149,R5204,Concessionary Fares,5470.00,28/07/2016,Communities,
INSERTED DETAIL,221634,ASDA Pharmacy,51054471,R5702,Payments to External Contractors,769.79,19/07/2016,Communities,
INSERTED DETAIL,221634,ASDA Pharmacy,51054451,R5702,Payments to External Contractors,864.62,19/07/2016,Communities,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),51048218,R4701,Grants To External Organisations,3000.00,04/07/2016,Communities,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),51056632,R6107,SEN Statements Funding - Non-Maintained Schools,1097.00,20/07/2016,Communities,
INSERTED DETAIL,208346,Ashe Construction Ltd,51045077,C1030,"New Construction, Conversion & Renovation",13913.46,06/07/2016,Capital,
INSERTED DETAIL,208346,Ashe Construction Ltd,51055570,C1030,"New Construction, Conversion & Renovation",232339.30,27/07/2016,Capital,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,51045989,R4701,Grants To External Organisations,3000.00,04/07/2016,Communities,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,51048288,R5604,Commissioned Works,1653.90,04/07/2016,Communities,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,51056636,R6107,SEN Statements Funding - Non-Maintained Schools,4349.00,20/07/2016,Communities,
INSERTED DETAIL,200465,Ashleigh Nursery School,51041647,R6106,Private Providers - Early Years Funding,7239.37,04/07/2016,Communities,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51049312,R4058,Books,17419.88,05/07/2016,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51052575,R4058,Books,6586.44,12/07/2016,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51058302,R4058,Books,4784.88,22/07/2016,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51049385,R4058,Books,788.76,29/07/2016,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51049380,R4058,Books,976.95,29/07/2016,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51049379,R4058,Books,1055.30,29/07/2016,Resources,
INSERTED DETAIL,226763,Aspect Care Home Ltd,51052272,R5806,Residential Care (Adults),2960.72,11/07/2016,People Group,
INSERTED DETAIL,231163,Aspens Services Ltd,51036622,R4104,Food Costs / Provisions,6381.58,08/07/2016,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,51040793,R1101,Agency Staff Pay,3024.00,15/07/2016,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,51044247,R1101,Agency Staff Pay,756.00,21/07/2016,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,51044714,R1501,Interview Expenses,1555.92,22/07/2016,Schools,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,51044250,R4433,Sport Instruction,967.27,21/07/2016,Schools,
INSERTED DETAIL,209255,Association Of Town Centre Management,51056309,R4702,Subscriptions To Organisations,795.00,28/07/2016,Communities,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),51059144,R5702,Payments to External Contractors,1049.16,29/07/2016,Communities,
INSERTED DETAIL,208492,Atkins Ltd,51048104,C1030,"New Construction, Conversion & Renovation",4725.00,29/07/2016,Capital,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51035890,R1101,Agency Staff Pay,2441.55,05/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51035890,R1101,Agency Staff Pay,5626.90,05/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51035888,R1101,Agency Staff Pay,17403.83,05/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51035881,R1101,Agency Staff Pay,4706.01,05/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51040906,R4409,Consultancy,1218.00,14/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51040859,R4409,Consultancy,2413.64,14/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51040874,R4409,Consultancy,2915.80,14/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51047348,R1101,Agency Staff Pay,3498.43,18/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51045411,R1101,Agency Staff Pay,63410.13,18/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51045411,R3403,Casual User Mileage,965.81,18/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51045504,R1101,Agency Staff Pay,5237.32,21/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51047668,C1050,External Fees,41019.00,25/07/2016,Capital,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51047658,C1050,External Fees,3593.00,25/07/2016,Capital,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51047653,C1050,External Fees,4723.00,25/07/2016,Capital,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51047660,C1050,External Fees,1601.01,25/07/2016,Capital,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51047654,R1101,Agency Staff Pay,18883.36,26/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51047656,R1101,Agency Staff Pay,12261.50,26/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51048110,R4409,Consultancy,1350.00,27/07/2016,Resources,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51048123,R1101,Agency Staff Pay,18147.92,27/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51048142,R1101,Agency Staff Pay,2616.30,27/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51048142,R1101,Agency Staff Pay,4089.12,27/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51053025,R1101,Agency Staff Pay,16694.10,28/07/2016,Resources,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51054738,R1101,Agency Staff Pay,644.84,29/07/2016,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51054738,R1101,Agency Staff Pay,2763.60,29/07/2016,Communities,
,,ATLAS (UK) LTD,P-CARD,,,714.00 ,19/07/2016,,
INSERTED DETAIL,200505,ATS Euromaster Ltd,51039919,R3001,Direct Vehicle Running Costs,5479.13,12/07/2016,Communities,
INSERTED DETAIL,200505,ATS Euromaster Ltd,51052939,R3001,Direct Vehicle Running Costs,3511.98,13/07/2016,Communities,
INSERTED DETAIL,200516,Austrey Pre School,51041672,R6106,Private Providers - Early Years Funding,772.20,04/07/2016,Communities,
INSERTED DETAIL,100001,Autism West Midlands,51052274,R5806,Residential Care (Adults),4084.00,11/07/2016,People Group,
INSERTED DETAIL,100008,Autism West Midlands,51052418,R5806,Residential Care (Adults),4072.80,11/07/2016,People Group,
INSERTED DETAIL,100007,Autism West Midlands,51052273,R5806,Residential Care (Adults),8219.88,11/07/2016,People Group,
INSERTED DETAIL,230897,Avery Homes (Cannock) Ltd - Abbey Court Nursing Home,51052251,R5806,Residential Care (Adults),1952.00,11/07/2016,People Group,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,51052256,R5806,Residential Care (Adults),29639.63,11/07/2016,People Group,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,51052256,R5806,Residential Care (Adults),3992.48,11/07/2016,People Group,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,51052256,R5806,Residential Care (Adults),1668.44,11/07/2016,People Group,
INSERTED DETAIL,228022,Aviation Engineering Support Ltd,51054702,C1060,Grants & Contributions To Outside Organisations,1522.98,28/07/2016,Capital,
INSERTED DETAIL,230277,Avidity IP Ltd,51061753,R5604,Commissioned Works,1300.00,28/07/2016,Communities,
INSERTED DETAIL,216249,Avonside Health Centre,51059200,R5702,Payments to External Contractors,1074.58,29/07/2016,Communities,
INSERTED DETAIL,216249,Avonside Health Centre,51059051,R5702,Payments to External Contractors,750.15,29/07/2016,Communities,
INSERTED DETAIL,213427,Aylesford School And Sixth Form College (Academy),51046045,R4701,Grants To External Organisations,3000.00,04/07/2016,Communities,
INSERTED DETAIL,213427,Aylesford School And Sixth Form College (Academy),51056621,R6107,SEN Statements Funding - Non-Maintained Schools,2148.00,20/07/2016,Communities,
INSERTED DETAIL,209620,B Line Plant Ltd,51044196,R4038,Plant & Tools,6240.00,01/07/2016,Communities,
INSERTED DETAIL,209620,B Line Plant Ltd,51048688,R4038,Plant & Tools,4800.00,12/07/2016,Communities,
INSERTED DETAIL,209620,B Line Plant Ltd,51048682,R4038,Plant & Tools,570.00,12/07/2016,Communities,
INSERTED DETAIL,209620,B Line Plant Ltd,51059815,R4038,Plant & Tools,1300.00,28/07/2016,Communities,
INSERTED DETAIL,209620,B Line Plant Ltd,51060278,R4038,Plant & Tools,7320.00,29/07/2016,Communities,
INSERTED DETAIL,230564,Bablake School,51053656,R6107,SEN Statements Funding - Non-Maintained Schools,2515.00,20/07/2016,Communities,
INSERTED DETAIL,230564,Bablake School,50971541,R6107,SEN Statements Funding - Non-Maintained Schools,2475.00,20/07/2016,Communities,
INSERTED DETAIL,200575,Baddesley and Grendon Pre/School - Playgroup,51041800,R6106,Private Providers - Early Years Funding,4826.25,04/07/2016,Communities,
INSERTED DETAIL,200576,Badenoch & Clark,51044956,R1101,Agency Staff Pay,1600.00,01/07/2016,Resources,
INSERTED DETAIL,200576,Badenoch & Clark,51031127,R1101,Agency Staff Pay,1650.00,01/07/2016,Resources,
INSERTED DETAIL,200576,Badenoch & Clark,51032020,R1101,Agency Staff Pay,2070.00,01/07/2016,Resources,
INSERTED DETAIL,200576,Badenoch & Clark,51033033,R1101,Agency Staff Pay,2135.00,01/07/2016,Resources,
