Supplier ID,Supplier,TransNo,Account,Description, Amount ,Pay date,Group
200419,Arden Construction Ltd,50005255,C1030,"New Construction, Conversion & Renovation"," 4,350.62 ",01/11/2011,Capital
200419,Arden Construction Ltd,50005737,R2022,Building (LB)," 4,803.83 ",01/11/2011,Resources
200419,Arden Construction Ltd,50006011,R2022,Building (LB), 711.75 ,09/11/2011,Resources
200419,Arden Construction Ltd,50006012,R2022,Building (LB), 810.78 ,09/11/2011,Resources
200419,Arden Construction Ltd,50006032,R2022,Building (LB), 662.17 ,09/11/2011,Resources
200419,Arden Construction Ltd,50006478,C1030,"New Construction, Conversion & Renovation"," 14,000.00 ",10/11/2011,Capital
200419,Arden Construction Ltd,50006480,R2022,Building (LB)," 24,475.00 ",10/11/2011,Resources
200419,Arden Construction Ltd,50006483,C1030,"New Construction, Conversion & Renovation"," 3,388.91 ",10/11/2011,Capital
200419,Arden Construction Ltd,50006489,C1030,"New Construction, Conversion & Renovation"," 6,000.00 ",10/11/2011,Capital
200419,Arden Construction Ltd,50006490,C1030,"New Construction, Conversion & Renovation"," 6,000.00 ",10/11/2011,Capital
200419,Arden Construction Ltd,50006497,C1030,"New Construction, Conversion & Renovation"," 22,000.00 ",10/11/2011,Capital
200419,Arden Construction Ltd,50006499,R2022,Building (LB)," 1,989.37 ",10/11/2011,Resources
200419,Arden Construction Ltd,50007132,C1030,"New Construction, Conversion & Renovation"," 2,844.82 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007177,C1030,"New Construction, Conversion & Renovation"," 3,112.83 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007178,C1030,"New Construction, Conversion & Renovation"," 1,936.53 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007179,C1030,"New Construction, Conversion & Renovation"," 4,550.95 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007180,R2022,Building (LB)," 1,034.98 ",10/11/2011,Resources
200419,Arden Construction Ltd,50007181,C1030,"New Construction, Conversion & Renovation"," 4,075.37 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007182,C1030,"New Construction, Conversion & Renovation"," 7,894.39 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007183,R2022,Building (LB)," 1,133.80 ",10/11/2011,Resources
200419,Arden Construction Ltd,50007184,R2022,Building (LB)," 1,737.17 ",10/11/2011,Resources
200419,Arden Construction Ltd,50007185,C1030,"New Construction, Conversion & Renovation"," 9,924.70 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007186,R2022,Building (LB)," 2,030.58 ",10/11/2011,Resources
200419,Arden Construction Ltd,50007187,C1030,"New Construction, Conversion & Renovation"," 2,795.37 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007188,C1030,"New Construction, Conversion & Renovation"," 13,779.45 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007189,C1030,"New Construction, Conversion & Renovation"," 2,994.68 ",10/11/2011,Capital
200419,Arden Construction Ltd,50007660,R2022,Building (LB)," 3,955.23 ",14/11/2011,Resources
200419,Arden Construction Ltd,50008063,C1030,"New Construction, Conversion & Renovation"," 3,068.11 ",14/11/2011,Capital
200419,Arden Construction Ltd,50008071,R2022,Building (LB)," 5,570.00 ",14/11/2011,Resources
200419,Arden Construction Ltd,50008074,R2022,Building (LB)," 4,765.00 ",14/11/2011,Resources
200419,Arden Construction Ltd,50008075,C1030,"New Construction, Conversion & Renovation"," 11,622.13 ",22/11/2011,Capital
200419,Arden Construction Ltd,50010104,R2022,Building (LB)," 3,388.05 ",17/11/2011,Resources
200419,Arden Construction Ltd,50010105,R2022,Building (LB), 898.08 ,17/11/2011,Resources
200419,Arden Construction Ltd,50010106,C1030,"New Construction, Conversion & Renovation"," 4,144.45 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010107,C1030,"New Construction, Conversion & Renovation"," 3,461.01 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010108,C1030,"New Construction, Conversion & Renovation"," 2,481.72 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010109,C1030,"New Construction, Conversion & Renovation"," 29,000.00 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010110,C1030,"New Construction, Conversion & Renovation"," 10,356.71 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010119,C1030,"New Construction, Conversion & Renovation"," 1,827.33 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010152,C1030,"New Construction, Conversion & Renovation"," 7,189.58 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010155,C1030,"New Construction, Conversion & Renovation"," 2,747.41 ",17/11/2011,Capital
200419,Arden Construction Ltd,50010732,C1030,"New Construction, Conversion & Renovation", 597.60 ,25/11/2011,Capital
200419,Arden Construction Ltd,50011410,R2022,Building (LB)," 18,500.00 ",22/11/2011,Resources
200419,Arden Construction Ltd,50012143,C1030,"New Construction, Conversion & Renovation"," 12,423.00 ",29/11/2011,Capital
200419,Arden Construction Ltd,50012162,C1030,"New Construction, Conversion & Renovation"," 3,539.00 ",29/11/2011,Capital
200419,Arden Construction Ltd,50012186,R2022,Building (LB)," 6,100.00 ",29/11/2011,Resources
200419,Arden Construction Ltd,50012187,C1030,"New Construction, Conversion & Renovation"," 30,437.00 ",29/11/2011,Capital
200419,Arden Construction Ltd,50012188,C1030,"New Construction, Conversion & Renovation"," 12,092.00 ",29/11/2011,Capital
200419,Arden Construction Ltd,50012189,C1030,"New Construction, Conversion & Renovation"," 13,500.00 ",29/11/2011,Capital
200419,Arden Construction Ltd,50012191,C1030,"New Construction, Conversion & Renovation"," 4,734.00 ",29/11/2011,Capital
200419,Arden Construction Ltd,50014620,C1030,"New Construction, Conversion & Renovation"," 68,085.41 ",30/11/2011,Capital
200419,Arden Construction Ltd,50014741,C1030,"New Construction, Conversion & Renovation"," 1,780.26 ",30/11/2011,Capital
200419,Arden Construction Ltd,50014742,C1030,"New Construction, Conversion & Renovation"," 4,602.27 ",30/11/2011,Capital
200419,Arden Construction Ltd,50014809,R2022,Building (LB), 629.64 ,30/11/2011,Resources
200419,Arden Construction Ltd,50014810,C1030,"New Construction, Conversion & Renovation"," 1,704.60 ",30/11/2011,Capital
200419,Arden Construction Ltd,50014812,R2022,Building (LB)," 2,264.04 ",30/11/2011,Resources
200419,Arden Construction Ltd,50014813,R2022,Building (LB)," 1,888.12 ",30/11/2011,Resources
200419,Arden Construction Ltd,50015057,R2022,Building (LB)," 1,989.37 ",30/11/2011,Resources
200419,Arden Construction Ltd,50015058,C1030,"New Construction, Conversion & Renovation"," 42,348.00 ",30/11/2011,Capital
200419,Arden Construction Ltd,50015059,R2022,Building (LB)," 2,039.47 ",30/11/2011,Resources
200419,Arden Construction Ltd,50015060,C1030,"New Construction, Conversion & Renovation"," 15,007.00 ",30/11/2011,Capital
200419,Arden Construction Ltd,50015065,R2022,Building (LB)," 1,833.55 ",30/11/2011,Resources
200419,Arden Construction Ltd,50015093,R2022,Building (LB)," 8,494.91 ",30/11/2011,Resources
200435,Arley Taxis,50007630,R3204,Home To School / College Transport, 589.00 ,14/11/2011,Communities
200438,Arnold Lodge  Preparatory School,50011228,R5702,Payments to External Contractors," 8,143.20 ",22/11/2011,People Group
200441,Arriva Midlands North Ltd,50013340,R5204,Concessionary Fares," 11,413.75 ",25/11/2011,Communities
207773,Arval UK Limited,50011626,R3005,Fuel," 59,845.00 ",22/11/2011,Communities
208346,Ashe Construction Ltd,50003730,C1030,"New Construction, Conversion & Renovation"," 85,000.00 ",03/11/2011,Capital
208346,Ashe Construction Ltd,50003748,C1030,"New Construction, Conversion & Renovation"," 65,000.00 ",03/11/2011,Capital
208346,Ashe Construction Ltd,50008065,C1030,"New Construction, Conversion & Renovation"," 19,548.77 ",15/11/2011,Capital
208346,Ashe Construction Ltd,50008070,C1030,"New Construction, Conversion & Renovation"," 5,645.56 ",15/11/2011,Capital
208346,Ashe Construction Ltd,50008076,C1030,"New Construction, Conversion & Renovation"," 2,560.65 ",15/11/2011,Capital
200465,Ashleigh Nursery School,50011233,R5702,Payments to External Contractors," 9,333.09 ",22/11/2011,People Group
200468,Askews Library Services Ltd,50010894,R4058,Books, 614.22 ,24/11/2011,Resources
200468,Askews Library Services Ltd,50010910,R4058,Books, 655.94 ,24/11/2011,Resources
210133,Aspire Care Solutions Limited,50011991,R4058,Books," 1,400.00 ",29/11/2011,Communities
209261,Associated Broad Campden Cars,50009629,R3204,Home To School / College Transport, 559.00 ,30/11/2011,Communities
200488,Astar Industrial Cleaners,50014037,R2702,Contract Cleaning / Caretaking, 805.00 ,28/11/2011,Communities
200501,Atherstone Taxis,50009131,R3204,Home To School / College Transport, 783.00 ,15/11/2011,Communities
200505,Ats Euromaster Ltd,50011646,R3004,Repair & Maintenance Of Vehicles," 5,401.09 ",22/11/2011,Communities
200509,Audiogo Ltd,50010884,R4058,Books, 657.12 ,21/11/2011,Resources
200509,Audiogo Ltd,50011883,R4044,Stock For Re-Sale Or Hire," 3,228.60 ",24/11/2011,Resources
200510,Audit Commission,50010636,R4413,External Audit Fees," 16,107.00 ",18/11/2011,Other Services
200510,Audit Commission,50010636,R4413,External Audit Fees," 1,657.50 ",18/11/2011,Other Services
208685,Auditware Systems Ltd,50007661,R1601,Training - External, 565.00 ,08/11/2011,Resources
200516,Austrey Pre School Group,50011150,R5702,Payments to External Contractors, 581.49 ,22/11/2011,People Group
209214,Aviva Risk Management Solutions UK Ltd,50007822,R1601,Training - External," 1,155.00 ",16/11/2011,Communities
209214,Aviva Risk Management Solutions UK Ltd,50007864,R1601,Training - External, 895.00 ,16/11/2011,Communities
200534,Avon Workshop Supplies,50008010,R4030,Materials, 501.72 ,15/11/2011,Communities
200534,Avon Workshop Supplies,50008640,R4030,Materials, 515.63 ,15/11/2011,Communities
200554,B H M Compak Radiators,50012104,R4030,Materials, 660.00 ,25/11/2011,Communities
200575,Baddesley and Grendon Pre/School - Playgroup,50011208,R5702,Payments to External Contractors," 10,231.46 ",22/11/2011,People Group
200576,Badenoch and Clark,50006509,R1101,Agency Staff Pay," 3,862.71 ",15/11/2011,Resources
200576,Badenoch and Clark,50007708,R4443,Professional Fees Admin, 504.91 ,11/11/2011,Resources
200576,Badenoch and Clark,50010543,R1101,Agency Staff Pay," 5,424.47 ",22/11/2011,Resources
200576,Badenoch and Clark,50012748,R1101,Agency Staff Pay, 753.70 ,24/11/2011,Resources
200576,Badenoch and Clark,50012802,R1101,Agency Staff Pay, 768.34 ,25/11/2011,Resources
200581,Baginton Nurseries Ltd,50015272,R2753,Grounds Maintenance Materials & Equipment, 814.20 ,30/11/2011,Resources
200588,Bakers Commercial Services,50015398,R3204,Home To School / College Transport, 654.64 ,30/11/2011,Communities
200589,Balfour Beatty Living Places Ltd,50011913,R5707,Highways Maintenance Contract," 177,897.46 ",23/11/2011,Communities
200589,Balfour Beatty Living Places Ltd,50011917,R5707,Highways Maintenance Contract," 889,487.29 ",23/11/2011,Communities
200593,Bambini Childcare Ltd,50011151,R5702,Payments to External Contractors," 10,294.05 ",22/11/2011,People Group
200594,Banana Moon Day Nursery 1,50011217,R5702,Payments to External Contractors," 3,375.13 ",22/11/2011,People Group
200596,Banbury & Evesham Monthly Meeting United Trus,50006295,R2201,Rent," 3,966.50 ",07/11/2011,Resources
210703,Beehive Day Nurseries,50011043,R5702,Payments to External Contractors," 6,757.14 ",22/11/2011,People Group
210711,Beehive Day Nursery Barford,50011047,R5702,Payments to External Contractors," 8,217.17 ",22/11/2011,People Group
200657,Beehive Day Nursery Rugby,50011251,R5702,Payments to External Contractors," 1,452.36 ",22/11/2011,People Group
200686,Bertram Library Services,50008589,R4044,Stock For Re-Sale Or Hire, 654.01 ,15/11/2011,Resources
200686,Bertram Library Services,50012283,R4044,Stock For Re-Sale Or Hire, 993.60 ,30/11/2011,Resources
200706,Biffa Waste Services Ltd,50007743,R2706,Refuse Collection / Waste Disposal," 1,178.58 ",10/11/2011,Resources
205755,Bilton Sunbeams Pre School,50011106,R5702,Payments to External Contractors, 528.45 ,22/11/2011,People Group
200721,Binswood Nursery School,50011118,R5702,Payments to External Contractors," 3,516.63 ",22/11/2011,People Group
200726,Birchwood Pre-School,50011133,R5702,Payments to External Contractors," 16,159.65 ",22/11/2011,People Group
200731,Birmingham Automotive Technologies,50006602,R4030,Materials," 1,088.67 ",15/11/2011,Communities
200748,Bishops Tachbrook Pre-School Nursery,50011253,R5702,Payments to External Contractors," 6,507.93 ",22/11/2011,People Group
200751,Bizzy Tots Day Nursery Ltd - Bilton,50011060,R5702,Payments to External Contractors," 8,050.77 ",22/11/2011,People Group
200752,Bizzy Tots Day Nursery Ltd - Rugby,50011234,R5702,Payments to External Contractors," 2,436.72 ",22/11/2011,People Group
200755,Black Isle Bronze Ltd,50011524,C1050,External Fees," 12,335.00 ",28/11/2011,Capital
200761,Blakemore Foods Service,50007501,R4104,Food Costs / Provisions," 2,990.52 ",08/11/2011,Resources
200761,Blakemore Foods Service,50008276,R2709,Cleaning Materials, 640.87 ,14/11/2011,Resources
200761,Blakemore Foods Service,50008276,R4104,Food Costs / Provisions," 25,071.17 ",14/11/2011,Resources
200761,Blakemore Foods Service,50010097,R2709,Cleaning Materials," 1,582.88 ",17/11/2011,Resources
200761,Blakemore Foods Service,50010097,R4104,Food Costs / Provisions," 29,322.16 ",17/11/2011,Resources
200761,Blakemore Foods Service,50011717,R2709,Cleaning Materials, 869.41 ,23/11/2011,Resources
200761,Blakemore Foods Service,50011717,R4104,Food Costs / Provisions," 27,532.08 ",23/11/2011,Resources
200761,Blakemore Foods Service,50015244,R2709,Cleaning Materials," 1,067.77 ",30/11/2011,Resources
200761,Blakemore Foods Service,50015244,R4103,Catering Disposables, 741.29 ,30/11/2011,Resources
200761,Blakemore Foods Service,50015244,R4104,Food Costs / Provisions," 26,442.91 ",30/11/2011,Resources
200767,Blue Arrow Ltd,50006510,R1101,Agency Staff Pay," 1,881.00 ",08/11/2011,Resources
200767,Blue Arrow Ltd,50006514,R1101,Agency Staff Pay," 1,881.00 ",08/11/2011,Resources
200767,Blue Arrow Ltd,50008163,R1101,Agency Staff Pay," 1,881.00 ",18/11/2011,Resources
208354,Blue Diamond Plumbing & Heating,50006588,C1030,"New Construction, Conversion & Renovation"," 29,000.00 ",14/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50007328,C1030,"New Construction, Conversion & Renovation"," 13,835.04 ",14/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50009569,R2023,Mechanical (LM), 973.80 ,16/11/2011,Resources
208354,Blue Diamond Plumbing & Heating,50009576,R2023,Mechanical (LM)," 1,015.30 ",16/11/2011,Resources
208354,Blue Diamond Plumbing & Heating,50009577,R2023,Mechanical (LM), 885.84 ,16/11/2011,Resources
208354,Blue Diamond Plumbing & Heating,50010270,R2023,Mechanical (LM)," 2,662.15 ",18/11/2011,Resources
208354,Blue Diamond Plumbing & Heating,50010347,R2023,Mechanical (LM)," 2,562.56 ",18/11/2011,Resources
208354,Blue Diamond Plumbing & Heating,50010701,C1030,"New Construction, Conversion & Renovation"," 15,399.76 ",18/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50010705,C1030,"New Construction, Conversion & Renovation"," 5,423.54 ",18/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50012163,C1030,"New Construction, Conversion & Renovation"," 1,980.51 ",24/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50012164,C1030,"New Construction, Conversion & Renovation"," 8,000.00 ",24/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50012167,C1030,"New Construction, Conversion & Renovation"," 43,031.13 ",24/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50014572,C1030,"New Construction, Conversion & Renovation"," 16,000.00 ",30/11/2011,Capital
208354,Blue Diamond Plumbing & Heating,50014573,C1030,"New Construction, Conversion & Renovation"," 24,000.00 ",30/11/2011,Capital
200772,Blue Windmill Nursery,50011112,R5702,Payments to External Contractors," 13,650.78 ",22/11/2011,People Group
200784,Bold Communications Ltd,50015269,R4506,IT Support & Maintenance, 610.66 ,30/11/2011,Fire and Rescue
200815,Bowie Lockwood Structures,50009859,R5706,Payments to Third Parties - Recoverable Operating Expenditure," 112,477.36 ",18/11/2011,Communities
200822,Bradby Club,50012616,R5501,Grants to Organisations & Voluntary Bodies," 5,000.00 ",30/11/2011,Communities
200823,Bradley Green Nursery School,50011075,R5702,Payments to External Contractors," 4,882.67 ",22/11/2011,People Group
200833,Brambles Pre- School,50011081,R5702,Payments to External Contractors," 1,516.95 ",22/11/2011,People Group
207698,Bright Horizons Day Nurseries,50011182,R5702,Payments to External Contractors," 2,777.31 ",22/11/2011,People Group
200861,Bright Kids,50011130,R5702,Payments to External Contractors," 3,932.76 ",22/11/2011,People Group
200862,Bright Sparks Pre-School Leamington Ltd,50011134,R5702,Payments to External Contractors," 9,853.02 ",22/11/2011,People Group
200865,Brinklow Quarry,50009148,R5703,Site Payments," 3,207.36 ",15/11/2011,Communities
200865,Brinklow Quarry,50009150,R5703,Site Payments, 630.18 ,15/11/2011,Communities
200865,Brinklow Quarry,50013863,R5703,Site Payments," 3,126.44 ",29/11/2011,Communities
200865,Brinklow Quarry,50013864,R5703,Site Payments," 2,900.48 ",29/11/2011,Communities
200865,Brinklow Quarry,50013875,R5703,Site Payments," 2,907.02 ",30/11/2011,Communities
200865,Brinklow Quarry,50013876,R5703,Site Payments," 2,645.50 ",29/11/2011,Communities
200865,Brinklow Quarry,50013880,R5703,Site Payments," 2,319.48 ",29/11/2011,Communities
210492,Bristow & Sutor,50009516,R2301,Rates," 5,430.00 ",16/11/2011,People Group
200874,British Gas Business,50010594,C1030,"New Construction, Conversion & Renovation","-1,865.78 ",30/11/2011,Capital
200874,British Gas Business,50014123,R2101,Gas," 1,702.07 ",30/11/2011,Communities
200883,British Gas Trading Ltd,50010783,R2101,Gas, 596.87 ,22/11/2011,Resources
200883,British Gas Trading Ltd,50011331,R2101,Gas," 1,719.82 ",22/11/2011,Resources
200891,British Telecom Plc,50006345,R4502,Dedicated Internet Links," 2,195.90 ",04/11/2011,Resources
200891,British Telecom Plc,50013221,R4511,Private Circuit Lines," 1,075.00 ",25/11/2011,Resources
200891,British Telecom Plc,50013298,R4514,Telephone Rental," 13,015.25 ",25/11/2011,Communities
200891,British Telecom Plc,50013300,R4514,Telephone Rental," 2,570.46 ",25/11/2011,Communities
200894,British Telecommunications Plc,50014458,R4514,Telephone Rental, 933.50 ,30/11/2011,Communities
209980,Broadband Policy Consulting Ltd,50012071,R4409,Consultancy," 3,000.00 ",30/11/2011,Resources
200909,Brookline Cars Ltd,50008278,R3204,Home To School / College Transport," 2,735.30 ",11/11/2011,Communities
200910,Brooklyn Private Day Nursery,50011119,R5702,Payments to External Contractors," 6,947.91 ",22/11/2011,People Group
200931,Bt Global Services,50004119,R4514,Telephone Rental, 663.41 ,07/11/2011,Fire and Rescue
200940,Budbrooke House Childrens Nursery Ltd,50011171,R5702,Payments to External Contractors," 5,030.06 ",22/11/2011,People Group
200967,Busy Bees Childrens Day Nursery,50011054,R5702,Payments to External Contractors," 15,950.22 ",22/11/2011,People Group
200968,Busy Bees Nursery Rugby,50011194,R5702,Payments to External Contractors," 10,055.76 ",22/11/2011,People Group
200970,Busy Bees Pre-School,50011082,R5702,Payments to External Contractors," 3,005.15 ",22/11/2011,People Group
200974,By The Bridge,50010633,R5822,Foster Care Payments - External," 3,930.00 ",18/11/2011,People Group
200974,By The Bridge,50010634,R5822,Foster Care Payments - External," 3,767.14 ",18/11/2011,People Group
200974,By The Bridge,50010638,R5822,Foster Care Payments - External," 3,767.14 ",18/11/2011,People Group
200974,By The Bridge,50011789,R5804,Foster Care Payments," 3,981.43 ",22/11/2011,People Group
209012,Byrne Decorators Ltd,50007004,C1030,"New Construction, Conversion & Renovation"," 1,210.00 ",21/11/2011,Capital
201027,C T P Pension Scheme T/A Coventry Turned Part,50006307,R2802,Material Damage Insurance Premiums, 509.52 ,07/11/2011,Resources
201040,Cabs of Rugby Ltd,50009467,R3204,Home To School / College Transport, 531.84 ,16/11/2011,Communities
201040,Cabs of Rugby Ltd,50009470,R3204,Home To School / College Transport, 933.60 ,16/11/2011,Communities
201040,Cabs of Rugby Ltd,50009472,R3204,Home To School / College Transport," 1,061.19 ",16/11/2011,Communities
201040,Cabs of Rugby Ltd,50009474,R3204,Home To School / College Transport," 1,292.50 ",16/11/2011,Communities
201040,Cabs of Rugby Ltd,50009475,R3204,Home To School / College Transport," 2,210.70 ",16/11/2011,Communities
201048,Caldecote Day Nursery,50011211,R5702,Payments to External Contractors," 5,922.15 ",22/11/2011,People Group
201056,Calthorpe Recruitment Ltd,50009225,C1040,Internal Fees, 600.30 ,18/11/2011,Capital
201056,Calthorpe Recruitment Ltd,50009229,C1040,Internal Fees, 508.95 ,18/11/2011,Capital
