,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50962911,R5822,Foster Care Payments - External,3324.75,03/03/2016,People Group
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50989390,R5822,Foster Care Payments - External,3314.29,16/03/2016,People Group
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50989384,R5822,Foster Care Payments - External,3110.25,16/03/2016,People Group
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,50978821,R5706,Payments to Third Parties - Recoverable Operating Expenditure,2469.97,04/03/2016,Communities
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,50978835,R5706,Payments to Third Parties - Recoverable Operating Expenditure,2890.95,04/03/2016,Communities
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,50980372,R5706,Payments to Third Parties - Recoverable Operating Expenditure,4771.06,31/03/2016,Communities
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,50980376,R5706,Payments to Third Parties - Recoverable Operating Expenditure,5530.96,31/03/2016,Communities
INSERTED DETAIL,200152,Action 21,50978417,R5207,Re-useable Credits,803.78,04/03/2016,Communities
INSERTED DETAIL,211087,Action Centres Uk Ltd,50994201,R4420,Leisure Services External,514.04,24/03/2016,People Group
INSERTED DETAIL,215891,Action For Children (****6746),50980236,R5203,Inter Authority Payments,1833.00,04/03/2016,People Group
INSERTED DETAIL,215891,Action For Children (****6746),50982214,R5848,Residential Care (Children),50625.00,11/03/2016,People Group
INSERTED DETAIL,220313,Adana Management Group Ltd,50969056,R1101,Agency Staff Pay,2308.05,04/03/2016,Resources
INSERTED DETAIL,200168,ADCS / The Association of Directors of Children's Services Ltd,50990176,R4702,Subscriptions To Organisations,3135.00,29/03/2016,Other Services
INSERTED DETAIL,200169,Addaction - Henley House,50987809,R5702,Payments to External Contractors,26339.87,15/03/2016,Communities
INSERTED DETAIL,200169,Addaction - Henley House,50994098,R5702,Payments to External Contractors,281709.79,23/03/2016,Communities
INSERTED DETAIL,200169,Addaction - Henley House,50995987,R4612,Projects,8000.00,24/03/2016,Communities
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50992929,R5806,Residential Care (Adults),2090.16,21/03/2016,People Group
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50992929,R5806,Residential Care (Adults),8836.00,21/03/2016,People Group
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50992929,R5806,Residential Care (Adults),1850.16,21/03/2016,People Group
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),50992929,R5806,Residential Care (Adults),2840.00,21/03/2016,People Group
INSERTED DETAIL,999982,Admiral Insurance,50986459,R4928,Casualty Insurance Claims,4599.96,10/03/2016,Other Services
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50975590,R5805,Homecare - External Domiciliary (Adults),708.40,03/03/2016,People Group
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50975597,R5805,Homecare - External Domiciliary (Adults),1120.00,03/03/2016,People Group
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50975607,R5805,Homecare - External Domiciliary (Adults),504.00,03/03/2016,People Group
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50985018,R2001,Buildings Maintenance,865.26,11/03/2016,Resources
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50985019,R2001,Buildings Maintenance,917.29,11/03/2016,Resources
INSERTED DETAIL,226666,Advance Trust T/A The Kingfisher School,50971275,R6107,SEN Statements Funding - Non-Maintained Schools,1381.00,11/03/2016,People Group
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,50993073,R5806,Residential Care (Adults),3771.52,21/03/2016,People Group
INSERTED DETAIL,200191,Adventure Kit UK Ltd,50986897,R4007,Equipment,672.00,21/03/2016,People Group
INSERTED DETAIL,229959,AE Fisheries,50969135,R4612,Projects,3500.00,11/03/2016,Communities
INSERTED DETAIL,230167,Aeristech Ltd,50994337,C1060,Grants & Contributions To Outside Organisations,14367.34,24/03/2016,Capital
INSERTED DETAIL,229695,Ag Con UK Ltd,50985052,C1060,Grants & Contributions To Outside Organisations,3750.17,10/03/2016,Capital
INSERTED DETAIL,229695,Ag Con UK Ltd,50993683,C1060,Grants & Contributions To Outside Organisations,2454.44,23/03/2016,Capital
INSERTED DETAIL,230120,AG Instruments,50992124,C1060,Grants & Contributions To Outside Organisations,7223.66,23/03/2016,Capital
INSERTED DETAIL,200201,Age UK - Warks,50980383,R5807,SLA Social Care Provision,615.00,10/03/2016,People Group
INSERTED DETAIL,200201,Age UK - Warks,50987440,R5702,Payments to External Contractors,5000.00,18/03/2016,Communities
INSERTED DETAIL,200201,Age UK - Warks,50991301,R5807,SLA Social Care Provision,1846.00,24/03/2016,People Group
INSERTED DETAIL,200201,Age UK - Warks,50991311,R5807,SLA Social Care Provision,4615.00,24/03/2016,People Group
INSERTED DETAIL,200201,Age UK - Warks,50991297,R5807,SLA Social Care Provision,4615.00,24/03/2016,People Group
INSERTED DETAIL,200201,Age UK - Warks,50994331,R5809,Adult Social Care Contracts,1032.00,31/03/2016,People Group
INSERTED DETAIL,200201,Age UK - Warks,50994309,C1060,Grants & Contributions To Outside Organisations,10000.00,31/03/2016,Capital
INSERTED DETAIL,200207,AIM Project,50994347,R1601,Training - External,2071.66,31/03/2016,Communities
INSERTED DETAIL,200211,Airtay,50979560,R2751,Grounds Maintenance Non Contract,8100.00,10/03/2016,Communities
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50992931,R5806,Residential Care (Adults),3820.00,21/03/2016,People Group
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50992931,R5806,Residential Care (Adults),-800.74,21/03/2016,People Group
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50992931,R5806,Residential Care (Adults),2489.52,21/03/2016,People Group
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50992931,R5806,Residential Care (Adults),2700.00,21/03/2016,People Group
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50993221,R5806,Residential Care (Adults),1813.68,21/03/2016,People Group
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50993221,R5806,Residential Care (Adults),1973.68,21/03/2016,People Group
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50993221,R5806,Residential Care (Adults),2213.68,21/03/2016,People Group
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50990831,R6107,SEN Statements Funding - Non-Maintained Schools,1732.00,18/03/2016,People Group
INSERTED DETAIL,999982,Alcester Town Council,50983360,R5501,Grants to Organisations & Voluntary Bodies,700.00,08/03/2016,Communities
INSERTED DETAIL,223728,Alere Toxicology Plc (****0298),50971313,R6104,Social Care - Section 17 Payments,503.00,16/03/2016,People Group
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50974866,R4409,Consultancy,3136.80,03/03/2016,Resources
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50992546,R4409,Consultancy,3973.60,29/03/2016,Resources
INSERTED DETAIL,100004,Allambie Court Nursing Home,50992932,R5806,Residential Care (Adults),4514.83,21/03/2016,People Group
INSERTED DETAIL,100004,Allambie Court Nursing Home,50992932,R5806,Residential Care (Adults),21331.03,21/03/2016,People Group
INSERTED DETAIL,100004,Allambie Court Nursing Home,50992932,R5806,Residential Care (Adults),1840.68,21/03/2016,People Group
INSERTED DETAIL,100435,Allambie Enterprises,50992933,R5806,Residential Care (Adults),1562.52,21/03/2016,People Group
INSERTED DETAIL,207709,Allen Ford,50990199,R4030,Materials,680.41,16/03/2016,Communities
INSERTED DETAIL,200276,Alliance Foster Care Ltd,50979350,R5822,Foster Care Payments - External,4971.47,07/03/2016,People Group
INSERTED DETAIL,200276,Alliance Foster Care Ltd,50979339,R5822,Foster Care Payments - External,5314.33,07/03/2016,People Group
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,50981054,R3005,Fuel,29196.82,03/03/2016,Communities
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,50993226,R5806,Residential Care (Adults),1852.00,21/03/2016,People Group
INSERTED DETAIL,228232,Altum Residential Care Ltd,50985081,R5848,Residential Care (Children),12378.60,09/03/2016,People Group
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50992936,R5806,Residential Care (Adults),1843.88,21/03/2016,People Group
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50992936,R5806,Residential Care (Adults),514.29,21/03/2016,People Group
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50992936,R5806,Residential Care (Adults),5031.96,21/03/2016,People Group
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50978508,R4409,Consultancy,21632.51,01/03/2016,Resources
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50994442,R4409,Consultancy,1364.25,23/03/2016,Resources
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50994469,R4409,Consultancy,1615.00,23/03/2016,Resources
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50982686,R4409,Consultancy,2087.75,24/03/2016,Resources
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50994430,R4409,Consultancy,2796.92,24/03/2016,Resources
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50982684,R4409,Consultancy,2201.50,24/03/2016,Resources
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50978524,R4409,Consultancy,2919.75,24/03/2016,Resources
INSERTED DETAIL,229252,AMION Consulting Ltd t/a AMION Consulting,50969054,R4409,Consultancy,3470.00,10/03/2016,Communities
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50965931,R5805,Homecare - External Domiciliary (Adults),508.20,04/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50965925,R5805,Homecare - External Domiciliary (Adults),718.74,04/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50965929,R5805,Homecare - External Domiciliary (Adults),1050.00,04/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50965932,R5805,Homecare - External Domiciliary (Adults),1422.96,04/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50986280,R5805,Homecare - External Domiciliary (Adults),-1050.00,15/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50986259,R5805,Homecare - External Domiciliary (Adults),1481.04,15/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50974766,R5805,Homecare - External Domiciliary (Adults),1829.52,17/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50975661,R5805,Homecare - External Domiciliary (Adults),609.84,18/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50988635,R5805,Homecare - External Domiciliary (Adults),1393.92,18/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50983600,R5805,Homecare - External Domiciliary (Adults),1481.04,23/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50986269,R5805,Homecare - External Domiciliary (Adults),726.00,30/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50995555,R5805,Homecare - External Domiciliary (Adults),813.12,30/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50995568,R5805,Homecare - External Domiciliary (Adults),1219.68,30/03/2016,People Group
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,50988626,R5805,Homecare - External Domiciliary (Adults),755.04,30/03/2016,People Group
INSERTED DETAIL,227027,Angels Healthcare Ltd,50975880,R5805,Homecare - External Domiciliary (Adults),1411.20,18/03/2016,People Group
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50996283,R4443,Professional Fees Admin,530.00,24/03/2016,Resources
INSERTED DETAIL,200351,Angloco Ltd,50979785,R4030,Materials,1186.74,03/03/2016,Communities
INSERTED DETAIL,200351,Angloco Ltd,50975389,R4019,Fire Equipment Purchase,-747.50,03/03/2016,Fire and Rescue
INSERTED DETAIL,200351,Angloco Ltd,50999618,R4030,Materials,3789.42,31/03/2016,Communities
INSERTED DETAIL,200389,Apetito Ltd,50978283,R5809,Adult Social Care Contracts,597.39,04/03/2016,People Group
INSERTED DETAIL,200389,Apetito Ltd,50963918,R5809,Adult Social Care Contracts,-549.00,04/03/2016,People Group
INSERTED DETAIL,200389,Apetito Ltd,50978296,R5809,Adult Social Care Contracts,724.18,04/03/2016,People Group
INSERTED DETAIL,200389,Apetito Ltd,50983002,R5809,Adult Social Care Contracts,16645.34,07/03/2016,People Group
INSERTED DETAIL,200389,Apetito Ltd,50983016,R5809,Adult Social Care Contracts,640.25,07/03/2016,People Group
INSERTED DETAIL,200389,Apetito Ltd,50983027,R5809,Adult Social Care Contracts,-788.00,21/03/2016,People Group
INSERTED DETAIL,200389,Apetito Ltd,50994023,R5809,Adult Social Care Contracts,689.50,21/03/2016,People Group
INSERTED DETAIL,200389,Apetito Ltd,50994021,R5809,Adult Social Care Contracts,16622.07,21/03/2016,People Group
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,50963954,R5848,Residential Care (Children),3000.00,04/03/2016,People Group
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,50963950,R5848,Residential Care (Children),12428.53,04/03/2016,People Group
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,50976277,R5848,Residential Care (Children),13285.67,24/03/2016,People Group
INSERTED DETAIL,215154,Applewood Support Ltd,50975567,R5805,Homecare - External Domiciliary (Adults),927.36,03/03/2016,People Group
INSERTED DETAIL,215154,Applewood Support Ltd,50975577,R5805,Homecare - External Domiciliary (Adults),1159.20,03/03/2016,People Group
INSERTED DETAIL,200397,Apse,50971096,R4409,Consultancy,650.00,11/03/2016,Resources
INSERTED DETAIL,209592,Archaeological Surveys Ltd,50980457,R4409,Consultancy,3800.00,31/03/2016,Communities
INSERTED DETAIL,200419,Arden Construction Ltd,50977883,R2022,Building (LB),1122.75,07/03/2016,Resources
INSERTED DETAIL,200419,Arden Construction Ltd,50980461,C1030,"New Construction, Conversion & Renovation",919.50,11/03/2016,Capital
INSERTED DETAIL,200419,Arden Construction Ltd,50982805,C1030,"New Construction, Conversion & Renovation",543.38,11/03/2016,Capital
INSERTED DETAIL,200419,Arden Construction Ltd,50982775,R2022,Building (LB),6709.60,11/03/2016,Resources
INSERTED DETAIL,200419,Arden Construction Ltd,50984968,C1030,"New Construction, Conversion & Renovation",1229.38,16/03/2016,Capital
INSERTED DETAIL,200419,Arden Construction Ltd,50985021,C1030,"New Construction, Conversion & Renovation",1633.97,18/03/2016,Capital
INSERTED DETAIL,200419,Arden Construction Ltd,50987744,R2022,Building (LB),2406.99,21/03/2016,Resources
INSERTED DETAIL,200419,Arden Construction Ltd,50995042,R2022,Building (LB),6339.33,24/03/2016,Resources
INSERTED DETAIL,200419,Arden Construction Ltd,50989448,C1030,"New Construction, Conversion & Renovation",57661.63,29/03/2016,Capital
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50969378,R2204,Room Hire - External,1610.00,04/03/2016,Communities
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50992639,R2204,Room Hire - External,920.00,18/03/2016,Communities
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50982912,R2204,Room Hire - External,1840.00,31/03/2016,Communities
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50975884,R4049,White Goods/Domestic Appliances,2014.73,08/03/2016,Resources
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50980270,R4049,White Goods/Domestic Appliances,1169.17,15/03/2016,Resources
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50986419,R4049,White Goods/Domestic Appliances,1157.97,23/03/2016,Resources
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50991501,R4049,White Goods/Domestic Appliances,1313.31,30/03/2016,Resources
INSERTED DETAIL,200432,Arjo Huntleigh UK Ltd,50985009,C1010,Acquisition Of New Assets,1997.00,09/03/2016,Capital
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,50994211,R6107,SEN Statements Funding - Non-Maintained Schools,6221.00,22/03/2016,People Group
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,50996484,R6107,SEN Statements Funding - Non-Maintained Schools,1000.00,24/03/2016,People Group
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50975234,R5204,Concessionary Fares,1387.76,23/03/2016,Communities
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50996833,R5204,Concessionary Fares,5010.00,30/03/2016,Communities
INSERTED DETAIL,230660,Arrowsmith Engineering (Cov) Ltd,50992671,C1060,Grants & Contributions To Outside Organisations,15480.00,23/03/2016,Capital
INSERTED DETAIL,999982,Art in the Park,50989531,R4701,Grants To External Organisations,10000.00,18/03/2016,Communities
INSERTED DETAIL,200458,Ascot Business Solutions Ltd,50977563,R4503,Hardware,1483.80,04/03/2016,Resources
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),50990835,R6107,SEN Statements Funding - Non-Maintained Schools,2013.00,18/03/2016,People Group
INSERTED DETAIL,208346,Ashe Construction Ltd,50984989,C1030,"New Construction, Conversion & Renovation",334234.68,21/03/2016,Capital
INSERTED DETAIL,208346,Ashe Construction Ltd,50987090,C1030,"New Construction, Conversion & Renovation",130002.00,22/03/2016,Capital
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50985427,R5604,Commissioned Works,1404.00,10/03/2016,People Group
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50988638,R5604,Commissioned Works,525.00,15/03/2016,People Group
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50988706,R5604,Commissioned Works,560.00,15/03/2016,People Group
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50988628,R5604,Commissioned Works,600.00,15/03/2016,People Group
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50990840,R6107,SEN Statements Funding - Non-Maintained Schools,8628.00,18/03/2016,People Group
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50992577,R5604,Commissioned Works,15812.00,18/03/2016,People Group
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50983358,R4058,Books,7088.34,08/03/2016,Resources
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50988405,R4058,Books,6013.68,15/03/2016,Resources
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50994090,R4058,Books,5041.85,22/03/2016,Resources
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50997672,R4058,Books,17723.80,30/03/2016,Resources
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50998563,R4058,Books,1750.48,31/03/2016,Resources
INSERTED DETAIL,226763,Aspect Care Home Ltd,50992943,R5806,Residential Care (Adults),2906.52,21/03/2016,People Group
INSERTED DETAIL,999982,Aspire in Arts Ltd,50990171,R4612,Projects,1568.00,16/03/2016,Communities
INSERTED DETAIL,200472,Aspire People Ltd,50964472,R1101,Agency Staff Pay,567.00,03/03/2016,Schools
INSERTED DETAIL,200472,Aspire People Ltd,50969680,R1101,Agency Staff Pay,1329.00,11/03/2016,Schools
INSERTED DETAIL,200472,Aspire People Ltd,50975746,R1101,Agency Staff Pay,2006.00,24/03/2016,Schools
INSERTED DETAIL,200472,Aspire People Ltd,50975762,R1101,Agency Staff Pay,1397.00,24/03/2016,Schools
INSERTED DETAIL,200472,Aspire People Ltd,50980468,R1101,Agency Staff Pay,567.00,30/03/2016,Schools
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50975968,R4433,Sport Instruction,531.45,24/03/2016,Schools
,,ASSESSMENT SERVICES LI,P-Card,,,1825.00,17/03/2016,
INSERTED DETAIL,211962,Association of YOT Managers,50966335,R1601,Training - External,1595.00,09/03/2016,Communities
INSERTED DETAIL,230054,Astec Consultant Services,50975141,R4043,Samples,1607.75,18/03/2016,Communities
INSERTED DETAIL,208515,Ati Projects Ltd,50968342,R5702,Payments to External Contractors,12228.63,04/03/2016,Communities
INSERTED DETAIL,208492,Atkins Ltd,50981991,R5702,Payments to External Contractors,8938.00,04/03/2016,Communities
INSERTED DETAIL,208492,Atkins Ltd,50982808,C1030,"New Construction, Conversion & Renovation",2700.00,30/03/2016,Capital
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50981317,R1101,Agency Staff Pay,62829.67,08/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50981317,R3403,Casual User Mileage,533.81,08/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50972939,R1101,Agency Staff Pay,2703.87,09/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50972906,R1101,Agency Staff Pay,8654.56,09/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50971790,R4409,Consultancy,550.00,10/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50972945,R3403,Casual User Mileage,1068.00,14/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50971822,R1101,Agency Staff Pay,9697.98,14/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50972945,R1101,Agency Staff Pay,74052.90,14/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50972367,R1101,Agency Staff Pay,5765.04,15/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50973310,R5706,Payments to Third Parties - Recoverable Operating Expenditure,3000.00,15/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50992707,R1101,Agency Staff Pay,14966.73,18/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50991439,R1101,Agency Staff Pay,7375.78,18/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50979921,R1101,Agency Staff Pay,9328.88,18/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50982800,R4409,Consultancy,2475.00,18/03/2016,Resources
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50980154,C1050,External Fees,3000.00,18/03/2016,Capital
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50979917,R1101,Agency Staff Pay,5392.17,18/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50997009,R1101,Agency Staff Pay,2138.94,30/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50997009,R1101,Agency Staff Pay,10042.74,30/03/2016,Communities
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50982525,R4409,Consultancy,14500.00,31/03/2016,Communities
INSERTED DETAIL,200505,ATS Euromaster Ltd,50968929,R3004,Repair & Maintenance Of Vehicles,8547.04,04/03/2016,Communities
INSERTED DETAIL,200505,ATS Euromaster Ltd,50982627,R3004,Repair & Maintenance Of Vehicles,3341.32,07/03/2016,Communities
INSERTED DETAIL,230641,Attachment Works Ltd,50985123,R4443,Professional Fees Admin,2012.55,09/03/2016,Resources
INSERTED DETAIL,230641,Attachment Works Ltd,50979389,R4443,Professional Fees Admin,813.00,30/03/2016,Resources
