,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,
INSERTED DETAIL,223098,A Whittaker and Son,50844934,R2001,Buildings Maintenance,4404.00,02/07/2015,Resources,,,
INSERTED DETAIL,200114,Abacus Day Nursery,50852405,R6106,Private Providers - Early Years Funding,2027.02,13/07/2015,People Group,,,
INSERTED DETAIL,227752,Abbey Blinds,50851913,C1030,"New Construction, Conversion & Renovation",1767.00,17/07/2015,Capital,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50851056,R5822,Foster Care Payments - External,3207.86,30/07/2015,People Group,,,
INSERTED DETAIL,201709,About Me Care and Support Ltd,50860741,R5818,Community Services External,720.30,27/07/2015,People Group,,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50851845,R5848,Residential Care (Children),9861.41,10/07/2015,People Group,,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50857394,R5848,Residential Care (Children),11757.84,31/07/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50847406,R5822,Foster Care Payments - External,3428.57,01/07/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50851418,R5822,Foster Care Payments - External,3324.75,09/07/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50847407,R5822,Foster Care Payments - External,3217.50,30/07/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50854597,R5822,Foster Care Payments - External,858.00,30/07/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50863572,R5822,Foster Care Payments - External,3542.86,31/07/2015,People Group,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50863573,R5822,Foster Care Payments - External,3324.75,31/07/2015,People Group,,,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,50847083,R5706,Payments to Third Parties - Recoverable Operating Expenditure,625.16,08/07/2015,Communities,,,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,50861590,R5706,Payments to Third Parties - Recoverable Operating Expenditure,1528.88,29/07/2015,Communities,,,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,50861502,R5706,Payments to Third Parties - Recoverable Operating Expenditure,1764.49,30/07/2015,Communities,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,50852407,R6106,Private Providers - Early Years Funding,2702.70,13/07/2015,People Group,,,
INSERTED DETAIL,211087,Action Centres Uk Ltd,50853446,R4915,Educational Visits Expenditure,4512.00,16/07/2015,Schools,,,
INSERTED DETAIL,219696,Action Deafness Ltd,50861258,R5805,Homecare - External Domiciliary (Adults),841.60,30/07/2015,People Group,,,
INSERTED DETAIL,215891,Action For Children (****6746),50854736,R5203,Inter Authority Payments,1314.00,13/07/2015,People Group,,,
INSERTED DETAIL,215891,Action For Children (****6746),50847424,R5848,Residential Care (Children),50625.00,20/07/2015,People Group,,,
INSERTED DETAIL,200158,Active8 Sports,50848412,R4433,Sport Instruction,1830.00,09/07/2015,Schools,,,
INSERTED DETAIL,200158,Active8 Sports,50848413,R4442,Professional Fees Curriculum,777.00,09/07/2015,Schools,,,
INSERTED DETAIL,209747,Adare Ltd,50848777,R4309,Postage & Carriage,2690.59,02/07/2015,Resources,,,
INSERTED DETAIL,209747,Adare Ltd,50852004,R4309,Postage & Carriage,3008.13,24/07/2015,Resources,,,
INSERTED DETAIL,200166,ADASS,50854500,R4702,Subscriptions To Organisations,1830.00,15/07/2015,Other Services,,,
INSERTED DETAIL,200169,Addaction - Henley House,50846617,R1101,Agency Staff Pay,929.15,02/07/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50848893,R4612,Projects,44505.38,03/07/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50856208,R4612,Projects,47587.94,22/07/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50856177,R1101,Agency Staff Pay,3608.00,22/07/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50856094,R4612,Projects,41050.27,22/07/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50856095,R4612,Projects,42402.83,22/07/2015,Communities,,,
INSERTED DETAIL,200169,Addaction - Henley House,50862931,R5702,Payments to External Contractors,281709.79,31/07/2015,Communities,,,
INSERTED DETAIL,225565,Adiemus Care Ltd (Cameron House),50855069,R5806,Residential Care (Adults),1812.44,13/07/2015,People Group,,,
INSERTED DETAIL,200184,ADT Fire and Security Plc,50851470,R2010,Security Services,573.29,15/07/2015,Schools,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50862967,R5805,Homecare - External Domiciliary (Adults),1680.00,29/07/2015,People Group,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50862888,R5805,Homecare - External Domiciliary (Adults),1176.00,29/07/2015,People Group,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50864665,R5805,Homecare - External Domiciliary (Adults),708.40,30/07/2015,People Group,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50862968,R5805,Homecare - External Domiciliary (Adults),2100.00,30/07/2015,People Group,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50864666,R5805,Homecare - External Domiciliary (Adults),708.40,30/07/2015,People Group,,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,50855171,R5806,Residential Care (Adults),5657.28,13/07/2015,People Group,,,
INSERTED DETAIL,228185,Adventure Care Ltd,50845486,R5848,Residential Care (Children),13980.00,07/07/2015,People Group,,,
INSERTED DETAIL,228185,Adventure Care Ltd,50846164,R5848,Residential Care (Children),13980.00,07/07/2015,People Group,,,
INSERTED DETAIL,209397,AECOM Ltd,50854652,R5702,Payments to External Contractors,1200.00,14/07/2015,Communities,,,
INSERTED DETAIL,200201,Age UK - Warks,50847199,R5702,Payments to External Contractors,14341.33,03/07/2015,Communities,,,
INSERTED DETAIL,200201,Age UK - Warks,50847227,R5702,Payments to External Contractors,7170.67,03/07/2015,Communities,,,
INSERTED DETAIL,200201,Age UK - Warks,50854200,R5807,SLA Social Care Provision,4615.00,16/07/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50860273,R5807,SLA Social Care Provision,15740.00,31/07/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50860271,R5807,SLA Social Care Provision,4615.00,31/07/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50860270,R5807,SLA Social Care Provision,1846.00,31/07/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50860253,R5807,SLA Social Care Provision,1846.00,31/07/2015,People Group,,,
INSERTED DETAIL,200201,Age UK - Warks,50860272,R5807,SLA Social Care Provision,4615.00,31/07/2015,People Group,,,
INSERTED DETAIL,200211,Airtay,50856150,R5702,Payments to External Contractors,2230.00,21/07/2015,Communities,,,
INSERTED DETAIL,200223,Alan Robinson Property Rental,50850566,R2201,Rent,4125.00,07/07/2015,Resources,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50855025,R5806,Residential Care (Adults),2489.52,13/07/2015,People Group,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50855025,R5806,Residential Care (Adults),5418.32,13/07/2015,People Group,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50855025,R5806,Residential Care (Adults),2700.00,13/07/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50855326,R5806,Residential Care (Adults),2213.68,13/07/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50855326,R5806,Residential Care (Adults),1813.68,13/07/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50855326,R5806,Residential Care (Adults),4573.68,13/07/2015,People Group,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50855326,R5806,Residential Care (Adults),1813.68,13/07/2015,People Group,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50850614,R4803,Schools Supplies & Services General Reserve,8000.00,08/07/2015,People Group,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50860465,R6107,SEN Statements Funding - Non-Maintained Schools,1425.00,27/07/2015,People Group,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,50852408,R6106,Private Providers - Early Years Funding,8301.15,13/07/2015,People Group,,,
INSERTED DETAIL,223728,Alere Toxicology Plc (****0298),50859734,R4426,Medical Fees - Clients,598.00,29/07/2015,People Group,,,
INSERTED DETAIL,200266,Aljac Fuelling Components Ltd,50862890,R4018,Equipment Repair & Maintenance,1414.73,30/07/2015,Communities,,,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50855818,R4409,Consultancy,2811.00,20/07/2015,Resources,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50855027,R5806,Residential Care (Adults),7476.04,13/07/2015,People Group,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50855027,R5806,Residential Care (Adults),-2191.06,13/07/2015,People Group,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50855027,R5806,Residential Care (Adults),5501.50,13/07/2015,People Group,,,
INSERTED DETAIL,100435,Allambie Enterprises,50855028,R5806,Residential Care (Adults),1562.52,13/07/2015,People Group,,,
INSERTED DETAIL,200282,Allsorts,50863860,R5802,Substitute Care,1020.00,30/07/2015,People Group,,,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,50849045,R3005,Fuel,39861.96,10/07/2015,Communities,,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,50855332,R5806,Residential Care (Adults),1852.00,13/07/2015,People Group,,,
INSERTED DETAIL,200287,Alsters Kelley Solicitors,50846359,R4409,Consultancy,959.70,01/07/2015,People Group,,,
INSERTED DETAIL,200287,Alsters Kelley Solicitors,50847149,R5849,Counselling Services (Children),600.00,01/07/2015,People Group,,,
INSERTED DETAIL,200289,Alton Castle,50861695,R4915,Educational Visits Expenditure,500.00,28/07/2015,Schools,,,
INSERTED DETAIL,200289,Alton Castle,50861677,R4915,Educational Visits Expenditure,972.00,28/07/2015,Schools,,,
INSERTED DETAIL,200291,Alveston Cygnets Education and Childcare,50853664,R6106,Private Providers - Early Years Funding,735.15,09/07/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50855032,R5806,Residential Care (Adults),8995.64,13/07/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50855032,R5806,Residential Care (Adults),3670.92,13/07/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50855032,R5806,Residential Care (Adults),1939.88,13/07/2015,People Group,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50858181,R5806,Residential Care (Adults),23657.15,20/07/2015,People Group,,,
INSERTED DETAIL,221048,Alzheimer's Society,50853661,R5807,SLA Social Care Provision,43633.00,30/07/2015,People Group,,,
INSERTED DETAIL,228484,Amanda J Lamb Associates Ltd,50840930,R4409,Consultancy,1500.00,07/07/2015,People Group,,,
,,Amazon UK Marketplace,P-CARD,,, 847.32 ,17/07/2015,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50848526,R4409,Consultancy,17678.33,02/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50848525,R4409,Consultancy,6631.98,02/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50848527,R4409,Consultancy,7452.61,08/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50850625,R4409,Consultancy,14814.78,08/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50850626,R4409,Consultancy,13956.84,08/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50850606,R4409,Consultancy,6047.48,08/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50850607,R4409,Consultancy,11468.25,08/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50850624,R4409,Consultancy,9890.77,08/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50853296,R4409,Consultancy,1237.90,15/07/2015,Resources,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,50853295,R4409,Consultancy,3111.25,23/07/2015,Resources,,,
INSERTED DETAIL,200305,Amillan Ltd,50853278,R4514,Telephone Rental,2250.00,09/07/2015,Communities,,,
INSERTED DETAIL,228683,Anchor,50855310,R5806,Residential Care (Adults),2280.00,13/07/2015,People Group,,,
INSERTED DETAIL,200317,Andrell Education,50864327,R1690,Internal Expenditure - Training,900.00,31/07/2015,Schools,,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50842932,R5805,Homecare - External Domiciliary (Adults),1411.20,08/07/2015,People Group,,,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50842931,R5805,Homecare - External Domiciliary (Adults),1260.00,08/07/2015,People Group,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50843667,R4443,Professional Fees Admin,690.00,10/07/2015,Resources,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50854410,R4443,Professional Fees Admin,529.00,23/07/2015,People Group,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50863059,R4043,Samples,735.00,31/07/2015,People Group,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50854253,R4443,Professional Fees Admin,570.00,31/07/2015,Resources,,,
INSERTED DETAIL,200351,Angloco Ltd,50850934,R4030,Materials,1907.00,06/07/2015,Communities,,,
INSERTED DETAIL,200351,Angloco Ltd,50857770,R4030,Materials,1928.41,28/07/2015,Communities,,,
INSERTED DETAIL,200353,Angus Fire Ltd (**4544),50847508,R4019,Fire Equipment Purchase,4374.00,23/07/2015,Fire and Rescue,,,
INSERTED DETAIL,200389,Apetito Ltd,50854536,R5809,Adult Social Care Contracts,710.50,10/07/2015,People Group,,,
INSERTED DETAIL,200389,Apetito Ltd,50854498,R5809,Adult Social Care Contracts,-862.75,24/07/2015,People Group,,,
INSERTED DETAIL,200389,Apetito Ltd,50855844,R5809,Adult Social Care Contracts,15886.62,24/07/2015,People Group,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,50852573,R6106,Private Providers - Early Years Funding,5457.37,13/07/2015,People Group,,,
INSERTED DETAIL,220479,Appleford School,50854420,R6107,SEN Statements Funding - Non-Maintained Schools,5430.00,22/07/2015,People Group,,,
INSERTED DETAIL,220479,Appleford School,50854421,R6107,SEN Statements Funding - Non-Maintained Schools,8334.00,22/07/2015,People Group,,,
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,50859816,R5848,Residential Care (Children),28872.77,27/07/2015,People Group,,,
INSERTED DETAIL,215154,Applewood Support Ltd,50862883,R5805,Homecare - External Domiciliary (Adults),927.36,29/07/2015,People Group,,,
INSERTED DETAIL,215154,Applewood Support Ltd,50862882,R5805,Homecare - External Domiciliary (Adults),1159.20,29/07/2015,People Group,,,
INSERTED DETAIL,228116,Archways Care Ltd,50847192,R5848,Residential Care (Children),12160.00,15/07/2015,People Group,,,
INSERTED DETAIL,228116,Archways Care Ltd,50857392,R5848,Residential Care (Children),15914.15,23/07/2015,People Group,,,
INSERTED DETAIL,200417,Arco Ltd,50847408,R4019,Fire Equipment Purchase,980.00,01/07/2015,Fire and Rescue,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50852980,C1030,"New Construction, Conversion & Renovation",3840.66,09/07/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50850590,C1030,"New Construction, Conversion & Renovation",17723.55,10/07/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50855774,C1030,"New Construction, Conversion & Renovation",2267.87,15/07/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50856649,C1030,"New Construction, Conversion & Renovation",23843.10,16/07/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50857493,C1030,"New Construction, Conversion & Renovation",41087.31,17/07/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50857494,R2022,Building (LB),2725.80,17/07/2015,Resources,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50859073,R2022,Building (LB),1148.90,23/07/2015,Resources,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50859853,C1030,"New Construction, Conversion & Renovation",47500.00,28/07/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50859561,C1030,"New Construction, Conversion & Renovation",4532.81,28/07/2015,Capital,,,
INSERTED DETAIL,200419,Arden Construction Ltd,50862143,C1030,"New Construction, Conversion & Renovation",35711.65,31/07/2015,Capital,,,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50837961,R2204,Room Hire - External,690.00,01/07/2015,Communities,,,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,50860237,R2204,Room Hire - External,690.00,31/07/2015,Communities,,,
INSERTED DETAIL,200422,Ardencote Manor Hotel,50858657,R2204,Room Hire - External,2665.83,23/07/2015,People Group,,,
INSERTED DETAIL,228935,Argon Promotions t/a Infinity Incorporated Ltd n Promotions,50851596,R4302,Advertising Promotional Events & Goods,521.00,07/07/2015,Schools,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50847572,R4049,White Goods/Domestic Appliances,2150.11,03/07/2015,Resources,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50850646,R4049,White Goods/Domestic Appliances,3067.91,10/07/2015,Resources,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50854576,R4049,White Goods/Domestic Appliances,1013.30,17/07/2015,Resources,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50858771,R4049,White Goods/Domestic Appliances,3791.51,24/07/2015,Resources,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50862782,R4049,White Goods/Domestic Appliances,1533.76,31/07/2015,Resources,,,
INSERTED DETAIL,200430,Argos Ltd  (****7668),50860526,R4034,Office Equipment,517.84,27/07/2015,People Group,,,
INSERTED DETAIL,228718,ArtBase,50856049,R4442,Professional Fees Curriculum,1125.00,16/07/2015,Schools,,,
INSERTED DETAIL,221634,ASDA Pharmacy,50857875,R5702,Payments to External Contractors,533.60,22/07/2015,Communities,,,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),50860472,R6107,SEN Statements Funding - Non-Maintained Schools,2244.00,27/07/2015,People Group,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50844617,C1030,"New Construction, Conversion & Renovation",2241.51,01/07/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50845867,C1030,"New Construction, Conversion & Renovation",2774.65,01/07/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50850593,C1030,"New Construction, Conversion & Renovation",374404.00,07/07/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50855830,C1030,"New Construction, Conversion & Renovation",51167.84,17/07/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50861343,C1030,"New Construction, Conversion & Renovation",93116.45,29/07/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50861342,C1030,"New Construction, Conversion & Renovation",260071.59,29/07/2015,Capital,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,50865095,C1030,"New Construction, Conversion & Renovation",134528.04,31/07/2015,Capital,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50850615,R4803,Schools Supplies & Services General Reserve,8000.00,08/07/2015,People Group,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50854302,R6107,SEN Statements Funding - Non-Maintained Schools,6668.60,10/07/2015,People Group,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50860466,R6107,SEN Statements Funding - Non-Maintained Schools,5655.00,27/07/2015,People Group,,,
INSERTED DETAIL,200465,Ashleigh Nursery School,50852410,R6106,Private Providers - Early Years Funding,5646.71,13/07/2015,People Group,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50850954,R4058,Books,1266.06,07/07/2015,Resources,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50855361,R4058,Books,12216.64,13/07/2015,Resources,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50858599,R4058,Books,11897.36,21/07/2015,Resources,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50860254,R4058,Books,850.82,24/07/2015,Resources,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50861744,R4058,Books,9600.32,28/07/2015,Resources,,,
INSERTED DETAIL,226763,Aspect Care Home Ltd,50855040,R5806,Residential Care (Adults),2000.84,13/07/2015,People Group,,,
INSERTED DETAIL,200472,Aspire People Ltd,50847409,R1101,Agency Staff Pay,825.00,09/07/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50843696,R1101,Agency Staff Pay,990.00,10/07/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50844851,R1101,Agency Staff Pay,975.00,10/07/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50848570,R1101,Agency Staff Pay,975.00,17/07/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50851322,R1101,Agency Staff Pay,1045.00,24/07/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50853437,R1101,Agency Staff Pay,975.00,24/07/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50847289,R1101,Agency Staff Pay,976.00,24/07/2015,Schools,,,
INSERTED DETAIL,200472,Aspire People Ltd,50856178,R1101,Agency Staff Pay,825.00,31/07/2015,Schools,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50846372,R4433,Sport Instruction,570.00,17/07/2015,Schools,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50850765,R4442,Professional Fees Curriculum,725.00,17/07/2015,Schools,,,
INSERTED DETAIL,218204,Atherstone Summer in the Square,50847224,R5501,Grants to Organisations & Voluntary Bodies,900.00,07/07/2015,Communities,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),50861525,R5702,Payments to External Contractors,3186.73,28/07/2015,Communities,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),50859577,R5702,Payments to External Contractors,916.85,30/07/2015,Communities,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),50859578,R5702,Payments to External Contractors,3060.05,30/07/2015,Communities,,,
INSERTED DETAIL,208515,Ati Projects Ltd,50854475,R5702,Payments to External Contractors,1554.70,30/07/2015,Communities,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50851505,R1101,Agency Staff Pay,7251.98,07/07/2015,Communities,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50851505,R1101,Agency Staff Pay,8180.06,07/07/2015,Communities,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50844514,C1050,External Fees,10000.00,13/07/2015,Capital,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50851888,R4409,Consultancy,14525.00,15/07/2015,Communities,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50851475,R1101,Agency Staff Pay,3578.52,16/07/2015,Communities,,,
