,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,50841930,R6106,Private Providers - Early Years Funding,17167.51,22/06/2015,People Group,
INSERTED DETAIL,211087,Action Centres Uk Ltd,50828782,R4915,Educational Visits Expenditure,2976.00,18/06/2015,Schools,
INSERTED DETAIL,219696,Action Deafness Ltd,50842365,R5805,Homecare - External Domiciliary (Adults),539.60,18/06/2015,People Group,
INSERTED DETAIL,215891,Action For Children (****6746),50831242,R5848,Residential Care (Children),50625.00,10/06/2015,People Group,
INSERTED DETAIL,228784,Active Informatics Ltd,50829435,R4512,Software,7000.00,19/06/2015,Communities,
INSERTED DETAIL,223655,Active Visual Supplies Ltd,50836810,R4443,Professional Fees Admin,2680.00,11/06/2015,Schools,
INSERTED DETAIL,220313,Adana Management Group Ltd,50847144,R1101,Agency Staff Pay,564.08,30/06/2015,Resources,
INSERTED DETAIL,200169,Addaction - Henley House,50837080,R1101,Agency Staff Pay,3608.00,11/06/2015,Communities,
INSERTED DETAIL,200169,Addaction - Henley House,50838121,R5702,Payments to External Contractors,23319.31,15/06/2015,Communities,
INSERTED DETAIL,200169,Addaction - Henley House,50840205,R5702,Payments to External Contractors,25666.89,16/06/2015,Communities,
INSERTED DETAIL,200169,Addaction - Henley House,50844094,R5702,Payments to External Contractors,281709.79,24/06/2015,Communities,
INSERTED DETAIL,225565,Adiemus Care Ltd (Cameron House),50839700,R5806,Residential Care (Adults),1812.44,15/06/2015,People Group,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,50834631,R5805,Homecare - External Domiciliary (Adults),1495.20,05/06/2015,People Group,
INSERTED DETAIL,228315,Advanced Transport Research,50815199,R4409,Consultancy,3995.00,22/06/2015,Communities,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,50839807,R5806,Residential Care (Adults),10641.07,15/06/2015,People Group,
INSERTED DETAIL,210799,Adventure Activities Licensing Authority,50828796,R4702,Subscriptions To Organisations,715.00,12/06/2015,People Group,
INSERTED DETAIL,228185,Adventure Care Ltd,50831160,R5848,Residential Care (Children),16380.00,09/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50841831,R5807,SLA Social Care Provision,1846.00,18/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50841801,R5807,SLA Social Care Provision,30000.00,19/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50841802,R5807,SLA Social Care Provision,4615.00,19/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50841803,R5807,SLA Social Care Provision,4615.00,19/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50841800,R5807,SLA Social Care Provision,15740.00,19/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50844977,R5809,Adult Social Care Contracts,7048.26,26/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50842347,R5809,Adult Social Care Contracts,5328.00,26/06/2015,People Group,
INSERTED DETAIL,200201,Age UK - Warks,50844953,R5809,Adult Social Care Contracts,14280.00,26/06/2015,People Group,
INSERTED DETAIL,220989,Agilisys Professional Services Ltd,50841843,R4512,Software,12000.00,24/06/2015,Resources,
INSERTED DETAIL,208271,Airwave Solutions Ltd,50836247,R4506,IT Support & Maintenance,1282.00,10/06/2015,Fire and Rescue,
INSERTED DETAIL,221410,AJ Products (UK) Ltd,50834491,R4007,Equipment,1321.00,26/06/2015,Communities,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50839655,R5806,Residential Care (Adults),5418.32,15/06/2015,People Group,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50839655,R5806,Residential Care (Adults),2700.00,15/06/2015,People Group,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,50839655,R5806,Residential Care (Adults),2489.52,15/06/2015,People Group,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50839965,R5806,Residential Care (Adults),4573.68,15/06/2015,People Group,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50839965,R5806,Residential Care (Adults),1813.68,15/06/2015,People Group,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50839965,R5806,Residential Care (Adults),1813.68,15/06/2015,People Group,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50839965,R5806,Residential Care (Adults),2213.68,15/06/2015,People Group,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,50838488,R6107,SEN Statements Funding - Non-Maintained Schools,1636.00,15/06/2015,People Group,
INSERTED DETAIL,200237,Alcester Nursery Studio,50841931,R6106,Private Providers - Early Years Funding,14955.80,22/06/2015,People Group,
INSERTED DETAIL,200266,Aljac Fuelling Components Ltd,50830809,R4018,Equipment Repair & Maintenance,3456.20,01/06/2015,Communities,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50830331,R4409,Consultancy,3198.90,16/06/2015,Resources,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,50841284,R4409,Consultancy,1805.90,17/06/2015,Resources,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50839657,R5806,Residential Care (Adults),1840.68,15/06/2015,People Group,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50839657,R5806,Residential Care (Adults),11373.12,15/06/2015,People Group,
INSERTED DETAIL,100004,Allambie Court Nursing Home,50839657,R5806,Residential Care (Adults),3327.88,15/06/2015,People Group,
INSERTED DETAIL,100435,Allambie Enterprises,50839658,R5806,Residential Care (Adults),1562.52,15/06/2015,People Group,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,50832744,R3005,Fuel,35755.77,10/06/2015,Communities,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,50839970,R5806,Residential Care (Adults),1852.00,15/06/2015,People Group,
INSERTED DETAIL,200289,Alton Castle,50842943,R4915,Educational Visits Expenditure,2260.00,19/06/2015,Schools,
INSERTED DETAIL,228232,Altum Residential Care Ltd,50836423,R5848,Residential Care (Children),18642.90,17/06/2015,People Group,
INSERTED DETAIL,228232,Altum Residential Care Ltd,50836384,R5848,Residential Care (Children),18021.47,26/06/2015,People Group,
INSERTED DETAIL,200291,Alveston Cygnets Education and Childcare,50841932,R6106,Private Providers - Early Years Funding,12992.56,22/06/2015,People Group,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50839662,R5806,Residential Care (Adults),3670.92,15/06/2015,People Group,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50839662,R5806,Residential Care (Adults),1939.88,15/06/2015,People Group,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,50839662,R5806,Residential Care (Adults),8995.64,15/06/2015,People Group,
INSERTED DETAIL,221048,Alzheimer's Society,50836996,R5810,Adult Day Care,512.64,10/06/2015,People Group,
,,Amazon UK Retail,P-Card,,,633.94 ,23/06/2015,,
INSERTED DETAIL,228683,Anchor,50839948,R5806,Residential Care (Adults),2280.00,15/06/2015,People Group,
INSERTED DETAIL,228970,Andy Wheeler t/a A C Wheeler,50844035,R2001,Buildings Maintenance,500.00,23/06/2015,Schools,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50836455,R5805,Homecare - External Domiciliary (Adults),1260.00,10/06/2015,People Group,
INSERTED DETAIL,227027,Angels Healthcare Ltd,50836456,R5805,Homecare - External Domiciliary (Adults),1411.20,10/06/2015,People Group,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,50830985,R4443,Professional Fees Admin,657.00,01/06/2015,Resources,
INSERTED DETAIL,200351,Angloco Ltd,50837964,R4030,Materials,557.50,11/06/2015,Communities,
INSERTED DETAIL,200389,Apetito Ltd,50836761,R5809,Adult Social Care Contracts,602.00,10/06/2015,People Group,
INSERTED DETAIL,200389,Apetito Ltd,50836760,R5809,Adult Social Care Contracts,15799.48,16/06/2015,People Group,
INSERTED DETAIL,200389,Apetito Ltd,50838429,R5809,Adult Social Care Contracts,15436.63,16/06/2015,People Group,
INSERTED DETAIL,200389,Apetito Ltd,50836668,R5809,Adult Social Care Contracts,-731.00,16/06/2015,People Group,
INSERTED DETAIL,210713,Apple Grove Day Nursery,50842147,R6106,Private Providers - Early Years Funding,17545.05,22/06/2015,People Group,
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,50843756,R5848,Residential Care (Children),42784.19,24/06/2015,People Group,
INSERTED DETAIL,215154,Applewood Support Ltd,50846023,R5805,Homecare - External Domiciliary (Adults),1159.20,26/06/2015,People Group,
INSERTED DETAIL,214422,Apricot Online Ltd,50837912,R5604,Commissioned Works,1680.00,18/06/2015,People Group,
INSERTED DETAIL,214422,Apricot Online Ltd,50837913,R5604,Commissioned Works,8330.00,18/06/2015,People Group,
INSERTED DETAIL,200397,Apse,50828970,R4702,Subscriptions To Organisations,2000.00,19/06/2015,Resources,
INSERTED DETAIL,209592,Archaeological Surveys Ltd,50829283,R4409,Consultancy,4850.00,19/06/2015,Communities,
INSERTED DETAIL,209592,Archaeological Surveys Ltd,50831760,R4409,Consultancy,2000.00,26/06/2015,Communities,
INSERTED DETAIL,228116,Archways Care Ltd,50834593,R5848,Residential Care (Children),12160.00,17/06/2015,People Group,
INSERTED DETAIL,228116,Archways Care Ltd,50836383,R5848,Residential Care (Children),18000.00,19/06/2015,People Group,
INSERTED DETAIL,200419,Arden Construction Ltd,50834550,C1030,"New Construction, Conversion & Renovation",12672.05,05/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50834552,R2022,Building (LB),10773.00,05/06/2015,Resources,
INSERTED DETAIL,200419,Arden Construction Ltd,50834551,C1030,"New Construction, Conversion & Renovation",7516.00,05/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50834553,C1030,"New Construction, Conversion & Renovation",1504.81,08/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50835151,C1030,"New Construction, Conversion & Renovation",535.29,08/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50834554,C1030,"New Construction, Conversion & Renovation",1512.03,08/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50834557,R2022,Building (LB),809.39,08/06/2015,Resources,
INSERTED DETAIL,200419,Arden Construction Ltd,50835140,C1030,"New Construction, Conversion & Renovation",1324.35,08/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50834545,R2022,Building (LB),723.75,08/06/2015,Resources,
INSERTED DETAIL,200419,Arden Construction Ltd,50834183,R2022,Building (LB),689.70,09/06/2015,Resources,
INSERTED DETAIL,200419,Arden Construction Ltd,50834544,R2022,Building (LB),540.55,09/06/2015,Resources,
INSERTED DETAIL,200419,Arden Construction Ltd,50835150,C1030,"New Construction, Conversion & Renovation",21236.05,10/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50835149,C1030,"New Construction, Conversion & Renovation",11521.64,10/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50840696,C1030,"New Construction, Conversion & Renovation",62542.47,19/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50842299,C1030,"New Construction, Conversion & Renovation",7838.45,23/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50844616,C1030,"New Construction, Conversion & Renovation",3954.69,26/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50844610,R2022,Building (LB),4095.82,26/06/2015,Resources,
INSERTED DETAIL,200419,Arden Construction Ltd,50844609,C1030,"New Construction, Conversion & Renovation",1951.20,26/06/2015,Capital,
INSERTED DETAIL,200419,Arden Construction Ltd,50844710,R2022,Building (LB),34825.86,29/06/2015,Resources,
INSERTED DETAIL,228078,Ardo Medical Ltd,50837511,R5702,Payments to External Contractors,1989.06,11/06/2015,Communities,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50830940,R4049,White Goods/Domestic Appliances,1698.91,02/06/2015,Resources,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50831287,R4049,White Goods/Domestic Appliances,10103.80,05/06/2015,Resources,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50836618,R4049,White Goods/Domestic Appliances,1447.12,12/06/2015,Resources,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50838931,R4049,White Goods/Domestic Appliances,2679.46,19/06/2015,Resources,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),50843692,R4049,White Goods/Domestic Appliances,1819.90,26/06/2015,Resources,
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,50842722,R6107,SEN Statements Funding - Non-Maintained Schools,3649.00,19/06/2015,People Group,
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,50842723,R6107,SEN Statements Funding - Non-Maintained Schools,2920.00,19/06/2015,People Group,
INSERTED DETAIL,200438,Arnold Lodge  Preparatory School,50841933,R6106,Private Providers - Early Years Funding,3448.94,22/06/2015,People Group,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),50842583,R5204,Concessionary Fares,11032.54,19/06/2015,Communities,
INSERTED DETAIL,228759,Art Fever Ltd,50837090,R4701,Grants To External Organisations,5198.00,17/06/2015,Communities,
INSERTED DETAIL,221634,ASDA Pharmacy,50841421,R5702,Payments to External Contractors,816.07,17/06/2015,Communities,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),50838495,R6107,SEN Statements Funding - Non-Maintained Schools,2172.00,15/06/2015,People Group,
INSERTED DETAIL,208346,Ashe Construction Ltd,50840679,C1030,"New Construction, Conversion & Renovation",183198.13,17/06/2015,Capital,
INSERTED DETAIL,208346,Ashe Construction Ltd,50840680,C1030,"New Construction, Conversion & Renovation",163444.61,22/06/2015,Capital,
INSERTED DETAIL,208346,Ashe Construction Ltd,50844253,C1030,"New Construction, Conversion & Renovation",93410.05,24/06/2015,Capital,
INSERTED DETAIL,208346,Ashe Construction Ltd,50844254,C1030,"New Construction, Conversion & Renovation",76571.07,26/06/2015,Capital,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,50838489,R6107,SEN Statements Funding - Non-Maintained Schools,6329.00,15/06/2015,People Group,
INSERTED DETAIL,200465,Ashleigh Nursery School,50841934,R6106,Private Providers - Early Years Funding,19066.84,22/06/2015,People Group,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50831624,R4058,Books,6754.54,02/06/2015,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50836006,R4058,Books,5770.47,09/06/2015,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50840133,R4058,Books,7596.39,16/06/2015,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50844612,R4058,Books,11415.71,24/06/2015,Resources,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,50847121,R4058,Books,6491.65,30/06/2015,Resources,
INSERTED DETAIL,226763,Aspect Care Home Ltd,50839670,R5806,Residential Care (Adults),2000.84,15/06/2015,People Group,
INSERTED DETAIL,219704,Aspect Technologies Ltd (t/a School Aspect),50831252,R4512,Software,1800.00,17/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50831246,R1101,Agency Staff Pay,795.00,01/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50830005,R1101,Agency Staff Pay,825.00,05/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50829806,R1101,Agency Staff Pay,1134.00,05/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50822166,R1101,Agency Staff Pay,975.00,05/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50827904,R1101,Agency Staff Pay,780.00,12/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50830006,R1101,Agency Staff Pay,750.00,12/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50841853,R1101,Agency Staff Pay,1367.00,18/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50840218,R1101,Agency Staff Pay,1285.00,19/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50836763,R1101,Agency Staff Pay,975.00,19/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50843695,R1101,Agency Staff Pay,825.00,26/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50838540,R1101,Agency Staff Pay,752.00,26/06/2015,Schools,
INSERTED DETAIL,200472,Aspire People Ltd,50840667,R1101,Agency Staff Pay,975.00,26/06/2015,Schools,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50794581,R4442,Professional Fees Curriculum,725.00,15/06/2015,Schools,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50842876,R4433,Sport Instruction,570.00,19/06/2015,Schools,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,50843083,R4442,Professional Fees Curriculum,725.00,19/06/2015,Schools,
INSERTED DETAIL,214327,Association of Educational Psychologists (AEP),50838558,R1701,Staff Advertising,630.00,12/06/2015,People Group,
INSERTED DETAIL,209255,Association Of Town Centre Management,50845487,R4601,Conferences,890.00,26/06/2015,Communities,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),50845521,R5702,Payments to External Contractors,6447.00,29/06/2015,Communities,
INSERTED DETAIL,208515,Ati Projects Ltd,50836372,R5702,Payments to External Contractors,2389.82,26/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50831695,R4409,Consultancy,2765.02,08/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50831677,R4409,Consultancy,20100.00,09/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50826880,R1101,Agency Staff Pay,9664.63,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50830201,R1101,Agency Staff Pay,57117.18,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50829041,R1101,Agency Staff Pay,4450.57,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50829027,R1101,Agency Staff Pay,18776.73,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50826714,R1101,Agency Staff Pay,5745.92,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50830201,R3403,Casual User Mileage,989.60,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50827226,R1101,Agency Staff Pay,6343.38,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50827227,R1101,Agency Staff Pay,5099.12,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50828807,R1101,Agency Staff Pay,12912.16,10/06/2015,Resources,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50828911,R1101,Agency Staff Pay,7907.20,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50828911,R1101,Agency Staff Pay,3051.68,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50828911,R1101,Agency Staff Pay,3353.50,10/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50840990,R1101,Agency Staff Pay,4191.35,19/06/2015,Communities,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50834681,C1030,"New Construction, Conversion & Renovation",46000.00,25/06/2015,Capital,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,50837566,C1050,External Fees,4000.00,30/06/2015,Capital,
INSERTED DETAIL,208492,Atkins** DUPLICATE**  USE 200502,50831275,R1101,Agency Staff Pay,1545.75,19/06/2015,Resources,
INSERTED DETAIL,200516,Austrey Pre School,50841935,R6106,Private Providers - Early Years Funding,3350.78,22/06/2015,People Group,
INSERTED DETAIL,200517,Autism Care UK,50837450,R5805,Homecare - External Domiciliary (Adults),1734.20,11/06/2015,People Group,
INSERTED DETAIL,100001,Autism West Midlands,50839673,R5806,Residential Care (Adults),4023.32,15/06/2015,People Group,
INSERTED DETAIL,100008,Autism West Midlands,50839856,R5806,Residential Care (Adults),4012.00,15/06/2015,People Group,
INSERTED DETAIL,100007,Autism West Midlands,50839672,R5806,Residential Care (Adults),8162.76,15/06/2015,People Group,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50839651,R5806,Residential Care (Adults),4907.80,15/06/2015,People Group,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50839651,R5806,Residential Care (Adults),14111.24,15/06/2015,People Group,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,50839651,R5806,Residential Care (Adults),1635.72,15/06/2015,People Group,
INSERTED DETAIL,228807,Avery Homes RH Ltd - Avon Court,50836857,R5809,Adult Social Care Contracts,27857.14,15/06/2015,People Group,
INSERTED DETAIL,228807,Avery Homes RH Ltd - Avon Court,50836856,R5809,Adult Social Care Contracts,28785.71,15/06/2015,People Group,
INSERTED DETAIL,228807,Avery Homes RH Ltd - Avon Court,50836855,R5809,Adult Social Care Contracts,76990.71,15/06/2015,People Group,
INSERTED DETAIL,228807,Avery Homes RH Ltd - Avon Court,50836858,R5809,Adult Social Care Contracts,74507.14,15/06/2015,People Group,
INSERTED DETAIL,228807,Avery Homes RH Ltd - Avon Court,50839674,R5806,Residential Care (Adults),674.67,15/06/2015,People Group,
INSERTED DETAIL,228807,Avery Homes RH Ltd - Avon Court,50840439,R5809,Adult Social Care Contracts,1944.00,16/06/2015,People Group,
INSERTED DETAIL,228022,Aviation Engineering Support Ltd,50841761,R4701,Grants To External Organisations,5696.43,22/06/2015,Communities,
detail,999982,aviva,50832650,R4928,Casualty Insurance Claims,-2500.00,02/06/2015,Other Services,
INSERTED DETAIL,227770,Avon Park Residential Care Home,50839675,R5806,Residential Care (Adults),2200.00,18/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832782,R5810,Adult Day Care,841.50,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832781,R5810,Adult Day Care,1402.50,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832780,R5805,Homecare - External Domiciliary (Adults),1035.30,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832760,R5810,Adult Day Care,1642.20,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832759,R5810,Adult Day Care,561.00,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832758,R5810,Adult Day Care,2142.00,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832757,R5810,Adult Day Care,2499.00,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832739,R5810,Adult Day Care,1399.44,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50832738,R5810,Adult Day Care,1582.26,03/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50834178,R5810,Adult Day Care,1402.50,04/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50834220,R5810,Adult Day Care,624.00,04/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50834176,R5810,Adult Day Care,1402.50,04/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50834175,R5810,Adult Day Care,561.00,04/06/2015,People Group,
INSERTED DETAIL,213122,Avon Support Ltd,50834174,R5810,Adult Day Care,841.50,04/06/2015,People Group,
