Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
234328,AFFPRO Solutions Ltd,51472790,R4409,Consultancy,"6,750.00",18/01/2019,People Group,
200201,Age UK Warwickshire,51468153,R5807,Social Care Block Contracts,"4,615.00",04/01/2019,People Group,
200201,Age UK Warwickshire,51466515,R5807,Social Care Block Contracts,"12,916.66",04/01/2019,People Group,
200201,Age UK Warwickshire,51468155,R5807,Social Care Block Contracts,"1,907.69",09/01/2019,People Group,
200201,Age UK Warwickshire,51468160,R5807,Social Care Block Contracts,"1,846.00",09/01/2019,People Group,
200201,Age UK Warwickshire,51468159,R5807,Social Care Block Contracts,"1,907.69",09/01/2019,People Group,
200201,Age UK Warwickshire,51468158,R5807,Social Care Block Contracts,"4,615.00",09/01/2019,People Group,
200201,Age UK Warwickshire,51478540,R5807,Social Care Block Contracts,"1,907.69",17/01/2019,People Group,
200201,Age UK Warwickshire,51478541,R5807,Social Care Block Contracts,"1,907.69",17/01/2019,People Group,
200201,Age UK Warwickshire,51482181,R5208,Recycling/re-use Credits,810.64,24/01/2019,Communities,
200201,Age UK Warwickshire,51482181,R5208,Recycling/re-use Credits,"1,332.07",24/01/2019,Communities,
999982,Ai Training Services Limited,51473882,R1601,Training,"3,650.00",02/01/2019,Fire and Rescue,
231993,Aim Educational Ltd,51465938,R5702,Payments to External Contractors,"16,510.00",04/01/2019,Communities,
231993,Aim Educational Ltd,51468950,R5702,Payments to External Contractors,"1,625.00",10/01/2019,Communities,
231993,Aim Educational Ltd,51471453,R5702,Payments to External Contractors,"12,051.00",18/01/2019,Communities,
231993,Aim Educational Ltd,51472784,R5702,Payments to External Contractors,"-6,489.00",18/01/2019,Communities,
200211,Airtay,51469192,C1030,"New Construction, Conversion & Renovation","4,052.00",11/01/2019,Capital,
208271,Airwave Solutions Ltd,51478624,R3001,Vehicle Operating Costs,"29,186.11",29/01/2019,Fire and Rescue,
208797,Alcester Academy (ACAD) School,51474123,R4030,Materials,"6,500.00",04/01/2019,Other Services,
208797,Alcester Academy (ACAD) School,51480396,R6107,SEN Statements Funding,"5,453.00",18/01/2019,Communities,
208797,Alcester Academy (ACAD) School,51480698,R6109,Funding payment to Academies and Non WCC Schools,600.00,21/01/2019,Communities,
207814,Alcester Grammar School (Academy),51476119,R5203,Payments / Contributions to Public Sector Organisations,750.00,16/01/2019,Communities,
207814,Alcester Grammar School (Academy),51476116,R5203,Payments / Contributions to Public Sector Organisations,750.00,16/01/2019,Communities,
207814,Alcester Grammar School (Academy),51480400,R6107,SEN Statements Funding,"1,429.00",18/01/2019,Communities,
200237,Alcester Nursery Studio,51480535,R6106,Early Years Funding (PVIs and LA),"31,742.17",18/01/2019,Communities,
200237,Alcester Nursery Studio,51476512,R6106,Early Years Funding (PVIs and LA),"1,100.00",21/01/2019,Communities,
200237,Alcester Nursery Studio,51481890,R6106,Early Years Funding (PVIs and LA),"3,054.98",23/01/2019,Communities,
200252,A-Line Coaches Coventry Ltd,51478818,R3204,Home To School / College Transport,900.00,17/01/2019,Communities,
235897,All Saints Leek Wootton - Coventry Diocese MAT,51480377,R6107,SEN Statements Funding,"1,198.00",18/01/2019,Communities,
207773,Allstar Business Solutions Ltd,51474099,R3004,Repair & Maintenance Of Vehicles,"31,115.52",11/01/2019,Communities,
200291,Alveston Cygnets,51480488,R6106,Early Years Funding (PVIs and LA),"20,216.20",18/01/2019,Communities,
200291,Alveston Cygnets,51476506,R6106,Early Years Funding (PVIs and LA),"1,100.00",21/01/2019,Communities,
200291,Alveston Cygnets,51481871,R6106,Early Years Funding (PVIs and LA),"2,400.80",23/01/2019,Communities,
210011,Amberhawk Training Ltd,51469043,R1601,Training,"1,080.00",11/01/2019,Resources,
223286,Ambion Contractors Ltd,51477246,R4010,Equipment Hire,975.00,14/01/2019,Communities,
228595,Amelio Utilities (Gloucester) Ltd,51477216,R5702,Payments to External Contractors,"3,040.00",15/01/2019,Communities,
228595,Amelio Utilities (Gloucester) Ltd,51477219,R5702,Payments to External Contractors,770.00,15/01/2019,Communities,
235474,Ameo Professional Services Ltd,51465488,R4409,Consultancy,"21,000.00",03/01/2019,Other Services,
200305,Amillan Ltd,51473684,R4506,IT Support & Maintenance,"21,617.06",25/01/2019,Resources,
,Amzn Mktp Uk*mb29168v4,56176,,,541.43,17/01/2019,Resources,Mr Martin Roy Barlow
,Amzn Mktp Uk*mb9k060f4,50289,,,"1,798.00",10/01/2019,Communities,Mrs Jane Karen Banton
236798,Anker Bridge Nursery,51480507,R6106,Early Years Funding (PVIs and LA),"2,744.28",18/01/2019,Communities,
200389,Apetito Ltd,51465864,R5807,Social Care Block Contracts,"14,953.95",03/01/2019,People Group,
231176,APM Biomass Fuel Ltd t/a APM Clean Energy,51469733,R2102,Energy Costs,"1,269.36",10/01/2019,Resources,
210713,Apple Grove Day Nursery Ltd,51480485,R6106,Early Years Funding (PVIs and LA),"4,573.80",18/01/2019,Communities,
210713,Apple Grove Day Nursery Ltd,51481887,R6106,Early Years Funding (PVIs and LA),611.00,23/01/2019,Communities,
220479,Appleford School,51473093,R6107,SEN Statements Funding,"10,247.00",23/01/2019,Communities,
235393,Aquobex,51476709,C1050,External Fees,813.20,11/01/2019,Capital,
213826,Arbury Medical Centre,51482332,R5702,Payments to External Contractors,"1,148.00",30/01/2019,Communities,
200419,Arden Construction Ltd,51473266,R2022,Property Services Building (LB),"9,441.31",02/01/2019,Resources,
200419,Arden Construction Ltd,51473262,C1030,"New Construction, Conversion & Renovation","7,795.32",02/01/2019,Capital,
200419,Arden Construction Ltd,51473275,C1030,"New Construction, Conversion & Renovation","6,468.12",02/01/2019,Capital,
200419,Arden Construction Ltd,51473307,C1030,"New Construction, Conversion & Renovation","22,609.04",02/01/2019,Capital,
200419,Arden Construction Ltd,51474995,C1030,"New Construction, Conversion & Renovation","10,197.09",16/01/2019,Capital,
200419,Arden Construction Ltd,51475898,C1030,"New Construction, Conversion & Renovation","21,855.70",21/01/2019,Capital,
200419,Arden Construction Ltd,51477182,C1030,"New Construction, Conversion & Renovation","14,284.44",22/01/2019,Capital,
200419,Arden Construction Ltd,51480161,C1030,"New Construction, Conversion & Renovation","11,513.70",25/01/2019,Capital,
200419,Arden Construction Ltd,51480164,C1030,"New Construction, Conversion & Renovation","14,469.43",25/01/2019,Capital,
200419,Arden Construction Ltd,51480165,R2022,Property Services Building (LB),"30,000.00",25/01/2019,Resources,
200419,Arden Construction Ltd,51480163,R2022,Property Services Building (LB),"1,320.00",29/01/2019,Resources,
200419,Arden Construction Ltd,51481168,R2022,Property Services Building (LB),"1,730.92",30/01/2019,Resources,
200419,Arden Construction Ltd,51481169,C1030,"New Construction, Conversion & Renovation","16,102.50",31/01/2019,Capital,
236288,Arden Fields School (Academy),51480257,R6107,SEN Statements Funding,"41,107.00",21/01/2019,Communities,
236288,Arden Fields School (Academy),51480683,R6109,Funding payment to Academies and Non WCC Schools,600.00,21/01/2019,Communities,
226768,Arden Leisure Ltd t/a Studley Sports Centre,51468133,R2201,Rents & Lettings,920.00,09/01/2019,Communities,
235587,Ardenleigh Hospital,51482164,R5425,Regular Payments to Care Leavers,600.00,23/01/2019,People Group,
200429,Argos Business Solutions Ltd (****9518),51465093,R4008,Equipment - Access To Work,"2,936.15",02/01/2019,Resources,
200429,Argos Business Solutions Ltd (****9518),51468733,R4008,Equipment - Access To Work,"2,598.09",11/01/2019,Resources,
200429,Argos Business Solutions Ltd (****9518),51470759,R4008,Equipment - Access To Work,"1,899.64",17/01/2019,Resources,
200429,Argos Business Solutions Ltd (****9518),51473801,R4008,Equipment - Access To Work,"4,382.93",25/01/2019,Resources,
227343,Arnbrook Primary School- Academy,51480697,R6109,Funding payment to Academies and Non WCC Schools,600.00,21/01/2019,Communities,
200441,Arriva Midlands North Ltd (****4814),51481624,R5704,Public Transport,"17,460.00",22/01/2019,Communities,
219768,Art of Brilliance Ltd,51465991,R1601,Training,"3,517.00",08/01/2019,Resources,
219768,Art of Brilliance Ltd,51465993,R1601,Training,"3,517.00",08/01/2019,Resources,
219768,Art of Brilliance Ltd,51471348,R1601,Training,"1,840.50",18/01/2019,Resources,
213431,Ash Green School & Arts College (Academy),51480429,R6107,SEN Statements Funding,"2,232.00",18/01/2019,Communities,
213431,Ash Green School & Arts College (Academy),51480690,R6109,Funding payment to Academies and Non WCC Schools,"2,400.00",21/01/2019,Communities,
213431,Ash Green School & Arts College (Academy),51482409,R6109,Funding payment to Academies and Non WCC Schools,"7,200.00",24/01/2019,Communities,
236184,Ashby and Croft Manufacturing Ltd,51466099,C1030,"New Construction, Conversion & Renovation","1,168.70",03/01/2019,Capital,
236184,Ashby and Croft Manufacturing Ltd,51466487,C1030,"New Construction, Conversion & Renovation","5,408.24",04/01/2019,Capital,
237888,Ashby School,51480679,R6109,Funding payment to Academies and Non WCC Schools,"1,200.00",21/01/2019,Communities,
237889,Ashby Willesley Primary School,51482413,R6109,Funding payment to Academies and Non WCC Schools,"1,500.00",24/01/2019,Communities,
208346,Ashe Construction Ltd,51479811,C1030,"New Construction, Conversion & Renovation","195,734.89",24/01/2019,Capital,
209807,Ashlawn School Academy Trust,51480410,R6107,SEN Statements Funding,"9,013.00",18/01/2019,Communities,
209807,Ashlawn School Academy Trust,51480620,R6109,Funding payment to Academies and Non WCC Schools,"1,800.00",21/01/2019,Communities,
200465,Ashleigh Nursery School,51480486,R6106,Early Years Funding (PVIs and LA),"33,327.76",18/01/2019,Communities,
200465,Ashleigh Nursery School,51481894,R6106,Early Years Funding (PVIs and LA),"7,739.27",23/01/2019,Communities,
200472,Aspire People Ltd,51468805,R1101,Agency Staff Pay,"1,715.00",04/01/2019,Schools,
200472,Aspire People Ltd,51472321,R1101,Agency Staff Pay,540.00,18/01/2019,Schools,
200472,Aspire People Ltd,51472832,R1101,Agency Staff Pay,752.00,18/01/2019,Schools,
214538,Aspire Sports Health & Fitness Ltd,51465616,R4441,Professional Fees,"1,181.45",03/01/2019,Schools,
214538,Aspire Sports Health & Fitness Ltd,51468936,R4441,Professional Fees,540.00,11/01/2019,Schools,
214538,Aspire Sports Health & Fitness Ltd,51470183,R4441,Professional Fees,"1,181.45",16/01/2019,Schools,
200502,Atkins Ltd  t/a Faithful Gould,51465497,C1050,External Fees,"42,618.02",02/01/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51471344,R1101,Agency Staff Pay,"3,021.92",02/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51472887,R4409,Consultancy,"4,429.00",03/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51473225,C1050,External Fees,909.32,03/01/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51472381,R4409,Consultancy,"7,139.45",03/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51471361,R1101,Agency Staff Pay,"3,833.60",03/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51467041,R4409,Consultancy,"8,018.36",04/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51471337,R1101,Agency Staff Pay,"206,263.79",07/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51471343,R1101,Agency Staff Pay,"1,292.80",17/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51472073,R4409,Consultancy,"1,300.00",18/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51484328,R4409,Consultancy,"2,075.98",29/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51484331,R1101,Agency Staff Pay,"11,095.62",29/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51484336,R1101,Agency Staff Pay,"2,441.04",29/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51484338,R1101,Agency Staff Pay,"2,826.74",29/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51484335,R1101,Agency Staff Pay,"14,870.35",29/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51484350,R5702,Payments to External Contractors,"4,225.02",29/01/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51484330,R1101,Agency Staff Pay,"42,654.43",29/01/2019,Communities,
200516,Austrey Pre School,51480504,R6106,Early Years Funding (PVIs and LA),"3,140.68",18/01/2019,Communities,
221151,Avon Healthcare Ltd t/a Avon Pharmacy,51476326,R5702,Payments to External Contractors,580.00,11/01/2019,Communities,
223426,Avon Park School,51472870,R6107,SEN Statements Funding,"3,500.00",18/01/2019,Communities,
223426,Avon Park School,51459288,R6107,SEN Statements Funding,"25,488.34",21/01/2019,Communities,
216249,Avonside Health Centre,51482329,R5702,Payments to External Contractors,786.87,30/01/2019,Communities,
233756,AXCIS Education,51466409,R6107,SEN Statements Funding,605.00,04/01/2019,Communities,
233756,AXCIS Education,51467082,R1101,Agency Staff Pay,758.05,04/01/2019,Communities,
233756,AXCIS Education,51476138,R6107,SEN Statements Funding,605.00,11/01/2019,Communities,
233756,AXCIS Education,51462566,R6107,SEN Statements Funding,545.00,11/01/2019,Communities,
233756,AXCIS Education,51460048,R6107,SEN Statements Funding,545.00,11/01/2019,Communities,
233756,AXCIS Education,51469296,R6107,SEN Statements Funding,510.00,11/01/2019,Communities,
233756,AXCIS Education,51469801,R1101,Agency Staff Pay,758.05,11/01/2019,Communities,
233756,AXCIS Education,51472628,R1101,Agency Staff Pay,758.05,18/01/2019,Communities,
213427,Aylesford School And Sixth Form College (Academy),51480416,R6107,SEN Statements Funding,"4,658.00",18/01/2019,Communities,
213427,Aylesford School And Sixth Form College (Academy),51480649,R6109,Funding payment to Academies and Non WCC Schools,600.00,21/01/2019,Communities,
209620,B Line Plant Ltd,51471046,R4008,Equipment - Access To Work,"2,350.00",17/01/2019,Communities,
209620,B Line Plant Ltd,51472287,R4008,Equipment - Access To Work,650.00,18/01/2019,Communities,
235358,Babington Academy,51480644,R6109,Funding payment to Academies and Non WCC Schools,600.00,21/01/2019,Communities,
200575,Baddesley and Grendon Pre/School - Playgroup,51480468,R6106,Early Years Funding (PVIs and LA),"7,714.48",18/01/2019,Communities,
200575,Baddesley and Grendon Pre/School - Playgroup,51481878,R6106,Early Years Funding (PVIs and LA),"1,666.39",23/01/2019,Communities,
200576,Badenoch & Clark Ltd,51473797,R1101,Agency Staff Pay,"1,809.00",02/01/2019,People Group,
200576,Badenoch & Clark Ltd,51473798,R1101,Agency Staff Pay,"1,809.00",02/01/2019,People Group,
200576,Badenoch & Clark Ltd,51473796,R1101,Agency Staff Pay,875.00,03/01/2019,Resources,
200576,Badenoch & Clark Ltd,51475799,R1101,Agency Staff Pay,"1,206.00",10/01/2019,People Group,
200576,Badenoch & Clark Ltd,51475800,R1101,Agency Staff Pay,875.00,11/01/2019,Resources,
200576,Badenoch & Clark Ltd,51476049,R1101,Agency Staff Pay,"1,206.00",11/01/2019,People Group,
200576,Badenoch & Clark Ltd,51475805,R1101,Agency Staff Pay,875.00,11/01/2019,Resources,
200576,Badenoch & Clark Ltd,51478597,R1101,Agency Staff Pay,875.00,16/01/2019,Resources,
200576,Badenoch & Clark Ltd,51478606,R1101,Agency Staff Pay,"1,206.00",18/01/2019,People Group,
200576,Badenoch & Clark Ltd,51479692,R1101,Agency Staff Pay,875.00,23/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479691,R1101,Agency Staff Pay,875.00,23/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479237,R1101,Agency Staff Pay,978.00,24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479229,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479239,R1101,Agency Staff Pay,"1,467.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479240,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479243,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479247,R1101,Agency Staff Pay,978.00,24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479248,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479249,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479251,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479254,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479417,R1101,Agency Staff Pay,"1,956.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51482102,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51482113,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51482121,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479238,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479223,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479225,R1101,Agency Staff Pay,978.00,24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51479226,R1101,Agency Staff Pay,"2,445.00",24/01/2019,Resources,
200576,Badenoch & Clark Ltd,51482580,R1101,Agency Staff Pay,"1,959.75",28/01/2019,People Group,
200576,Badenoch & Clark Ltd,51483597,R1101,Agency Staff Pay,"1,507.50",29/01/2019,People Group,
200576,Badenoch & Clark Ltd,51484571,R1101,Agency Staff Pay,"2,445.00",30/01/2019,Resources,
200576,Badenoch & Clark Ltd,51484565,R1101,Agency Staff Pay,"2,445.00",30/01/2019,Resources,
200576,Badenoch & Clark Ltd,51484562,R1101,Agency Staff Pay,"2,445.00",30/01/2019,Resources,
200576,Badenoch & Clark Ltd,51484568,R1101,Agency Staff Pay,875.00,31/01/2019,Resources,
200576,Badenoch & Clark Ltd,51482117,R1101,Agency Staff Pay,875.00,31/01/2019,Resources,
222865,Balfour Beatty Civil Engineering Ltd (****6726),51479535,C1030,"New Construction, Conversion & Renovation","18,823.77",25/01/2019,Capital,
200589,Balfour Beatty Living Places Ltd (****2460),51481081,R5702,Payments to External Contractors,"1,289,425.84",21/01/2019,Communities,
200593,Bambini Childcare Ltd,51480459,R6106,Early Years Funding (PVIs and LA),"15,383.92",18/01/2019,Communities,
200593,Bambini Childcare Ltd,51476510,R6106,Early Years Funding (PVIs and LA),"1,100.00",21/01/2019,Communities,
200593,Bambini Childcare Ltd,51481895,R6106,Early Years Funding (PVIs and LA),"6,354.35",23/01/2019,Communities,
200594,Banana Moon Day Nursery (Grove House),51480768,R6106,Early Years Funding (PVIs and LA),"29,150.35",18/01/2019,Communities,
200594,Banana Moon Day Nursery (Grove House),51481775,R6106,Early Years Funding (PVIs and LA),"6,720.95",23/01/2019,Communities,
226306,Banana Moon Day Nursery (Harbury),51480461,R6106,Early Years Funding (PVIs and LA),"24,911.96",18/01/2019,Communities,
226306,Banana Moon Day Nursery (Harbury),51481870,R6106,Early Years Funding (PVIs and LA),"1,803.66",23/01/2019,Communities,
233407,Bang the Drum Productions Ltd,51465615,R4301,"Advertising, Publicity & Promotion",500.00,03/01/2019,Resources,
233407,Bang the Drum Productions Ltd,51473001,R4301,"Advertising, Publicity & Promotion",500.00,18/01/2019,Resources,
205913,Banner Group Ltd,51469059,R2704,"Cleaning, Domestic & Caretaking Services / Supplies","1,409.80",11/01/2019,Resources,
220099,Banya Family Placement Agency Ltd,51481059,R5822,Foster Care Payments - External Provision,"3,432.01",30/01/2019,People Group,
200609,Barjane Ltd,51465327,R2201,Rents & Lettings,"9,125.00",02/01/2019,Resources,
237887,Barlestone C of E Primary School,51480668,R6109,Funding payment to Academies and Non WCC Schools,600.00,21/01/2019,Communities,
237887,Barlestone C of E Primary School,51482402,R6109,Funding payment to Academies and Non WCC Schools,"1,500.00",24/01/2019,Communities,
200613,Barnardo Services Ltd (****6716),51468947,R6106,Early Years Funding (PVIs and LA),"157,540.25",10/01/2019,People Group,
200613,Barnardo Services Ltd (****6716),51468814,R6106,Early Years Funding (PVIs and LA),"84,264.45",10/01/2019,People Group,
200613,Barnardo Services Ltd (****6716),51468812,R6106,Early Years Funding (PVIs and LA),"146,760.35",10/01/2019,People Group,
200613,Barnardo Services Ltd (****6716),51468816,R6106,Early Years Funding (PVIs and LA),"115,223.95",10/01/2019,People Group,
200612,Barnardo's (****9215),51470778,R1601,Training,829.17,04/01/2019,People Group,
229039,Bauer Radio Ltd (****2068),51475246,R5802,Substitute Care,500.00,11/01/2019,People Group,
229039,Bauer Radio Ltd (****2068),51475247,R5802,Substitute Care,"2,090.00",14/01/2019,People Group,
229039,Bauer Radio Ltd (****2068),51473166,R5802,Substitute Care,"1,397.19",15/01/2019,People Group,
229039,Bauer Radio Ltd (****2068),51478247,R5802,Substitute Care,"2,750.00",15/01/2019,People Group,
229039,Bauer Radio Ltd (****2068),51478567,R4301,"Advertising, Publicity & Promotion","1,305.26",29/01/2019,Resources,
237907,Beacon Hill Academy (Dudley Academies Trust),51480634,R6109,Funding payment to Academies and Non WCC Schools,600.00,21/01/2019,Communities,
200655,Bedworth Rugby and Nuneaton Citizens Advice Bureau,51465927,R5702,Payments to External Contractors,"30,000.00",04/01/2019,Communities,
200656,Beechwood Childcare Ltd,51480494,R6106,Early Years Funding (PVIs and LA),"11,647.94",18/01/2019,Communities,
200656,Beechwood Childcare Ltd,51481888,R6106,Early Years Funding (PVIs and LA),"2,443.98",23/01/2019,Communities,
210711,Beehive Day Nursery Barford,51480508,R6106,Early Years Funding (PVIs and LA),"10,245.31",18/01/2019,Communities,
200657,Beehive Day Nursery Rugby,51480460,R6106,Early Years Funding (PVIs and LA),"19,392.91",18/01/2019,Communities,
200657,Beehive Day Nursery Rugby,51481889,R6106,Early Years Funding (PVIs and LA),"2,810.58",23/01/2019,Communities,
231747,Beehive Nursery Kenilworth,51480469,R6106,Early Years Funding (PVIs and LA),"25,155.90",18/01/2019,Communities,
231747,Beehive Nursery Kenilworth,51481863,R6106,Early Years Funding (PVIs and LA),"1,221.99",23/01/2019,Communities,
208848,Beeline Community Transport,51475740,R3206,Client/Customer/Pupil Travel,"2,545.00",09/01/2019,Communities,
232185,Bentley Cook Ltd,51480509,R1101,Agency Staff Pay,"2,200.00",18/01/2019,Resources,
225795,Bentley Systems UK Ltd,51476108,R4409,Consultancy,"-2,048.34",11/01/2019,Communities,
225795,Bentley Systems UK Ltd,51476107,R4409,Consultancy,"1,166.34",11/01/2019,Communities,
225795,Bentley Systems UK Ltd,51443047,R4409,Consultancy,"2,048.34",11/01/2019,Communities,
225795,Bentley Systems UK Ltd,51472348,R4409,Consultancy,"1,587.00",18/01/2019,Communities,
233065,Best Start Ltd t/a Tiny Treasures Daycare & Education,51480841,R6106,Early Years Funding (PVIs and LA),"3,659.04",18/01/2019,Communities,
233065,Best Start Ltd t/a Tiny Treasures Daycare & Education,51482097,R6106,Early Years Funding (PVIs and LA),"1,832.99",23/01/2019,Communities,
221218,Bidford Health Centre,51482284,R5702,Payments to External Contractors,728.00,30/01/2019,Communities,
221218,Bidford Health Centre,51482260,R5702,Payments to External Contractors,612.01,30/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51473229,R5702,Payments to External Contractors,"18,084.87",08/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51473192,R5206,Excess / Bulk haulage,"1,532.09",11/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51473197,R5206,Excess / Bulk haulage,"4,440.27",11/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51473194,R5206,Excess / Bulk haulage,"2,624.42",11/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51473195,R5206,Excess / Bulk haulage,"7,712.55",11/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51473196,R5206,Excess / Bulk haulage,"2,328.19",11/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51473193,R5206,Excess / Bulk haulage,"3,568.07",11/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51477896,R5702,Payments to External Contractors,"23,358.18",15/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51477841,R4010,Equipment Hire,"1,491.10",15/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51477894,R5702,Payments to External Contractors,"25,443.46",15/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51477893,R5702,Payments to External Contractors,"26,796.57",15/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51477803,R4010,Equipment Hire,"1,395.46",16/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51477804,R4010,Equipment Hire,"1,184.20",16/01/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51477808,R4010,Equipment Hire,"1,457.00",16/01/2019,Communities,
