Supplier ID,Supplier Name,Transaction Number,Account,Description,Amount,Pay date,Group
215280,Active Construction and Developments LLP,50181141,C1030,"New Construction, Conversion & Renovation",170273.25,07/09/2012,Capital
215280,Active Construction and Developments LLP,50190312,C1030,"New Construction, Conversion & Renovation",28894.40,24/09/2012,Capital
200169,Addaction - Henley House,50178403,R5702,Payments to External Contractors,324583.33,10/09/2012,Communities
200169,Addaction - Henley House,50192394,R5702,Payments to External Contractors,324583.33,27/09/2012,Communities
211487,ADR Accident Repair Centres,50179663,R3502,Motor Insurance Claims,500.00,13/09/2012,Other Services
217057,Adreeja Chatterjee (No5 Chambers Ltd),50176661,R4443,Professional Fees Admin,1000.00,05/09/2012,Resources
200187,Advance Housing & Support Ltd,50176882,R5805,Homecare - External Domiciliary (Adults),1553.44,03/09/2012,People Group
200187,Advance Housing & Support Ltd,50176899,R5805,Homecare - External Domiciliary (Adults),6633.16,03/09/2012,People Group
200187,Advance Housing & Support Ltd,50176900,R5805,Homecare - External Domiciliary (Adults),1553.44,03/09/2012,People Group
200201,Age UK - Warks,50180658,R5808,SLA - Adult Carers,5541.25,05/09/2012,People Group
200211,Airtay,50180368,R2751,Grounds Maintenance Non Contract,6955.00,06/09/2012,Communities
200211,Airtay,50180367,R2751,Grounds Maintenance Non Contract,1557.00,25/09/2012,Communities
208797,Alcester Academy WCC,50183902,R4104,Food Costs / Provisions,1089.67,12/09/2012,Resources
200237,Alcester Nursery Studio,50148573,R5702,Payments to External Contractors,14454.18,05/09/2012,People Group
207709,Allen Ford,50196129,R4030,Materials,556.79,28/09/2012,Communities
200276,Alliance Foster Care,50186706,R5822,Foster Care Payments - External,3066.99,17/09/2012,People Group
200280,Allied Healthcare Ltd,50180264,R5805,Homecare - External Domiciliary (Adults),537.84,04/09/2012,People Group
200280,Allied Healthcare Ltd,50183830,R5805,Homecare - External Domiciliary (Adults),648.00,11/09/2012,People Group
200280,Allied Healthcare Ltd,50183833,R5805,Homecare - External Domiciliary (Adults),594.72,11/09/2012,People Group
200280,Allied Healthcare Ltd,50183834,R5805,Homecare - External Domiciliary (Adults),806.76,11/09/2012,People Group
200280,Allied Healthcare Ltd,50183836,R5805,Homecare - External Domiciliary (Adults),538.08,11/09/2012,People Group
200280,Allied Healthcare Ltd,50183837,R5805,Homecare - External Domiciliary (Adults),1250.64,12/09/2012,People Group
207773,Allstar Business Solutions Ltd,50181137,R3005,Fuel,32263.27,13/09/2012,Communities
200285,Alpha Electrical Midlands Ltd,50180693,R2024,Electrical (LE),3770.21,07/09/2012,Resources
210352,Alpha Taxis (Warwickshire) Ltd,50186268,R3204,Home To School / College Transport,950.00,14/09/2012,Communities
210352,Alpha Taxis (Warwickshire) Ltd,50186269,R3204,Home To School / College Transport,738.00,14/09/2012,Communities
200291,Alveston Cygnets Education and Childcare,50148710,R5702,Payments to External Contractors,2076.75,05/09/2012,People Group
200349,Anglia Dna Services,50186783,R4443,Professional Fees Admin,560.00,25/09/2012,Resources
200349,Anglia Dna Services,50186862,R4443,Professional Fees Admin,560.00,25/09/2012,Resources
200349,Anglia Dna Services,50188691,R4443,Professional Fees Admin,870.00,25/09/2012,Resources
200351,Angloco Ltd,50177432,R3004,Repair & Maintenance Of Vehicles,1550.00,05/09/2012,Communities
200351,Angloco Ltd,50177476,R3004,Repair & Maintenance Of Vehicles,2243.21,05/09/2012,Communities
200351,Angloco Ltd,50191502,R4030,Materials,693.68,25/09/2012,Communities
200351,Angloco Ltd,50191537,R4030,Materials,1021.08,25/09/2012,Communities
200351,Angloco Ltd,50195325,R4030,Materials,1332.50,28/09/2012,Communities
207545,Ann Layton,50184313,R4409,Consultancy,1182.66,20/09/2012,People Group
216335,Apex Computers,50179870,R4503,Hardware,516.00,21/09/2012,Resources
200392,Apogee,50181390,R4036,Photocopier Rental & Maintenance,534.30,19/09/2012,People Group
210713,Apple Grove Day Nursery,50148574,R5702,Payments to External Contractors,5399.55,05/09/2012,People Group
215154,Applewood Support Ltd,50183065,R5805,Homecare - External Domiciliary (Adults),3408.56,11/09/2012,People Group
215154,Applewood Support Ltd,50187506,R5805,Homecare - External Domiciliary (Adults),592.02,18/09/2012,People Group
215154,Applewood Support Ltd,50187510,R5805,Homecare - External Domiciliary (Adults),777.40,18/09/2012,People Group
215154,Applewood Support Ltd,50187520,R5805,Homecare - External Domiciliary (Adults),502.32,18/09/2012,People Group
215154,Applewood Support Ltd,50187507,R5805,Homecare - External Domiciliary (Adults),1309.62,20/09/2012,People Group
215154,Applewood Support Ltd,50187509,R5805,Homecare - External Domiciliary (Adults),1339.52,20/09/2012,People Group
215154,Applewood Support Ltd,50194509,R5805,Homecare - External Domiciliary (Adults),502.32,27/09/2012,People Group
215154,Applewood Support Ltd,50194785,R5805,Homecare - External Domiciliary (Adults),669.76,27/09/2012,People Group
215154,Applewood Support Ltd,50194789,R5805,Homecare - External Domiciliary (Adults),645.84,27/09/2012,People Group
215154,Applewood Support Ltd,50194790,R5805,Homecare - External Domiciliary (Adults),774.41,27/09/2012,People Group
215154,Applewood Support Ltd,50194969,R5805,Homecare - External Domiciliary (Adults),669.76,27/09/2012,People Group
200411,Arbury Peugeot,50185042,R4030,Materials,522.38,21/09/2012,Communities
200419,Arden Construction Ltd,50179395,R2022,Building (LB),982.83,03/09/2012,Resources
200419,Arden Construction Ltd,50179465,R2022,Building (LB),5000.00,04/09/2012,Resources
200419,Arden Construction Ltd,50179467,R2022,Building (LB),35932.41,04/09/2012,Resources
200419,Arden Construction Ltd,50179446,R2022,Building (LB),-1846.55,13/09/2012,Resources
200419,Arden Construction Ltd,50179464,R2022,Building (LB),-9500.00,13/09/2012,Resources
200419,Arden Construction Ltd,50179466,R2022,Building (LB),1846.55,13/09/2012,Resources
200419,Arden Construction Ltd,50183478,R2022,Building (LB),662.35,13/09/2012,Resources
200419,Arden Construction Ltd,50183736,R2022,Building (LB),9500.00,13/09/2012,Resources
200419,Arden Construction Ltd,50186201,C1030,"New Construction, Conversion & Renovation",10000.00,14/09/2012,Capital
200419,Arden Construction Ltd,50186204,C1030,"New Construction, Conversion & Renovation",8326.38,19/09/2012,Capital
200419,Arden Construction Ltd,50186233,C1030,"New Construction, Conversion & Renovation",-10117.43,19/09/2012,Capital
200419,Arden Construction Ltd,50186238,C1030,"New Construction, Conversion & Renovation",9884.69,19/09/2012,Capital
200419,Arden Construction Ltd,50187747,R2022,Building (LB),4037.02,19/09/2012,Resources
200419,Arden Construction Ltd,50186403,R2001,Buildings Maintenance,1727.85,20/09/2012,Communities
200419,Arden Construction Ltd,50191686,R4505,ICT Supplies / Consumables,778.75,24/09/2012,Fire and Rescue
200419,Arden Construction Ltd,50190851,C1030,"New Construction, Conversion & Renovation",39775.14,25/09/2012,Capital
200419,Arden Construction Ltd,50191687,R2001,Buildings Maintenance,1699.83,25/09/2012,Fire and Rescue
200419,Arden Construction Ltd,50191688,R2001,Buildings Maintenance,3770.15,25/09/2012,Fire and Rescue
200419,Arden Construction Ltd,50190848,R2022,Building (LB),45134.50,25/09/2012,Resources
200419,Arden Construction Ltd,50193634,R2022,Building (LB),500.00,26/09/2012,Resources
200419,Arden Construction Ltd,50193632,C1030,"New Construction, Conversion & Renovation",1425.00,27/09/2012,Capital
200419,Arden Construction Ltd,50193637,C1030,"New Construction, Conversion & Renovation",9766.95,27/09/2012,Capital
200419,Arden Construction Ltd,50179539,R2022,Building (LB),3647.11,27/09/2012,Resources
200419,Arden Construction Ltd,50193304,R2022,Building (LB),40507.00,27/09/2012,Resources
200419,Arden Construction Ltd,50193624,R2022,Building (LB),2073.69,27/09/2012,Resources
200419,Arden Construction Ltd,50193631,R2022,Building (LB),1685.61,27/09/2012,Resources
200419,Arden Construction Ltd,50193688,R2022,Building (LB),909.61,27/09/2012,Resources
200438,Arnold Lodge  Preparatory School,50148556,R5702,Payments to External Contractors,16198.65,05/09/2012,People Group
200439,Arqiva Ltd,50144540,R4506,IT Support & Maintenance,59393.00,25/09/2012,Fire and Rescue
200439,Arqiva Ltd,50188959,R4506,IT Support & Maintenance,572.00,25/09/2012,Fire and Rescue
200439,Arqiva Ltd,50188971,R4506,IT Support & Maintenance,891.12,25/09/2012,Fire and Rescue
200439,Arqiva Ltd,50191136,R4018,Equipment Repair & Maintenance,54039.31,25/09/2012,Fire and Rescue
200439,Arqiva Ltd,50191654,R4506,IT Support & Maintenance,-59393.00,25/09/2012,Fire and Rescue
200439,Arqiva Ltd,50174288,R4501,Communications Costs,-5174.00,25/09/2012,Resources
200441,Arriva Midlands North Ltd,50176080,R5704,Public Transport,1887.34,04/09/2012,Communities
200441,Arriva Midlands North Ltd,50176081,R5704,Public Transport,1078.48,04/09/2012,Communities
200441,Arriva Midlands North Ltd,50176081,R3204,Home To School / College Transport,1617.72,04/09/2012,Communities
200441,Arriva Midlands North Ltd,50188942,R5204,Concessionary Fares,12386.15,24/09/2012,Communities
200441,Arriva Midlands North Ltd,50189082,R5204,Concessionary Fares,1378.13,24/09/2012,Communities
208346,Ashe Construction Ltd,50190310,C1030,"New Construction, Conversion & Renovation",54830.00,24/09/2012,Capital
208346,Ashe Construction Ltd,50190314,C1030,"New Construction, Conversion & Renovation",293703.00,24/09/2012,Capital
200465,Ashleigh Nursery School,50148779,R5702,Payments to External Contractors,9968.40,05/09/2012,People Group
200468,Askews Library Services Ltd,50178395,R4058,Books,991.02,05/09/2012,Resources
200468,Askews Library Services Ltd,50179938,R4058,Books,1428.32,05/09/2012,Resources
200468,Askews Library Services Ltd,50183518,R4058,Books,4795.08,11/09/2012,Resources
200468,Askews Library Services Ltd,50187327,R4058,Books,12796.77,18/09/2012,Resources
200468,Askews Library Services Ltd,50191894,R4058,Books,12319.60,25/09/2012,Resources
200501,Atherstone Taxis,50179499,R3202,Car Hire,880.00,03/09/2012,People Group
200501,Atherstone Taxis,50179516,R3202,Car Hire,540.00,03/09/2012,People Group
200502,Atkins Ltd,50190309,C1050,External Fees,3275.59,25/09/2012,Capital
200502,Atkins Ltd,50190309,C1050,External Fees,9482.32,25/09/2012,Capital
200502,Atkins Ltd,50187773,R4512,Software,8522.00,27/09/2012,Fire and Rescue
200505,Ats Euromaster Ltd,50177536,R3004,Repair & Maintenance Of Vehicles,8936.41,05/09/2012,Communities
200505,Ats Euromaster Ltd,50188267,R3004,Repair & Maintenance Of Vehicles,5565.61,19/09/2012,Communities
200509,Audiogo Ltd,50183182,R4058,Books,513.94,11/09/2012,Resources
200509,Audiogo Ltd,50191893,R4058,Books,742.79,25/09/2012,Resources
200516,Austrey Pre School,50148712,R5702,Payments to External Contractors,3156.66,05/09/2012,People Group
200952,AUTOBAR VENDING SERVICES LTD,50190296,R4101,Beverages,697.18,21/09/2012,People Group
213122,Avon Support Ltd,50187538,R5805,Homecare - External Domiciliary (Adults),550.00,27/09/2012,People Group
213122,Avon Support Ltd,50187545,R5805,Homecare - External Domiciliary (Adults),583.00,27/09/2012,People Group
213122,Avon Support Ltd,50187558,R5805,Homecare - External Domiciliary (Adults),728.00,27/09/2012,People Group
213122,Avon Support Ltd,50187573,R5805,Homecare - External Domiciliary (Adults),784.00,27/09/2012,People Group
213122,Avon Support Ltd,50187580,R5805,Homecare - External Domiciliary (Adults),1302.00,27/09/2012,People Group
213122,Avon Support Ltd,50194058,R5810,Adult / Elderly Day Centre,660.00,27/09/2012,People Group
213122,Avon Support Ltd,50194806,R5810,Adult / Elderly Day Centre,660.00,27/09/2012,People Group
200534,Avon Workshop Supplies,50185106,R4030,Materials,588.15,13/09/2012,Communities
200541,B & A Textiles Ltd,50176522,R4205,Uniforms,4421.50,03/09/2012,Communities
200575,Baddesley and Grendon Pre/School - Playgroup,50148666,R5702,Payments to External Contractors,8445.45,05/09/2012,People Group
200576,Badenoch and Clark,50149822,R1101,Agency Staff Pay,1686.12,05/09/2012,Resources
200576,Badenoch and Clark,50168184,R1101,Agency Staff Pay,2790.80,05/09/2012,Resources
200576,Badenoch and Clark,50168187,R1101,Agency Staff Pay,2622.55,05/09/2012,Resources
200576,Badenoch and Clark,50168203,R1101,Agency Staff Pay,2373.63,05/09/2012,Resources
200576,Badenoch and Clark,50168204,R1101,Agency Staff Pay,3040.00,05/09/2012,Resources
200576,Badenoch and Clark,50168727,R1101,Agency Staff Pay,1351.08,05/09/2012,Resources
200576,Badenoch and Clark,50175986,R1101,Agency Staff Pay,3127.65,05/09/2012,Resources
200576,Badenoch and Clark,50145889,R1101,Agency Staff Pay,1300.00,07/09/2012,Resources
200576,Badenoch and Clark,50149072,R1101,Agency Staff Pay,1300.00,07/09/2012,Resources
200576,Badenoch and Clark,50182853,R1101,Agency Staff Pay,1300.00,12/09/2012,Resources
200576,Badenoch and Clark,50188706,R1101,Agency Staff Pay,2712.26,21/09/2012,Resources
200576,Badenoch and Clark,50188708,R1101,Agency Staff Pay,6640.73,21/09/2012,Resources
200576,Badenoch and Clark,50188711,R1101,Agency Staff Pay,5267.02,21/09/2012,Resources
200576,Badenoch and Clark,50188715,R1101,Agency Staff Pay,6244.90,21/09/2012,Resources
200576,Badenoch and Clark,50188716,R1101,Agency Staff Pay,5165.64,21/09/2012,Resources
200589,Balfour Beatty Living Places Ltd,50191851,R5707,Highways Maintenance Contract,2783628.26,25/09/2012,Communities
200589,Balfour Beatty Living Places Ltd,50191852,R5707,Highways Maintenance Contract,98712.08,25/09/2012,Communities
200593,Bambini Childcare Ltd,50148623,R5702,Payments to External Contractors,14703.39,05/09/2012,People Group
200594,Banana Moon Day Nursery (Grove House),50148576,R5702,Payments to External Contractors,7337.85,05/09/2012,People Group
200595,Banana Moon Day Nursery (Spencer Street),50148638,R5702,Payments to External Contractors,3821.22,05/09/2012,People Group
200596,Banbury & Evesham Monthly Meeting United Trus,50191796,R2201,Rent,3966.50,25/09/2012,Resources
200606,Barford Park House Ltd,50178255,R5848,Residential Care (Children),12400.00,04/09/2012,People Group
200606,Barford Park House Ltd,50178261,R5848,Residential Care (Children),12400.00,04/09/2012,People Group
200606,Barford Park House Ltd,50178262,R5848,Residential Care (Children),13600.00,04/09/2012,People Group
200606,Barford Park House Ltd,50181578,R5848,Residential Care (Children),12400.00,11/09/2012,People Group
200606,Barford Park House Ltd,50181599,R5848,Residential Care (Children),12400.00,11/09/2012,People Group
200606,Barford Park House Ltd,50181605,R5848,Residential Care (Children),3876.00,11/09/2012,People Group
200606,Barford Park House Ltd,50192643,R5848,Residential Care (Children),12400.00,28/09/2012,People Group
200606,Barford Park House Ltd,50192651,R5848,Residential Care (Children),12400.00,28/09/2012,People Group
200609,Barjane Ltd,50191232,R2201,Rent,9125.00,24/09/2012,Resources
200613,Barnardos Services Ltd,50166539,R5202,Childrens Payments to Other Local Authorities,-3885.71,28/09/2012,People Group
200613,Barnardos Services Ltd,50166548,R5202,Childrens Payments to Other Local Authorities,3542.86,28/09/2012,People Group
200613,Barnardos Services Ltd,50193024,R5822,Foster Care Payments - External,3985.71,28/09/2012,People Group
200613,Barnardos Services Ltd,50193044,R5822,Foster Care Payments - External,3857.14,28/09/2012,People Group
200613,Barnardos Services Ltd,50193065,R5822,Foster Care Payments - External,3985.71,28/09/2012,People Group
200619,Barnfield Care Agency,50185230,R5805,Homecare - External Domiciliary (Adults),526.88,13/09/2012,People Group
200619,Barnfield Care Agency,50190333,R5805,Homecare - External Domiciliary (Adults),563.90,21/09/2012,People Group
200619,Barnfield Care Agency,50190335,R5805,Homecare - External Domiciliary (Adults),762.39,21/09/2012,People Group
200634,Bawnmore Preschool,50148578,R5702,Payments to External Contractors,6064.11,05/09/2012,People Group
200655,Bedworth Rugby and Nuneaton Cab,50182953,R5501,Grants to Organisations & Voluntary Bodies,44352.00,14/09/2012,Other Services
200656,Beechwood Childcare Ltd,50148726,R5702,Payments to External Contractors,2159.82,05/09/2012,People Group
210711,Beehive Day Nursery Barford,50148561,R5702,Payments to External Contractors,7116.33,05/09/2012,People Group
210711,Beehive Day Nursery Barford,50148616,R5702,Payments to External Contractors,7310.16,05/09/2012,People Group
200657,Beehive Day Nursery Rugby,50148743,R5702,Payments to External Contractors,6313.32,05/09/2012,People Group
208840,Beeline Ltd T/A The Beeline Company,50187452,R3410,Car Scheme Payments,-1200.00,17/09/2012,Communities
200664,Bella Home Care Ltd,50190246,R5805,Homecare - External Domiciliary (Adults),918.72,21/09/2012,People Group
200664,Bella Home Care Ltd,50190250,R5805,Homecare - External Domiciliary (Adults),779.52,21/09/2012,People Group
200664,Bella Home Care Ltd,50190781,R5805,Homecare - External Domiciliary (Adults),605.52,21/09/2012,People Group
200664,Bella Home Care Ltd,50194768,R5805,Homecare - External Domiciliary (Adults),522.20,27/09/2012,People Group
200664,Bella Home Care Ltd,50194778,R5805,Homecare - External Domiciliary (Adults),626.64,27/09/2012,People Group
200664,Bella Home Care Ltd,50194783,R5805,Homecare - External Domiciliary (Adults),522.20,27/09/2012,People Group
200676,Bennetts Taxis & Minibuses,50186302,R3204,Home To School / College Transport,1066.00,19/09/2012,Communities
100010,Bentley House Nursing Home Ltd,50187262,R5805,Homecare - External Domiciliary (Adults),770.00,18/09/2012,People Group
209271,Bentley Sustaining Infrastructure,50192598,R4512,Software,5400.00,28/09/2012,Communities
200698,Bevan Brittan,50175973,R1101,Agency Staff Pay,1272.50,05/09/2012,Resources
200698,Bevan Brittan,50175978,R1101,Agency Staff Pay,6210.75,05/09/2012,Resources
211678,Bevan Brittan LLP,50186231,R4454,Legal Costs,650.00,24/09/2012,Resources
210919,Biffa Municipal Ltd,50169304,R4018,Equipment Repair & Maintenance,840.00,05/09/2012,Communities
210919,Biffa Municipal Ltd,50169915,R5206,Excess / Bulk haulage,1699.59,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171585,R5206,Excess / Bulk haulage,526.38,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171585,R5206,Excess / Bulk haulage,545.79,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171597,R5702,Payments to External Contractors,1814.80,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171599,R5206,Excess / Bulk haulage,1885.14,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171602,R5206,Excess / Bulk haulage,843.29,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171610,R5206,Excess / Bulk haulage,2237.05,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171610,R5206,Excess / Bulk haulage,2742.78,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171663,R5702,Payments to External Contractors,1135.20,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171683,R5702,Payments to External Contractors,721.90,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171686,R5702,Payments to External Contractors,2135.60,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171707,R5702,Payments to External Contractors,4811.30,06/09/2012,Communities
210919,Biffa Municipal Ltd,50181102,R4010,Equipment Hire,669.60,06/09/2012,Communities
210919,Biffa Municipal Ltd,50181103,R4010,Equipment Hire,1102.50,06/09/2012,Communities
210919,Biffa Municipal Ltd,50171655,R5206,Excess / Bulk haulage,743.48,07/09/2012,Communities
210919,Biffa Municipal Ltd,50171656,R5206,Excess / Bulk haulage,894.51,07/09/2012,Communities
210919,Biffa Municipal Ltd,50171661,R5206,Excess / Bulk haulage,675.81,07/09/2012,Communities
210919,Biffa Municipal Ltd,50171662,R5206,Excess / Bulk haulage,1666.08,07/09/2012,Communities
210919,Biffa Municipal Ltd,50172279,R5206,Excess / Bulk haulage,1581.84,07/09/2012,Communities
210919,Biffa Municipal Ltd,50169901,R5206,Excess / Bulk haulage,1801.67,12/09/2012,Communities
210919,Biffa Municipal Ltd,50174767,R3203,Non-Car Vehicle Hire,1850.00,20/09/2012,Communities
210919,Biffa Municipal Ltd,50185050,R5206,Excess / Bulk haulage,991.61,21/09/2012,Communities
210919,Biffa Municipal Ltd,50185051,R5206,Excess / Bulk haulage,5073.56,21/09/2012,Communities
210919,Biffa Municipal Ltd,50185057,R5206,Excess / Bulk haulage,1040.74,21/09/2012,Communities
210919,Biffa Municipal Ltd,50186027,R5702,Payments to External Contractors,665.80,21/09/2012,Communities
210919,Biffa Municipal Ltd,50186613,R5702,Payments to External Contractors,4992.40,21/09/2012,Communities
210919,Biffa Municipal Ltd,50187712,R5206,Excess / Bulk haulage,1964.80,21/09/2012,Communities
210919,Biffa Municipal Ltd,50192498,R5702,Payments to External Contractors,1049.80,28/09/2012,Communities
210919,Biffa Municipal Ltd,50192499,R5702,Payments to External Contractors,705.60,28/09/2012,Communities
210919,Biffa Municipal Ltd,50192499,R5702,Payments to External Contractors,1566.30,28/09/2012,Communities
210919,Biffa Municipal Ltd,50192500,R5702,Payments to External Contractors,2015.70,28/09/2012,Communities
200706,Biffa Waste Services Ltd,50171421,R5702,Payments to External Contractors,-2267.23,03/09/2012,Communities
200706,Biffa Waste Services Ltd,50174708,R5702,Payments to External Contractors,567.27,03/09/2012,Communities
200706,Biffa Waste Services Ltd,50179564,R5702,Payments to External Contractors,281791.49,03/09/2012,Communities
200706,Biffa Waste Services Ltd,50180379,R5206,Excess / Bulk haulage,791.00,04/09/2012,Communities
200706,Biffa Waste Services Ltd,50180386,R5206,Excess / Bulk haulage,2211.00,05/09/2012,Communities
200706,Biffa Waste Services Ltd,50180723,R5206,Excess / Bulk haulage,517.00,05/09/2012,Communities
200706,Biffa Waste Services Ltd,50180786,R2706,Refuse Collection / Waste Disposal,756.60,21/09/2012,Resources
200706,Biffa Waste Services Ltd,50181508,R2706,Refuse Collection / Waste Disposal,1237.47,21/09/2012,Resources
200706,Biffa Waste Services Ltd,50182243,R2706,Refuse Collection / Waste Disposal,1240.07,21/09/2012,Resources
200706,Biffa Waste Services Ltd,50188011,R2754,Waste Management,629.76,28/09/2012,Communities
213422,Bilton School Academy,50187796,C1060,Grants & Contributions To Outside Organisations,28110.40,18/09/2012,Capital
205755,Bilton Sunbeams Pre School,50148694,R5702,Payments to External Contractors,3655.08,05/09/2012,People Group
200721,Binswood Nursery School,50148775,R5702,Payments to External Contractors,3156.66,05/09/2012,People Group
200726,Birchwood Pre-School,50148548,R5702,Payments to External Contractors,18358.47,05/09/2012,People Group
200729,Birmingham and Solihull Mental Health Nhs,50188737,R4443,Professional Fees Admin,1920.00,25/09/2012,Resources
211737,Birmingham City Council,50187020,R5702,Payments to External Contractors,3142.01,18/09/2012,Communities
200748,Bishops Tachbrook Pre-School Nursery,50148584,R5702,Payments to External Contractors,9553.05,05/09/2012,People Group
200750,Bizzy Tots Day Nursery Ltd,50148617,R5702,Payments to External Contractors,6811.74,05/09/2012,People Group
200751,Bizzy Tots Day Nursery Ltd - Bilton,50148645,R5702,Payments to External Contractors,7725.51,05/09/2012,People Group
200752,Bizzy Tots Day Nursery Ltd - Rugby,50148553,R5702,Payments to External Contractors,3405.87,05/09/2012,People Group
200761,Blakemore Foods Service,50180811,R2709,Cleaning Materials,2368.28,05/09/2012,Resources
200761,Blakemore Foods Service,50180811,R4104,Food Costs / Provisions,28426.44,05/09/2012,Resources
200761,Blakemore Foods Service,50183593,R4104,Food Costs / Provisions,9742.42,11/09/2012,Resources
200761,Blakemore Foods Service,50184127,R4104,Food Costs / Provisions,594.14,12/09/2012,People Group
200761,Blakemore Foods Service,50185367,R4104,Food Costs / Provisions,500.08,14/09/2012,People Group
200761,Blakemore Foods Service,50187366,R4104,Food Costs / Provisions,814.18,18/09/2012,People Group
200761,Blakemore Foods Service,50187378,R4104,Food Costs / Provisions,832.51,18/09/2012,People Group
200761,Blakemore Foods Service,50185391,R4104,Food Costs / Provisions,836.85,21/09/2012,People Group
200761,Blakemore Foods Service,50185395,R4104,Food Costs / Provisions,797.55,21/09/2012,People Group
200761,Blakemore Foods Service,50188246,R2709,Cleaning Materials,825.80,21/09/2012,Resources
200761,Blakemore Foods Service,50188246,R4104,Food Costs / Provisions,23845.63,21/09/2012,Resources
200761,Blakemore Foods Service,50194008,R2709,Cleaning Materials,773.68,27/09/2012,Resources
200761,Blakemore Foods Service,50194008,R4104,Food Costs / Provisions,22238.23,27/09/2012,Resources
200767,Blue Arrow Ltd,50179796,R1101,Agency Staff Pay,2112.00,12/09/2012,Resources
200767,Blue Arrow Ltd,50183497,R1101,Agency Staff Pay,2112.00,18/09/2012,Resources
200767,Blue Arrow Ltd,50188660,R1101,Agency Staff Pay,1689.60,21/09/2012,Resources
208354,Blue Diamond Plumbing & Heating,50182174,C1030,"New Construction, Conversion & Renovation",64185.79,11/09/2012,Capital
