"setparameter select to_char(sysdate,'DD/MM/YYYY' ) as today from dual ",,,,,,,,,,,,,
,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51023484,R5806,Residential Care (Adults),2255.70,16/05/2016,People Group,,,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,51023073,R6107,SEN Statements Funding - Non-Maintained Schools,1736.00,18/05/2016,People Group,,,,,
INSERTED DETAIL,221172,Alcester Health Centre,51017807,R5702,Payments to External Contractors,759.73,06/05/2016,Communities,,,,,
INSERTED DETAIL,221172,Alcester Health Centre,51028745,R5702,Payments to External Contractors,524.58,27/05/2016,Communities,,,,,
INSERTED DETAIL,223728,Alere Toxicology Plc (****0298),51019999,R5832,"Information , Advice & Screening Services",608.00,10/05/2016,People Group,,,,,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,51017902,R4409,Consultancy,4910.40,13/05/2016,Resources,,,,,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,51025933,R1408,Other Indirect Misc Employee Expenses,3707.10,27/05/2016,Resources,,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51023193,R5806,Residential Care (Adults),3746.24,16/05/2016,People Group,,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51023193,R5806,Residential Care (Adults),1896.28,16/05/2016,People Group,,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51023193,R5806,Residential Care (Adults),12750.48,16/05/2016,People Group,,,,,
INSERTED DETAIL,100435,Allambie Enterprises,51023194,R5806,Residential Care (Adults),1620.58,16/05/2016,People Group,,,,,
INSERTED DETAIL,208507,Allamo Services Ltd,51017123,R2024,Electrical (LE),2242.40,05/05/2016,Resources,,,,,
INSERTED DETAIL,208507,Allamo Services Ltd,51017128,R2024,Electrical (LE),2652.00,05/05/2016,Resources,,,,,
INSERTED DETAIL,200276,Alliance Foster Care Ltd,51015550,R5822,Foster Care Payments - External,5142.90,06/05/2016,People Group,,,,,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,51017290,R3005,Fuel,30565.27,05/05/2016,Communities,,,,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,51023489,R5806,Residential Care (Adults),1879.85,16/05/2016,People Group,,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51023197,R5806,Residential Care (Adults),1880.76,16/05/2016,People Group,,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51023197,R5806,Residential Care (Adults),3636.88,16/05/2016,People Group,,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51023197,R5806,Residential Care (Adults),9934.82,16/05/2016,People Group,,,,,
,,Amazon UK Marketplace,CHAPS,,,"1,027.46",26/05/2016,,,,,,
INSERTED DETAIL,227709,Am-R-Az Llp T/A Bluebird Care,51013603,R5805,Homecare - External Domiciliary (Adults),8283.20,04/05/2016,People Group,,,,,
INSERTED DETAIL,227709,Am-R-Az Llp T/A Bluebird Care,51013874,R5805,Homecare - External Domiciliary (Adults),-644.80,04/05/2016,People Group,,,,,
INSERTED DETAIL,230657,Anderson Tree Specialists Ltd,51005561,R2752,Grounds Maintenance Contract,2700.00,11/05/2016,People Group,,,,,
INSERTED DETAIL,230910,Andrew Budell Design & Art Direction,51003531,R4317,Print Operational Costs,2500.00,06/05/2016,Resources,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51006738,R5805,Homecare - External Domiciliary (Adults),1481.04,06/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51012682,R5805,Homecare - External Domiciliary (Adults),1408.48,20/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51012684,R5805,Homecare - External Domiciliary (Adults),1088.28,20/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51013871,R5805,Homecare - External Domiciliary (Adults),1393.92,12/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51019961,R5805,Homecare - External Domiciliary (Adults),556.70,25/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51019967,R5805,Homecare - External Domiciliary (Adults),580.80,25/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51020863,R5805,Homecare - External Domiciliary (Adults),827.68,27/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51020867,R5805,Homecare - External Domiciliary (Adults),1318.32,27/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51020870,R5805,Homecare - External Domiciliary (Adults),1655.36,27/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51020880,R5805,Homecare - External Domiciliary (Adults),1520.82,27/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51020894,R5805,Homecare - External Domiciliary (Adults),755.04,27/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51020900,R5805,Homecare - External Domiciliary (Adults),987.36,27/05/2016,People Group,,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51020922,R5805,Homecare - External Domiciliary (Adults),885.72,27/05/2016,People Group,,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,51005735,R4443,Professional Fees Admin,580.00,05/05/2016,Resources,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51014496,R5809,Adult Social Care Contracts,-788.00,31/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51014508,R5809,Adult Social Care Contracts,685.18,05/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51014519,R5809,Adult Social Care Contracts,641.28,05/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51015564,R5809,Adult Social Care Contracts,529.12,06/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51016642,R5809,Adult Social Care Contracts,-700.00,31/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51016665,R5809,Adult Social Care Contracts,11660.39,09/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51016668,R5809,Adult Social Care Contracts,568.75,09/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51023556,R5809,Adult Social Care Contracts,599.83,31/05/2016,People Group,,,,,
INSERTED DETAIL,200389,Apetito Ltd,51029544,R5807,SLA Social Care Provision,16668.39,31/05/2016,People Group,,,,,
INSERTED DETAIL,220479,Appleford School,51016652,R6107,SEN Statements Funding - Non-Maintained Schools,5430.00,20/05/2016,People Group,,,,,
INSERTED DETAIL,220479,Appleford School,51016658,R6107,SEN Statements Funding - Non-Maintained Schools,8934.00,20/05/2016,People Group,,,,,
INSERTED DETAIL,220479,Appleford School,51016671,R6107,SEN Statements Funding - Non-Maintained Schools,9534.00,20/05/2016,People Group,,,,,
INSERTED DETAIL,228916,Applegreen Childrens Care Ltd,51004093,R5848,Residential Care (Children),12857.10,11/05/2016,People Group,,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51025706,R5805,Homecare - External Domiciliary (Adults),1206.00,27/05/2016,People Group,,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51025717,R5805,Homecare - External Domiciliary (Adults),964.80,27/05/2016,People Group,,,,,
INSERTED DETAIL,200397,Apse,51015255,R1401,Professional Subscriptions,2000.00,06/05/2016,Resources,,,,,
INSERTED DETAIL,200398,Apt Controls Ltd,51019639,R5702,Payments to External Contractors,1091.00,13/05/2016,Communities,,,,,
INSERTED DETAIL,213826,Arbury Medical Centre,51029191,R5702,Payments to External Contractors,687.81,27/05/2016,Communities,,,,,
INSERTED DETAIL,209592,Archaeological Surveys Ltd,51015030,R4409,Consultancy,1450.00,27/05/2016,Communities,,,,,
INSERTED DETAIL,209592,Archaeological Surveys Ltd,51025809,R4409,Consultancy,1200.00,25/05/2016,Communities,,,,,
INSERTED DETAIL,230535,Archway Community College (Academy),51006574,R6107,SEN Statements Funding - Non-Maintained Schools,2211.00,26/05/2016,People Group,,,,,
INSERTED DETAIL,200417,Arco Ltd,51026836,R4019,Fire Equipment Purchase,806.80,27/05/2016,Fire and Rescue,,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51025751,C1030,"New Construction, Conversion & Renovation",778.17,19/05/2016,Capital,,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51008745,R4049,White Goods/Domestic Appliances,905.30,04/05/2016,Resources,,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51014499,R4049,White Goods/Domestic Appliances,2358.28,12/05/2016,Resources,,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51017847,R4049,White Goods/Domestic Appliances,1757.11,18/05/2016,Resources,,,,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),51026470,R5204,Concessionary Fares,5010.00,23/05/2016,Communities,,,,,
INSERTED DETAIL,221634,ASDA Pharmacy,51024827,R5702,Payments to External Contractors,730.47,19/05/2016,Communities,,,,,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),51023079,R6107,SEN Statements Funding - Non-Maintained Schools,1711.00,18/05/2016,People Group,,,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,51011172,C1030,"New Construction, Conversion & Renovation",64436.95,05/05/2016,Capital,,,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,51020563,C1030,"New Construction, Conversion & Renovation",309922.46,23/05/2016,Capital,,,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,51023098,R6107,SEN Statements Funding - Non-Maintained Schools,7818.00,18/05/2016,People Group,,,,,
INSERTED DETAIL,227882,Ashwood Gifts Ltd,51003262,R4044,Stock For Re-Sale Or Hire,1723.70,06/05/2016,Communities,,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51005678,R4058,Books,1711.12,12/05/2016,Resources,,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51016186,R4058,Books,13035.44,04/05/2016,Resources,,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51026310,R4058,Books,8963.20,20/05/2016,Resources,,,,,
INSERTED DETAIL,226763,Aspect Care Home Ltd,51023204,R5806,Residential Care (Adults),3012.99,16/05/2016,People Group,,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51008499,R1101,Agency Staff Pay,1207.00,12/05/2016,Schools,,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51013918,R1101,Agency Staff Pay,756.00,20/05/2016,Schools,,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51015458,R1101,Agency Staff Pay,976.00,27/05/2016,Schools,,,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,51006508,R4433,Sport Instruction,531.45,13/05/2016,Schools,,,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,51013916,R4433,Sport Instruction,967.27,20/05/2016,Schools,,,,,
INSERTED DETAIL,222645,Assuria Ltd,51003275,R4506,IT Support & Maintenance,5520.00,06/05/2016,Resources,,,,,
INSERTED DETAIL,200489,Astech Consultants Ltd,51013769,R4512,Software,7734.00,20/05/2016,Resources,,,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),51017811,R5702,Payments to External Contractors,1485.35,06/05/2016,Communities,,,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),51028653,R5702,Payments to External Contractors,500.10,27/05/2016,Communities,,,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),51028769,R5702,Payments to External Contractors,874.30,27/05/2016,Communities,,,,,
INSERTED DETAIL,208492,Atkins Ltd,51008500,R5702,Payments to External Contractors,8618.00,12/05/2016,Communities,,,,,
INSERTED DETAIL,208492,Atkins Ltd,51015276,R5702,Payments to External Contractors,8254.00,26/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51012366,R1101,Agency Staff Pay,4851.83,18/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51012537,R1101,Agency Staff Pay,86250.23,17/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51012537,R3403,Casual User Mileage,1543.31,17/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51012557,C1050,External Fees,2194.00,17/05/2016,Capital,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51014522,R1101,Agency Staff Pay,4446.35,18/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51014879,R1101,Agency Staff Pay,21494.02,24/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51014886,R1101,Agency Staff Pay,3148.74,24/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51014886,R1101,Agency Staff Pay,2533.68,24/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51014889,R1101,Agency Staff Pay,3414.06,24/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51015068,R1101,Agency Staff Pay,8220.39,24/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51015083,R1101,Agency Staff Pay,9929.44,24/05/2016,Communities,,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51016700,R1101,Agency Staff Pay,5092.24,27/05/2016,Communities,,,,,
INSERTED DETAIL,200505,ATS Euromaster Ltd,51017057,R3001,Direct Vehicle Running Costs,3626.10,05/05/2016,Communities,,,,,
INSERTED DETAIL,200517,Autism Care UK,51018774,R5805,Homecare - External Domiciliary (Adults),1734.20,06/05/2016,People Group,,,,,
INSERTED DETAIL,200517,Autism Care UK,51029990,R5805,Homecare - External Domiciliary (Adults),1734.20,27/05/2016,People Group,,,,,
INSERTED DETAIL,100007,Autism West Midlands,51023206,R5806,Residential Care (Adults),8274.96,16/05/2016,People Group,,,,,
INSERTED DETAIL,100001,Autism West Midlands,51023207,R5806,Residential Care (Adults),4142.51,16/05/2016,People Group,,,,,
INSERTED DETAIL,100008,Autism West Midlands,51023381,R5806,Residential Care (Adults),4131.43,16/05/2016,People Group,,,,,
INSERTED DETAIL,226378,Avalon Court Care Centre (Restful Homes Group),51006943,R5806,Residential Care (Adults),3400.00,04/05/2016,People Group,,,,,
INSERTED DETAIL,226378,Avalon Court Care Centre (Restful Homes Group),51023208,R5806,Residential Care (Adults),3400.00,16/05/2016,People Group,,,,,
INSERTED DETAIL,200526,Avenue Lodge Guest House,51016067,R6104,Social Care - Section 17 Payments,2745.00,05/05/2016,People Group,,,,,
INSERTED DETAIL,230897,Avery Homes (Cannock) Ltd - Abbey Court Nursing Home,51006919,R5806,Residential Care (Adults),21890.29,31/05/2016,People Group,,,,,
INSERTED DETAIL,230897,Avery Homes (Cannock) Ltd - Abbey Court Nursing Home,51023184,R5806,Residential Care (Adults),1952.00,31/05/2016,People Group,,,,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,51023188,R5806,Residential Care (Adults),3992.48,16/05/2016,People Group,,,,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,51023188,R5806,Residential Care (Adults),11352.76,16/05/2016,People Group,,,,,
INSERTED DETAIL,100431,Avery Homes Nuneaton Ltd,51023188,R5806,Residential Care (Adults),1668.44,16/05/2016,People Group,,,,,
INSERTED DETAIL,210794,Avery Weigh-Tronix Ltd,51008575,R5702,Payments to External Contractors,3712.80,04/05/2016,Communities,,,,,
INSERTED DETAIL,229010,Avon Navigation Trust,51003404,R4409,Consultancy,1960.00,06/05/2016,Communities,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51022974,R5810,Adult Day Care,600.00,19/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51022978,R5810,Adult Day Care,637.80,19/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51028998,R5810,Adult Day Care,1639.44,26/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029858,R5810,Adult Day Care,1290.30,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029866,R5810,Adult Day Care,584.65,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029868,R5810,Adult Day Care,637.80,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029869,R5810,Adult Day Care,2125.20,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029873,R5810,Adult Day Care,971.52,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029878,R5810,Adult Day Care,637.80,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029880,R5810,Adult Day Care,555.48,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029882,R5810,Adult Day Care,1122.00,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51029884,R5810,Adult Day Care,1116.15,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030365,R5805,Homecare - External Domiciliary (Adults),6171.20,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030366,R5805,Homecare - External Domiciliary (Adults),752.96,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030367,R5805,Homecare - External Domiciliary (Adults),839.84,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030370,R5810,Adult Day Care,1201.88,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030374,R5805,Homecare - External Domiciliary (Adults),839.84,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030392,R5810,Adult Day Care,2098.94,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030396,R5810,Adult Day Care,501.06,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030401,R5810,Adult Day Care,546.56,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030420,R5851,Supported Living,868.80,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030425,R5810,Adult Day Care,810.88,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030440,R5851,Supported Living,810.88,27/05/2016,People Group,,,,,
INSERTED DETAIL,213122,Avon Support Ltd,51030512,R5810,Adult Day Care,1009.85,27/05/2016,People Group,,,,,
