Date the grant was awarded,Time period for which the grant has been given,Local authority department which awarded the grant,Beneficiary,Beneficiary registration number,Summary of the purpose of the grant,Amount
09/02/2016,One-off,Communities Group,North Warwickshire First Responders,N/A,Councillors Grant Award - Defibrillator project,"1,089.00"
24/03/2016,One-off,Communities Group,Ambleside ,N/A,Councillors Grant Award  - Defibrillator and Staff Training,"1,020.00"
12/01/2016,One-off,Communities Group,Gun Hill Allotment Association,N/A,Councillors Grant Award  - Gun Hill Allotment Association,"1,018.00"
27/08/2015,One-off,Communities Group,North Warwickshire Neighbourhood Watch Association,N/A,Councillors Grant Award  - A446 Camera Surveillance project,"1,000.00"
27/10/2015,One-off,Communities Group,Fillongley Scout Group,N/A,Councillors Grant Award - Camping Equipment,"1,000.00"
23/11/2015,One-off,Communities Group,North Warwickshire Neighbourhood Watch Association,N/A,Councillors Grant Award - Neighbourhood watch project,"1,000.00"
02/02/2016,One-off,Communities Group,Nuneaton Lawn Tennis Club,N/A,Councillors Grant Award - Path to Tennis Courts project,"1,000.00"
17/02/2016,One-off,Communities Group,St Michaels Childrens Centre,N/A,Councillors Grant Award - Community Cafe,"1,000.00"
16/02/2016,One-off,Communities Group,Bulkington Village Centre,N/A,Councillors Grant Award - Stage replacement,"1,000.00"
24/03/2016,One-off,Communities Group,REDACTED,N/A,Councillors Grant Award - Funding for two church groups,"1,000.00"
24/03/2016,One-off,Communities Group,Nuneaton Harriers Community Association,N/A,Councillors Grant Award - Nuneaton Harriers Community Association - Walking Rugby Sessions,"1,000.00"
25/11/2015,One-off,Communities Group,Binley Woods Youth Club,N/A,Councillors Grant Award - Floor covering replacement at Binley Woods Youth Club project,900.00
16/11/2015,One-off,Communities Group,5th Coleshill Brownies,N/A,Councillors Grant Award - Camping trip,860.00
25/11/2015,One-off,Communities Group,Marton Parish Council,N/A,Councillors Grant Award - Marton Parish Council,819.00
25/01/2016,One-off,Communities Group,Newbold on Avon Community Partnership,N/A,Councillors Grant Award - Newbold on Avon Community Partnership,812.00
10/03/2016,One-off,Communities Group,Exhall Boxing Academy,N/A,Councillors Grant Award - Purchase of digital video camera,750.00
12/01/2016,One-off,Communities Group,Moor Equestrian Riding for the Disabled,N/A,Councillors Grant Award - Equipment,700.00
01/02/2016,One-off,Communities Group,Friends of Race Leys,N/A,Councillors Grant Award - Mud Kitchen project,700.00
19/10/2015,One-off,Communities Group,Nuneaton Muslim Centre,N/A,Councillors Grant Award - Defibrillator Storage,630.00
26/10/2015,One-off,Communities Group,Diabetes & Youth Support,N/A,Councillors Grant Award - Winter Cricket for Young People,600.00
27/10/2015,One-off,Communities Group,Polesworth Abbey PCC,N/A,Councillors Grant Award - Community Event Marquee,600.00
10/12/2015,One-off,Communities Group,Fillongley Falcons Explorer Unit,N/A,Councillors Grant Award - Purchase of Tents,600.00
19/10/2015,One-off,Communities Group,Whitestone Over 60's Club,N/A,Councillors Grant Award - Christmas Meal & Transport,500.00
23/11/2015,One-off,Communities Group,Stockingford AA Pavillion Ladies FC,N/A,Councillors Grant Award - Equipment,500.00
01/02/2016,One-off,Communities Group,Friends of Exhall Cedars Infant Nursery and Pre-School,N/A,Councillors Grant Award  - Outreach session,500.00
21/04/2015,One-off,Communities Group,Nepalese Community Nuneaton,N/A,Armed Forces Community Covenant Grant,"5,000.00"
18/11/2015,One-off,Communities Group,Ryton on Dunsmore Parish Council,205315,Councillors Grant Award - Replacement of Trees for Recreation Ground,566.00
04/11/2015,One-off,Communities Group,Hill Street Youth & Community Centre,212330,Councillors Grant Award - Open Access Youth Club,"1,750.00"
18/11/2015,One-off,Communities Group,The New Bilton Community Association,225994,"Councillors Grant Award - Relocate, Refurb and Redecorate project","1,760.00"
18/11/2015,One-off,Communities Group,The New Bilton Community Association,225994,"Councillors Grant Award - Relocate, Refurb and Redecorate project",990.00
10/11/2015,One-off,Communities Group,Willoughby Parish Council,228693,Councillors Grant Award - Defibrillator project,941.00
12/11/2015,One-off,Communities Group,Shilton & Barnade Parish Council,228991,Councillors Grant Award - Community Project,"1,650.00"
18/11/2015,One-off,Communities Group,Stretton on Dunsmore Parish Council,232211,Councillors Grant Award - Cricket Pavilion Electricity project,"1,500.00"
04/06/2015,One-off,Communities Group,Stretton on Dunsmore Parish Council,232211,Councillors Grant Award - Stretton on Dunsmore Parish Council,748.00
04/11/2015,One-off,Communities Group,The Chapel (Newbold on Avon Methodist Church),N/A,Councillors Grant Award - Disabled Access Point,"2,000.00"
18/11/2015,One-off,Communities Group,Brinklow Parish Council,N/A,Councillors Grant Award - Upgrade of Children's Play Area project,"1,517.00"
04/11/2015,One-off,Communities Group,"St Peter & St Johns Church, Rugby",N/A,Councillors Grant Award - Improving Community Use of Community Space,"1,379.00"
10/11/2015,One-off,Communities Group,22nd Hillmorton Scout Group,N/A,Councillors Grant Award - Tents project,"1,350.00"
04/11/2015,One-off,Communities Group,Rugby Gymnastics Club,N/A,Councillors Grant Award - Rugby Gym Club New Build,925.00
04/11/2015,One-off,Communities Group,Age UK Warwickshire,N/A,Councillors Grant Award - Allotment Garden,895.00
28/10/2015,One-off,Communities Group,Pailton Parish Council,N/A,Councillors Grant Award - Speed Awareness signs - Pailton,600.00
18/11/2015,One-off,Communities Group,Wolvey School PTA,N/A,Councillors Grant Award - Wolvey School's Wildlife Area,575.00
05/11/2015,One-off,Communities Group,Stratford Baby & Toddler Group,N/A,Councillors Grant Award - Stretton Baby & Toddler Group,500.00
03/02/2016,One-off,Communities Group,Earlswood Village Hall,201921,Councillors Grant Award - Refurbishment of toilets project,"1,000.00"
10/02/2016,One-off,Communities Group,Marston Sicca Parish Council,203902,Councillors Grant Award - Provision of sports/leisure equipment,600.00
10/02/2016,One-off,Communities Group,Townsend Hall Management Committee,206322,Councillors Grant Award - Townsend Hall Management Committee,"1,000.00"
24/02/2016,One-off,Communities Group,Welford on Avon Parish Council,206753,Councillors Grant Award - Support for ongoing children's literacy and adult life enrichment activities i.e. IT access,"1,850.00"
10/02/2016,One-off,Communities Group,Stratford Upon Avon Citizens Advice Bureau,211334,"Councillors Grant Award - ""Signs and Triggers"" training course",750.00
10/02/2016,One-off,Communities Group,Orchestra of the Swan,211343,Councillors Grant Award - Music workshops,500.00
02/02/2016,One-off,Communities Group,Alcester Olympic Committee,211628,Councillors Grant Award - Youth Participation in sporting activities during Olympics 2016,"1,000.00"
07/03/2016,One-off,Communities Group,Alcester Town Council,213559,Councillors Grant Award - Purchase of gravity rider for Moorfields Road play area,700.00
02/02/2016,One-off,Communities Group,ACT.com,218942,Councillors Grant Award - Air conditioning in the Jubilee Centre,"1,500.00"
09/02/2016,One-off,Communities Group,Long Itchington Leisure and Community Partnership (LILAC),219095,Councillors Grant Award - Defibrillator project,"2,500.00"
10/02/2016,One-off,Communities Group,Stockton Village Hall,219098,Councillors Grant Award - Replacement windows for hall and office dwelling in hall,500.00
10/02/2016,One-off,Communities Group,The Shakespeare Hospice,224282,Councillors Grant Award - Pilot of Pre-bereavement Children's Support Group,950.00
10/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Transportation costs for As You Like It Club,600.00
18/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Transport costs to Shipston Valley VIP club,500.00
10/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Transportation costs,500.00
10/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Assistance with transport costs,500.00
03/02/2016,One-off,Communities Group,Artistsworkhouse,N/A,Councillors Grant Award - Artistsworkhouse - Kitchen update,"3,000.00"
02/02/2016,One-off,Communities Group,Atrial Fibrillation Association,N/A,Councillors Grant Award - Atrial Fibrillation Association,"2,600.00"
10/02/2016,One-off,Communities Group,Wellesbourne Wanderers Football Club,N/A,Councillors Grant Award - Replace goal posts & purchase of waterproof jackets,"2,500.00"
03/02/2016,One-off,Communities Group,Arrhythmia Alliance,N/A,Councillors Grant Award - Arrhythmia Alliance - support project,"2,300.00"
04/02/2016,One-off,Communities Group,The Graham Adams Centre,N/A,Councillors Grant Award - Vegetable Art Programme,"2,000.00"
04/02/2016,One-off,Communities Group,Aunt Phoebe's recreational ground,N/A,Councillors Grant Award - Refurbishment of equipment at Aunt Phoebe's recreational ground,"2,000.00"
09/02/2016,One-off,Communities Group,The Parenting Project - Southam,N/A,Councillors Grant Award - The Parenting Project - Southam,"2,000.00"
10/02/2016,One-off,Communities Group,Shakespeare Birthplace Trust,N/A,Councillors Grant Award - Access to Birthplace,"2,000.00"
04/02/2016,One-off,Communities Group,Harbury Parish Council,N/A,Councillors Grant Award - Harbury PC purchase of slate/chippings & wildflowers,"2,000.00"
07/03/2016,One-off,Communities Group,Long Compton Parish Council,N/A,Councillors Grant Award - Refurbishment of equipment,"2,000.00"
10/02/2016,One-off,Communities Group,Shipston Town Council,N/A,Councillors Grant Award - Flood alleviation project,"1,500.00"
10/02/2016,One-off,Communities Group,St Paul's Church Wellesbourne Youth Services,N/A,Councillors Grant Award - Funding for part-time session worker,"1,432.00"
10/02/2016,One-off,Communities Group,Newbold on Stour Village Committee,N/A,Councillors Grant Award - Kitchen renovation of Village Hall,"1,250.00"
04/02/2016,One-off,Communities Group,Langley Parish Council,N/A,Councillors Grant Award - Maintenance of muddy footpath,"1,200.00"
26/03/2015,One-off,Communities Group,Tredington Parish Council,N/A,Councillors Grant Award - Community project,"1,000.00"
09/02/2016,One-off,Communities Group,Clifford Chambers Archive Project,N/A,Councillors Grant Award - History project,"1,000.00"
10/02/2016,One-off,Communities Group,Tanworth in Arden Parish Council,N/A,"Councillors Grant Award - Purchase of defibrillator, cabinet and carry case","1,000.00"
10/02/2016,One-off,Communities Group,Oversley Green Residents Association,N/A,Councillors Grant Award - Maintenance equipment,"1,000.00"
10/02/2016,One-off,Communities Group,Wolverton Parish Council,N/A,Councillors Grant Award - Replacement of village noticeboards,"1,000.00"
10/02/2016,One-off,Communities Group,Studley Allotment Association,N/A,Councillors Grant Award - Fruit & Vegetable growing project,"1,000.00"
03/02/2016,One-off,Communities Group,Bearley Village Hall Trust,N/A,Councillors Grant Award - Purchase & installation of presentation equipment,"1,000.00"
10/02/2016,One-off,Communities Group,Gaydon Village Store,N/A,Councillors Grant Award - Installation of a concrete path & ramp,850.00
18/02/2016,One-off,Communities Group,Shipston Valley VIP club,N/A,Councillors Grant Award - Transport costs to Shipston Valley VIP club,800.00
10/02/2016,One-off,Communities Group,Newbold Pacey & Ashorne Parish Council,N/A,Councillors Grant Award - Repairs to village landmark bridge,800.00
10/02/2016,One-off,Communities Group,Stratford Upon Avon Boat Club,N/A,Councillors Grant Award - Purchase of oars,750.00
09/03/2016,One-off,Communities Group,Stratford Upon Avon Boat Club,N/A,Councillors Grant Award - Purchase of oars,750.00
10/02/2016,One-off,Communities Group,Fenney Compton Parish Council,N/A,Councillors Grant Award - Purchase of digital piano,719.00
04/02/2016,One-off,Communities Group,Stratford Thunderbirds Netball Club,N/A,Councillors Grant Award - Stratford Thunderbirds Netball Club,600.00
10/02/2016,One-off,Communities Group,Radway Parish Council,N/A,Councillors Grant Award - Replacement of public bench,570.00
10/02/2016,One-off,Communities Group,The Hub & Henley Community Centre,N/A,Councillors Grant Award - Team management project,500.00
04/02/2016,One-off,Communities Group,Henley In Arden Bowls Club,N/A,Councillors Grant Award - Maintenance of bowling green,500.00
10/02/2016,One-off,Communities Group,Warmington & Arlescotte PC,N/A,"Councillors Grant Award - New website, welcome pack and newsletter",500.00
10/02/2016,One-off,Communities Group,Escape Arts,N/A,Councillors Grant Award - Volunteer Recruitment & Training,500.00
10/02/2016,One-off,Communities Group,Escape Arts,N/A,Councillors Grant Award - Volunteer Recruitment & Training,500.00
04/02/2016,One-off,Communities Group,Harbury PC,N/A,Councillors Grant Award - Harbury PC purchase of slate/chippings & wildflowers,500.00
03/02/2016,One-off,Communities Group,Fenny Compton School Group,N/A,Councillors Grant Award - Purchase of pioneering poles,500.00
02/02/2016,One-off,Communities Group,Aqueous,N/A,Councillors Grant Award - Flood prevention,500.00
03/02/2016,One-off,Communities Group,Carers 4 Carers Kineton & Villages,N/A,Councillors Grant Award -Information and support to Carers project,500.00
24/02/2016,One-off,Communities Group,Henley in Arden Community Library,N/A,Councillors Grant Award - Support for ongoing children's literacy and adult life enrichment activities i.e. IT access,500.00
04/02/2016,One-off,Communities Group,Henley Forest Football Club,N/A,Councillors Grant Award - Coach training FA level 1 badge,500.00
31/03/2015,6 months,Communities Group,Bedworth Rugby and Nuneaton Cab,200655,Support grant,"180,000.00"
02/10/2015,6 months,Communities Group,Bedworth Rugby and Nuneaton Cab,200655,Support grant,"180,000.00"
16/04/2015,6 months,Communities Group,Warwickshire Race Equality Partnership (WREP),206626,Support grant,"34,000.00"
24/04/2015,6 months,Communities Group,Warwickshire Community and Voluntary Action,207704,Support grant,"168,000.00"
26/08/2015,6 months,Communities Group,Warwickshire Community and Voluntary Action,207704,Support grant,"168,000.00"
24/04/2015,12 months,Communities Group,Warwickshire Community and Voluntary Action,207704,Support grant,"11,642.00"
01/05/2015,6 months,Communities Group,Warwickshire Children & Voluntary Youth Services (WCVYS),214757,Support grant,"50,464.50"
07/10/2015,6 months,Communities Group,Warwickshire Children & Voluntary Youth Services (WCVYS),214757,Support grant,"49,535.50"
12/11/2015,1 month,Resources Group,Nuneaton & Bedworth Healthy Living Network,204527,Super kitchen grant,"2,446.00"
17/11/2015,1 month,Resources Group,Khair in the Community,222603,Super kitchen grant,"2,261.00"
16/10/2015,1 month,Resources Group,Rugby & Daventry Methodist Circuit No.1 Account,226843,Super kitchen grant,"1,980.00"
27/08/2015,12 months,Resources Group,Eudaimonia,230958,Super kitchen grant,"4,203.00"
01/12/2015,12 months,Resources Group,Eudaimonia,230958,Super kitchen grant,"3,601.60"
23/11/2015,12 months,Resources Group,Eudaimonia,230958,Super kitchen grant,"3,506.00"
18/12/2015,12 months,Resources Group,Eudaimonia,230958,Super kitchen grant,"3,426.40"
26/11/2015,1 month,Resources Group,St Michaels Childrens Centre,N/A,Super kitchen grant,"2,404.11"
08/03/2016,One-off,Resources Group,Fareshare East Midlands,N/A,Fareshare membership,"1,300.00"
05/03/2015,One-off,Communities Group,Compass - Services To Tackle Problem Drug Use,212497,Substance misuse support,"20,700.00"
14/04/2015,One-off,Communities Group,The Veterans Contact Point,224751,Support grant,"2,000.00"
13/10/2015,One-off,Communities Group,Warwickshire College,20661,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Aylesford School And Sixth Form College (Academy),200539,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,WCC Brooke School Rugby,200906,Skills for employment grant,828.00
07/07/2015,One-off,Communities Group,Campion School and Community College (ACAD) Leamington Spa,201073,Skills for employment grant,"20,500.00"
08/07/2015,One-off,Communities Group,Campion School and Community College (ACAD) Leamington Spa,201073,Skills for employment grant,"12,300.00"
04/12/2015,One-off,Communities Group,Campion School and Community College (ACAD) Leamington Spa,201073,Skills for employment grant,"8,200.00"
13/10/2015,One-off,Communities Group,Campion School and Community College (ACAD) Leamington Spa,201073,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,WCC Exhall Grange School Ash Green,202116,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,WCC Kineton High School Kineton,203417,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,King Edward VI College,203421,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,WCC North Leamington School Leamington,204476,Skills for employment grant,"2,900.00"
13/10/2015,One-off,Communities Group,North Warwickshire & Hinckley College,204478,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Polesworth Academy School,204890,Skills for employment grant,800.00
07/07/2015,One-off,Communities Group,WCC The Round Oak School Warwick,205256,Skills for employment grant,"39,451.00"
08/07/2015,One-off,Communities Group,WCC The Round Oak School Warwick,205256,Skills for employment grant,"23,671.00"
03/12/2015,One-off,Communities Group,WCC The Round Oak School Warwick,205256,Skills for employment grant,"15,780.00"
13/10/2015,One-off,Communities Group,WCC The Round Oak School Warwick,205256,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Rugby High School (ACAD),205288,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Stratford Girls Grammar School (Acad) Stratford Upon Avon,205865,Skills for employment grant,"2,480.00"
13/10/2015,One-off,Communities Group,Stratford upon Avon School,205866,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Stratford Upon Avon College,205876,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Studley High School Academy,205891,Skills for employment grant,"3,000.00"
07/07/2015,One-off,Communities Group,WCC The Avon Valley School Rugby,206061,Skills for employment grant,"38,400.00"
08/07/2015,One-off,Communities Group,WCC The Avon Valley School Rugby,206061,Skills for employment grant,"23,040.00"
03/12/2015,One-off,Communities Group,WCC The Avon Valley School Rugby,206061,Skills for employment grant,"15,360.00"
07/07/2015,One-off,Communities Group,WCC Woodlands School Coleshill,206870,Skills for employment grant,"33,000.00"
08/07/2015,One-off,Communities Group,WCC Woodlands School Coleshill,206870,Skills for employment grant,"19,800.00"
03/12/2015,One-off,Communities Group,WCC Woodlands School Coleshill,206870,Skills for employment grant,"13,200.00"
04/11/2015,One-off,Communities Group,WCC Woodlands School Coleshill,206870,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Myton School Trust (Academy),207813,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Alcester Grammar School (Academy),207814,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Alcester Academy (ACAD) School,208797,Skills for employment grant,"3,000.00"
07/07/2015,One-off,Communities Group,WCC Southam College Account,209202,Skills for employment grant,"20,131.00"
08/07/2015,One-off,Communities Group,WCC Southam College Account,209202,Skills for employment grant,"12,079.00"
03/12/2015,One-off,Communities Group,WCC Southam College Account,209202,Skills for employment grant,"8,052.00"
13/10/2015,One-off,Communities Group,WCC Southam College Account,209202,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,WCC Trinity Catholic School,209452,Skills for employment grant,"2,895.00"
13/10/2015,One-off,Communities Group,Ashlawn School Academy Trust,209807,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,King Edward VI School Academy,209865,Skills for employment grant,"1,680.00"
13/10/2015,One-off,Communities Group,Henley In Arden School - Academy,212438,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Woodlands Academy,213173,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Bilton School Academy,213422,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Higham Lane School Academy,213430,Skills for employment grant,"3,000.00"
03/12/2015,One-off,Communities Group,Ash Green School & Arts College (Academy),213431,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Shipston High School Academy,217434,Skills for employment grant,"2,970.00"
13/10/2015,One-off,Communities Group,Hartshill School (Academy),217973,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Nicholas Chamberlaine Technology College - Academy,222608,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,Harris Church of England Academy,223683,Skills for employment grant,"3,000.00"
13/10/2015,One-off,Communities Group,The Midland Studio College,225404,Skills for employment grant,"3,000.00"
