organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399224","1021","Bedworth Heath Nursery & Children's Centre (Maint)","","Glebe Avenue","Bedworth","CV12 0DP","OSGB36",434270,286280,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",370.92,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",52264.43,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497347","1022","The Canons CofE (Voluntary Aided) Primary School","","Derwent Road","Bedworth","CV12 8RT","OSGB36",435450,286760,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",3477.64,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1612464.49,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497402","1028","All Saints C. of E. Primary School (Infant Site)","","Bulkington Road","Bedworth","CV12 9DG","OSGB36",436350,286830,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",956.20,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",463645.10,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"200001875000","1029","St Giles Junior School","","Hayes Lane","Exhall, Coventry","CV7 9NS","OSGB36",434850,285750,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1692.63,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",521716.12,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10000227516","1033","Bedworth Library & Information Centre","18","High Street","Bedworth","CV12 8NF","OSGB36",435990,286840,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",741.31,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",53971.75,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496939","1034","Former Bedworth Heath Library","","Heath Road","Bedworth","CV12 0BN","OSGB36",434500,286030,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",132.87,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",45966.87,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496983","1037","Warwickshire Fire & Rescue Training & Dev. Centre","46","Leicester Road","Bedworth","CV12 8AG","OSGB36",435810,287440,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",640.22,0.0000,"Community safety",16,"To Follow","n/a","Not Currently Available",124502.97,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"n/a","1038","Access Road fronting 1- 3 Hurst Road","","Hurst Road","Bedworth","n/a","OSGB36",435805,287401,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,0.0124,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497149","1050","Bedworth Fire Station","","Park Road","Bedworth","CV12 8LB","OSGB36",435720,286900,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",520.92,0.0000,"Community safety",16,"To Follow","n/a","Not Currently Available",146859.72,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497471","1061","All Saints C. of E. Primary School (Junior Site)","","Coalpit Fields Road","Bedworth","CV12 9HN","OSGB36",436308,286643,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1028.06,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",289759.10,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071360335","1066","Bedworth Heath Community Centre","179-181","Smorrall Lane","Bedworth","CV12 0JP","OSGB36",433868,286403,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",192.60,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007773666","1074","Bulkington Village Centre","","School Road","Bulkington, Bedworth","CV12 9JB","OSGB36",439260,286760,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1518.10,0.0000,"Licences, permits and permissions",82,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497451","1075","St James CE Junior School (Academy)","","Barbridge Road","Bulkington, Bedworth","CV12 9PF","OSGB36",439260,286880,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2045.97,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",551027.15,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497554","1076","Arden Forest Infant School","","Weston Lane","Bulkington, Bedworth","CV12 9RT","OSGB36",438570,287130,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1282.11,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",620557.94,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497564","1077","Bulkington Community Library","","School Road","Bulkington, Bedworth","CV12 9JB","OSGB36",439230,286690,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",266.16,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",10552.77,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071519524","1080","The Keresley Teaching & Learning Centre","","Bennetts Road North","Keresley End, Keresley","CV7 8LA","OSGB36",431600,285100,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1196.76,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",540482.74,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399227","1081","Keresley Newland Primary School (Academy)","","Grove Lane","Keresley End, Coventry","CV7 8JZ","OSGB36",431640,285200,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1918.88,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",483037.80,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10000225086","1083","Keresley Newland Community Library & Information C","","Bennetts Road","Coventry","CV7 8HX","OSGB36",431700,284730,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",132.87,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071235024","1088","Top Farm","","Higham Lane","Nuneaton","CV11 6BD","OSGB36",437116,294051,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",7101.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",3004.31,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007780067","1092","Land at Former Holly Tree Farm","","Eastboro Way","Nuneaton","CV11 6UZ","OSGB36",437800,291000,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007776506","1093","Attleborough Fields Allotments","","Kelsey Close","Nuneaton","CV11 6RY","OSGB36",437238,291410,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,1.0154,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10000230854","1095","Hammond Business Centre","","Hammond Close","Nuneaton","CV11 6RY","OSGB36",437390,291290,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1521.29,0.0000,"Transport and highways",105,"To Follow","n/a","Not Currently Available",115387.26,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10000230818","1097","Centenary Business Centre","","Hammond Close","Nuneaton","CV11 6RY","OSGB36",437390,291340,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3291.75,0.0000,"Transport and highways",105,"To Follow","n/a","Not Currently Available",317100.05,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495526","1098","Galley Farm","","The Rookery","Nuneaton","CV10 9PB","OSGB36",431364,292173,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",1571.16,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",71341.20,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495357","1107","Croft Junior School","","Northumberland Avenue","Nuneaton","CV10 8ER","OSGB36",434500,291300,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1982.14,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",469341.33,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399438","1108","St Paul's CE Primary School","","Wiclif Way","Nuneaton","CV10 8NH","OSGB36",433260,291300,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",2413.59,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",365001.38,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399351","1110","The George Eliot School (Academy)","","Raveloe Drive","Nuneaton","CV11 4QP","OSGB36",436850,290200,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",7475.47,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1813218.24,"Not Currently Available","B, D, E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"200002867688","1111","Wembrook Community Youth Centre","","Donnithorne Avenue","Nuneaton","CV11 4QL","OSGB36",436900,290210,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",298.51,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071494941","1112","Higham Lane School (Academy)","","Higham Lane","Nuneaton","CV10 0BJ","OSGB36",437040,292930,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",10478.84,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",3822110.51,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007777766","1114","Camp Hill Early Years Centre","","Hollystitches Road","Nuneaton","CV10 9QA","OSGB36",434300,292820,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1750.32,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",151521.90,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10000227032","1115","Camp Hill Primary School","","Hollystitches Road","Nuneaton","CV10 9QA","OSGB36",434210,292860,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",2447.07,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",422021.23,"Not Currently Available","F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399168","1116","St Anne's Catholic Primary School (Academy)","","Camp Hill Drive","Nuneaton","CV10 0JX","OSGB36",433890,293120,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1134.59,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",223369.49,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495255","1119","Middlemarch School (Foundation)","","College Street","Nuneaton","CV10 7BQ","OSGB36",435930,290500,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",1709.07,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",347823.66,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399228","1120","Stockingford Primary School (former Infant)","","Cross Street","Nuneaton","CV10 8JH","OSGB36",433630,291310,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1982.34,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",405823.90,"Not Currently Available","B, D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495348","1121","Stockingford Primary School (former Junior)","","Grove Road","Nuneaton","CV10 8JY","OSGB36",433630,291240,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",3113.45,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",627101.42,"Not Currently Available","D, E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399393","1122","Stockingford Early Years Centre & Library (Maintd)","","St Pauls Road","Nuneaton","CV10 8HW","OSGB36",433760,291350,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",910.34,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",42978.40,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399439","1124","St Nicolas CE Primary School  (Academy)","","Windermere Avenue","Nuneaton","CV11 6HJ","OSGB36",437677,292926,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2492.97,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",520417.77,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495850","1125","Whitestone Infant School","","Magyar Crescent","Nuneaton","CV11 4SQ","OSGB36",438120,289640,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2047.48,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",422831.89,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007775873","1126","Whitestone Community Centre","","Magyar Crescent","Nuneaton","CV11 4SG","OSGB36",438060,289640,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",227.02,0.0000,"Health and social care",58,"To Follow","n/a","Not Currently Available",11730.65,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
