organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1077,Bulkington Community Library,,School Road,"Bulkington, Bedworth",CV12 9JB,OSGB36,439230,286690,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,266.16,0,Leisure and culture,72,To Follow,n/a,Not Currently Available,10552.77,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,1080,The Keresley Teaching & Learning Centre,,Bennetts Road North,"Keresley End, Keresley",CV7 8LA,OSGB36,431600,285100,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1196.76,0,Education and learning,23,To Follow,n/a,Not Currently Available,540482.74,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1081,Keresley Newland Primary School (Academy),,Grove Lane,"Keresley End, Coventry",CV7 8JZ,OSGB36,431640,285200,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1918.88,0,Education and learning,23,To Follow,n/a,Not Currently Available,483037.8,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10000225086,1083,Keresley Newland Community Library & Information C,,Bennetts Road,Coventry,CV7 8HX,OSGB36,431700,284730,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,132.87,0,Leisure and culture,72,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1088,Top Farm,,Higham Lane,Nuneaton,CV11 6BD,OSGB36,437116,294051,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on a Leasehold or Licence,n/a,Land with a permanent building,4604.63,0,Environmental protection,30,To Follow,n/a,Not Currently Available,3004.31,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1089,Top Farm Cottage (Greenacre) (Top Farm),,Higham Lane,Nuneaton,CV11 6BD,OSGB36,437155,293991,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on a Leasehold or Licence,n/a,Land with a permanent building,117.87,0,Environmental protection,30,To Follow,n/a,Not Currently Available,107.29,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10007780067,1092,Bridleway at Eastboro Way (Former Holly Tree Farm),,Eastboro Way,Nuneaton,CV11 6UZ,OSGB36,437989,290900,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land only,0,0,"Government, citizens and rights",42,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10007776506,1093,Land at Attleborough Fields Farm (Allotments),,Kelsey Close,Nuneaton,CV11 6RY,OSGB36,437238,291410,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on a Leasehold or Licence,n/a,Land only,0,1.0154,Environmental protection,30,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10000230854,1095,Hammond Business Centre,,Hammond Close,Nuneaton,CV11 6RY,OSGB36,437390,291290,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1521.29,0,Transport and highways,105,To Follow,n/a,Not Currently Available,115387.26,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10000230818,1097,Centenary Business Centre,,Hammond Close,Nuneaton,CV11 6RY,OSGB36,437390,291340,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,3291.75,0,Transport and highways,105,To Follow,n/a,Not Currently Available,161025.07,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1098,Galley Farm,,The Rookery,Nuneaton,CV10 9PB,OSGB36,431364,292173,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on a Leasehold or Licence,n/a,Land with a permanent building,1571.16,0,Environmental protection,30,To Follow,n/a,Not Currently Available,71341.2,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1107,Croft Junior School,,Northumberland Avenue,Nuneaton,CV10 8ER,OSGB36,434500,291300,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1982.14,0,Education and learning,23,To Follow,n/a,Not Currently Available,469341.33,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1108,St Paul's CE Primary School,,Wiclif Way,Nuneaton,CV10 8NH,OSGB36,433260,291300,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,2413.59,0,Education and learning,23,To Follow,n/a,Not Currently Available,447650.27,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1110,The George Eliot School (Academy),,Raveloe Drive,Nuneaton,CV11 4QP,OSGB36,436850,290200,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,7475.47,0,Education and learning,23,To Follow,n/a,Not Currently Available,1813218.24,Not Currently Available,"B, D, E",To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,200003000000,1111,Wembrook Community Youth Centre,,Donnithorne Avenue,Nuneaton,CV11 4QL,OSGB36,436900,290210,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,298.51,0,Education and learning,23,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1112,Higham Lane School (Academy),,Higham Lane,Nuneaton,CV10 0BJ,OSGB36,437040,292930,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,10478.84,0,Education and learning,23,To Follow,n/a,Not Currently Available,3822110.51,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10007777766,1114,Camp Hill Early Years Centre,,Hollystitches Road,Nuneaton,CV10 9QA,OSGB36,434300,292820,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1750.32,0,Education and learning,23,To Follow,n/a,Not Currently Available,151521.9,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10000227032,1115,Camp Hill Primary School,,Hollystitches Road,Nuneaton,CV10 9QA,OSGB36,434210,292860,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2447.07,0,Education and learning,23,To Follow,n/a,Not Currently Available,342859.86,Not Currently Available,F,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1116,St Anne's Catholic Primary School (Academy),,Camp Hill Drive,Nuneaton,CV10 0JX,OSGB36,433890,293120,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1134.59,0,Education and learning,23,To Follow,n/a,Not Currently Available,288095.74,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1119,Middlemarch School (Foundation),,College Street,Nuneaton,CV10 7BQ,OSGB36,435930,290500,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,1709.07,0,Education and learning,23,To Follow,n/a,Not Currently Available,670477.43,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1120,Stockingford Academy Primary School (Academy),,Cross Street,Nuneaton,CV10 8JH,OSGB36,433630,291310,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1982.34,0,Education and learning,23,To Follow,n/a,Not Currently Available,414543.9,Not Currently Available,"B, D",To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1121,Stockingford Academy (Primary School),,Grove Road,Nuneaton,CV10 8JY,OSGB36,433630,291240,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,3113.45,0,Education and learning,23,To Follow,n/a,Not Currently Available,637761.42,Not Currently Available,"D, E",To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1122,"Stockingford Maint Nursery, C&F Centre & Library",,St Pauls Road,Nuneaton,CV10 8HW,OSGB36,433760,291350,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,910.34,0,Education and learning,23,To Follow,n/a,Not Currently Available,42978.4,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1124,St Nicolas CE Primary School  (Academy),,Windermere Avenue,Nuneaton,CV11 6HJ,OSGB36,437677,292926,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2492.97,0,Education and learning,23,To Follow,n/a,Not Currently Available,520417.77,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1125,Whitestone Infant School,,Magyar Crescent,Nuneaton,CV11 4SQ,OSGB36,438120,289640,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2047.48,0,Education and learning,23,To Follow,n/a,Not Currently Available,426920.61,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10007775873,1126,Whitestone Community Centre,,Magyar Crescent,Nuneaton,CV11 4SG,OSGB36,438060,289640,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,227.02,0,Health and social care,58,To Follow,n/a,Not Currently Available,11730.65,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10007778610,1127,Discovery Academy (Academy),,Vernons Lane,Nuneaton,CV10 8BB,OSGB36,435100,292050,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2750.76,0,Education and learning,23,To Follow,n/a,Not Currently Available,489374.75,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1131,Wembrook Primary School,,Avenue Road,Nuneaton,CV11 4LU,OSGB36,436470,290830,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,3642.56,0,Education and learning,23,To Follow,n/a,Not Currently Available,689954.47,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1133,Our Lady and St Joseph Catholic Academy,,Coton Road,Nuneaton,CV11 5TY,OSGB36,436330,291260,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,3052.59,0,Education and learning,23,To Follow,n/a,Not Currently Available,738069.41,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1137,Nuneaton Academy (Academy),,Arbury Road,"Stockingford, Nuneaton",CV10 7PD,OSGB36,433880,290860,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,11531.06,0,Education and learning,23,To Follow,n/a,Not Currently Available,1756704.46,Not Currently Available,"B, E",To Follow,http://maps.warwickshire.gov.uk/inspire/
