unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
10000225086,1083,Keresley Newland Community Library & Information C,,Bennetts Road,Coventry,CV7 8HX,431700,284730,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,132.87,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,1088,Top Farm,,Higham Lane,Nuneaton,CV11 6BD,437116,294051,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,4604.63,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,3004.31,Not Currently Available,n/a
1.00071E+11,1089,Top Farm Cottage (Greenacre) (Top Farm),,Higham Lane,Nuneaton,CV11 6BD,437155,293991,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,117.87,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,107.29,Not Currently Available,n/a
10007780067,1092,Bridleway at Eastboro Way (Former Holly Tree Farm),,Eastboro Way,Nuneaton,CV11 6UZ,437989,290900,Freehold,Occupied by the Local Authority,Land only,0,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10007776506,1093,Land at Attleborough Fields Farm (Allotments),,Kelsey Close,Nuneaton,CV11 6RY,437238,291410,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,1.0154,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10000230854,1095,Hammond Business Centre,,Hammond Close,Nuneaton,CV11 6RY,437390,291290,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.3033,Sq.m,Transport and highways,To Follow,n/a,Not Currently Available,115387.26,Not Currently Available,n/a
10000230818,1097,Centenary Business Centre,,Hammond Close,Nuneaton,CV11 6RY,437390,291340,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2.0306,Sq.m,Transport and highways,To Follow,n/a,Not Currently Available,161025.07,Not Currently Available,n/a
1.00071E+11,1098,Galley Farm,,The Rookery,Nuneaton,CV10 9PB,431364,292173,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,0.2231,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,71341.2,Not Currently Available,n/a
1.00071E+11,1107,Croft Junior School,,Northumberland Avenue,Nuneaton,CV10 8ER,434500,291300,Freehold,Occupied by the Local Authority,Land with a permanent building,0.9289,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,469341.33,Not Currently Available,D
1.00071E+11,1108,St Paul's CE Primary School,,Wiclif Way,Nuneaton,CV10 8NH,433260,291300,Freehold,Occupied by the Local Authority,Land with a permanent building,3.1437,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,447650.27,Not Currently Available,D
1.00071E+11,1110,The George Eliot School (Academy),,Raveloe Drive,Nuneaton,CV11 4QP,436850,290200,Other,Vested in Trustees,Land with a permanent building,16.8171,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1813218.24,Not Currently Available,"B, D, E"
2.00003E+11,1111,Wembrook Community Youth Centre,,Donnithorne Avenue,Nuneaton,CV11 4QL,436900,290210,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.6069,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,1112,Higham Lane School (Academy),,Higham Lane,Nuneaton,CV10 0BJ,437040,292930,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,7.5404,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,3822110.51,Not Currently Available,D
10007777766,1114,Camp Hill Early Years Centre,,Hollystitches Road,Nuneaton,CV10 9QA,434300,292820,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,12.7313,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,151521.9,Not Currently Available,E
10000227032,1115,Camp Hill Primary School,,Hollystitches Road,Nuneaton,CV10 9QA,434210,292860,Freehold,Occupied by the Local Authority,Land with a permanent building,15.3765,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,342859.86,Not Currently Available,F
1.00071E+11,1116,St Anne's Catholic Primary School (Academy),,Camp Hill Drive,Nuneaton,CV10 0JX,433890,293120,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2.7332,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,288095.74,Not Currently Available,E
1.00071E+11,1119,Middlemarch School (Foundation),,College Street,Nuneaton,CV10 7BQ,435930,290500,Other,Vested in Trustees,Land with a permanent building,0.0743,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,670477.43,Not Currently Available,E
1.00071E+11,1120,Stockingford Academy Primary School (Academy),,Cross Street,Nuneaton,CV10 8JH,433630,291310,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.1114,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,414543.9,Not Currently Available,"B, D"
1.00071E+11,1121,Stockingford Academy (Primary School),,Grove Road,Nuneaton,CV10 8JY,433630,291240,Freehold,Occupied by the Local Authority,Land with a permanent building,1.6564,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,637761.42,Not Currently Available,"D, E"
1.00071E+11,1122,"Stockingford Maint Nursery, C&F Centre & Library",,St Pauls Road,Nuneaton,CV10 8HW,433760,291350,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.0497,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,42978.4,Not Currently Available,C
1.00071E+11,1124,St Nicolas CE Primary School  (Academy),,Windermere Avenue,Nuneaton,CV11 6HJ,437677,292926,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1.0445,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,520417.77,Not Currently Available,D
1.00071E+11,1125,Whitestone Infant School,,Magyar Crescent,Nuneaton,CV11 4SQ,438120,289640,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1.871,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,426920.61,Not Currently Available,C
10007775873,1126,Whitestone Community Centre,,Magyar Crescent,Nuneaton,CV11 4SG,438060,289640,Freehold,Occupied by the Local Authority,Land with a permanent building,0.0482,Sq.m,Health and social care,To Follow,n/a,Not Currently Available,11730.65,Not Currently Available,n/a
10007778610,1127,Discovery Academy (Academy),,Vernons Lane,Nuneaton,CV10 8BB,435100,292050,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1.9325,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,489374.75,Not Currently Available,n/a
1.00071E+11,1131,Wembrook Primary School,,Avenue Road,Nuneaton,CV11 4LU,436470,290830,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1.4407,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,689954.47,Not Currently Available,C
1.00071E+11,1133,Our Lady and St Joseph Catholic Academy,,Coton Road,Nuneaton,CV11 5TY,436330,291260,Other,Vested in Trustees,Land with a permanent building,2.2994,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,257011.52,Not Currently Available,n/a
1.00071E+11,1137,Nuneaton Academy (Academy),,Arbury Road,"Stockingford, Nuneaton",CV10 7PD,433880,290860,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.1712,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1756704.46,Not Currently Available,"B, E"
1.00071E+11,1140,St Thomas More Catholic School & 6th Form College,,Greenmoor Road,Nuneaton,CV10 7EX,435330,291140,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,9.2803,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1498169.68,Not Currently Available,"C, D"
1.00071E+11,1141,Abbey CE Infant School,,Aston Road,Nuneaton,CV11 5EL,435670,292420,Freehold,Occupied by the Local Authority,Land with a permanent building,10.1715,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,78224.56,Not Currently Available,E
1.00071E+11,1142,All Saints CE Primary School,,Knebley Crescent,Nuneaton,CV10 7AT,436310,290240,Other,Vested in Trustees,Land with a permanent building,0.0505,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,521200.56,Not Currently Available,D
1.00071E+11,1143,Queen's Church of England Academy (Academy),,Bentley Road,Nuneaton,CV11 5LR,435260,291740,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,19.7088,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,585157.02,Not Currently Available,D
1.00071E+11,1144,Galley Common Infant School,,Plough Hill Road,Nuneaton,CV10 9NZ,431780,292290,Both Freehold & Leasehold,Occupied by the Local Authority,Land with a permanent building,4.4347,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,146065.54,Not Currently Available,E
1.00071E+11,1145,Park Lane Primary School (Academy),,Park Lane,Nuneaton,CV10 8LU,431990,291180,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1.9996,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,324223.51,Not Currently Available,C
1.00071E+11,1146,Chetwynd Junior School,,Caroline Close,Nuneaton,CV11 4SE,438010,289310,Freehold,Occupied by the Local Authority,Land with a permanent building,1.1095,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1047471.13,Not Currently Available,C
10000231046,1147,Former Freeway Centre - Site for Extra Care Home,Withheld,Withheld,Withheld,CV11,0,0,Freehold,Vacant,Land only,0.3033,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,214404.32,Not Currently Available,D
1.00071E+11,1152,Glendale Infant School,,Skye Close,Nuneaton,CV10 7LW,434780,290760,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,5.6106,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,686547.04,Not Currently Available,C
1.00071E+11,1153,Chilvers Coton Community Infant School,,Frank Street,Nuneaton,CV11 5RB,435860,291190,Freehold,Occupied by the Local Authority,Land with a permanent building,9.9817,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,293795.62,Not Currently Available,D
1.00071E+11,1155,Land at The Former Griff School,Withheld,Withheld,Withheld,CV10,0,0,Freehold,Vacant,Land only,2.0306,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,1157,Hatters Space Community Centre,,Upper Abbey Street,Nuneaton,CV11 5DN,435750,292160,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.2839,Sq.m,Health and social care,To Follow,n/a,Not Currently Available,66666.47,Not Currently Available,E
1.00071E+11,1158,Etone College (Academy),,Leicester Road,Nuneaton,CV11 6AA,436880,292130,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,12.2403,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1558679.73,Not Currently Available,"B, D, F"
1.00071E+11,1161,Nuneaton Library & Information Centre,,Church Street,Nuneaton,CV11 4DR,436480,291720,Freehold,Occupied by the Local Authority,Land with a permanent building,0.0271,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,524160.32,Not Currently Available,B
1.00072E+11,1165,Nuneaton Gypsy Caravan Site,,Coventry Road,Nuneaton,CV10 7AX,436090,289300,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.1619,Sq.m,Housing,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,1173,Land at Former Nuneaton Magistrates Courts,,Vicarage Street,Nuneaton,CV11 4DW,436510,291760,Freehold,Occupied by the Local Authority,Land only,0.2231,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,1184,Nuneaton Fire Station,,Newtown Road,Nuneaton,CV11 4HR,436070,292080,Freehold,Occupied by the Local Authority,Land with a permanent building,9.8486,Sq.m,Community safety,To Follow,n/a,Not Currently Available,329283.11,Not Currently Available,D
10007779137,1188,The Hilary Road Centre,,Hilary Road,Nuneaton,CV10 9AD,434500,292150,Freehold,Occupied by the Local Authority,Land with a permanent building,5.5781,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,135013.87,Not Currently Available,C
10000230633,1198,Ramsden Complex Needs Centre,,School Walk,Nuneaton,CV11 4PJ,437170,290920,Freehold,Occupied by the Local Authority,Land with a permanent building,2.9546,Sq.m,Health and social care,To Follow,n/a,Not Currently Available,76812.66,Not Currently Available,F
10000230816,1199,Nuneaton Signs,5a,Kelsey Close,Nuneaton,CV11 6RS,437345,291174,Freehold,Occupied by the Local Authority,Land with a permanent building,3.2248,Sq.m,Transport and highways,To Follow,n/a,Not Currently Available,87181.17,Not Currently Available,n/a
10000229478,1228,Nuneaton Register Office Riversley Park,,Coton Road,Nuneaton,CV11 5HA,436330,291530,Leasehold,Occupied by the Local Authority,Land with a permanent building,18.6241,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,81313.9,Not Currently Available,n/a
10001172008,2001,Nursery Hill Primary School,,Ansley Common,Nuneaton,CV10 0PY,431200,293620,Freehold,Occupied by the Local Authority,Land with a permanent building,11.0505,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,204992.21,Not Currently Available,E
n/a,2004,Oldbury Cutting Chipping Store,,Oldbury Road,Mancetter,n/a,430550,294110,Freehold,Occupied by the Local Authority,Land only,0.9289,Hectares,Transport and highways,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10001172015,2005,Arley Primary School,,Gun Hill,Arley,CV7 8HB,429450,289720,Freehold,Occupied by the Local Authority,Land with a permanent building,0.7757,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,401800.73,Not Currently Available,"D, E"
1.00072E+11,2006,ARC School (Former Herbert Fowler Junior School),,Ansley Lane,Arley,CV7 8NU,428600,290700,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,4.4222,Sq.m,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,282378.51,Not Currently Available,E
1.00072E+11,2010,Queen Elizabeth School & Sports College (Academy),,Long Street,Atherstone,CV9 1AE,431300,297630,Other,Vested in Trustees,Land with a permanent building,3.7201,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1260963.78,Not Currently Available,C
1.00071E+11,2011,Queen Elizabeth School & Sports College (Academy),,Witherley Road,Atherstone,CV9 1LZ,431740,297490,Other,Vested in Trustees,Land with a permanent building,0,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1526029.4,Not Currently Available,E
1.00071E+11,2012,Outwoods Primary School (Former Oakfield Junior),,Southlands,Atherstone,CV9 1EH,431110,297300,Freehold,Occupied by the Local Authority,Land with a permanent building,32.198,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,497161.06,Not Currently Available,D
1.00071E+11,2013,Outwoods Primary School (Former Arden Hill Infant),,South Street,Atherstone,CV9 1DZ,431040,297390,Freehold,Occupied by the Local Authority,Land with a permanent building,0.7062,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,183258.94,Not Currently Available,D
1.00071E+11,2014,Racemeadow Primary School (Academy),,Ratcliffe Road,Atherstone,CV9 1LT,431420,298100,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2.1175,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,726907.08,Not Currently Available,C
1.00072E+11,2016,Atherstone Nursery School,,Kings Avenue,Atherstone,CV9 1JZ,431120,297970,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.2065,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,79813.38,Not Currently Available,F
1.00072E+11,2017,The Ratcliffe Youth & Community Centre,,Ratcliffe Road,Atherstone,CV9 1LF,431010,297890,Both Freehold & Leasehold,Occupied by the Local Authority,Land with a permanent building,4.5937,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,15634.13,Not Currently Available,n/a
1.00072E+11,2018,N.W.H.C. Atherstone Campus,,Ratcliffe Road,Atherstone,CV9 1LF,431050,297910,Leasehold,Occupied by the Local Authority,Land with a permanent building,11.4215,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,2021,St Benedict's Catholic Primary School (Academy),,Church Walk,Atherstone,CV9 1PS,431720,297180,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.0205,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,446696.21,Not Currently Available,D
1.00072E+11,2027,Atherstone Library & Information Centre,,Long Street,Atherstone,CV9 1AX,430625,297930,Freehold,Occupied by the Local Authority,Land with a permanent building,8.3247,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,64623.61,Not Currently Available,C
1.00072E+11,2036,Atherstone Fire Station,,Ratcliffe Road,Atherstone,CV9 1JZ,431190,298000,Freehold,Occupied by the Local Authority,Land with a permanent building,0.5006,Sq.m,Community safety,To Follow,n/a,Not Currently Available,166702.51,Not Currently Available,n/a
1.00072E+11,2048,The Atherstone Centre (Specialist Care Home Site),Withheld,Withheld,Withheld,CV9,0,0,Freehold,Vacant,Land with a permanent building,0.9387,Sq.m,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,73659.3,Not Currently Available,n/a
1.00072E+11,2050,Austrey CE Primary School (Academy),,St Nicholas Close,Austrey,CV9 3EQ,429520,306670,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.2066,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,241378.79,Not Currently Available,D
n/a,2052,Land at Boot Hill,,Boot Hill,Baddesley Ensor,CV9 2EL,427260,299270,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,3.1437,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2053,Woodside C.E. Primary School (Academy),,Maypole Lane,Grendon,CV9 2BS,427538,298375,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.9814,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,78681.97,Not Currently Available,C
1.00071E+11,2055,Grendon Community Centre (Former Youth Club),,Boot Hill,Grendon,CV9 2EL,427370,299250,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2.3352,Sq.m,Education and learning,To Follow,Yes,Not Currently Available,25663.37,Not Currently Available,n/a
1.00072E+11,2056,Former Baddesley Library & Information Centre,,Little Brum,Grendon,CV9 2ET,427220,298830,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2.3195,Sq.m,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,18778.37,Not Currently Available,n/a
1.00071E+11,2059,The Coleshill School (Academy),,Coventry Road,Coleshill,B46 3EX,420180,287550,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.4754,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,2176270.26,Not Currently Available,"E, F"
1.00071E+11,2060,St Edwards Catholic Primary School (Academy),,Packington Lane,Coleshill,B46 3JE,420320,287450,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.074,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,517523.83,Not Currently Available,D
1.00071E+11,2061,Woodlands School (Academy),,Packington Lane,Coleshill,B46 3JE,420170,287670,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2.1968,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,178584.78,Not Currently Available,E
10001178034,2063,Coleshill Learning Pod (aka Exhall Grange LP),Withheld,Withheld,Withheld,B46,0,0,Freehold,Vacant,Land with a permanent building,46.6536,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,43190.26,Not Currently Available,n/a
1.00071E+11,2064,Coleshill C. of E. Primary School  (Academy),Withheld,Withheld,Withheld,B46,0,0,Both Freehold & Leasehold,Vacant,Land with a permanent building,1.7742,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,437885.53,Not Currently Available,E
1.00071E+11,2065,High Meadow Community School,,Norton Road,Coleshill,B46 1ES,419660,289870,Freehold,Occupied by the Local Authority,Land with a permanent building,0.0892,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,169263.59,Not Currently Available,D
1.00071E+11,2080,Coleshill Fire Station,,Birmingham Road,Coleshill,B46 1DJ,419750,288890,Freehold,Occupied by the Local Authority,Land with a permanent building,0.3859,Sq.m,Community safety,To Follow,n/a,Not Currently Available,213321.38,Not Currently Available,C
1.00071E+11,2098,Coleshill Motorway/Divisional Highways Depot,,Coleshill Heath Road,Coleshill,B46 1DP,419703,286854,Both Freehold & Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,7.2615,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,299625.71,Not Currently Available,n/a
1.00071E+11,2100,Radbrook Farm,,Highfield Lane,Corley,CV7 8BJ,430252,286144,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1.8922,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
