For Entry In,Area,Name of School,PAN,Total Offered,Breakdown
2010,South,Bidford-on-Avon C. of E. (Controlled) Primary School,45,40,Offers made to all applicants including those children unplaced.
2010,South,Bishopton (Community) Primary School,30,29,Offers made to all applicants including those children unplaced.
2010,South,Brailes C. of E. (Controlled) Primary School,15,10,Offers made to all applicants.
2010,South,Bridge Town (Community) Primary ,45,45,"Offers made to all on time criteria 2, 4 and 5."
2010,South,Claverdon (Community) Primary School,30,27,Offers made to all applicants.
2010,South,Coughton C. of E. (Controlled) Primary School,20,20,"Offers made to all on time criteria 4, 5 and 7 to a distance of 4.669 miles."
2010,South,The Dassett C. of E. (Controlled) Primary School,25,25,"Offers made to all criteria 2, 4 and 5 to a distance of 2.388 miles."
2010,South,Dunnington C. of E. (Aided) Primary School,15,15,Places allocated according to school's criteria. Contact school direct for details.
2010,South,Ettington C. of E. (Controlled) Primary School,25,25,"Offers made to all on time criteria 2, 4 and 5 to a distance of 2.574 miles."
2010,South,The Ferncumbe C. of E. (Controlled) Primary School,17,20,Offers made to all applicants.
2010,South,Great Alne (Community) Primary School,16,5,Offers made to all applicants.
2010,South,Hampton Lucy C. of E. (Controlled) Primary School,15,13,Offers made to all applicants.
2010,South,Haselor School (Foundation),15,9,Offers made to all applicants.
2010,South,Henley-in-Arden (Community) Primary School,29,30,"Offers made to all on time criteria 2, 4 and 5 to a distance of 5.049 miles."
2010,South,Ilmington C. of E. (Controlled) Primary School,15,15,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 2.919 miles."
2010,South,Kineton C. of E. (Aided) Primary School,30,30,Places allocated according to school's criteria. Contact school direct for details.
2010,South,Lapworth C. of E. (Controlled) Primary School,20,20,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 4.528 miles."
2010,South,Lighthorne Heath (Community) Primary School,13,5,Offers made to all applicants including those children unplaced.
2010,South,Loxley C. of E. Community (Controlled) Primary School ,6,3,Offers made to all applicants.
2010,South,Mappleborough Green C. of E. (Controlled) Primary School,17,17,"Offers made to all on time criteria 4, 5 and 7 to a distance of 0.808 miles."
2010,South,Moreton Morrell C. of E. (Foundation) Primary School,15,15,Offers made to all applicants.
2010,South,Newbold and Tredington C. of E. (Controlled) Primary School,15,7,Offers made to all applicants including those children unplaced.
2010,South,Our Lady's Catholic (Aided) Primary School,15,12,Offers made to all applicants.
2010,South,Quinton (Community) Primary School,15,13,Offers made to all applicants including those children unplaced.
2010,South,Salford Priors C. of E. (Controlled) Primary School,15,6,Offers made to all applicants.
2010,South,Shipston-on-Stour (Foundation) Primary School,54,53,Offers made to all applicants.
2010,South,Shottery St. Andrew's C. of E. (Controlled) Primary School,10,10,Offers made to all on time criteria 4 to a distance of 0.737 miles.
2010,South,Snitterfield (Community) Primary School,15,15,Offers made to all applicants.
2010,South,St. Gregory's Catholic (Aided) Primary School,30,30,Places allocated according to school's criteria. Contact school direct for details.
2010,South,"St Mary's Catholic (Aided) Primary School, Henley",10,4,Offers made to all applicants.
2010,South,"St Mary's Catholic (Aided) Primary School, Studley",30,29,Offers made to all applicants.
2010,South,St. Nicholas C. of E. (Controlled) Primary School,60,46,Offers made to all applicants.
2010,South,Stratford-upon-Avon (Community) Primary School,30,30,Offers made to all on time criteria 2 and 4 to a distance of 0.432 miles.
2010,South,Studley Community (Community) Infant School],60,49,Offers made to all applicants.
2010,South,Tanworth-in-Arden C. of E. (Aided) Primary School,30,30,Places allocated according to school's criteria. Contact school direct for details.
2010,South,Temple Grafton C. of E. (Aided) Primary School,15,15,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 2.388 miles."
2010,South,Temple Herdewyke (Community) Primary School,12,18,Offers made to all applicants.
2010,South,Thomas Jolyffe (Community) Primary School,60,44,Offers made to all applicants including those children unplaced.
2010,South,Tysoe C. of E. (Controlled) Primary School,30,28,Offers made to all applicants.
2010,South,Welford-on-Avon (Community) Primary School,28,30,Offers made to all on time criteria 2 and 4 to a distance of 2.262 miles.
2010,South,Wellesbourne C. of E. (Controlled) Primary School,60,53,Offers made to all applicants.
2010,South,The Willows C. of E. (Controlled) Primary School,45,45,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.831 miles."
2010,South,Wilmcote C. of E. (Aided) Primary School,16,9,Offers made to all applicants.
2010,South,Wolverton (Foundation) Primary School,15,12,Places allocated according to school's criteria. Contact school direct for details.
2010,South,Wootton Wawen C. of E. (Controlled) Primary School,24,24,Offers made to all applicants including unplaced.
2010,Central,All Saints? C. of E. (Aided) Community Primary School (Leek Wootton),17,20,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Central,Bishops Itchington (Community) Primary School,30,15,Offers made to all applicants including those children unplaced.
2010,Central,Bishops Tachbrook C. of E. (Controlled) Primary School,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 1.778 miles."
2010,Central,Briar Hill (Community) Infant School,90,90,"Offers made to all on time criteria 2, 3, 4, 5 and 6."
2010,Central,Brookhurst (Community) Primary School,60,60,Offers made to all applicants including those children unplaced.
2010,Central,Budbrooke (Community) Primary School,45,45,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 1.129 miles."
2010,Central,Burton Green C. of E. (Controlled) Primary School ,15,15,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 1.738 miles."
2010,Central,Clapham Terrace (Community) Community Primary School,30,25,Offers made to all applicants including those children unplaced.
2010,Central,Clinton (Community) Primary School,30,27,Offers made to all applicants.
2010,Central,Coten End (Community) Primary School,60,60,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.490 miles."
2010,Central,Cubbington C. of E. (Controlled) Primary School,30,30,"Offers made to all on time criteria 2, 4 and 5 to a distance of 2.317 miles."
2010,Central,Emscote (Community) Infant School,60,50,Offers made to all applicants including those children unplaced.
2010,Central,The Ferncumbe C. of E. (Controlled) Primary School,17,20,Offers made to all applicants.
2010,Central,Harbury C. of E. (Controlled) Primary School,30,30,Offers made to all applicants.
2010,Central,Kingsway Community (Community) Primary School,24,20,Offers made to all applicants including those children unplaced.
2010,Central,Lapworth C. of E. (Controlled) Primary School,20,20,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 4.528 miles."
2010,Central,Lillington (Community) Primary School,30,19,Offers made to all applicants including those children unplaced.
2010,Central,Long Itchington C. of E. (Controlled) Primary School,28,26,Offers made to all applicants.
2010,Central,Milverton (Community) Primary School,45,45,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.422 miles."
2010,Central,Newburgh (Community) Primary School,30,30,Offers made to all on time criteria 2 and 4.
2010,Central,Our Lady & St Theresa's Catholic (Aided) Primary School,30,18,Offers made to all applicants.
2010,Central,Priors Field (Community) Primary School ,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 1.074 miles."
2010,Central,Radford Semele C. of E. (Controlled) Primary School,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 1.705 miles."
2010,Central,Shrubland Street (Community) Community Primary School,28,22,Offers made to all applicants including those children unplaced.
2010,Central,Southam (Community) Primary School,42,39,Offers made to all applicants.
2010,Central,St Anthony's Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Central,St Augustine's Catholic (Aided) Primary School,30,18,Offers made to all applicants.
2010,Central,St James' C. of E. (Aided) Primary School (Southam),28,15,Offers made to all applicants.
2010,Central,St John's (Community) Primary School,30,21,Offers made to all applicants.
2010,Central,St Joseph's Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Central,St Lawrence C. of E. (Aided) Primary School,26,26,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Central,St Mary's Catholic (Aided) Primary School (Southam),30,15,Offers made to all applicants.
2010,Central,St Mary Immaculate Catholic (Aided) Primary School,15,11,Offers made to all applicants.
2010,Central,St Nicholas C. of E. (Controlled) Primary School,60,54,Offers made to all applicants including those children unplaced.
2010,Central,St Patrick's Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Central,St Paul's C. of E. (Aided) Primary School,45,45,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Central,St Peter's Catholic (Aided) Primary School,15,14,Offers made to all applicants.
2010,Central,Stockton (Community) Primary School,18,10,Offers made to all applicants.
2010,Central,Sydenham (Community) Primary School,30,30,"Offers made to all on time criteria 2, 4 and 5 to a distance of 0.454 miles."
2010,Central,Telford (Community) Infant School,90,90,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 0.909 miles."
2010,Central,Thorns Community (Community) Infant School,60,60,"Offers made to all on time criteria 2, 3, 4, 5 and 7 to a distance of 0.904 miles."
2010,Central,Westgate (Community) Primary School,30,20,Offers made to all applicants including those children unplaced.
2010,Central,Whitnash (Community) Primary School,40,34,Offers made to all applicants including those children unplaced.
2010,Central,Woodloes (Community) Primary School ,60,50,Offers made to all applicants including those children unplaced.
2010,East,Abbots Farm (Community) Infant School,60,59,Offers made to all applicants including those children unplaced.
2010,East,Bawnmore (Community) Infant School,60,60,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 1.244 miles."
2010,East,Bilton (Community) Infant School,57,57,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 0.779 miles."
2010,East,Binley Woods (Community) Primary School,30,30,"Offers made to all on time criteria 2, 4 and 7 up to a distance of 2.530 miles."
2010,East,Boughton Leigh (Community) Infant School,80,53,Offers made to all applicants including those children unplaced.
2010,East,Brownsover (Community) Community School,60,60,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 0.442 miles."
2010,East,Cawston Grange (Community) Primary School,30,30,Offers made to all on time criteria 2 and 4 to a distance of 0.279 miles.
2010,East,Clifton-upon-Dunsmore C. of E. (Controlled) Primary School,30,30,Offers made to all on time criteria 2 and 4 to a distance of 1.187 miles.
2010,East,Dunchurch Infant School (Foundation),56,56,Places Allocated According to Schools Criteria. Contact School for Details.
2010,East,Eastlands (Community) Primary School,30,30,Offers made to all on time criteria 2 and 4 to a distance of 0.411 miles.
2010,East,English Martyrs Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2010,East,Henry Hinde (Community) Infant School,60,60,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 0.755 miles."
2010,East,Hillmorton (Community) Primary School,30,30,Offers made to all applicants.
2010,East,Knightlow C. of E. (Aided) Primary School,30,25,Offers made to all applicants.
2010,East,Leamington Hastings C. ofE. (Controlled) Infant School,18,11,Offers made to all applicants.
2010,East,Long Lawford (Community) Primary School,40,40,Offers made to all applicants including those children unplaced.
2010,East,Newbold Riverside (Community) Primary School,30,30,Offers made to all applicants including those children unplaced.
2010,East,Northlands (Community) Primary School,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.736 miles."
2010,East,Oakfield (Community) Primary School,30,30,Offers made to all applicants including those children unplaced.
2010,East,Our Lady's Catholic (Aided) Primary School Princethorpe,17,13,Offers made to all applicants.
2010,East,Paddox (Community) Primary School,60,60,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.271 miles."
2010,East,Provost Williams C. of E. (Controlled) Primary School,30,21,Offers made to all applicants including those children unplaced.
2010,East,The Revel C. of E. (Aided) Primary School,40,40,Places Allocated According to Schools Criteria. Contact School for Details.
2010,East,Rokeby (Community) Primary School,30,23,Offers made to all applicants including those children unplaced.
2010,East,St Andrew's Benn C. of E. (Aided) Primary School,45,25,Offers made to all applicants.
2010,East,St Marie's Nursery and Catholic (Aided) Infant School,60,60,Places Allocated According to Schools Criteria. Contact School for Details.
2010,East,St Matthew's Bloxam C. of E. (Controlled) Primary School,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.401 miles."
2010,East,St Oswald's C. of E. (Controlled) Primary School,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.454 miles."
2010,East,"Wolston, St Margaret's C. of E. (Controlled) Primary School",25,21,Offers made to all applicants including those children unplaced.
2010,North,Herbert Fowler Junior School,45,15,All Offered.
2010,North,Oakfield Junior School,60,34,All Offered
2010,North,Coleshill C of E Primary (Aided),30,22,All Offered
2010,Nun & Bed,Canon Maggs C. of E. (Aided) Junior School,85,85,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Nun & Bed,Chetwynd (Community) Junior School,120,88,All Offered including unplaced applicants
2010,Nun & Bed,Croft (Community) Junior School,90,59,All Offered including unplaced applicants
2010,Nun & Bed,Michael Drayton (Community) Junior School,127,104,All Offered
2010,Nun & Bed,Middlemarch Junior School (Foundation),60,44,All Offered
2010,Nun & Bed,Queen's C. of E. (Controlled) Junior School,90,28,All Offered including unplaced applicants
2010,Nun & Bed,Race Leys (Community) Junior School,64,51,All Offered including unplaced applicants
2010,Nun & Bed,St Giles' (Community) Junior School,60,52,All Offered including unplaced applicants
2010,Nun & Bed,St James' C. of E. (Controlled) Junior School,60,55,All Offered
2010,Nun & Bed,St Joseph's Catholic (Aided) Junior School,68,68,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Nun & Bed,Stockingford (Community) Junior School,120,50,All Offered including unplaced applicants
2010,East,Abbots Farm (Community) Junior School,66,48,All Offered including unplaced applicants
2010,East,Bilton C. of E. (Controlled) Junior School,105,105,"Offers made to all on time criteria 2, 3, 4, 5 and 6 to a distance of 2.166 miles."
2010,East,Boughton Leigh (Community) Junior School,100,70,All Offered including unplaced applicants
2010,East,Dunchurch Boughton C. of E. (Aided) Junior School,66,66,Places allocated according to school's own criteria. Contact school for details.
2010,East,Henry Hinde (Community) Junior School,70,60,All Offered including Unplaced Applicants
2010,East,St Marie's Catholic (Aided) Junior School,60,46,All Offered
2010,Central,All Saints? C. of E. (Controlled) Junior School,60,32,All Offered
2010,Central,Park Hill (Community) Junior School,66,61,All Offered including unplaced applicants
2010,Central,St Margaret's C. of E. (Controlled) Junior School,90,90,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 0.723 miles."
2010,Central,Telford (Community) Junior School,90,86,All Offered
