INSPECTOR,EDUCATION_AREA,DISTRICT_AREA_DESC,DFES,TYPE,PHASE,SCHOOL_NAME,Headteacher,ACTING,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POST_CODE,TEL_NO,EXTRA_TELEPHONE,FAX,E_MAIL,COST_CODE,START_AGE,LEAVE_AGE,GOVERNANCE_DESC,SCH_DELIVERY_NO,CLOSED
Adrienne Holland,Nuneaton & Bedworth,Nuneaton and Bedworth,3101,Primary,Primary,"All Saints C.Of E. Primary School, Nuneaton",Mrs. Sally Kaminski-Gaze,,COVENTRY ROAD,,NUNEATON,WARWICKSHIRE,CV10 7AD,(024) 7638 2123,,(024) 7632 0531,admin3101@we-learn.com,E54,4,11,Voluntary Controlled,B51,N
Judith Jones,Southern,Stratford on Avon,3002,Primary,Primary,Alveston C.Of E. Primary School,Mrs. Krystyna Vickery,,KNIGHT'S LANE,TIDDINGTON,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 7BZ,(01789) 293412,,,admin3002@we-learn.com,F04,4,11,Voluntary Controlled,C15,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,2630,Infant,Primary,Arden Forest Infant School,Mrs. Sharon Harris,,WESTON LANE,BULKINGTON,NUNEATON,WARWICKSHIRE,CV12 9RT,(024) 7631 5913,,,admin2630@we-learn.com,E19,4,7,Community,B58,N
Michael Hatfield,North Warwickshire,North Warwickshire,2004,Infant,Primary,Arden Hill Infant School,Mrs. Linda Hall,31/08/2010,SOUTHLANDS,,ATHERSTONE,WARWICKSHIRE,CV9 1DZ,(01827) 713390,,(01827) 713390,admin2004@we-learn.com,E05,4,7,Community,B15,N
Chris Hunt,Nuneaton & Bedworth,Nuneaton and Bedworth,5401,Secondary,Secondary,Ash Green School and Arts College,Mr. Andrew Clay,,ASH GREEN LANE,EXHALL,COVENTRY,WEST MIDLANDS,CV7 9AH,(024) 7636 6772,(024) 7636 6797,(024) 7636 6383,head.teacher@admin.ashgreen.warwickshire.sch.uk,W02,11,16,Foundation,B74,N
Lynda Jones,Eastern,Rugby,4241,Secondary,Secondary,Ashlawn School,Mrs. Lois Reed,,ASHLAWN ROAD,,RUGBY,WARWICKSHIRE,CV22 5ET,(01788) 573425/6,,(01788) 536159,info@ashlawn.org.uk,N04,11,18,Community,A50,N
Debbie Hibberd,North Warwickshire,North Warwickshire,1000,Nursery,Nursery,Atherstone Early Years Centre,Mrs. Helen Hurst,,KINGS AVENUE,,ATHERSTONE,WARWICKSHIRE,CV9 1JZ,(01827) 713116,,,admin1000@we-learn.com,B01,2,3,Community,B12,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,3007,Primary,Primary,Austrey C.Of E. Primary School,Mrs. Ann Parsons,,ST. NICHOLAS CLOSE,AUSTREY,ATHERSTONE,WARWICKSHIRE,CV9 3EQ,(01827) 830248,,,admin3007@we-learn.com,E10,4,11,Community,B2,N
Chris Hunt,Central,Warwick,4190,Secondary,Secondary,Aylesford School. A specialist Language and Music College,Mr. Steven Hall,,SHELLEY AVENUE,,WARWICK,WARWICKSHIRE,CV34 6LA,(01926) 747100,,(01926) 494194,office@aylesford-elearning.net,M16,11,18,Community,D28,N
Lorrie Cooper,Southern,Warwick,3587,Primary,Primary,Barford St. Peter's C.Of E. Primary School,Mrs. Lindsey Oscroft,,CHURCH STREET,BARFORD,WARWICK,WARWICKSHIRE,CV35 8EW,(01926) 624244,,(01926) 624109,admin3587@we-learn.com,C02,4,11,Voluntary Aided,D5,N
Susan Currie,Eastern,Rugby,2423,Infant,Primary,Bawnmore Infant School,Mrs. Debra Wade,,BAWNMORE ROAD,,RUGBY,WARWICKSHIRE,CV22 6JS,(01788) 810065,,(01788) 810065,admin2423@we-learn.com,D16,4,7,Community,A20,N
Debbie Hibberd,Nuneaton & Bedworth,Nuneaton and Bedworth,1001,Nursery,Nursery,Bedworth Early Years Centre and Nursery,Ms. Chris Harris,31/12/2009,HAZEL GROVE,,BEDWORTH,WARWICKSHIRE,CV12 9DA,(024) 7649 4171,,,admin1001@we-learn.com,B02,2,3,Community,B59,N
Debbie Hibberd,Nuneaton & Bedworth,Nuneaton and Bedworth,1002,Nursery,Nursery,Bedworth Heath Nursery School and Children's Centre,Miss. Amanda King,,GLEBE AVENUE,,BEDWORTH,WARWICKSHIRE,CV12 0DP,(024) 7636 4188,,,admin1002@we-learn.com,B03,2,3,Community,B76,N
Margaret Heard,Southern,Stratford on Avon,3011,Primary,Primary,Bidford-On-Avon C.Of E. Primary School,Mr. Andrew Simms,,BRAMLEY WAY,BIDFORD-ON-AVON,ALCESTER,WARWICKSHIRE,B50 4QG,(01789) 773201,,,admin3011@we-learn.com,F06,4,11,Voluntary Controlled,C31,N
Sue Bailey,Eastern,Rugby,3205,Junior,Primary,Bilton C.Of E. Junior School,Mr. Richard Powell,,PLANTAGENET DRIVE,,RUGBY,WARWICKSHIRE,CV22 6LB,(01788) 810675,,(01788) 522576,admin3205@we-learn.com,D17,7,11,Voluntary Controlled,A21,N
Sue Bailey,Eastern,Rugby,2420,Infant,Primary,Bilton Infant School,Mrs. Judith Brook,,MAGNET LANE,BILTON,RUGBY,WARWICKSHIRE,CV22 7NH,(01788) 811549,,(01788) 811549,admin2420@we-learn.com,D18,4,7,Community,A23,N
Pamela Hutchison,Eastern,Rugby,4238,Secondary,Secondary,Bilton School A Maths and Computing College,Mr. Paul Smith,,LAWFORD LANE,BILTON,RUGBY,WARWICKSHIRE,CV22 7JT,(01788) 840600,,(01788) 840610,office@biltonmail.com,N01,11,16,Community,A24,N
Sue Bailey,Eastern,Rugby,2626,Primary,Primary,Binley Woods Primary School,Mrs. Karen Davidson,,COOMBE DRIVE,,BINLEY WOODS,WARWICKSHIRE,CV3 2QU,(024) 7654 3754,(024) 7654 0055,(024) 76540055,admin2626@we-learn.com,D50,4,11,Community,D71,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,2619,Primary,Primary,Birchwood Primary School,Mrs. Maria Vigus,,BIRCHWOOD AVENUE,DORDON,TAMWORTH,STAFFORDSHIRE,B78 1QU,(01827) 892913,,(01827) 892678,admin2619@we-learn.com,E96,4,11,Community,B6,N
Pauline Barker,Central,Stratford on Avon,2014,Primary,Primary,Bishops Itchington Primary School,Mr. Richard Hawkins,,LADBROKE ROAD,BISHOPS ITCHINGTON,SOUTHAM,WARWICKSHIRE,CV47 2RN,(01926) 612297,,,admin2014@we-learn.com,C03,4,11,Community,A8,N
Thomas Daley,Central,Warwick,3141,Primary,Primary,Bishops Tachbrook C.Of E. Primary School,Mr. Andy Brettell,,KINGSLEY ROAD,BISHOPS TACHBROOK,LEAMINGTON SPA,WARWICKSHIRE,CV33 9RY,(01926) 426020,,,admin3141@we-learn.com,C04,4,11,Voluntary Controlled,D6,N
Judith Jones,Southern,Stratford on Avon,2603,Primary,Primary,Bishopton Primary School,Mr. Lester Hunt,,DRAYTON AVENUE,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9PB,(01789) 205058,,(01789) 263243,admin2603@we-learn.com,F36,4,11,Community,C22,N
Sheila Dentith,Eastern,Rugby,2598,Infant,Primary,Boughton Leigh Infant School,Mr. Darren Barrow,,WETHERELL WAY,HOLLOWELL WAY,RUGBY,WARWICKSHIRE,CV21 1LT,(01788) 571679,,(01788) 571679,admin2598@we-learn.com,D21,4,7,Community,A32,N
Sheila Dentith,Eastern,Rugby,2590,Junior,Primary,Boughton Leigh Junior School,Mr. Carl Thornton,,WETHERELL WAY,HOLLOWELL WAY,RUGBY,WARWICKSHIRE,CV21 1LT,(01788) 577914,,(01788) 571922,admin2590@we-learn.com,D22,7,11,Community,A33,N
Jeanne Monkton,North Warwickshire,North Warwickshire,3215,Primary,Primary,Bournebrook C.Of E. Primary School,Ms. Carol Weller,,COVENTRY ROAD,FILLONGLEY,COVENTRY,WEST MIDLANDS,CV7 8ET,(01676) 540390,,,admin3215@we-learn.com,E22,4,11,Voluntary Controlled,B79,N
Linda Stock,Southern,Stratford on Avon,3014,Primary,Primary,Brailes C.Of E. Primary School,Mrs. Sarah Plaskitt,,LOWER BRAILES,,BANBURY,OXFORDSHIRE,OX15 5AP,(01608) 685253,,,admin3014@we-learn.com,F07,4,11,Voluntary Controlled,C7,N
Brenda Iles,Central,Warwick,2327,Infant,Primary,Briar Hill Infant School,Mrs. Gillian Makin,,COPPICE ROAD,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2JF,(01926) 422834,,(01926) 450423,admin2327@we-learn.com,C57,4,7,Community,D8,N
Judith Jones,Southern,Stratford on Avon,2053,Primary,Primary,Bridge Town Primary School,Mr. Stephen Blackman,,BYRON ROAD,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 7JP,(01789) 205092,,(01789) 295276,admin2053@we-learn.com,F37,4,11,Community,C14,N
Sue Briggs,Eastern,Rugby,7023,Special,Special,Brooke School,Mrs. Sheila Cowen,,OVERSLADE LANE,,RUGBY,WARWICKSHIRE,CV22 6DY,(01788) 812324,,(01788) 522866,admin7023@we-learn.com,J01,2,19,Community,A58,N
Sue Bailey,Central,Warwick,2330,Primary,Primary,Brookhurst Primary School,Miss Angela Stanton,,ULLSWATER AVENUE,,LEAMINGTON SPA,WARWICKSHIRE,CV32 6NH,(01926) 420051,,(01926) 429899,admin2330@we-learn.com,C21,4,11,Community,D37,N
Susan Currie,Eastern,Rugby,2616,Infant,Primary,Brownsover Community School,Mrs. Judith Ryan,,WEBB DRIVE,BROWNSOVER,RUGBY,WARWICKSHIRE,CV23 0UP,(01788) 547660,,,admin2616@we-learn.com,D49,4,7,Community,A35,N
William Poulton,Central,Warwick,2329,Primary,Primary,Budbrooke Primary School,Mrs. Carol Taylor,,STYLES CLOSE,HAMPTON MAGNA,WARWICK,WARWICKSHIRE,CV35 8TP,(01926) 492045,,(01926) 492045,admin2329@we-learn.com,C06,4,11,Community,D29,N
Phil Robbins,Central,Warwick,3143,Primary,Primary,Burton Green C.Of E. Primary School,Mrs. Catherine Clarke,,HOB LANE,BURTON GREEN,KENILWORTH,WARWICKSHIRE,CV8 1QB,(024) 7646 4130,,,admin3143@we-learn.com,C07,4,11,Voluntary Controlled,D63,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,2640,Primary,Primary,Camp Hill Primary School,Ms. Pamela Harbot,,HOLLY STITCHES ROAD,,NUNEATON,WARWICKSHIRE,CV10 9QA,(024) 7638 3230,,(024) 7638 3230,admin2640@we-learn.com,E88,4,11,Community,B24,N
Lesley Sullivan,Central,Warwick,4192,Secondary,Secondary,Campion School,Mr. Mark Feldman,,SYDENHAM DRIVE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 1QH,(01926) 743200,,(01926) 743201,head@campion.warwickshire.sch.uk,M05,11,18,Community,D12,N
Gareth Powell,Nuneaton & Bedworth,Nuneaton and Bedworth,3315,Infant,Primary,Canon Evans C.Of E. Infant School,Mrs. Felicity Hey,,DERWENT ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8RT,(024) 7631 2154,,(024) 7631 2154,admin3315@we-learn.com,E14,4,7,Voluntary Aided,B67,N
Gareth Powell,Nuneaton & Bedworth,Nuneaton and Bedworth,3302,Junior,Primary,Canon Maggs C.Of E. Junior School,Mr. Ian Potter,,DERWENT ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8RT,(024) 7631 2220,,(024) 7631 2923,admin3302@we-learn.com,E15,7,11,Voluntary Aided,B68,N
Sue Bailey,Eastern,Rugby,3594,Primary,Primary,Cawston Grange Primary School,Ms. Susan McGonagle,,SCHOLARS DRIVE,CAWSTON,RUGBY,WARWICKSHIRE,CV22 7GU,(01788) 816820,,(01788) 816820,admin@cawston.warwickshire.sch.uk,D59,4,11,Community,A25,N
Adrienne Holland,Nuneaton & Bedworth,Nuneaton and Bedworth,2581,Junior,Primary,Chetwynd Junior School,Mr. Roy Garner,,CAROLINE CLOSE,GIPSY LANE,NUNEATON,WARWICKSHIRE,CV11 4SE,(024) 7634 0154,(024) 7635 4762,,admin2581@we-learn.com,E58,7,11,Community,B54,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,2103,Infant,Primary,Chilvers Coton Community Infant School,Mrs. Debra Bailey,,FITTON STREET,,NUNEATON,WARWICKSHIRE,CV11 5RB,(024) 7638 7001,,(02476) 388051,admin2103@we-learn.com,E59,4,7,Community,B34,N
Thomas Daley,Central,Warwick,2312,Primary,Primary,Clapham Terrace Community Primary School,Mrs. Susan Gallagher,,CLAPHAM TERRACE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 1HZ,(01926) 423404,,(01926) 430854,admin2312@we-learn.com,C23,4,11,Community,D17,N
Lynne Wilson-Leary,Southern,Stratford on Avon,2017,Primary,Primary,Claverdon Primary School,Mrs. Catharine Gover,,LANGLEY ROAD,CLAVERDON,WARWICK,WARWICKSHIRE,CV35 8QA,(01926) 842403,,,admin2017@we-learn.com,F09,4,11,Community,C53,N
Sheila Dentith,Eastern,Rugby,3177,Primary,Primary,Clifton-Upon-Dunsmore C.Of E. Primary School,Mr. David Briggs,,STATION ROAD,CLIFTON-UPON-DUNSMORE,RUGBY,WARWICKSHIRE,CV23 0BT,(01788) 542027,,(01788) 541351,admin3177@we-learn.com,D05,4,11,Voluntary Controlled,A36,N
Phil Robbins,Central,Warwick,2308,Primary,Primary,Clinton Primary School,Mr. Sam Pater,,CAESAR ROAD,,KENILWORTH,WARWICKSHIRE,CV8 1DL,(01926) 852334,,(01926) 855290,admin2308@we-learn.com,C12,4,11,Community,D54,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,3586,Primary,Primary,Coleshill C.Of E. Primary School,Mr. Andrew Kershaw,,WINGFIELD ROAD,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46 3LL,(01675) 463672,,(01675) 465983,admin3586@we-learn.com,E95,4,11,Voluntary Aided,B86,N
Stephen McGlone,Central,Warwick,2623,Primary,Primary,Coten End Primary School,Mrs. Sarah Burbidge,,COTEN END,,WARWICK,WARWICKSHIRE,CV34 4NP,(01926) 491329,,(01926) 411165,admin2623@we-learn.com,C70,4,11,Community,D23,N
Lorrie Cooper,Southern,Stratford on Avon,3021,Primary,Primary,Coughton C.Of E. Primary School,Mr. Ben Crump,,COUGHTON LANE,COUGHTON,ALCESTER,WARWICKSHIRE,B49 5HN,(01789) 762444,,(01789) 762444,admin3021@we-learn.com,F10,4,11,Voluntary Controlled,C42,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,2601,Junior,Primary,Croft Junior School,Mrs. Belinda Bollans,,NORTHUMBERLAND AVENUE,STOCKINGFORD,NUNEATON,WARWICKSHIRE,CV10 8ER,(024) 7638 7319,,(024) 7638 7319,admin2601@we-learn.com,E60,7,11,Community,B33,N
Dorothy Rickarby,Central,Warwick,3144,Primary,Primary,Cubbington C.Of E. Primary School,Mrs. Denise Thompson,,CHURCH HILL,CUBBINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7JY,(01926) 422967,,,admin3144@we-learn.com,C08,4,11,Voluntary Controlled,D48,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,2502,Primary,Primary,Curdworth Primary School,Mr. Colin Ricketts,,FARTHING LANE,CURDWORTH,SUTTON COLDFIELD,WEST MIDLANDS,B76 9HF,(01675) 470379,,,admin2502@we-learn.com,E32,4,11,Community,B89,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,2018,Primary,Primary,Dordon Community Primary School,Mrs. Catherine Hollis,,ROMAN WAY,DORDON,TAMWORTH,STAFFORDSHIRE,B78 1PJ,(01827) 892422,,(01827) 892422,admin2018@we-learn.com,E33,4,11,Community,B7,N
Sue Bailey,Eastern,Rugby,3391,Junior,Primary,Dunchurch Boughton C.Of E. (Voluntary Aided) Junior School,Mr. Andrew Wardle,,DEW CLOSE,DUNCHURCH,RUGBY,WARWICKSHIRE,CV22 6NE,(01788) 811028,,(01788) 813557,admin3391@we-learn.com,D07,7,11,Voluntary Aided,A18,N
Sue Bailey,Eastern,Rugby,5204,Infant,Primary,Dunchurch Infant School,Mrs. Maureen Mrowicki,,SCHOOL STREET,DUNCHURCH,RUGBY,WARWICKSHIRE,CV22 6PA,(01788) 810292,,(01788) 810919,admin5204@we-learn.com,T05,4,7,Foundation,A19,N
Alison Stringer,Southern,Stratford on Avon,5203,Primary,Primary,Dunnington C Of E Primary School,Mrs. Lynne Russell,,DUNNINGTON,,ALCESTER,WARWICKSHIRE,B49 5NT,(01789) 772200,,(01789) 778202,admin5203@we-learn.com,T04,4,11,Voluntary Aided,C33,N
Peter Rayers,Eastern,Rugby,2415,Primary,Primary,Eastlands Primary School,Mrs. Joanne Corrigan,,LANSDOWNE PLACE,,RUGBY,WARWICKSHIRE,CV21 3RY,(01788) 575328,,(01788) 536205,admin2415@we-learn.com,D23,4,11,Community,A45,N
Stephen McGlone,Central,Warwick,2332,Infant,Primary,Emscote Infant School,Mrs. Deborah Cossins,,ALL SAINTS' ROAD,,WARWICK,WARWICKSHIRE,CV34 5NH,(01926) 491433,,,admin2332@we-learn.com,C51,4,7,Community,D35,N
Peter Rayers,Eastern,Rugby,3564,Primary,Primary,English Martyrs Catholic Primary School,Mr. Stuart Hallahan,,HIGH STREET,HILLMORTON,RUGBY,WARWICKSHIRE,CV21 4EE,(01788) 543423,,(01788) 570193,office@englishmartyrs.net,D25,4,11,Voluntary Aided,A49,N
Jackie Beere,Nuneaton & Bedworth,Nuneaton and Bedworth,4004,Secondary,Secondary,Etone Technology Language Vocational College,Mr. Colin Turner,,LEICESTER ROAD,,NUNEATON,WARWICKSHIRE,CV11 6AA,(024) 7675 7300,(024) 7638 7382,(024) 7635 2320,etonecollege@aol.com,P10,11,16,Community,B44,N
Linda Stock,Southern,Stratford on Avon,3024,Primary,Primary,Ettington C.Of E. Primary School,Ms. Rosemary Edwards,,CHURCHILL CLOSE,ETTINGTON,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 7SP,(01789) 740236,,,admin3024@we-learn.com,F12,4,11,Voluntary Controlled,C9,N
Gareth Powell,Nuneaton & Bedworth,Nuneaton and Bedworth,2635,Infant,Primary,Exhall Cedars Infant School,Mrs. Sharon Hillyard,,TRENANCE ROAD,EXHALL,COVENTRY,WEST MIDLANDS,CV7 9FJ,(024) 7631 6034,,,admin2635@we-learn.com,E45,4,7,Community,B69,N
Sue Briggs,Nuneaton & Bedworth,Nuneaton and Bedworth,7000,Special,Special,Exhall Grange School and Science College,Mr. John Truman,,EASTER WAY,ASH GREEN,COVENTRY,WEST MIDLANDS,CV7 9HP,(024) 7636 4200,,(024) 7664 5055,admin7000@we-learn.com,G21,2,19,Community,B72,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,2107,Infant,Primary,Galley Common Infant School,Mrs. Deborah Brook,,PLOUGH HILL ROAD,GALLEY COMMON,NUNEATON,WARWICKSHIRE,CV10 9NZ,(024) 7639 2219,,(024) 7639 2219,admin2107@we-learn.com,E61,4,7,Community,B20,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,2585,Infant,Primary,Glendale Infant School,Mrs. Stella Saje,,SKYE CLOSE,,NUNEATON,WARWICKSHIRE,CV10 7LW,(024) 7634 9672,,(024) 7634 3060,admin2585@we-learn.com,E62,4,7,Community,B32,N
Gareth Powell,Nuneaton & Bedworth,Nuneaton and Bedworth,2634,Primary,Primary,Goodyers End Primary School,Mrs. Rosemary Daniels,,BOWLING GREEN LANE,,BEDWORTH,WARWICKSHIRE,CV12 0HP,(024) 7636 4448,,(024) 7636 4198,admin2634@we-learn.com,E51,4,11,Community,B75,N
Judith Jones,Southern,Stratford on Avon,2024,Primary,Primary,Great Alne Primary School,Mrs. Lesley Hendrie,,SCHOOL ROAD,GREAT ALNE,ALCESTER,WARWICKSHIRE,B49 6HQ,(01789) 488247,,,admin2024@we-learn.com,F16,4,11,Community,C40,N
Jeanne Monkton,North Warwickshire,North Warwickshire,2002,Infant,Primary,Gun Hill Infant School,Mrs. Elizabeth Pipe,,GUN HILL,NEW ARLEY,COVENTRY,WEST MIDLANDS,CV7 8HB,(01676) 540347,,,admin2002@we-learn.com,E03,4,7,Community,B80,N
Linda Stock,Southern,Stratford on Avon,3031,Primary,Primary,Hampton Lucy C.Of E. Primary School,Mrs. Margaret Lunnon,,CHURCH STREET,HAMPTON LUCY,WARWICK,WARWICKSHIRE,CV35 8BE,(01789) 840398,,,admin3031@we-learn.com,F17,4,11,Voluntary Controlled,C1,N
Pauline Barker,Central,Stratford on Avon,3032,Primary,Primary,Harbury C.Of E. Primary School,Mr. Denis Daly,,MILL STREET,,HARBURY,WARWICKSHIRE,CV33 9HR,(01926) 612656,,(01926) 612656,admin3032@we-learn.com,C10,4,11,Voluntary Controlled,A9,N
Alan Lindsay,Eastern,Rugby,4802,Secondary,Secondary,Harris School,Mr. Stephen Dobson,,HARRIS DRIVE,OVERSLADE LANE,RUGBY,WARWICKSHIRE,CV22 6EA,(01788) 812549,,(01788) 816123,office@harris-school.co.uk,N07,11,16,Voluntary Aided,A57,N
Chris Hunt,North Warwickshire,North Warwickshire,5402,Secondary,Secondary,Hartshill School,Mr. Michael Garlick,,CHURCH ROAD,HARTSHILL,NUNEATON,WARWICKSHIRE,CV10 0NA,(024) 7639 2237,,(024) 7639 4641,admin5402@we-learn.com,W03,11,16,Foundation,B18,N
Alison Stringer,Southern,Stratford on Avon,5200,Primary,Primary,Haselor School,Mrs. Jill Norton,,HASELOR,,ALCESTER,WARWICKSHIRE,B49 6LU,(01789) 488211,,01789 488211,admin5200@we-learn.com,T01,4,11,Foundation,C41,N
Tony Salmon,Southern,Stratford on Avon,4108,Secondary,Secondary,Henley-In-Arden High School,Mr. Paul Wright,,STRATFORD ROAD,,HENLEY-IN-ARDEN,WARWICKSHIRE,B95 6AF,(01564) 792364,,(01564) 792411,admin@henleyhigh.com,Q05,11,16,Community,C49,N
Claire Robinson,Southern,Stratford on Avon,2031,Primary,Primary,Henley-In-Arden Primary School,Mrs. Lindsay Nash,,ARDEN ROAD,,HENLEY-IN-ARDEN,WARWICKSHIRE,B95 5LT,(01564) 792766,,(01564) 792766,admin2031@we-learn.com,F19,4,11,Community,C52,N
Sue Bailey,Eastern,Rugby,2424,Infant,Primary,Henry Hinde Infant School,Mrs. Diana Ward,,GRENVILLE CLOSE,BILTON,RUGBY,WARWICKSHIRE,CV22 7JQ,(01788) 814848,,(01788) 814948,admin2424@we-learn.com,D26,4,7,Community,A26,N
Sue Bailey,Eastern,Rugby,2588,Junior,Primary,Henry Hinde Junior School,Mr. Marcus Wakeley,,CORNWALLIS ROAD,BILTON,RUGBY,WARWICKSHIRE,CV22 7HN,(01788) 811392,,(01788) 812216,admin2588@we-learn.com,D27,7,11,Community,A27,N
Jeanne Monkton,North Warwickshire,North Warwickshire,2594,Junior,Primary,Herbert Fowler Junior School,Mrs. Linda Weyman,,ANSLEY LANE,ARLEY,COVENTRY,WEST MIDLANDS,CV7 8NU,(01676) 540348,,,admin2594@we-learn.com,E04,7,11,Community,B81,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,2569,Infant,Primary,High Meadow Infant School,Mrs. Marilyn Farnell,,NORTON ROAD,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46 1ES,(01675) 462312,,,admin2569@we-learn.com,E29,4,7,Community,B87,N
John Vickers,Nuneaton & Bedworth,Nuneaton and Bedworth,4153,Secondary,Secondary,Higham Lane School A Business and Enterprise College,Mr. Philip Kelly,,SHANKLIN DRIVE,,NUNEATON,WARWICKSHIRE,CV10 0BJ,(024) 7638 8123,,(024) 7637 0550,admin@highamlane.warwickshire.sch.uk,P12,11,16,Community,B40,N
Peter Rayers,Eastern,Rugby,2628,Primary,Primary,Hillmorton Primary School,Mrs. Catherine Crisp,,WATTS LANE,HILLMORTON,RUGBY,WARWICKSHIRE,CV21 4PE,(01788) 544309,,(01788) 542679,admin2628@we-learn.com,D53,4,11,Community,A48,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,2032,Primary,Primary,Hurley Primary School,Mr. Glyn Morgans,,HEANLEY LANE,HURLEY,ATHERSTONE,WARWICKSHIRE,CV9 2HY,(01827) 872207,,(01827) 872207,admin2032@we-learn.com,E44,4,11,Community,B93,N
