EDUCATION_AREA,DISTRICT_AREA_DESC,DFES,TYPE,PHASE,SCHOOL_NAME,Headteacher,ACTING,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POST_CODE,TEL_NO,EXTRA_TELEPHONE,FAX,E_MAIL,START_AGE,LEAVE_AGE,Control,SCH_DELIVERY_NO,Specialism,Second Specialism,WEB_ADDRESS
North Warwickshire,North Warwickshire,2619,Primary,Primary,Birchwood Primary School,Mr. Ed May,Acting,BIRCHWOOD AVENUE,DORDON,TAMWORTH,STAFFORDSHIRE,B78 1QU,(01827) 892913,,(01827) 892678,admin2619@we-learn.com,4,11,Community,B6,,,http://www.birchwoodprimaryschool.co.uk/
Central,Stratford on Avon,2014,Primary,Primary,Bishops Itchington Primary School,Mr. Richard Hawkins,,LADBROKE ROAD,BISHOPS ITCHINGTON,SOUTHAM,WARWICKSHIRE,CV47 2RN,(01926) 612297,,,admin2014@we-learn.com,4,11,Community,A8,,,http://www.bishopsitchington.com/
Central,Warwick,3141,Primary,Primary,Bishops Tachbrook C.Of E. Primary School,Mr. Andy Brettell,,KINGSLEY ROAD,BISHOPS TACHBROOK,LEAMINGTON SPA,WARWICKSHIRE,CV33 9RY,(01926) 426020,,,admin3141@we-learn.com,4,11,C of E Controlled,D6,,,http://www.bishopstachbrook.warwickshire.sch.uk/
Southern,Stratford on Avon,2603,Primary,Primary,Bishopton Primary School,Mr. Lester Hunt,,DRAYTON AVENUE,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9PB,(01789) 205058,,(01789) 263243,admin2603@we-learn.com,4,11,Community,C22,,,N/A
Eastern,Rugby,2598,Infant,Primary,Boughton Leigh Infant School,Ms. Susan Dutton,,WETHERELL WAY,HOLLOWELL WAY,RUGBY,WARWICKSHIRE,CV21 1LT,(01788) 571679,,(01788) 571679,admin2598@we-learn.com,4,7,Community,A32,,,http://www.boughtonleigh.warwickshire.sch.uk/
Eastern,Rugby,2590,Junior,Primary,Boughton Leigh Junior School,Mr. Carl Thornton,,WETHERELL WAY,HOLLOWELL WAY,RUGBY,WARWICKSHIRE,CV21 1LT,(01788) 577914,,(01788) 571922,admin2590@we-learn.com,7,11,Community,A33,,,http://www.boughtonleigh-juniorschool.co.uk/
North Warwickshire,North Warwickshire,3215,Primary,Primary,Bournebrook C.Of E. Primary School,Ms. Carol Weller,,COVENTRY ROAD,FILLONGLEY,COVENTRY,WEST MIDLANDS,CV7 8ET,(01676) 540390,,,admin3215@we-learn.com,4,11,C of E Controlled,B79,,,N/A
Southern,Stratford on Avon,3014,Primary,Primary,Brailes C.Of E. Primary School,Mrs. Sarah Plaskitt,,LOWER BRAILES,,BANBURY,OXFORDSHIRE,OX15 5AP,(01608) 685253,,,admin3014@we-learn.com,4,11,C of E Controlled,C7,,,http://www.brailescofeprimary.org.uk
Central,Warwick,2327,Infant,Primary,Briar Hill Infant School,Mrs. Gillian Makin,,COPPICE ROAD,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2JF,(01926) 422834,,(01926) 450423,admin2327@we-learn.com,4,7,Community,D8,,,N/A
Southern,Stratford on Avon,2053,Primary,Primary,Bridge Town Primary School,Mr. Stephen Blackman,,BYRON ROAD,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 7JP,(01789) 205092,,(01789) 295276,admin2053@we-learn.com,4,11,Community,C14,,,http://www.bridgetown.warwickshire.sch.uk
Eastern,Rugby,7023,Special,Special,Brooke School,Mrs. Sheila Cowen,,OVERSLADE LANE,,RUGBY,WARWICKSHIRE,CV22 6DY,(01788) 812324,,(01788) 522866,admin7023@we-learn.com,2,19,Community Special,A58,,,http://www.brookeschool.ik.org/home.ikml
Central,Warwick,2330,Primary,Primary,Brookhurst Primary School,Miss Angela Stanton,,ULLSWATER AVENUE,,LEAMINGTON SPA,WARWICKSHIRE,CV32 6NH,(01926) 420051,,(01926) 429899,admin2330@we-learn.com,4,11,Community,D37,,,http://www.brookhurstprimary.com/
Eastern,Rugby,2616,Infant,Primary,Brownsover Community School,Mrs. Elisa Basnett,,WEBB DRIVE,BROWNSOVER,RUGBY,WARWICKSHIRE,CV23 0UP,(01788) 547660,,,admin2616@we-learn.com,4,7,Community,A35,,,http://www.brownsover.warwickshire.sch.uk/
Central,Warwick,2329,Primary,Primary,Budbrooke Primary School,Mrs. Carol Taylor,,STYLES CLOSE,HAMPTON MAGNA,WARWICK,WARWICKSHIRE,CV35 8TP,(01926) 492045,,(01926) 492045,admin2329@we-learn.com,4,11,Community,D29,,,http://www.budbrooke.warwickshire.sch.uk/
Central,Warwick,3143,Primary,Primary,Burton Green C.Of E. Primary School,Ms. Joanne Jennings,,HOB LANE,BURTON GREEN,KENILWORTH,WARWICKSHIRE,CV8 1QB,(024) 7646 4130,,,admin3143@we-learn.com,4,11,C of E Controlled,D63,,,http://www.burtongreenschool.org.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,2640,Primary,Primary,Camp Hill Primary School,Ms. Pamela Harbot,,HOLLY STITCHES ROAD,,NUNEATON,WARWICKSHIRE,CV10 9QA,(024) 7638 3230,,(024) 7638 3230,admin2640@we-learn.com,4,11,Community,B24,,,N/A
Central,Warwick,4192,Secondary,Secondary,Campion School,Mr. Mark Feldman,,SYDENHAM DRIVE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 1QH,(01926) 743200,,(01926) 743201,head@campion.warwickshire.sch.uk,11,18,Community,D12,Business & Enterprise and Arts,,http://www.campion.warwickshire.sch.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,3315,Infant,Primary,Canon Evans C.Of E. Infant School,Mrs. Felicity Hey,,DERWENT ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8RT,(024) 7631 2154,,(024) 7631 2154,admin3315@we-learn.com,4,7,C of E Aided,B67,,,http://www.canonevans.co.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,3302,Junior,Primary,Canon Maggs C.Of E. Junior School,Mr. Ian Potter,,DERWENT ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8RT,(024) 7631 2220,,(024) 7631 2923,admin3302@we-learn.com,7,11,C of E Aided,B68,,,N/A
Eastern,Rugby,3594,Primary,Primary,Cawston Grange Primary School,Ms. Susan McGonagle,,SCHOLARS DRIVE,CAWSTON,RUGBY,WARWICKSHIRE,CV22 7GU,(01788) 816820,,(01788) 816820,admin@cawston.warwickshire.sch.uk,4,11,Community,A25,,,http://www.cawstongrangeprimary.com/
Nuneaton & Bedworth,Nuneaton and Bedworth,2581,Junior,Primary,Chetwynd Junior School,Mr. Roy Garner,,CAROLINE CLOSE,GIPSY LANE,NUNEATON,WARWICKSHIRE,CV11 4SE,(024) 7634 0154,(024) 7635 4762,,admin2581@we-learn.com,7,11,Community,B54,,,http://www.chetwynd.warwickshire.sch.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,2103,Infant,Primary,Chilvers Coton Community Infant School,Mrs. Debra Bailey,,FITTON STREET,,NUNEATON,WARWICKSHIRE,CV11 5RB,(024) 7638 7001,,(02476) 388051,admin2103@we-learn.com,4,7,Community,B34,,,N/A
Central,Warwick,2312,Primary,Primary,Clapham Terrace Community Primary School,Mrs. Susan Gallagher,,CLAPHAM TERRACE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 1HZ,(01926) 423404,,(01926) 430854,admin2312@we-learn.com,4,11,Community,D17,,,http://www.claphamterrace.warwickshire.sch.uk
Southern,Stratford on Avon,2017,Primary,Primary,Claverdon Primary School,Mrs. Catharine Gover,,LANGLEY ROAD,CLAVERDON,WARWICK,WARWICKSHIRE,CV35 8QA,(01926) 842403,,,admin2017@we-learn.com,4,11,Community,C53,,,http://www.claverdon.warwickshire.sch.uk
Eastern,Rugby,3177,Primary,Primary,Clifton-Upon-Dunsmore C.Of E. Primary School,Mr. David Briggs,,STATION ROAD,CLIFTON-UPON-DUNSMORE,RUGBY,WARWICKSHIRE,CV23 0BT,(01788) 542027,,(01788) 541351,admin3177@we-learn.com,4,11,C of E Controlled,A36,,,http://www.cliftonupondunsmoreprimary.org.uk
Central,Warwick,2308,Primary,Primary,Clinton Primary School,Mr. Sam Pater,,CAESAR ROAD,,KENILWORTH,WARWICKSHIRE,CV8 1DL,(01926) 852334,,(01926) 855290,admin2308@we-learn.com,4,11,Community,D54,,,http://www.clintonprimary.co.uk/
North Warwickshire,North Warwickshire,3586,Primary,Primary,Coleshill C.Of E. Primary School,Mr. Andrew Kershaw,,WINGFIELD ROAD,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46 3LL,(01675) 463672,,(01675) 465983,admin3586@we-learn.com,4,11,C of E Aided,B86,,,http://www.coleshillprimary.org.uk/
Central,Warwick,2623,Primary,Primary,Coten End Primary School,Mrs. Sarah Sheepy,,COTEN END,,WARWICK,WARWICKSHIRE,CV34 4NP,(01926) 491329,,(01926) 411165,admin2623@we-learn.com,4,11,Community,D23,,,http://www.cotenend.warwickshire.sch.uk
Southern,Stratford on Avon,3021,Primary,Primary,Coughton C.Of E. Primary School,Mr. Ben Crump,,COUGHTON LANE,COUGHTON,ALCESTER,WARWICKSHIRE,B49 5HN,(01789) 762444,,(01789) 766832,admin3021@we-learn.com,4,11,C of E Controlled,C42,,,http://www.coughtonschool.org/
Nuneaton & Bedworth,Nuneaton and Bedworth,2601,Junior,Primary,Croft Junior School,Mrs. Belinda Bollans,,NORTHUMBERLAND AVENUE,STOCKINGFORD,NUNEATON,WARWICKSHIRE,CV10 8ER,(024) 7638 7319,,(024) 7638 7319,admin2601@we-learn.com,7,11,Community,B33,,,http://www.croftjuniorschool.ik.org/
Central,Warwick,3144,Primary,Primary,Cubbington C.Of E. Primary School,Mrs. Catherine Clarke,,CHURCH HILL,CUBBINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7JY,(01926) 422967,,,admin3144@we-learn.com,4,11,C of E Controlled,D48,,,N/A
North Warwickshire,North Warwickshire,2502,Primary,Primary,Curdworth Primary School,Mr. Colin Ricketts,,FARTHING LANE,CURDWORTH,SUTTON COLDFIELD,WEST MIDLANDS,B76 9HF,(01675) 470379,,,admin2502@we-learn.com,4,11,Community,B89,,,http://www.curdworth.warwickshire.sch.uk
North Warwickshire,North Warwickshire,2018,Primary,Primary,Dordon Community Primary School,Mrs. Catherine Hollis,,ROMAN WAY,DORDON,TAMWORTH,STAFFORDSHIRE,B78 1PJ,(01827) 892422,,(01827) 892422,admin2018@we-learn.com,4,11,Community,B7,,,http://www.dordonprimaryschool.co.uk/
Eastern,Rugby,3391,Junior,Primary,Dunchurch Boughton C.Of E. (Voluntary Aided) Junior School,Mr. Andrew Wardle,,DEW CLOSE,DUNCHURCH,RUGBY,WARWICKSHIRE,CV22 6NE,(01788) 811028,,(01788) 813557,admin3391@we-learn.com,7,11,C of E Aided,A18,,,http://www.dunchurchjuniorschool.org.uk
Eastern,Rugby,5204,Infant,Primary,Dunchurch Infant School,Mrs. Maureen Mrowicki,,SCHOOL STREET,DUNCHURCH,RUGBY,WARWICKSHIRE,CV22 6PA,(01788) 810292,,(01788) 810919,admin5204@we-learn.com,4,7,Foundation,A19,,,http://www.dunchurchinfantschoolandnursery.com
Southern,Stratford on Avon,5203,Primary,Primary,Dunnington C Of E Primary School,Mrs. Lynne Russell,,DUNNINGTON,,ALCESTER,WARWICKSHIRE,B49 5NT,(01789) 772200,,(01789) 778202,admin5203@we-learn.com,4,11,C of E Aided,C33,,,http://www.dunnington-school.co.uk/
Eastern,Rugby,2415,Primary,Primary,Eastlands Primary School,Mrs. Joanne Corrigan,,LANSDOWNE PLACE,,RUGBY,WARWICKSHIRE,CV21 3RY,(01788) 575328,,(01788) 536205,admin2415@we-learn.com,4,11,Community,A45,,,N/A
Central,Warwick,2332,Infant,Primary,Emscote Infant School,Mrs. Deborah Cossins,,ALL SAINTS' ROAD,,WARWICK,WARWICKSHIRE,CV34 5NH,(01926) 491433,,,admin2332@we-learn.com,4,7,Community,D35,,,http://www.emscoteinfants.co.uk/
Eastern,Rugby,3564,Primary,Primary,English Martyrs Catholic Primary School,Mr. Stuart Hallahan,,HIGH STREET,HILLMORTON,RUGBY,WARWICKSHIRE,CV21 4EE,(01788) 543423,,(01788) 570193,office@englishmartyrs.net,4,11,Catholic Aided,A49,,,http://www.englishmartyrs.net/
Nuneaton & Bedworth,Nuneaton and Bedworth,4004,Secondary,Secondary,Etone Technology Language Vocational College,Mr. Colin Turner,,LEICESTER ROAD,,NUNEATON,WARWICKSHIRE,CV11 6AA,(024) 7675 7300,(024) 7638 7382,(024) 7635 2320,admin4004@we-learn.com,11,16,Community,B44,Technology,Applied Learning and Languages,http://www.etone.org.uk/
Southern,Stratford on Avon,3024,Primary,Primary,Ettington C.Of E. Primary School,Ms. Rosemary Edwards,,CHURCHILL CLOSE,ETTINGTON,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 7SP,(01789) 740236,,,admin3024@we-learn.com,4,11,C of E Controlled,C9,,,http://www.ettingtonprimary.ik.org/
Nuneaton & Bedworth,Nuneaton and Bedworth,2635,Infant,Primary,Exhall Cedars Infant School,Mrs. Sharon Hillyard,,TRENANCE ROAD,EXHALL,COVENTRY,WEST MIDLANDS,CV7 9FJ,(024) 7631 6034,,,admin2635@we-learn.com,4,7,Community,B69,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,7000,Special,Special,Exhall Grange School and Science College,Mr. John Truman,,EASTER WAY,ASH GREEN,COVENTRY,WEST MIDLANDS,CV7 9HP,(024) 7636 4200,,(024) 7664 5055,admin7000@we-learn.com,2,19,Community Special,B72,Science,SEN Sensory Physical,http://www.exhallgrange.org.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,2107,Infant,Primary,Galley Common Infant School,Mrs. Kay Middleton,,PLOUGH HILL ROAD,GALLEY COMMON,NUNEATON,WARWICKSHIRE,CV10 9NZ,(024) 7639 2219,,(024) 7639 2219,admin2107@we-learn.com,4,7,Community,B20,,,http://www.galleycommon.warwickshire.sch.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,2585,Infant,Primary,Glendale Infant School,Mrs. Stella Saje,,SKYE CLOSE,,NUNEATON,WARWICKSHIRE,CV10 7LW,(024) 7634 9672,,(024) 7634 3060,admin2585@we-learn.com,4,7,Community,B32,,,http://www.glendale.warwickshire.sch.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,2634,Primary,Primary,Goodyers End Primary School,Mrs. Rosemary Daniels,,BOWLING GREEN LANE,,BEDWORTH,WARWICKSHIRE,CV12 0HP,(024) 7636 4448,,(024) 7636 4198,admin2634@we-learn.com,4,11,Community,B75,,,http://www.goodyersend.warwickshire.sch.uk/
Southern,Stratford on Avon,2024,Primary,Primary,Great Alne Primary School,Mrs. Lesley Hendrie,,SCHOOL ROAD,GREAT ALNE,ALCESTER,WARWICKSHIRE,B49 6HQ,(01789) 488247,,,admin2024@we-learn.com,4,11,Community,C40,,,http://www.greatalneschool.ik.org/
North Warwickshire,North Warwickshire,2002,Infant,Primary,Gun Hill Infant School,Mrs. Elizabeth Pipe,,GUN HILL,NEW ARLEY,COVENTRY,WEST MIDLANDS,CV7 8HB,(01676) 540347,,,admin2002@we-learn.com,4,7,Community,B80,,,N/A
Southern,Stratford on Avon,3031,Primary,Primary,Hampton Lucy C.Of E. Primary School,Mrs. Margaret Lunnon,,CHURCH STREET,HAMPTON LUCY,WARWICK,WARWICKSHIRE,CV35 8BE,(01789) 840398,,,admin3031@we-learn.com,4,11,C of E Controlled,C1,,,http://www.hamptonlucy.warwickshire.sch.uk
Central,Stratford on Avon,3032,Primary,Primary,Harbury C.Of E. Primary School,Mr. Denis Daly,,MILL STREET,,HARBURY,WARWICKSHIRE,CV33 9HR,(01926) 612656,,(01926) 612656,admin3032@we-learn.com,4,11,C of E Controlled,A9,,,http://www.harbury.warwickshire.sch.uk
Eastern,Rugby,4802,Secondary,Secondary,Harris School,Mr. Stephen Dobson,,HARRIS DRIVE,OVERSLADE LANE,RUGBY,WARWICKSHIRE,CV22 6EA,(01788) 812549,,(01788) 816123,office@harris-school.co.uk,11,16,C of E Aided,A57,Sports,,http://www.harris-school.co.uk/
North Warwickshire,North Warwickshire,5402,Secondary,Secondary,Hartshill School,Mr. Michael Garlick,,CHURCH ROAD,HARTSHILL,NUNEATON,WARWICKSHIRE,CV10 0NA,(024) 7639 2237,,(024) 7639 4641,admin5402@we-learn.com,11,16,Foundation,B18,Science and Arts,,http://www.hartshill.warwickshire.sch.uk
Southern,Stratford on Avon,5200,Primary,Primary,Haselor School,Mrs. Jill Norton,,HASELOR,,ALCESTER,WARWICKSHIRE,B49 6LU,(01789) 488211,,01789 488211,admin5200@we-learn.com,4,11,Foundation,C41,,,http://www.haselorschool.co.uk/
Southern,Stratford on Avon,4108,Secondary,Secondary,Henley-In-Arden High School,Mr. Paul Wright,,STRATFORD ROAD,,HENLEY-IN-ARDEN,WARWICKSHIRE,B95 6AF,(01564) 792364,,(01564) 792411,admin@henleyhigh.com,11,16,Community,C49,Arts,,N/A
Southern,Stratford on Avon,2059,Primary,Primary,Henley-In-Arden Voluntary Aided CofE Primary School,Mrs. Lindsay Nash,,ARDEN ROAD,,HENLEY-IN-ARDEN,WARWICKSHIRE,B95 5LT,(01564) 792766,,(01564) 792766,admin2031@we-learn.com,4,11,C of E Aided,C52,,,http://www.henleyinardenprimary.org.uk/
Eastern,Rugby,2424,Infant,Primary,Henry Hinde Infant School,Mr. James Higham,31/08/2011,GRENVILLE CLOSE,BILTON,RUGBY,WARWICKSHIRE,CV22 7JQ,(01788) 814848,,(01788) 814948,admin2424@we-learn.com,4,7,Community,A26,,,http://www.henryhindeinfantschool.co.uk
Eastern,Rugby,2588,Junior,Primary,Henry Hinde Junior School,Mr. Marcus Wakeley,,CORNWALLIS ROAD,BILTON,RUGBY,WARWICKSHIRE,CV22 7HN,(01788) 811392,,(01788) 812216,admin2588@we-learn.com,7,11,Community,A27,,,http://www.henryhindejuniorschool.co.uk
North Warwickshire,North Warwickshire,2594,Junior,Primary,Herbert Fowler Junior School,Mrs. Linda Weyman,,ANSLEY LANE,ARLEY,COVENTRY,WEST MIDLANDS,CV7 8NU,(01676) 540348,,,admin2594@we-learn.com,7,11,Community,B81,,,http://www.herbertfowler.warwickshire.sch.uk
North Warwickshire,North Warwickshire,2569,Infant,Primary,High Meadow Infant School,Mrs. Marilyn Farnell,,NORTON ROAD,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46 1ES,(01675) 462312,,,admin2569@we-learn.com,4,7,Community,B87,,,http://www.highmeadow.warwickshire.sch.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,4153,Secondary,Secondary,Higham Lane School A Business and Enterprise College,Mr. Philip Kelly,,SHANKLIN DRIVE,,NUNEATON,WARWICKSHIRE,CV10 0BJ,(024) 7638 8123,,(024) 7637 0550,admin@highamlane.warwickshire.sch.uk,11,16,Community,B40,Business and Enterprise,,http://www.highamlane.warwickshire.sch.uk
Eastern,Rugby,2628,Primary,Primary,Hillmorton Primary School,Mrs. Catherine Crisp,,WATTS LANE,HILLMORTON,RUGBY,WARWICKSHIRE,CV21 4PE,(01788) 544309,,(01788) 542679,admin2628@we-learn.com,4,11,Community,A48,,,http://www.hillmortonprimaryschool.com/
North Warwickshire,North Warwickshire,2032,Primary,Primary,Hurley Primary School,Mr. Glyn Morgans,,HEANLEY LANE,HURLEY,ATHERSTONE,WARWICKSHIRE,CV9 2HY,(01827) 872207,,(01827) 872207,admin2032@we-learn.com,4,11,Community,B93,,,http://www.hurleyschool.ik.org/
